"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.496781349E-1,4.300163283E1,-7.879227153E1,1.820681674E2,1.473565714E2,0.000000000E0,2.700000000E2,0.000000000E0,4.729235901E0,3.385094508E0,-1.000000000E0
1.249662638E0,4.300163283E1,-7.879227153E1,1.820681674E2,1.473565714E2,0.000000000E0,2.700000000E2,1.175796913E-3,4.727715843E0,3.387217138E0,-1.000000000E0
2.249646902E0,4.300163283E1,-7.879225707E1,1.819414655E2,1.472298730E2,2.231476865E-1,2.700000000E2,2.345934716E-3,4.725730928E0,3.389985875E0,-1.000000000E0
3.249631882E0,4.300163283E1,-7.879224268E1,1.821484084E2,1.474368196E2,3.766298708E-1,2.700000000E2,3.296626390E-3,4.723416698E0,3.393209651E0,-1.000000000E0
4.249617100E0,4.300163283E1,-7.879223099E1,1.821525076E2,1.474409218E2,2.814303757E-1,2.700000000E2,4.407583810E-3,4.721047776E0,3.396504811E0,-1.000000000E0
5.249601603E0,4.300163283E1,-7.879221733E1,1.819025874E2,1.471910050E2,3.191148509E-1,2.700000000E2,5.510041034E-3,4.719877822E0,3.398130424E0,-1.000000000E0
6.249585629E0,4.300163283E1,-7.879220377E1,1.819520675E2,1.472404885E2,3.604975189E-1,2.700000000E2,6.650440994E-3,4.718535530E0,3.399994042E0,-1.000000000E0
7.249571085E0,4.300163283E1,-7.879218975E1,1.822398544E2,1.475282789E2,4.538590112E-1,2.700000000E2,7.816077539E-3,4.717109265E0,3.401972547E0,-1.000000000E0
8.249555230E0,4.300163283E1,-7.879217541E1,1.823340498E2,1.476224779E2,4.935765895E-1,2.700000000E2,9.016307485E-3,4.715961281E0,3.403563754E0,-1.000000000E0
9.249540806E0,4.300163283E1,-7.879216065E1,1.822761738E2,1.475646057E2,3.560104519E-1,2.700000000E2,1.002228864E-2,4.714810955E0,3.405157073E0,-1.000000000E0
1.024952567E1,4.300163283E1,-7.879214828E1,1.821791666E2,1.474676015E2,3.574002146E-1,2.700000000E2,1.089049850E-2,4.714434017E0,3.405678924E0,-1.000000000E0
1.124951029E1,4.300163283E1,-7.879213761E1,1.823415953E2,1.476300329E2,3.080092431E-1,2.700000000E2,1.565898592E-2,4.714878223E0,3.405063931E0,-1.000000000E0
1.224949527E1,4.300159075E1,-7.879212627E1,1.824238143E2,1.477123306E2,4.234108655E-1,3.594908825E2,1.679404477E-2,4.714728228E0,3.405271615E0,-1.000000000E0
1.324947977E1,4.300159241E1,-7.879211250E1,1.824455935E2,1.477341102E2,3.433219714E-1,3.594908921E2,1.788512072E-2,4.714882751E0,3.405057661E0,-1.000000000E0
1.424946475E1,4.300159481E1,-7.879209949E1,1.824439526E2,1.477324684E2,3.700958229E-1,3.594909012E2,1.878094140E-2,4.713806724E0,3.406547109E0,-1.000000000E0
1.524944901E1,4.300159624E1,-7.879208865E1,1.824899421E2,1.477784580E2,3.339127806E-1,3.594909088E2,2.007511774E-2,4.714701255E0,3.405308960E0,-1.000000000E0
1.624943459E1,4.300159645E1,-7.879207274E1,1.826703578E2,1.479588773E2,3.669549601E-1,3.594909199E2,2.109443338E-2,4.711894643E0,3.409191385E0,-1.000000000E0
1.724942017E1,4.300159837E1,-7.879206048E1,1.825712839E2,1.478598030E2,4.168781482E-1,3.594909284E2,2.204772551E-2,4.712841816E0,3.407881901E0,-1.000000000E0
1.824940479E1,4.300160198E1,-7.879204985E1,1.826130348E2,1.479015500E2,4.359427019E-1,3.594909358E2,2.310472379E-2,4.713155985E0,3.407447387E0,-1.000000000E0
1.924938965E1,4.300160374E1,-7.879203708E1,1.824868593E2,1.477753746E2,4.151239299E-1,3.594909448E2,2.429641861E-2,4.712176201E0,3.408802206E0,-1.000000000E0
2.024937427E1,4.300160782E1,-7.879202352E1,1.823490865E2,1.476375978E2,5.686616518E-1,2.603020026E1,2.592615497E-2,4.712748367E0,3.408011130E0,-1.000000000E0
2.124935973E1,4.300160999E1,-7.879200370E1,1.823400860E2,1.476285984E2,1.019552661E0,6.607315323E1,2.696865928E-2,4.712494126E0,3.408362678E0,-1.000000000E0
2.224934435E1,4.300161292E1,-7.879199153E1,1.821626930E2,1.474512033E2,1.070531080E0,6.935277101E1,2.811829030E-2,4.711221563E0,3.410121466E0,-1.000000000E0
2.324932933E1,4.300161720E1,-7.879197866E1,1.823769998E2,1.476655055E2,1.081666391E0,7.005665923E1,2.925152781E-2,4.710235254E0,3.411483677E0,-1.000000000E0
2.424931502E1,4.300161966E1,-7.879196514E1,1.822816365E2,1.475701412E2,1.108087041E0,7.187520650E1,3.036594667E-2,4.711080383E0,3.410316504E0,-1.000000000E0
2.524929976E1,4.300162119E1,-7.879195159E1,1.820969760E2,1.473854813E2,1.130398270E0,7.331282051E1,3.143187994E-2,4.711051937E0,3.410355799E0,-1.000000000E0
2.624928451E1,4.300162441E1,-7.879193925E1,1.819577344E2,1.472462370E2,1.107931775E0,7.150633833E1,3.255267725E-2,4.710824283E0,3.410670258E0,-1.000000000E0
2.724927008E1,4.300162950E1,-7.879192735E1,1.823470147E2,1.476355112E2,1.053218253E0,6.779248988E1,3.362153183E-2,4.712011509E0,3.409029857E0,-1.000000000E0
2.824925458E1,4.300163275E1,-7.879191498E1,1.821608866E2,1.474493803E2,1.045670833E0,6.703158154E1,3.469581922E-2,4.712652356E0,3.408143895E0,-1.000000000E0
2.924923944E1,4.300163859E1,-7.879190445E1,1.820635551E2,1.473520409E2,1.087962927E0,6.502389949E1,3.577393322E-2,4.712582786E0,3.408240091E0,-1.000000000E0
3.024922478E1,4.300164394E1,-7.879189340E1,1.821258916E2,1.474143706E2,1.064922694E0,6.588474585E1,3.704349886E-2,4.712136556E0,3.408857010E0,-1.000000000E0
3.124921000E1,4.300164921E1,-7.879187955E1,1.823646072E2,1.476530801E2,1.122627950E0,6.437044877E1,3.807298762E-2,4.712570874E0,3.408256562E0,-1.000000000E0
3.224919546E1,4.300165423E1,-7.879186891E1,1.822891741E2,1.475776406E2,1.087966482E0,6.371188727E1,3.907886727E-2,4.714986999E0,3.404913308E0,-1.000000000E0
3.324917948E1,4.300165864E1,-7.879185811E1,1.820949763E2,1.473834376E2,1.014956945E0,6.111657151E1,4.027207408E-2,4.714864526E0,3.405082896E0,-1.000000000E0
3.424916577E1,4.300166401E1,-7.879184541E1,1.819844070E2,1.472728618E2,1.074512311E0,6.075939124E1,4.116273036E-2,4.715417933E0,3.404316488E0,-1.000000000E0
3.524915075E1,4.300166819E1,-7.879183606E1,1.817374654E2,1.470259151E2,9.880503646E-1,6.027912653E1,4.223652931E-2,4.715849032E0,3.403719281E0,-1.000000000E0
3.624913836E1,4.300167190E1,-7.879182387E1,1.817396202E2,1.470280663E2,9.670226542E-1,6.332544916E1,4.326104506E-2,4.715292618E0,3.404490059E0,-1.000000000E0
3.724912095E1,4.300167201E1,-7.879181128E1,1.816953985E2,1.469838475E2,9.198631799E-1,7.407647974E1,4.448328083E-2,4.713775978E0,3.406589653E0,-1.000000000E0
3.824910557E1,4.300167529E1,-7.879179693E1,1.824045479E2,1.476929946E2,1.028737260E0,7.405548204E1,4.555449003E-2,4.712219882E0,3.408741823E0,-1.000000000E0
3.924909055E1,4.300167941E1,-7.879178502E1,1.823807197E2,1.476691619E2,9.895973290E-1,7.111141469E1,4.653663154E-2,4.714493803E0,3.405596162E0,-1.000000000E0
4.024907649E1,4.300168590E1,-7.879177684E1,1.821399337E2,1.474283663E2,1.005172475E0,5.829928683E1,4.772110561E-2,4.717422638E0,3.401537989E0,-1.000000000E0
4.124906099E1,4.300169331E1,-7.879176637E1,1.823095137E2,1.475979356E2,1.065602908E0,5.102800646E1,4.888499894E-2,4.717151586E0,3.401913865E0,-1.000000000E0
4.224904573E1,4.300170095E1,-7.879175659E1,1.822882633E2,1.475766739E2,1.126958664E0,4.802138807E1,4.997589475E-2,4.717495819E0,3.401436495E0,-1.000000000E0
4.324903095E1,4.300170776E1,-7.879174693E1,1.822071069E2,1.474955076E2,1.126656387E0,4.764015011E1,5.115626686E-2,4.721426444E0,3.395978411E0,-1.000000000E0
4.424901640E1,4.300171538E1,-7.879173682E1,1.821538145E2,1.474422040E2,1.139528294E0,4.630488967E1,5.209991324E-2,4.721230742E0,3.396250479E0,-1.000000000E0
4.524900138E1,4.300171573E1,-7.879172523E1,1.820703682E2,1.473587601E2,9.613032106E-1,6.149040289E1,5.329908274E-2,4.720034967E0,3.397912144E0,-1.000000000E0
4.624898648E1,4.300171538E1,-7.879171049E1,1.820426182E2,1.473310144E2,9.828277956E-1,7.690901975E1,5.452579748E-2,4.718490647E0,3.400056330E0,-1.000000000E0
4.724897218E1,4.300171887E1,-7.879169617E1,1.817441441E2,1.470325375E2,1.057779180E0,7.328344287E1,5.560175396E-2,4.719179662E0,3.399099932E0,-1.000000000E0
4.824895728E1,4.300172618E1,-7.879168751E1,1.819520860E2,1.472404685E2,1.014029378E0,5.917023320E1,5.678419460E-2,4.718825368E0,3.399591767E0,-1.000000000E0
4.924894178E1,4.300173618E1,-7.879168255E1,1.819148272E2,1.472031928E2,1.127079933E0,4.151939155E1,5.794140068E-2,4.722462674E0,3.394537277E0,-1.000000000E0
