"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.590034485E-3,4.299741754E1,-7.878417063E1,1.755996362E2,1.408996371E2,8.000000119E-1,9.562500666E1,5.816153197E-3,4.596097466E0,3.563765580E0,-1.000000000E0
6.072280407E-1,4.299741099E1,-7.878409968E1,1.817649803E2,1.470650160E2,4.300000072E-1,2.351953125E2,6.238944433E-3,5.278737718E0,6.000000000E0,-1.000000000E0
1.725207686E0,4.299741263E1,-7.878410437E1,1.822187157E2,1.475187460E2,4.300000072E-1,2.745703125E2,6.446617758E-3,5.270842566E0,6.000000000E0,-1.000000000E0
2.725174546E0,4.299741082E1,-7.878410370E1,1.820284081E2,1.473284431E2,0.000000000E0,NaN,6.879729344E-3,4.599674081E0,6.000000000E0,-1.000000000E0
3.725142837E0,4.299740785E1,-7.878410714E1,1.826435814E2,1.479436232E2,0.000000000E0,NaN,7.182581813E-3,3.535533906E0,4.000000000E0,-1.000000000E0
4.725113034E0,4.299740823E1,-7.878411083E1,1.812274437E2,1.465274836E2,0.000000000E0,NaN,7.928422062E-3,3.535533906E0,4.000000000E0,-1.000000000E0
5.725083828E0,4.299741011E1,-7.878411963E1,1.809238548E2,1.462238877E2,6.200000048E-1,2.700000000E2,9.000525766E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.725257277E0,4.299741175E1,-7.878413262E1,1.805814476E2,1.458814730E2,6.200000048E-1,2.692968750E2,1.008663082E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.725252032E0,4.299741237E1,-7.878414595E1,1.798225365E2,1.451225569E2,7.699999809E-1,2.685937500E2,1.119097348E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.725219369E0,4.299741229E1,-7.878415952E1,1.790052147E2,1.443052319E2,8.799999952E-1,2.668359375E2,1.227486682E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.725210428E0,4.299741221E1,-7.878417285E1,1.789002953E2,1.442003093E2,9.200000167E-1,2.678906250E2,1.335335419E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.072519612E1,4.299741271E1,-7.878418610E1,1.790226097E2,1.443226191E2,9.200000167E-1,2.700000000E2,1.444597371E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.172515404E1,4.299741330E1,-7.878419951E1,1.789290428E2,1.442290473E2,9.200000167E-1,2.717578125E2,1.551198770E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.272513604E1,4.299741397E1,-7.878421258E1,1.788923607E2,1.441923601E2,9.700000286E-1,2.700000000E2,1.647939507E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.372512043E1,4.299741397E1,-7.878422448E1,1.788923608E2,1.441923572E2,9.700000286E-1,2.699999919E2,1.760794508E-2,4.596097513E0,3.563765520E0,-1.000000000E0
1.472507763E1,4.299741444E1,-7.878423834E1,1.789512597E2,1.442512514E2,1.000000000E0,2.692968666E2,1.867699449E-2,4.596097527E0,3.563765502E0,-1.000000000E0
1.572505915E1,4.299741544E1,-7.878425141E1,1.790542260E2,1.443542119E2,1.000000000E0,2.689453041E2,1.980246351E-2,4.596097541E0,3.563765484E0,-1.000000000E0
1.672504210E1,4.299741704E1,-7.878426508E1,1.791780664E2,1.444780446E2,1.000000000E0,2.692968666E2,2.093408545E-2,4.596097555E0,3.563765467E0,-1.000000000E0
1.772499919E1,4.299741798E1,-7.878427893E1,1.793856469E2,1.446856193E2,1.029999971E0,2.678906164E2,2.197950229E-2,4.596097569E0,3.563765448E0,-1.000000000E0
1.872498238E1,4.299741959E1,-7.878429160E1,1.794475366E2,1.447475016E2,1.029999971E0,2.692968664E2,2.305904651E-2,4.596097582E0,3.563765432E0,-1.000000000E0
1.972496569E1,4.299742112E1,-7.878430471E1,1.794288598E2,1.447288176E2,1.059999943E0,2.707031161E2,2.411192697E-2,4.596097595E0,3.563765415E0,-1.000000000E0
2.072492206E1,4.299742185E1,-7.878431761E1,1.794154321E2,1.447153847E2,1.059999943E0,2.699999911E2,2.516144163E-2,4.596097608E0,3.563765398E0,-1.000000000E0
2.172487640E1,4.299742266E1,-7.878433047E1,1.793352319E2,1.446351792E2,1.049999952E0,2.675390537E2,2.619603250E-2,4.596097621E0,3.563765380E0,-1.000000000E0
2.272483444E1,4.299742313E1,-7.878434318E1,1.791966821E2,1.444966250E2,1.049999952E0,2.650781163E2,2.727101411E-2,4.596097635E0,3.563765363E0,-1.000000000E0
2.372479296E1,4.299742367E1,-7.878435637E1,1.793186914E2,1.446186295E2,1.080000043E0,2.654296785E2,2.836785024E-2,4.596097648E0,3.563765346E0,-1.000000000E0
2.472475386E1,4.299742485E1,-7.878436976E1,1.792600976E2,1.445600294E2,1.110000014E0,2.675390532E2,2.954669760E-2,4.596097662E0,3.563765329E0,-1.000000000E0
2.572471678E1,4.299742644E1,-7.878438410E1,1.794888574E2,1.447887814E2,1.149999976E0,2.703515529E2,3.066202975E-2,4.596097676E0,3.563765310E0,-1.000000000E0
