"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.299764150E1,-7.879181650E1,1.801025188E2,1.454000092E2,NaN,NaN,6.870413250E-2,5.079700089E1,6.026921749E0,0.000000000E0
7.843197910E-1,4.299783282E1,-7.879261978E1,1.886585854E2,1.539553833E2,1.259999990E0,2.908999939E2,7.069369185E-2,5.536489487E0,4.657382965E0,1.400000000E1
1.251184531E0,4.299785055E1,-7.879262307E1,1.871761486E2,1.524729004E2,1.259999990E0,2.953999939E2,7.258456182E-2,3.790092468E0,3.347640514E0,1.400000000E1
2.250870780E0,4.299785299E1,-7.879264608E1,1.867932261E2,1.520899658E2,1.259999990E0,2.905000000E2,7.425331863E-2,3.790092468E0,2.576175213E0,2.800000000E1
3.250238592E0,4.299785392E1,-7.879266656E1,1.864533289E2,1.517500610E2,1.389999986E0,2.797000122E2,7.563100267E-2,3.790092468E0,2.500000000E0,3.300000000E1
4.251072498E0,4.299785732E1,-7.879268285E1,1.861864349E2,1.514831543E2,1.370000005E0,2.848999939E2,7.703880532E-2,3.790092468E0,2.500000000E0,3.300000000E1
5.250809373E0,4.299786081E1,-7.879269949E1,1.855464945E2,1.508432007E2,1.350000024E0,2.842000122E2,7.848604774E-2,3.790092468E0,2.500000000E0,2.700000000E1
6.250566091E0,4.299786395E1,-7.879271676E1,1.854814434E2,1.507781372E2,1.409999967E0,2.842999878E2,7.998144000E-2,3.790092468E0,2.500000000E0,2.800000000E1
7.251202757E0,4.299786640E1,-7.879273484E1,1.857245572E2,1.510212402E2,1.470000029E0,2.837000122E2,8.147227722E-2,3.790092468E0,2.500000000E0,2.800000000E1
8.250905569E0,4.299786857E1,-7.879275293E1,1.856411323E2,1.509378052E2,1.480000019E0,2.805000000E2,8.295673244E-2,3.790092468E0,2.500000000E0,2.800000000E1
9.250625257E0,4.299787018E1,-7.879277105E1,1.854744540E2,1.507711182E2,1.399999976E0,2.791000061E2,8.440697146E-2,3.790092468E0,2.500000000E0,3.300000000E1
1.025101843E1,4.299787118E1,-7.879278883E1,1.852852521E2,1.505819092E2,1.470000029E0,2.763999939E2,8.587954037E-2,3.790092468E0,2.500000000E0,3.300000000E1
1.125115624E1,4.299787155E1,-7.879280693E1,1.853605140E2,1.506571655E2,1.450000048E0,2.758999939E2,8.731984489E-2,3.790092468E0,2.500000000E0,3.300000000E1
1.225119864E1,4.299787163E1,-7.879282464E1,1.851833946E2,1.504800415E2,1.429999948E0,2.737000122E2,8.878249963E-2,3.790092468E0,2.500000000E0,3.300000000E1
1.325078104E1,4.299787109E1,-7.879284261E1,1.850969110E2,1.503935547E2,1.480000019E0,2.712999878E2,9.024009818E-2,3.790092468E0,2.500000000E0,3.200000000E1
1.425023864E1,4.299786983E1,-7.879286045E1,1.851537360E2,1.504503784E2,1.470000029E0,2.683999939E2,9.168825512E-2,3.790092468E0,2.500000000E0,3.200000000E1
1.525036963E1,4.299786657E1,-7.879287769E1,1.850792691E2,1.503759155E2,1.419999957E0,2.618999939E2,9.312146031E-2,3.790092468E0,2.500000000E0,3.300000000E1
1.625104572E1,4.299786312E1,-7.879289467E1,1.850134687E2,1.503101196E2,1.399999976E0,2.635000000E2,9.458328218E-2,3.790092468E0,2.500000000E0,3.200000000E1
1.725045041E1,4.299785923E1,-7.879291184E1,1.849449817E2,1.502416382E2,1.460000038E0,2.587999878E2,9.604799028E-2,3.790092468E0,2.500000000E0,2.700000000E1
