Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
2.42E-03,4.29E+01,-7.88E+01,2.06E+02,1.71E+02,NaN,NaN,0.00E+00,2.34E+01,3.24E+00,-1.00E+00
5.00E-03,4.29E+01,-7.88E+01,2.06E+02,1.71E+02,NaN,NaN,1.97E-02,2.34E+01,3.24E+00,-1.00E+00
6.25E-01,4.29E+01,-7.88E+01,2.23E+02,1.88E+02,8.10E-01,2.69E+02,2.27E-02,9.78E+00,1.20E+01,-1.00E+00
1.55E+00,4.29E+01,-7.88E+01,2.05E+02,1.71E+02,9.20E-01,2.87E+02,2.53E-02,4.32E+00,3.00E+00,-1.00E+00
2.55E+00,4.29E+01,-7.88E+01,2.08E+02,1.74E+02,9.20E-01,2.97E+02,2.71E-02,3.54E+00,3.00E+00,-1.00E+00
3.55E+00,4.29E+01,-7.88E+01,2.10E+02,1.75E+02,9.20E-01,2.98E+02,2.84E-02,3.54E+00,3.00E+00,-1.00E+00
4.55E+00,4.29E+01,-7.88E+01,2.10E+02,1.75E+02,7.50E-01,3.02E+02,2.95E-02,3.54E+00,3.00E+00,-1.00E+00
5.55E+00,4.29E+01,-7.88E+01,2.09E+02,1.75E+02,5.90E-01,2.83E+02,3.08E-02,3.54E+00,3.00E+00,-1.00E+00
6.55E+00,4.29E+01,-7.88E+01,2.10E+02,1.75E+02,7.30E-01,2.41E+02,3.19E-02,3.54E+00,3.00E+00,-1.00E+00
7.55E+00,4.29E+01,-7.88E+01,2.10E+02,1.76E+02,5.90E-01,2.21E+02,3.27E-02,3.54E+00,3.00E+00,-1.00E+00
8.55E+00,4.29E+01,-7.88E+01,2.11E+02,1.76E+02,4.20E-01,2.12E+02,3.38E-02,3.54E+00,3.00E+00,-1.00E+00
9.55E+00,4.29E+01,-7.88E+01,2.11E+02,1.76E+02,8.20E-01,2.11E+02,3.54E-02,3.54E+00,3.00E+00,-1.00E+00
1.06E+01,4.29E+01,-7.88E+01,2.12E+02,1.77E+02,1.31E+00,2.07E+02,3.73E-02,3.54E+00,3.00E+00,-1.00E+00
1.16E+01,4.29E+01,-7.88E+01,2.11E+02,1.77E+02,1.19E+00,2.05E+02,3.90E-02,3.54E+00,3.00E+00,-1.00E+00
1.26E+01,4.29E+01,-7.88E+01,2.11E+02,1.77E+02,1.19E+00,2.03E+02,4.02E-02,3.54E+00,3.00E+00,-1.00E+00
1.36E+01,4.29E+01,-7.88E+01,2.11E+02,1.77E+02,1.19E+00,2.03E+02,4.19E-02,4.60E+00,3.56E+00,-1.00E+00
1.46E+01,4.29E+01,-7.88E+01,2.11E+02,1.77E+02,1.17E+00,2.05E+02,4.33E-02,4.60E+00,3.56E+00,-1.00E+00
1.56E+01,4.29E+01,-7.88E+01,2.12E+02,1.78E+02,1.17E+00,1.94E+02,4.49E-02,4.60E+00,3.56E+00,-1.00E+00
1.66E+01,4.29E+01,-7.88E+01,2.12E+02,1.77E+02,1.17E+00,1.62E+02,4.54E-02,4.60E+00,3.56E+00,-1.00E+00
1.76E+01,4.29E+01,-7.88E+01,2.12E+02,1.77E+02,7.50E-01,1.45E+02,4.59E-02,4.60E+00,3.56E+00,-1.00E+00
1.86E+01,4.29E+01,-7.88E+01,2.12E+02,1.77E+02,2.00E-01,NaN,4.62E-02,4.60E+00,3.56E+00,-1.00E+00
1.96E+01,4.29E+01,-7.88E+01,2.11E+02,1.77E+02,2.30E-01,NaN,4.92E-02,4.60E+00,3.56E+00,-1.00E+00
2.06E+01,4.29E+01,-7.88E+01,2.10E+02,1.76E+02,1.76E+00,2.25E+01,4.94E-02,4.60E+00,3.56E+00,-1.00E+00
2.16E+01,4.29E+01,-7.88E+01,2.10E+02,1.76E+02,5.70E-01,2.11E+01,5.03E-02,4.60E+00,3.56E+00,-1.00E+00
2.26E+01,4.29E+01,-7.88E+01,2.11E+02,1.76E+02,6.00E-01,1.41E+01,5.14E-02,4.60E+00,3.56E+00,-1.00E+00
2.36E+01,4.29E+01,-7.88E+01,2.10E+02,1.76E+02,6.00E-01,1.86E+01,5.32E-02,4.60E+00,3.56E+00,-1.00E+00
2.46E+01,4.29E+01,-7.88E+01,2.10E+02,1.76E+02,9.80E-01,1.72E+01,5.44E-02,4.60E+00,3.56E+00,-1.00E+00
2.56E+01,4.29E+01,-7.88E+01,2.11E+02,1.76E+02,9.80E-01,1.90E+01,5.54E-02,4.60E+00,3.56E+00,-1.00E+00
2.66E+01,4.29E+01,-7.88E+01,2.10E+02,1.76E+02,8.40E-01,2.32E+01,5.60E-02,4.60E+00,3.56E+00,-1.00E+00
2.76E+01,4.29E+01,-7.88E+01,2.11E+02,1.76E+02,5.70E-01,2.36E+01,,4.60E+00,3.56E+00,-1.00E+00
