"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.000846100E-2,-6.354700029E-2,8.511099964E-2,2.797099948E-2,1.098384282E-1
6.501872500E-2,-1.039950028E-1,1.516579986E-1,-2.228599973E-2,1.852343783E-1
7.002971600E-2,-5.730399862E-2,2.196999965E-3,1.744689941E-1,1.836518581E-1
7.504049400E-2,-4.941000044E-2,3.899399936E-2,1.218580008E-1,1.371541194E-1
8.005132100E-2,-6.884600222E-2,4.904200137E-2,2.058990002E-1,2.225742307E-1
8.506212400E-2,-5.679500103E-2,1.606599987E-2,2.230720073E-1,2.307485838E-1
9.007290300E-2,-1.553899981E-2,6.853699684E-2,5.826999992E-2,9.129169372E-2
9.508367900E-2,-3.346300125E-2,2.240199968E-2,8.747400343E-2,9.629809614E-2
1.000945820E-1,-4.267400131E-2,6.659000367E-2,-1.323529929E-1,1.541837012E-1
1.051054470E-1,-5.129000172E-3,2.086699940E-2,2.340999898E-3,2.161523970E-2
1.101162120E-1,1.502000028E-3,7.199899852E-2,-2.152789980E-1,2.270047550E-1
1.151270300E-1,-2.096500061E-2,5.072300136E-2,-2.149409950E-1,2.218377458E-1
1.201379060E-1,-1.168799959E-2,5.993599817E-2,-1.165290028E-1,1.315596507E-1
1.251487780E-1,6.699999794E-3,7.824300230E-2,-1.858969927E-1,2.018032440E-1
1.301595570E-1,-5.492699891E-2,3.467699885E-2,2.709800005E-2,7.038303109E-2
1.351703770E-1,-5.412299931E-2,3.063100018E-2,-1.855899952E-2,6.489987434E-2
1.401812760E-1,-8.047399670E-2,2.304700017E-2,1.033120006E-1,1.329684092E-1
1.451921490E-1,-6.472100317E-2,4.340299964E-2,8.632899821E-2,1.162984289E-1
1.502029460E-1,-1.881299913E-2,2.582800016E-2,1.268289983E-1,1.307922373E-1
1.552137660E-1,-6.709799916E-2,5.260600150E-2,1.360339969E-1,1.605452622E-1
1.602246510E-1,1.416600030E-2,-3.854399920E-2,1.383589953E-1,1.443243813E-1
1.652355240E-1,-1.259499975E-2,2.058799937E-2,1.331029981E-1,1.352734558E-1
1.702463060E-1,3.629500046E-2,-6.771100312E-2,1.593089998E-1,1.768656677E-1
1.752571260E-1,2.030700073E-2,-3.276899830E-2,1.182079986E-1,1.243354835E-1
1.802680200E-1,6.645000074E-3,-2.592699975E-2,1.994269937E-1,2.012150371E-1
1.852788930E-1,1.239799988E-2,-4.677800089E-2,1.849250048E-1,1.911521624E-1
1.902896910E-1,-2.130999975E-2,-5.434799939E-2,3.403359950E-1,3.453062562E-1
1.953005110E-1,-2.951199934E-2,1.453999989E-2,2.468120009E-1,2.489950471E-1
2.003114050E-1,6.469099969E-2,-1.631290019E-1,4.192070067E-1,4.544562808E-1
2.053222780E-1,1.257499959E-2,-1.093060002E-1,4.256730080E-1,4.396628731E-1
2.103330750E-1,2.835999988E-2,-1.593250036E-1,2.241140008E-1,2.764341363E-1
2.153438950E-1,1.421499997E-2,-1.750710011E-1,3.576500118E-1,3.984538274E-1
2.203547900E-1,-3.991699964E-2,-1.476900000E-2,1.713199914E-2,4.588023121E-2
