"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.255235200E-2,8.641699702E-2,-4.660400003E-2,2.364500053E-2,1.009896838E-1
5.263970300E-2,1.863100007E-2,-4.744600132E-2,1.869470030E-1,1.937715643E-1
5.765004600E-2,-6.690999959E-3,-4.995200038E-2,2.166379988E-1,2.224230077E-1
6.266101900E-2,1.296669990E-1,-4.355299845E-2,1.940709949E-1,2.374319805E-1
6.767181000E-2,6.015900150E-2,-2.461499907E-2,1.733859926E-1,1.851693984E-1
7.268261900E-2,6.245600060E-2,-5.584999919E-3,1.871719956E-1,1.973963024E-1
7.769342400E-2,1.156509966E-1,-2.434499934E-2,1.677760035E-1,2.052233402E-1
8.270430700E-2,-5.813400075E-2,6.309399754E-2,1.287570000E-1,1.547216197E-1
8.771517800E-2,-4.028600082E-2,2.790799923E-2,1.638929993E-1,1.710635364E-1
9.272599500E-2,3.260200098E-2,4.164899886E-2,3.311499953E-2,6.240298685E-2
9.773681500E-2,-2.233099937E-2,4.304499924E-2,1.082139984E-1,1.185825237E-1
1.027477140E-1,3.215900064E-2,7.899300009E-2,-3.917999938E-2,9.385716668E-2
1.077585870E-1,3.242500126E-2,3.138399869E-2,-1.618699916E-2,4.794116209E-2
1.127694130E-1,-6.838499755E-2,6.270600110E-2,-1.136659980E-1,1.467259676E-1
1.177802330E-1,-4.546799883E-2,5.498199910E-2,-6.629499793E-2,9.739294581E-2
1.227911420E-1,7.822100073E-2,-5.136200041E-2,-1.079780012E-1,1.428839697E-1
1.278020150E-1,-1.206499990E-2,9.383999743E-3,-1.088220030E-1,1.098901816E-1
1.328128160E-1,-7.079400122E-2,-7.055900246E-2,-2.448720038E-1,2.644856550E-1
1.378236360E-1,-1.488399971E-2,-9.397900105E-2,-2.305250019E-1,2.493899809E-1
1.428346100E-1,-1.175899990E-2,-6.415999960E-3,-1.979130059E-1,1.983658163E-1
1.478455140E-1,-4.792499915E-2,-4.492700100E-2,-1.619880050E-1,1.748009003E-1
1.528562900E-1,2.546000062E-3,-2.889500000E-2,-1.887570024E-1,1.909727967E-1
1.578670830E-1,3.695999971E-3,-7.261000108E-3,-2.131869942E-1,2.133426283E-1
1.628780020E-1,-4.978499934E-2,1.199200004E-2,-3.369300067E-2,6.129904174E-2
1.678888700E-1,-2.773999982E-2,-9.176000021E-3,-9.816899896E-2,1.024248941E-1
1.728997980E-1,3.220000071E-4,4.413500056E-2,1.918699965E-2,4.812632246E-2
1.779107110E-1,-2.235000022E-2,3.381500021E-2,5.220999941E-3,4.086851587E-2
1.829215020E-1,3.060000017E-4,3.503499925E-2,5.136099830E-2,6.217312084E-2
1.879323290E-1,1.365400013E-2,4.091199860E-2,4.467799887E-2,6.209949220E-2
1.929432070E-1,-1.305299997E-2,1.271499973E-2,-1.951500028E-2,2.669994874E-2
1.979540810E-1,-2.095500007E-2,3.176499903E-2,9.553000331E-3,3.923502271E-2
2.029648780E-1,2.837399952E-2,-1.948699914E-2,2.198199928E-2,4.084158759E-2
2.079756980E-1,8.719000034E-3,2.028799988E-2,-5.003999919E-3,2.264208286E-2
2.129865930E-1,-6.829999853E-3,-1.723800041E-2,7.158900052E-2,7.395121738E-2
2.179974660E-1,2.154099941E-2,-2.894400060E-2,5.658600107E-2,6.710994966E-2
2.230082390E-1,-1.341419965E-1,3.447400033E-2,1.729670018E-1,2.215854590E-1
2.280190590E-1,-4.499600083E-2,5.535000004E-3,1.017739996E-1,1.114146459E-1
2.330299530E-1,-5.866799876E-2,-5.679999944E-3,1.615660042E-1,1.719818891E-1
2.380408260E-1,-8.814000338E-2,8.437000215E-3,1.541749984E-1,1.777913758E-1
2.430516430E-1,-1.180399954E-2,-5.068200082E-2,7.540100068E-2,9.161501250E-2
2.480624630E-1,-1.787400059E-2,-3.674200177E-2,1.248959973E-1,1.314095306E-1
2.530733670E-1,3.110899962E-2,-1.854199916E-2,3.081499971E-2,4.755144370E-2
2.580842400E-1,-1.950000005E-4,-5.067100003E-2,3.739000112E-2,6.297301369E-2
2.630950420E-1,-1.240300015E-2,-5.835900083E-2,8.440300077E-2,1.033608917E-1
2.681058620E-1,-1.369999954E-4,-2.401099913E-2,3.069199994E-2,3.896852202E-2
2.731168020E-1,-2.960800007E-2,-4.077899829E-2,1.617639959E-1,1.694318469E-1
2.781277070E-1,-2.153999917E-2,-3.058299981E-2,1.344729960E-1,1.395789314E-1
2.831385690E-1,3.530000104E-4,-2.658299915E-2,9.778399765E-2,1.013335613E-1
2.881494580E-1,-3.937099874E-2,-2.820199914E-2,1.161570027E-1,1.258486296E-1
2.931602660E-1,3.080999944E-3,-1.748600043E-2,1.261300035E-2,2.177936063E-2
2.981710880E-1,-4.800000228E-3,-1.858099923E-2,5.288099870E-2,5.625560912E-2
3.031819770E-1,6.495200098E-2,-2.217999892E-3,-8.405599743E-2,1.062501419E-1
3.081928500E-1,5.116499960E-2,-1.985299960E-2,-6.047800183E-2,8.166754241E-2
3.132036480E-1,-1.841099933E-2,3.145400062E-2,-6.818799675E-2,7.731702239E-2
3.182144680E-1,2.604899928E-2,-1.255100034E-2,-9.870699793E-2,1.028549922E-1
3.232253280E-1,2.628399990E-2,6.639699638E-2,-3.421400115E-2,7.918337991E-2
3.282362010E-1,1.874599978E-2,6.273400038E-2,-4.545899853E-2,7.970876903E-2
3.332471330E-1,6.450899690E-2,5.383599922E-2,-2.306300029E-2,8.712994592E-2
3.382580470E-1,4.142399877E-2,7.916399837E-2,-3.478999948E-3,8.941470658E-2
3.432687790E-1,7.256799936E-2,-9.955000132E-3,-4.093499854E-2,8.391001528E-2
3.482795740E-1,3.894900158E-2,3.498300165E-2,-3.658900037E-2,6.387166881E-2
3.532903490E-1,-8.557000197E-3,-6.488499790E-2,-3.147599846E-2,7.262247369E-2
3.583011530E-1,4.390500113E-2,-6.244700029E-2,-7.534399629E-2,1.072566769E-1
3.633120830E-1,1.003499981E-2,-5.317000207E-3,9.788000025E-3,1.499255338E-2
3.683229850E-1,1.644599997E-2,-1.618500054E-2,1.657499932E-2,2.841048679E-2
3.733337330E-1,-2.565800026E-2,-8.666000329E-3,-6.791599840E-2,7.311645080E-2
3.783445260E-1,3.309000051E-3,-1.436400041E-2,-1.785100065E-2,2.315020979E-2
3.833554060E-1,-6.416399777E-2,-3.988699988E-2,-9.037300199E-2,1.177933396E-1
3.883662740E-1,-4.431299865E-2,-4.196999967E-2,-8.136799932E-2,1.017146697E-1
3.933771970E-1,-4.072099924E-2,4.739699885E-2,-8.453200012E-2,1.051205704E-1
3.983881100E-1,-3.972300142E-2,1.904599927E-2,-9.612499923E-2,1.057387460E-1
4.033989250E-1,-4.501000047E-3,2.393499948E-2,-3.616299853E-2,4.359937688E-2
4.084097520E-1,-1.755700074E-2,3.134800121E-2,-7.219000161E-2,8.063709932E-2
4.134206640E-1,-7.460999768E-3,-3.905599937E-2,8.362399787E-2,9.259595360E-2
4.184315380E-1,-3.471399844E-2,-1.343599986E-2,2.749899961E-2,4.627939887E-2
4.234423400E-1,2.674400061E-2,1.680999994E-3,1.396619976E-1,1.422094965E-1
4.284531600E-1,5.404000171E-3,-1.674300060E-2,1.101299971E-1,1.115264433E-1
4.334640310E-1,-6.223699823E-2,1.719999942E-3,2.266159952E-1,2.350132158E-1
4.384749040E-1,-3.658999875E-2,2.484400012E-2,1.854300052E-1,1.906314223E-1
4.434858410E-1,-3.951900080E-2,3.315199912E-2,1.732510030E-1,1.807670228E-1
4.484967550E-1,-3.066500090E-2,1.419499982E-2,1.803539991E-1,1.834922486E-1
4.535075440E-1,-3.699700162E-2,4.676400125E-2,6.031300128E-2,8.481337197E-2
4.585183710E-1,-2.741800062E-2,2.705899999E-2,1.158280000E-1,1.220658094E-1
4.635293030E-1,-1.213280037E-1,7.171300054E-2,4.169499874E-2,1.469752083E-1
4.685401770E-1,-6.992000341E-2,5.892100185E-2,4.552499950E-2,1.021421407E-1
4.735509410E-1,-6.035099924E-2,2.998200059E-2,-1.801599935E-2,6.975485432E-2
4.785617610E-1,-1.079469994E-1,4.070200026E-2,2.360500023E-2,1.177556943E-1
