"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.092702300E-2,1.027989984E-1,9.331600368E-2,-6.961200237E-1
3.097071200E-2,3.441699967E-2,-8.970600367E-2,-1.392800063E-1
5.101433100E-2,-1.597280055E-1,-1.036560014E-1,2.013929933E-1
7.105810500E-2,-4.896999896E-2,-1.773470044E-1,1.369059980E-1
9.110178400E-2,-3.152199835E-2,-1.170900017E-1,3.947440088E-1
1.111454830E-1,-1.451199949E-1,4.736300185E-2,1.337549984E-1
1.311891880E-1,-5.885599926E-2,1.452009976E-1,-1.014069989E-1
1.512328680E-1,-1.113250032E-1,1.633380055E-1,-1.212019995E-1
1.712765440E-1,-1.341650039E-1,1.034659967E-1,8.844599873E-2
1.913202350E-1,3.102399968E-2,-2.012800053E-2,-1.379300058E-1
2.113639160E-1,-2.085099928E-2,3.853699937E-2,-1.050959975E-1
2.314076070E-1,5.939200148E-2,-8.932299912E-2,9.629900008E-2
2.514513130E-1,4.702199996E-2,-2.561140060E-1,-2.961249948E-1
2.714949910E-1,1.863739938E-1,-2.697800100E-1,4.477069974E-1
2.915389130E-1,4.406499863E-2,-3.143500164E-2,-2.186200023E-2
3.115823810E-1,1.880000054E-4,1.054480001E-1,5.538330078E-1
3.316260570E-1,7.927300036E-2,4.951899871E-2,1.246910021E-1
3.516697440E-1,-2.352260053E-1,-2.146100067E-2,3.912549913E-1
3.717136670E-1,-3.788050115E-1,1.517090052E-1,7.921019793E-1
3.917571310E-1,2.800010145E-1,-6.580299884E-2,-3.183549941E-1
4.118008260E-1,-1.845829934E-1,2.008569986E-1,-3.611600026E-2
4.318445240E-1,6.184900180E-2,-5.017599836E-2,8.744099736E-2
4.518882010E-1,2.124760002E-1,-1.610610038E-1,-2.794849873E-1
4.719321490E-1,-3.408040106E-1,4.550100118E-2,-2.685590088E-1
4.919756130E-1,-8.176500350E-2,1.193440035E-1,-3.214599937E-2
5.120193130E-1,3.929999948E-4,1.304430068E-1,2.837299928E-2
5.320630190E-1,3.400800005E-2,-4.381100088E-2,-4.898209870E-1
5.521069270E-1,-3.543300182E-2,-3.863099962E-2,-1.159960032E-1
5.721503860E-1,-2.581899986E-2,-3.596999869E-2,2.994720042E-1
5.921940760E-1,-1.724269986E-1,1.838770062E-1,8.890499920E-2
6.122379960E-1,-4.774500057E-2,1.631679982E-1,-3.067710102E-1
6.322816700E-1,1.050909981E-1,-6.885299832E-2,5.826799944E-2
6.523253620E-1,2.526659966E-1,-3.422399983E-2,-6.185900047E-2
6.723690460E-1,2.405380011E-1,-1.879619956E-1,-1.530600041E-1
6.924127230E-1,4.918980002E-1,-2.547610104E-1,1.625490040E-1
7.124561850E-1,3.260259926E-1,-3.275820017E-1,1.162159964E-1
7.325001160E-1,-1.210059971E-1,5.326899886E-2,-6.486699730E-2
7.525435740E-1,-1.650239974E-1,1.510549933E-1,3.205290139E-1
