"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.646396000E-3,2.601560056E-1,-7.915999740E-2,-1.276009977E-1
2.369034300E-2,-1.092630029E-1,1.014460027E-1,5.183999892E-3
4.373411200E-2,-1.480299979E-1,1.199479997E-1,-1.946039945E-1
6.377811200E-2,2.829100005E-2,2.287199907E-2,4.035879970E-1
8.382178000E-2,8.850599825E-2,-9.362400323E-2,6.263089776E-1
1.038657660E-1,4.735799879E-2,-2.242000075E-3,1.880919933E-1
1.239096940E-1,-4.238799959E-2,1.124029979E-1,8.027999848E-2
1.439533900E-1,-6.368999835E-3,-2.162999939E-3,5.366709828E-1
1.639971740E-1,-1.719399914E-2,-8.259999752E-2,6.665660143E-1
1.840410860E-1,-3.918499872E-2,-9.119600058E-2,7.109090090E-1
2.040850900E-1,-2.466700040E-2,-7.688900083E-2,3.491989970E-1
2.241288740E-1,-3.069000086E-3,2.148799971E-2,-3.805089891E-1
2.441728190E-1,9.244900197E-2,6.636299938E-2,-4.726819992E-1
2.642166040E-1,3.370000049E-2,1.253920048E-1,-5.870289803E-1
2.842605300E-1,9.132000059E-2,1.317439973E-1,-3.995589912E-1
3.043042720E-1,7.998800278E-2,9.846600145E-2,-2.495999932E-1
3.243481880E-1,2.471599914E-2,-3.717600182E-2,2.025900036E-2
3.443919440E-1,5.690100044E-2,-2.406450063E-1,5.541669726E-1
3.644358810E-1,-8.123099804E-2,-2.032459974E-1,5.839470029E-1
3.844796470E-1,-6.967099756E-2,-9.928800166E-2,9.152700007E-2
4.045235770E-1,-1.254000068E-1,4.158399999E-2,-1.371780038E-1
4.245673480E-1,-5.780899897E-2,2.286799997E-2,-4.209010005E-1
4.446112690E-1,-6.901499629E-2,1.028259993E-1,-6.495710015E-1
4.646550360E-1,-6.049000099E-2,7.345899940E-2,-5.514190197E-1
4.846989380E-1,1.292070001E-1,-8.922199905E-2,-3.224900067E-1
5.047427040E-1,2.400829941E-1,-1.026669964E-1,-2.882049978E-1
5.247866200E-1,8.443299681E-2,-1.128899958E-2,-3.964959979E-1
5.448304060E-1,-5.379100144E-2,6.262800097E-2,-2.106059939E-1
5.648743320E-1,-1.451310068E-1,2.959799953E-2,1.491910070E-1
5.849181030E-1,-1.461150050E-1,-3.864099830E-2,4.089570045E-1
6.049620870E-1,-2.064300030E-1,4.336500168E-2,3.049040139E-1
6.250060260E-1,-1.142650023E-1,-6.074999925E-3,8.675099909E-2
6.450497180E-1,-8.254700154E-2,3.145899996E-2,-1.964859962E-1
6.650934860E-1,9.429100156E-2,-3.500999883E-2,-5.350499973E-2
