"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.299989630E1,-7.879087550E1,2.084080477E2,NaN,NaN,1.356000061E2,4.160250092E1
0.000000000E0,4.300014220E1,-7.879150780E1,2.082087316E2,NaN,NaN,8.751999664E1,4.429747772E1
0.000000000E0,4.300027880E1,-7.879191080E1,1.902090794E2,NaN,NaN,1.496000061E2,1.000000000E2
0.000000000E0,4.299988600E1,-7.879087550E1,2.084080214E2,NaN,NaN,1.496000061E2,5.990760040E1
3.781610000E-1,4.299988600E1,-7.879087550E1,2.084080214E2,NaN,NaN,1.799309998E2,6.597380066E1
3.969000770E-1,4.299988600E1,-7.879087550E1,2.084080214E2,NaN,NaN,1.800640106E2,6.600039673E1
1.260627024E0,4.299853500E1,-7.879184167E1,1.699047997E2,9.496625066E-1,2.606300049E2,7.400000095E0,1.146999969E2
1.760627024E0,4.299846000E1,-7.879166333E1,1.867045629E2,9.095141888E-1,2.773999939E2,4.699999809E0,6.740000153E1
2.260627024E0,4.299847333E1,-7.879167833E1,1.880046008E2,7.828925252E-1,2.616199951E2,3.200000048E0,6.530000305E1
2.760627024E0,4.299848333E1,-7.879166833E1,1.873046238E2,7.818630338E-1,2.646900024E2,2.599999905E0,3.479999924E1
3.260627024E0,4.299848667E1,-7.879167500E1,1.879046340E2,1.062386632E0,2.776900024E2,2.299999952E0,3.039999962E1
4.260627024E0,4.299849000E1,-7.879169500E1,1.874046476E2,1.064960241E0,2.757500000E2,2.099999905E0,2.439999962E1
5.260627024E0,4.299849167E1,-7.879171333E1,1.879046565E2,1.178713918E0,2.812600098E2,2.099999905E0,2.550000000E1
6.260627024E0,4.299849833E1,-7.879174000E1,1.875046803E2,1.220406413E0,2.780700073E2,2.000000000E0,2.070000076E1
7.260627024E0,4.299849667E1,-7.879177333E1,1.843046845E2,1.015546918E0,2.887600098E2,1.899999976E0,1.539999962E1
9.027627024E0,4.299849833E1,-7.879179667E1,1.848046946E2,1.331071615E0,2.951600037E2,1.899999976E0,1.400000000E1
1.002762702E1,4.299850000E1,-7.879180667E1,1.850047014E2,1.304306149E0,2.942000122E2,1.899999976E0,1.489999962E1
1.102762702E1,4.299850333E1,-7.879181667E1,1.846047124E2,1.309968114E0,3.046300049E2,1.899999976E0,1.550000000E1
1.202762702E1,4.299850667E1,-7.879182500E1,1.846047231E2,1.112314701E0,3.056900024E2,1.799999952E0,1.589999962E1
1.302762702E1,4.299850833E1,-7.879183500E1,1.845047299E2,1.168419480E0,3.078399963E2,1.799999952E0,1.670000076E1
1.402762702E1,4.299851500E1,-7.879184667E1,1.842047499E2,1.254892826E0,3.175599976E2,1.700000048E0,1.720000076E1
1.502762702E1,4.299852333E1,-7.879185667E1,1.838047737E2,1.414456725E0,3.121099854E2,1.700000048E0,1.569999981E1
1.602762702E1,4.299852833E1,-7.879186833E1,1.836047894E2,1.138565540E0,3.126600037E2,1.700000048E0,1.500000000E1
1.702762702E1,4.299853667E1,-7.879187833E1,1.833048132E2,1.231215596E0,3.212300110E2,1.700000048E0,1.539999962E1
1.802762702E1,4.299854500E1,-7.879189167E1,1.831048379E2,1.264672518E0,3.291300049E2,1.700000048E0,1.400000000E1
1.902762702E1,4.299855333E1,-7.879190167E1,1.829048617E2,1.394382477E0,3.293900146E2,1.799999952E0,1.339999962E1
2.002762702E1,4.299856500E1,-7.879191167E1,1.827048941E2,1.324380279E0,3.258900146E2,1.799999952E0,1.400000000E1
2.102762702E1,4.299857333E1,-7.879192000E1,1.826049175E2,1.248716116E0,3.301099854E2,1.799999952E0,1.460000038E1
2.202762702E1,4.299858667E1,-7.879192500E1,1.827049528E2,1.254378080E0,3.441600037E2,1.799999952E0,1.319999981E1
2.302762702E1,4.299860167E1,-7.879192667E1,1.831049916E2,1.271878600E0,3.443800049E2,1.799999952E0,1.350000000E1
2.402762702E1,4.299861500E1,-7.879192833E1,1.833050261E2,1.288349748E0,3.419599915E2,1.799999952E0,1.350000000E1
2.502762702E1,4.299863000E1,-7.879193333E1,1.836050657E2,1.280114174E0,3.490499878E2,1.899999976E0,1.319999981E1
2.602762702E1,4.299864333E1,-7.879193333E1,1.839050998E2,1.292982221E0,3.445700073E2,1.899999976E0,1.310000038E1
2.702762702E1,4.299866000E1,-7.879193333E1,1.841051424E2,1.295041084E0,3.494299927E2,1.899999976E0,1.369999981E1
2.802762702E1,4.299867500E1,-7.879193667E1,1.845051815E2,1.298129439E0,3.516199951E2,1.899999976E0,1.300000000E1
2.902762702E1,4.299869333E1,-7.879193667E1,1.846052284E2,1.323865533E0,1.203999996E1,1.899999976E0,1.280000019E1
3.002762702E1,4.299870167E1,-7.879193167E1,1.853052484E2,1.277025819E0,3.462300110E2,1.899999976E0,1.260000038E1
3.102762702E1,4.299870833E1,-7.879193500E1,1.861052663E2,1.229671359E0,3.178599854E2,1.899999976E0,1.319999981E1
3.202762702E1,4.299871500E1,-7.879193667E1,1.863052838E2,1.191067219E0,3.365599976E2,1.799999952E0,1.439999962E1
