"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.299987510E1,-7.879121450E1,2.025080698E2,NaN,NaN,1.100000000E2,3.181098557E1
0.000000000E0,4.299987790E1,-7.879087900E1,2.084080016E2,NaN,NaN,1.643999939E2,9.360562134E1
0.000000000E0,4.300033810E1,-7.879216090E1,2.082092493E2,NaN,NaN,8.250000000E1,1.916532516E1
8.448069900E-1,4.300055030E1,-7.879232990E1,2.082096745E2,NaN,NaN,6.840000153E1,4.550860214E1
1.314338154E0,4.300055030E1,-7.879232990E1,2.082096745E2,NaN,NaN,7.168299866E1,4.616520309E1
1.746806990E0,4.299853333E1,-7.879147500E1,1.800047027E2,7.092872262E-1,3.487500000E2,3.400000095E0,1.810000038E1
2.246806990E0,4.299853333E1,-7.879148333E1,1.792047048E2,7.834072113E-1,3.518200073E2,2.200000048E0,1.119999981E1
2.746806990E0,4.299854000E1,-7.879148500E1,1.810047223E2,9.403975010E-1,3.496700134E2,2.000000000E0,1.030000019E1
3.246806990E0,4.299855000E1,-7.879148833E1,1.822047487E2,1.065989733E0,1.019999981E0,1.799999952E0,1.050000000E1
4.246806990E0,4.299856167E1,-7.879148167E1,1.826047768E2,1.168934226E0,3.568099976E2,1.799999952E0,1.150000000E1
5.246806990E0,4.299856667E1,-7.879148833E1,1.830047913E2,9.501771927E-1,3.473500061E2,1.700000048E0,1.260000038E1
6.587806990E0,4.299857833E1,-7.879149167E1,1.831048220E2,1.128785849E0,3.560199890E2,1.700000048E0,1.080000019E1
7.587806990E0,4.299859000E1,-7.879149000E1,1.827048514E2,1.106652737E0,1.059999943E0,1.600000024E0,9.800000191E0
8.587806990E0,4.299860167E1,-7.879148667E1,1.821048804E2,1.263128281E0,8.199999928E-1,1.600000024E0,9.699999809E0
9.587806990E0,4.299861167E1,-7.879148167E1,1.826049047E2,1.278055310E0,3.580899963E2,1.600000024E0,9.100000381E0
1.058480699E1,4.299862333E1,-7.879148167E1,1.821049345E2,1.484973669E0,3.599700012E2,1.600000024E0,8.500000000E0
1.158480699E1,4.299863667E1,-7.879148000E1,1.817049681E2,1.406735778E0,6.329999924E0,1.600000024E0,8.399999619E0
1.258480699E1,4.299865000E1,-7.879148000E1,1.816050022E2,1.160698652E0,9.520000458E0,1.600000024E0,8.500000000E0
1.358480699E1,4.299866000E1,-7.879148000E1,1.813050278E2,9.733397365E-1,2.025000000E1,1.600000024E0,8.300000191E0
1.458480699E1,4.299867000E1,-7.879147833E1,1.813050529E2,1.232759714E0,4.480000019E0,1.600000024E0,8.300000191E0
1.558480699E1,4.299868333E1,-7.879147833E1,1.813050870E2,1.716598630E0,3.593800049E2,1.600000024E0,8.600000381E0
1.658480699E1,4.299869667E1,-7.879148333E1,1.812051223E2,1.294526339E0,3.578399963E2,1.600000024E0,8.600000381E0
1.758480699E1,4.299870667E1,-7.879148500E1,1.812051483E2,1.266216636E0,1.899999976E-1,1.600000024E0,9.000000000E0
1.858480699E1,4.299871833E1,-7.879148667E1,1.810051786E2,1.292467475E0,3.557900085E2,1.700000048E0,9.199999809E0
1.958480699E1,4.299872833E1,-7.879149167E1,1.811052054E2,1.269819736E0,3.930000067E0,1.600000024E0,9.500000000E0
2.058480699E1,4.299874167E1,-7.879149167E1,1.808052395E2,1.245627761E0,3.589400024E2,1.600000024E0,9.600000381E0
2.158480699E1,4.299875333E1,-7.879149500E1,1.808052701E2,1.269819736E0,3.582999878E2,1.600000024E0,8.899999619E0
2.258480699E1,4.299876500E1,-7.879149500E1,1.809053000E2,1.273422837E0,3.587200012E2,1.700000048E0,8.699999809E0
2.358480699E1,4.299877667E1,-7.879149500E1,1.814053298E2,1.306879759E0,1.889999986E0,1.600000024E0,8.699999809E0
2.458480699E1,4.299879000E1,-7.879149667E1,1.817053643E2,1.341880798E0,1.090000033E0,1.700000048E0,8.699999809E0
