"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.905611400E-2,-3.311060667E-1,3.551898003E-1,1.505339622E0,1.581720077E0
7.405918700E-2,-2.096177787E-1,3.247876167E-1,1.109744072E0,1.175141912E0
7.906226000E-2,-6.337739527E-2,2.942614555E-1,7.260007858E-1,7.859285206E-1
8.406533200E-2,8.911386132E-2,2.207813263E-1,4.048891068E-1,4.697029520E-1
8.890210300E-2,1.840531528E-1,1.451601982E-1,9.906768799E-2,2.544827165E-1
9.390517600E-2,1.995899677E-1,7.626771927E-2,-1.694793701E-1,2.727199610E-1
9.890819700E-2,1.862067878E-1,3.426837921E-2,-4.042167664E-1,4.463613826E-1
1.039112700E-1,1.476086080E-1,9.811401367E-3,-4.891834259E-1,5.110626076E-1
1.089143430E-1,1.227009892E-1,1.933383942E-2,-5.758991241E-1,5.891427088E-1
1.139174680E-1,1.813177764E-1,6.279468536E-2,-5.282678604E-1,5.620375796E-1
1.187529370E-1,2.259064317E-1,2.852916718E-2,-5.201845169E-1,5.678376184E-1
1.237560100E-1,-6.258875132E-3,-5.659532547E-2,-4.024429321E-1,4.064511262E-1
1.287590820E-1,-2.158140093E-1,-1.908121109E-1,-1.821556091E-1,3.408307706E-1
1.337621030E-1,-2.965631187E-1,-2.275662422E-1,-5.929946899E-3,3.738599233E-1
1.387651760E-1,-2.735339105E-1,-2.088894844E-1,2.139854431E-1,4.052719911E-1
1.437682490E-1,-1.923609823E-1,-1.947021484E-1,4.403085709E-1,5.184431615E-1
1.486015300E-1,-8.678001165E-2,-1.506404877E-1,6.052303314E-1,6.297039630E-1
1.536046030E-1,-1.912617683E-2,-1.694726944E-1,6.936922073E-1,7.143498326E-1
1.586076240E-1,1.935118437E-2,-1.888432503E-1,5.483579636E-1,5.802867375E-1
1.636106970E-1,-4.459619522E-4,-1.486387253E-1,3.410911560E-1,3.720710231E-1
1.686137700E-1,-8.137226105E-3,-1.128334999E-1,8.261585236E-2,1.400820910E-1
1.736168430E-1,1.374018192E-2,-5.523252487E-2,-1.893091202E-1,1.976799620E-1
1.784494990E-1,2.706456184E-2,-1.291751862E-2,-3.851013184E-1,3.862672368E-1
1.834525720E-1,5.541744828E-2,1.278495789E-2,-4.872274399E-1,4.905355511E-1
1.884556450E-1,1.265732944E-1,6.439065933E-2,-4.759902954E-1,4.967229783E-1
1.934586660E-1,2.190236449E-1,9.252023697E-2,-3.550262451E-1,4.272879427E-1
1.984617390E-1,2.796720266E-1,7.466268539E-2,-2.156572342E-1,3.609695302E-1
2.034648120E-1,3.075313568E-1,8.628797531E-2,-9.270668030E-3,3.195420088E-1
2.083243950E-1,4.086713493E-1,7.954406738E-2,2.999792099E-1,5.131540283E-1
2.133274680E-1,4.279195070E-1,6.190156937E-2,5.258426666E-1,6.807770698E-1
2.183305410E-1,3.160145283E-1,1.102604866E-1,5.337104797E-1,6.299757401E-1
2.233335620E-1,3.019242585E-1,1.132316589E-1,3.854923248E-1,5.025773562E-1
2.283366870E-1,3.264505267E-1,1.677203178E-1,2.110042572E-1,4.233471955E-1
2.333397070E-1,3.599324822E-1,2.210273743E-1,-1.959609985E-2,4.228338906E-1
2.381078850E-1,3.521552682E-1,2.920169830E-1,-2.211275101E-1,5.081187135E-1
2.431109570E-1,2.649987936E-1,3.458800316E-1,-2.943849564E-1,5.258515564E-1
2.481140300E-1,1.141178906E-1,3.345546722E-1,-1.011934280E-1,3.676816987E-1
2.531171030E-1,-2.769096494E-1,7.131767273E-2,1.339452744E0,1.369634556E0
2.581201760E-1,-4.785126746E-1,-1.280326843E-1,1.277273178E0,1.369961138E0
2.631232490E-1,-3.639032543E-1,-1.689786911E-1,7.301797867E-1,8.331517853E-1
2.680272600E-1,-1.335798800E-1,-1.707859039E-1,5.064039230E-1,5.508687163E-1
2.730303320E-1,4.249525070E-2,-1.567049026E-1,2.911500931E-1,3.333626397E-1
