"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.239437500E-2,-1.597061157E0,-2.191500664E-1,1.178059578E0,1.996610994E0
6.739135400E-2,-1.172227979E0,-1.820077896E-1,1.047305107E0,1.582432702E0
7.238833400E-2,-2.594091892E-1,-1.007413864E-2,6.265268326E-1,6.781817512E-1
7.738531300E-2,2.330155969E-1,7.725238800E-2,2.671833038E-1,3.628375913E-1
8.238224000E-2,4.244457781E-1,7.944726944E-2,6.061649323E-2,4.360509677E-1
8.730276100E-2,4.571392834E-1,7.086277008E-3,-8.139610291E-3,4.572666542E-1
9.229974000E-2,1.731656939E-1,-6.925535202E-2,4.678440094E-2,1.922795920E-1
9.729671900E-2,-8.328280449E-1,-5.668926239E-2,3.063144684E-1,8.891820839E-1
1.022936460E-1,-3.984582126E-1,6.244945526E-2,3.447408676E-1,5.305800104E-1
1.072906250E-1,1.546813548E-1,1.907339096E-1,3.626976013E-1,4.380128945E-1
1.122876040E-1,3.391374052E-1,2.169823647E-1,3.391361237E-1,5.264112808E-1
1.171191150E-1,3.998247385E-1,1.161732674E-1,3.727989197E-1,5.588694696E-1
1.221160940E-1,4.298492372E-1,5.273151398E-2,3.769454956E-1,5.741418692E-1
1.271130730E-1,3.631323874E-1,-4.363298416E-2,2.489185333E-1,4.424131602E-1
1.321100520E-1,2.810580134E-1,-1.490244865E-1,1.217727661E-1,3.406325162E-1
1.371070320E-1,2.430162728E-1,-1.974797249E-1,3.559207916E-2,3.151538460E-1
1.421040110E-1,2.420340329E-1,-2.168226242E-1,-4.864025116E-2,3.285702322E-1
1.469705210E-1,2.649791241E-1,-1.694045067E-1,-1.863546371E-1,3.655678786E-1
1.519675000E-1,3.107337356E-1,-1.290192604E-1,-2.726211548E-1,4.330400882E-1
1.569644790E-1,3.030127883E-1,-9.931707382E-2,-3.101167679E-1,4.448067454E-1
1.619614590E-1,2.713113427E-1,-5.674886703E-2,-4.112644196E-1,4.959523177E-1
1.669584380E-1,2.001655549E-1,-7.297182083E-2,-4.403448105E-1,4.891775630E-1
1.719553650E-1,1.807557791E-1,-1.156382561E-1,-4.670753479E-1,5.140080141E-1
1.768334900E-1,1.717571616E-1,-1.332530975E-1,-4.452857971E-1,4.955162477E-1
1.818304690E-1,1.682485491E-1,-1.267213821E-1,-3.950490952E-1,4.476937240E-1
1.868274480E-1,1.747527868E-1,-1.546483040E-1,-3.843450546E-1,4.496395839E-1
1.918244270E-1,2.023795843E-1,-1.558399200E-1,-3.074502945E-1,3.997114715E-1
1.968214070E-1,1.993241608E-1,-1.244397163E-1,-2.194738388E-1,3.215340262E-1
2.018183340E-1,1.081494987E-1,-1.475834846E-1,-1.180906296E-1,2.177672974E-1
2.066521360E-1,-3.184087574E-2,-1.587171555E-1,-6.388187408E-2,1.740283616E-1
2.116491150E-1,-1.313677430E-1,-1.511578560E-1,-2.284049988E-2,2.015635626E-1
2.166460940E-1,-2.592915297E-1,-1.510496140E-1,-3.876495361E-2,3.025736354E-1
2.216430730E-1,-3.196370304E-1,-1.419572830E-1,-4.250144958E-2,3.523153057E-1
2.266400520E-1,-2.745161057E-1,-9.830379486E-2,-3.911113739E-2,2.941979086E-1
2.316370320E-1,-2.477690279E-1,-6.754922867E-2,-7.547760010E-2,2.676737896E-1
2.365376570E-1,-1.871095896E-1,-3.499889374E-2,-1.227931976E-1,2.265239291E-1
2.415346360E-1,-8.642415702E-2,-2.868080139E-2,-1.761798859E-1,1.983206380E-1
2.465316150E-1,-5.380076170E-2,-4.077529907E-2,-2.192754745E-1,2.294316471E-1
2.515285420E-1,2.003769577E-2,-8.513975143E-2,-1.914100647E-1,2.104473792E-1
2.565255210E-1,1.135585904E-1,-1.165575981E-1,-1.456975937E-1,2.184239363E-1
2.615225000E-1,1.843768358E-1,-7.220506668E-2,-8.946323395E-2,2.172833622E-1
2.663840630E-1,2.452235371E-1,-5.427837372E-3,-2.279090881E-2,2.463401512E-1
2.713810420E-1,2.425184250E-1,8.499145508E-3,7.986450195E-2,2.554716434E-1
2.763780210E-1,1.935309768E-1,3.171682358E-2,3.253555298E-2,1.987932546E-1
2.813750000E-1,1.878684759E-1,4.067993164E-2,1.420593262E-2,1.927465424E-1
2.863719790E-1,2.196846902E-1,1.109828949E-1,-6.322860718E-3,2.462083359E-1
2.913689070E-1,2.598760128E-1,1.311898232E-1,-1.183052063E-1,3.142330880E-1
2.961944270E-1,2.633916736E-1,1.536817551E-1,-1.648559570E-1,3.466565189E-1
3.011914590E-1,2.350233793E-1,1.081571579E-1,-2.037448883E-1,3.293113104E-1
3.061883860E-1,1.775509119E-1,5.407524109E-2,-1.831340790E-1,2.607423036E-1
3.111853650E-1,1.907061040E-1,2.928256989E-2,-1.370763779E-1,2.366774607E-1
3.161823440E-1,2.626040578E-1,-8.599281311E-3,-1.086368561E-1,2.843181410E-1
3.211792710E-1,3.744950294E-1,2.304029465E-2,-7.635879517E-2,3.828943038E-1
3.260577610E-1,4.816115499E-1,6.903743744E-2,-1.133737564E-1,4.995692758E-1
3.310547400E-1,6.379866004E-1,1.036205292E-1,-1.527566910E-1,6.641526353E-1
3.360516670E-1,7.202169895E-1,6.319522858E-2,-1.614055634E-1,7.407819550E-1
3.410486980E-1,7.623589635E-1,6.008148193E-4,-1.420745850E-1,7.754848405E-1
3.460456250E-1,7.882736921E-1,-2.519369125E-2,-1.492586136E-1,8.026756939E-1
3.510426040E-1,6.845556498E-1,-6.225681305E-2,-1.116313934E-1,6.963863270E-1
3.559253130E-1,5.681979656E-1,-1.512689590E-1,-3.655433655E-2,5.891243041E-1
3.609222920E-1,4.886310995E-1,-2.253723145E-1,5.183315277E-2,5.405919970E-1
3.659192710E-1,4.029459655E-1,-2.450056076E-1,1.959667206E-1,5.106820483E-1
3.709162500E-1,3.447860777E-1,-1.968765259E-1,3.360815048E-1,5.201812989E-1
3.759132290E-1,3.703890741E-1,-1.692876816E-1,4.062013626E-1,5.751920830E-1
3.809101570E-1,4.008042514E-1,-1.242613792E-1,4.192142487E-1,5.931488216E-1
3.857721360E-1,4.470031857E-1,-1.304473877E-1,3.169155121E-1,5.632617605E-1
3.907691150E-1,4.478875399E-1,-1.753835678E-1,1.978416443E-1,5.200999524E-1
3.957660940E-1,4.009906948E-1,-2.660365105E-1,3.128099442E-1,5.739503666E-1
4.007630210E-1,3.578919172E-1,-2.970182896E-1,3.510389328E-1,5.826961653E-1
4.057600000E-1,3.308546543E-1,-3.017451763E-1,3.062295914E-1,5.424864204E-1
4.107569790E-1,3.078400493E-1,-2.925119400E-1,3.000783920E-1,5.199767037E-1
4.156155210E-1,2.869113088E-1,-2.173118591E-1,2.894105911E-1,4.618452484E-1
4.206125000E-1,2.870233059E-1,-1.313276291E-1,1.820507050E-1,3.643786265E-1
4.256094790E-1,3.013495803E-1,-1.056194305E-1,1.376161575E-1,3.477143087E-1
4.306064590E-1,3.226389885E-1,-9.917068481E-2,1.008768082E-1,3.522880527E-1
4.356034380E-1,3.576193452E-1,-1.472845078E-1,9.542942047E-2,3.983605108E-1
4.406003650E-1,3.633038402E-1,-1.546387672E-1,1.066951752E-1,4.090069547E-1
4.454648440E-1,3.569003344E-1,-1.905035973E-1,1.297950745E-1,4.248720167E-1
4.504618230E-1,3.925482631E-1,-1.951875687E-1,1.645307541E-1,4.682549464E-1
4.554588020E-1,4.180892110E-1,-1.572256088E-1,2.036485672E-1,4.909085651E-1
4.604557820E-1,4.097882509E-1,-1.247315407E-1,2.472553253E-1,4.945902989E-1
4.654527610E-1,3.526138663E-1,-4.317474365E-2,2.952203751E-1,4.619043917E-1
4.704496880E-1,1.547264457E-1,5.147361755E-2,3.001031876E-1,3.415431590E-1
4.753115630E-1,6.608480215E-2,5.235481262E-2,4.424753189E-1,4.504360502E-1
4.803085420E-1,6.847721338E-2,6.673669815E-2,5.078592300E-1,5.167822686E-1
4.853055210E-1,3.365874290E-4,8.495521545E-2,4.971017838E-1,5.043091168E-1
4.903025000E-1,-1.201421022E-2,1.379060745E-1,5.294294357E-1,5.472275158E-1
4.952994270E-1,-9.494662285E-3,1.872935295E-1,5.641098022E-1,5.944652082E-1
5.002964070E-1,2.372872829E-2,2.282180786E-1,5.538797379E-1,5.995242347E-1
5.051604690E-1,9.225672483E-2,2.469940186E-1,4.776601791E-1,5.455974663E-1
5.101574480E-1,1.475526690E-1,2.412176132E-1,4.169187546E-1,5.037648013E-1
5.151544270E-1,1.164423227E-1,2.206082344E-1,3.216972351E-1,4.070822014E-1
5.201514070E-1,4.044771194E-2,1.926698685E-1,2.182617188E-1,2.939317497E-1
5.251483860E-1,-2.239125967E-2,2.147374153E-1,6.850051880E-2,2.265079405E-1
5.301453130E-1,-1.120560765E-1,2.177505493E-1,-1.462650299E-1,2.852460780E-1
5.350065630E-1,-1.781480312E-1,2.190389633E-1,-2.715797424E-1,3.917529132E-1
5.399991670E-1,-1.711704135E-1,2.207379341E-1,-3.366870880E-1,4.374731320E-1
5.449917190E-1,-2.077840567E-1,1.922211647E-1,-3.280963898E-1,4.333248566E-1
5.499842710E-1,-2.049235702E-1,1.857757568E-1,-2.772321701E-1,3.916171314E-1
5.549768230E-1,-1.560888886E-1,1.656851768E-1,-2.509422302E-1,3.388027773E-1
5.599693750E-1,-1.234018207E-1,1.796030998E-1,-2.300443649E-1,3.168685731E-1
5.648535940E-1,-9.486317635E-3,1.701683998E-1,-2.096853256E-1,2.702132682E-1
5.698461980E-1,6.130021811E-2,1.685829163E-1,-2.468585968E-1,3.051509187E-1
5.748387500E-1,7.738411427E-2,1.558632851E-1,-3.268232346E-1,3.702635432E-1
5.798313020E-1,5.071610212E-2,1.295104027E-1,-3.659791946E-1,3.915173538E-1
