"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.299778228E0,4.300835031E1,-7.878520299E1,1.755927348E2,1.408707886E2,0.000000000E0,NaN,1.106255788E-3,1.325264740E1,1.624596596E1,0.000000000E0
3.302359478E0,4.300835881E1,-7.878521006E1,1.770220732E2,1.423001099E2,0.000000000E0,NaN,1.878264823E-3,9.988903046E0,1.186451530E1,1.900000000E1
4.301075363E0,4.300835377E1,-7.878520353E1,1.781546918E2,1.434327393E2,4.199999869E-1,1.335000000E2,3.015176661E-3,7.657060623E0,8.879379272E0,2.100000000E1
5.303383123E0,4.300834785E1,-7.878519213E1,1.790141754E2,1.442922363E2,9.200000167E-1,1.353999939E2,4.858896151E-3,7.162070274E0,8.363273621E0,2.100000000E1
6.303658123E0,4.300835126E1,-7.878516994E1,1.816704260E2,1.469484863E2,1.629999995E0,1.351000061E2,7.159682846E-3,6.038466930E0,6.963728428E0,2.100000000E1
7.306344320E0,4.300834590E1,-7.878514261E1,1.828658441E2,1.481439209E2,1.440000057E0,1.103000031E2,8.089156207E-3,5.023825645E0,5.877953053E0,2.100000000E1
8.301611403E0,4.300834229E1,-7.878513230E1,1.838701075E2,1.491481934E2,1.200000048E0,1.426000061E2,8.978684099E-3,4.533445358E0,4.971400738E0,2.100000000E1
9.304051923E0,4.300833648E1,-7.878513982E1,1.833386047E2,1.486166992E2,1.269999981E0,1.488999939E2,9.869670883E-3,4.163678646E0,4.520769596E0,2.000000000E1
1.030408796E1,4.300832848E1,-7.878514044E1,1.808527506E2,1.461308594E2,1.250000000E0,1.401000061E2,1.095879830E-2,4.057490826E0,4.376595974E0,2.100000000E1
1.130092812E1,4.300832023E1,-7.878513322E1,1.810689814E2,1.463471069E2,1.519999981E0,1.318999939E2,1.231559913E-2,3.790092468E0,3.749437571E0,2.100000000E1
1.230234421E1,4.300831148E1,-7.878512159E1,1.818186576E2,1.470968018E2,1.259999990E0,1.360000000E2,1.408280823E-2,3.790092468E0,3.625281096E0,2.100000000E1
1.330120359E1,4.300830234E1,-7.878510381E1,1.825654628E2,1.478436279E2,1.299999952E0,1.303000031E2,1.568212063E-2,3.790092468E0,2.992092371E0,2.100000000E1
1.430229567E1,4.300829694E1,-7.878508558E1,1.830047796E2,1.482829590E2,1.210000038E0,1.261999969E2,1.716019104E-2,3.790092468E0,2.787568092E0,2.100000000E1
1.530383505E1,4.300828799E1,-7.878507214E1,1.813043817E2,1.465825806E2,1.250000000E0,1.288999939E2,1.866030170E-2,3.790092468E0,2.677126408E0,2.100000000E1
1.630790380E1,4.300827917E1,-7.878505818E1,1.814188642E2,1.466970825E2,1.230000019E0,1.341000061E2,2.025734127E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.730484791E1,4.300826962E1,-7.878504351E1,1.810110674E2,1.462893066E2,1.309999943E0,1.328000031E2,2.161754760E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.830349275E1,4.300826112E1,-7.878503148E1,1.799218157E2,1.452000732E2,1.279999971E0,1.241999969E2,2.300574285E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.930862880E1,4.300825268E1,-7.878501890E1,1.796484819E2,1.449267578E2,1.279999971E0,1.211999969E2,2.425697155E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.030614072E1,4.300824366E1,-7.878500970E1,1.786284438E2,1.439067383E2,1.259999990E0,1.203000031E2,2.560038680E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.130490077E1,4.300823460E1,-7.878499877E1,1.786946479E2,1.439729614E2,1.309999943E0,1.220000000E2,2.700475440E-2,3.790092468E0,2.661747217E0,2.100000000E1
2.230453478E1,4.300822863E1,-7.878498355E1,1.785732954E2,1.438516235E2,1.320000052E0,1.130000000E2,2.842594926E-2,3.790092468E0,2.721250772E0,2.100000000E1
2.330689900E1,4.300822369E1,-7.878496743E1,1.785684607E2,1.438468018E2,1.389999986E0,1.095000000E2,2.999737053E-2,3.790092468E0,2.566977501E0,2.100000000E1
2.430630176E1,4.300821849E1,-7.878494946E1,1.789654195E2,1.442437744E2,1.440000057E0,1.121999969E2,3.170894507E-2,3.790092468E0,2.723060369E0,2.100000000E1
2.530733843E1,4.300821450E1,-7.878492913E1,1.791884907E2,1.444668579E2,1.480000019E0,1.056999969E2,3.316551292E-2,3.790092468E0,2.520196199E0,2.100000000E1
2.630948676E1,4.300821154E1,-7.878491168E1,1.785421798E2,1.438205566E2,1.389999986E0,1.050000000E2,3.453308912E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.730458702E1,4.300820848E1,-7.878489539E1,1.786867014E2,1.439650879E2,1.440000057E0,1.040999985E2,3.605389751E-2,3.790092468E0,2.509676218E0,2.100000000E1
2.830532791E1,4.300820822E1,-7.878487669E1,1.787297871E2,1.440081787E2,1.490000010E0,9.380000305E1,3.761584730E-2,3.790092468E0,2.612778902E0,2.100000000E1
2.930565296E1,4.300820563E1,-7.878485781E1,1.786256518E2,1.439040527E2,1.500000000E0,1.016999969E2,3.910731352E-2,3.790092468E0,2.719576359E0,2.100000000E1
3.030923462E1,4.300820305E1,-7.878483981E1,1.780903643E2,1.433687744E2,1.480000019E0,9.950000000E1,4.048808449E-2,3.790092468E0,2.697964668E0,2.100000000E1
3.130957697E1,4.300820260E1,-7.878482284E1,1.783419462E2,1.436203613E2,1.440000057E0,9.140000153E1,4.184303780E-2,3.790092468E0,2.639359236E0,2.100000000E1
3.230417098E1,4.300820389E1,-7.878480627E1,1.783976084E2,1.436760254E2,1.419999957E0,8.909999847E1,4.320894652E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.330855212E1,4.300820674E1,-7.878478993E1,1.785953024E2,1.438737183E2,1.490000010E0,8.680000305E1,4.444342040E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.430661348E1,4.300820796E1,-7.878477484E1,1.786688482E2,1.439472656E2,1.419999957E0,8.940000153E1,4.580308094E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.530864790E1,4.300821072E1,-7.878475855E1,1.783017837E2,1.435802002E2,1.440000057E0,8.419999695E1,4.713014708E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.630814384E1,4.300821398E1,-7.878474285E1,1.788189976E2,1.440974121E2,1.440000057E0,8.240000153E1,4.859671313E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.730423722E1,4.300821766E1,-7.878472553E1,1.788692929E2,1.441477051E2,1.399999976E0,8.319999695E1,5.025809178E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.830709233E1,4.300822178E1,-7.878470589E1,1.791365684E2,1.444149780E2,1.490000010E0,7.930000305E1,5.190867178E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.930449717E1,4.300822521E1,-7.878468614E1,1.791304661E2,1.444088745E2,1.539999962E0,7.719999695E1,5.345124813E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.030635499E1,4.300822910E1,-7.878466793E1,1.787394774E2,1.440178833E2,1.590000033E0,7.440000153E1,5.484045326E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.130440858E1,4.300823125E1,-7.878465110E1,1.791619625E2,1.444403687E2,1.509999990E0,7.909999847E1,5.621960783E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.230706066E1,4.300823513E1,-7.878463499E1,1.790414210E2,1.443198242E2,1.580000043E0,6.930000305E1,5.760339701E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.330553576E1,4.300823901E1,-7.878461882E1,1.793484308E2,1.446268311E2,1.559999943E0,6.819999695E1,5.907606952E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.431832748E1,4.300824743E1,-7.878460484E1,1.791990895E2,1.444774780E2,1.509999990E0,5.350000000E1,6.049143092E-2,3.790092468E0,2.500000000E0,1.400000000E1
4.530378363E1,4.300825674E1,-7.878459297E1,1.789412909E2,1.442196655E2,1.460000038E0,4.470000076E1,6.199268574E-2,3.790092468E0,2.500000000E0,1.400000000E1
4.630402998E1,4.300826871E1,-7.878458443E1,1.791419329E2,1.444202881E2,1.509999990E0,3.129999924E1,6.345985190E-2,3.790092468E0,2.500000000E0,1.500000000E1
4.730565670E1,4.300828077E1,-7.878457711E1,1.792071995E2,1.444855347E2,1.440000057E0,3.550000000E1,6.499506818E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.831079925E1,4.300829361E1,-7.878457017E1,1.789028386E2,1.441811523E2,1.460000038E0,2.689999962E1,6.652681739E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.930832389E1,4.300830706E1,-7.878456610E1,1.792238458E2,1.445021362E2,1.529999971E0,2.300000000E1,6.804236768E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.030893446E1,4.300832045E1,-7.878456262E1,1.792022016E2,1.444804688E2,1.490000010E0,2.020000076E1,6.955563268E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.130123269E1,4.300833385E1,-7.878455937E1,1.793749545E2,1.446531982E2,1.470000029E0,1.550000000E1,7.110936273E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.230670951E1,4.300834774E1,-7.878455729E1,1.792578526E2,1.445360718E2,1.460000038E0,1.139999962E1,7.269102248E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.331113107E1,4.300836185E1,-7.878455483E1,1.792407265E2,1.445189209E2,1.440000057E0,1.210000038E1,7.426151786E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.431266894E1,4.300837593E1,-7.878455635E1,1.792098686E2,1.444880371E2,1.470000029E0,3.587999878E2,7.585071031E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.530455112E1,4.300839014E1,-7.878455426E1,1.793394713E2,1.446176147E2,1.480000019E0,1.080000019E1,7.741378194E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.631131920E1,4.300840414E1,-7.878455599E1,1.795948071E2,1.448729248E2,1.409999967E0,5.500000000E0,7.888794938E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.730815857E1,4.300841739E1,-7.878455660E1,1.793949410E2,1.446730347E2,1.460000038E0,1.500000000E0,8.021246049E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.830826972E1,4.300842911E1,-7.878455369E1,1.784884673E2,1.437665405E2,1.330000043E0,6.300000191E0,8.171638961E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.930581295E1,4.300844245E1,-7.878455674E1,1.782940952E2,1.435721436E2,1.470000029E0,3.560000000E2,8.310669183E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.030565232E1,4.300845361E1,-7.878456445E1,1.784506114E2,1.437286377E2,1.309999943E0,3.451000061E2,8.452497222E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.130957847E1,4.300846596E1,-7.878456881E1,1.782943848E2,1.435723877E2,1.340000033E0,3.482999878E2,8.616849999E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.230872430E1,4.300848047E1,-7.878457266E1,1.784730008E2,1.437509766E2,1.419999957E0,3.497999878E2,8.783433175E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.330956654E1,4.300849465E1,-7.878457927E1,1.788490046E2,1.441269531E2,1.440000057E0,3.482999878E2,8.964109810E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.430818487E1,4.300850962E1,-7.878458791E1,1.794989362E2,1.447768555E2,1.580000043E0,3.492000122E2,9.123356451E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.531029914E1,4.300852229E1,-7.878459704E1,1.794831532E2,1.447610474E2,1.470000029E0,3.388999939E2,9.264211059E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.631023070E1,4.300853191E1,-7.878460831E1,1.793014107E2,1.445792847E2,1.450000048E0,3.271000061E2,9.401108042E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.730845221E1,4.300854255E1,-7.878461678E1,1.796248573E2,1.449027100E2,1.480000019E0,3.417000122E2,9.553993624E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.830598846E1,4.300855399E1,-7.878462721E1,1.799600246E2,1.452378540E2,1.559999943E0,3.331000061E2,9.692065669E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.930862987E1,4.300856359E1,-7.878463798E1,1.802517316E2,1.455295410E2,1.509999990E0,3.290000000E2,9.823896532E-2,3.790092468E0,2.500000000E0,2.200000000E1
7.030726378E1,4.300857234E1,-7.878464892E1,1.805356246E2,1.458134155E2,1.480000019E0,3.245000000E2,9.976002994E-2,3.790092468E0,2.500000000E0,2.200000000E1
7.130922023E1,4.300858384E1,-7.878465905E1,1.803728672E2,1.456506348E2,1.399999976E0,3.257000122E2,1.015461524E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.230577226E1,4.300859528E1,-7.878467447E1,1.807403843E2,1.460181274E2,1.519999981E0,3.128999939E2,1.032543734E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.330563049E1,4.300860938E1,-7.878468281E1,1.804691716E2,1.457468872E2,1.610000014E0,3.437000122E2,1.047522305E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.430924877E1,4.300861804E1,-7.878469692E1,1.805764296E2,1.458541260E2,1.490000010E0,3.120000000E2,1.061217460E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.530855258E1,4.300862492E1,-7.878471089E1,1.808044118E2,1.460820923E2,1.299999952E0,3.123999939E2,1.076457894E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.631020737E1,4.300862848E1,-7.878472899E1,1.815655921E2,1.468432617E2,1.480000019E0,2.875000000E2,1.089984635E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.730267169E1,4.300863286E1,-7.878474451E1,1.817599398E2,1.470375977E2,1.450000048E0,2.991000061E2,1.104608787E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.830857325E1,4.300864155E1,-7.878475801E1,1.820485941E2,1.473262329E2,1.450000048E0,3.171000061E2,1.119443475E-1,3.790092468E0,2.500000000E0,2.300000000E1
7.930865638E1,4.300865207E1,-7.878476923E1,1.822940383E2,1.475716553E2,1.389999986E0,3.212999878E2,1.134188243E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.030911721E1,4.300866106E1,-7.878478256E1,1.821973781E2,1.474749756E2,1.419999957E0,3.151000061E2,1.149383323E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.130640664E1,4.300866903E1,-7.878479774E1,1.824339075E2,1.477114868E2,1.389999986E0,3.062999878E2,1.164600475E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.230811158E1,4.300867506E1,-7.878481454E1,1.832742546E2,1.485518188E2,1.440000057E0,2.972000122E2,1.179387184E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.330928424E1,4.300868545E1,-7.878482589E1,1.832430873E2,1.485206299E2,1.559999943E0,3.237999878E2,1.193898900E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.430929419E1,4.300869243E1,-7.878484097E1,1.827984625E2,1.480759888E2,1.460000038E0,3.015000000E2,1.208328676E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.531022882E1,4.300869920E1,-7.878485611E1,1.820658125E2,1.473433228E2,1.549999952E0,3.092999878E2,1.222778975E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.630690820E1,4.300870760E1,-7.878486967E1,1.825441635E2,1.478216553E2,1.470000029E0,3.073999939E2,1.236152610E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.731054570E1,4.300871622E1,-7.878488114E1,1.823423997E2,1.476198730E2,1.429999948E0,3.087999878E2,1.249545166E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.830928215E1,4.300872447E1,-7.878489314E1,1.817515363E2,1.470289917E2,1.460000038E0,2.997000122E2,1.262416212E-1,3.790092468E0,2.500000000E0,2.300000000E1
8.930699944E1,4.300873100E1,-7.878490621E1,1.823197886E2,1.475972290E2,1.299999952E0,3.018999939E2,1.276365351E-1,3.790092468E0,2.500000000E0,2.300000000E1
9.030535064E1,4.300873793E1,-7.878492051E1,1.825031543E2,1.477805786E2,1.450000048E0,3.040000000E2,1.291102108E-1,3.790092468E0,2.500000000E0,2.300000000E1
9.130890059E1,4.300874403E1,-7.878493660E1,1.824902299E2,1.477676392E2,1.440000057E0,3.020000000E2,1.307113022E-1,3.790092468E0,2.500000000E0,2.300000000E1
9.230667814E1,4.300874756E1,-7.878495569E1,1.827205266E2,1.479979248E2,1.450000048E0,2.987999878E2,1.321951694E-1,3.790092468E0,2.500000000E0,2.300000000E1
9.330906106E1,4.300875078E1,-7.878497340E1,1.826762253E2,1.479536133E2,1.429999948E0,3.026000061E2,1.338258044E-1,3.790092468E0,2.500000000E0,2.300000000E1
9.430903897E1,4.300875220E1,-7.878499336E1,1.827577148E2,1.480350952E2,1.580000043E0,2.847000122E2,1.353845911E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.530548335E1,4.300875155E1,-7.878501251E1,1.829549230E2,1.482322998E2,1.429999948E0,2.805000000E2,1.368873495E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.630828465E1,4.300875497E1,-7.878503039E1,1.831196064E2,1.483969727E2,1.480000019E0,2.902000122E2,1.384064480E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.730970022E1,4.300875447E1,-7.878504906E1,1.831109432E2,1.483883057E2,1.500000000E0,2.711000061E2,1.396745386E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.830944293E1,4.300875699E1,-7.878506427E1,1.828646136E2,1.481419678E2,1.340000033E0,2.903999939E2,1.410601726E-1,3.790092468E0,2.500000000E0,2.200000000E1
9.930469304E1,4.300875654E1,-7.878508130E1,1.825798270E2,1.478571777E2,1.450000048E0,2.746000061E2,1.426150021E-1,3.790092468E0,2.671435833E0,2.200000000E1
1.003085731E2,4.300876032E1,-7.878509971E1,1.822028243E2,1.474801636E2,1.590000033E0,2.955000000E2,1.442555836E-1,3.790092468E0,3.114764690E0,2.200000000E1
1.013102783E2,4.300875867E1,-7.878511976E1,1.823626163E2,1.476399536E2,1.600000024E0,2.657000122E2,1.457451556E-1,3.790092468E0,3.424686670E0,2.200000000E1
1.023096683E2,4.300875582E1,-7.878513766E1,1.824131527E2,1.476904907E2,1.429999948E0,2.631000061E2,1.471908779E-1,3.796118975E0,3.745353222E0,2.200000000E1
1.033093252E2,4.300875425E1,-7.878515531E1,1.826201855E2,1.478975220E2,1.330000043E0,2.653999939E2,1.481376884E-1,3.819149494E0,3.982810974E0,2.200000000E1
1.043073438E2,4.300875306E1,-7.878516684E1,1.820265583E2,1.473038940E2,1.460000038E0,2.543999939E2,1.492913372E-1,3.790092468E0,3.479572773E0,2.200000000E1
1.053081027E2,4.300874749E1,-7.878517881E1,1.818981943E2,1.471755371E2,1.370000005E0,2.465000000E2,1.505654546E-1,3.790092468E0,2.998956442E0,2.200000000E1
1.063093087E2,4.300874127E1,-7.878519197E1,1.822623221E2,1.475396729E2,1.330000043E0,2.451000061E2,1.517391332E-1,3.790092468E0,2.863308907E0,2.100000000E1
1.073064467E2,4.300873624E1,-7.878520466E1,1.823650994E2,1.476424561E2,1.350000024E0,2.503000031E2,1.529495693E-1,3.790092468E0,2.770069122E0,2.100000000E1
1.083052165E2,4.300872856E1,-7.878521521E1,1.825203616E2,1.477977295E2,1.480000019E0,2.310000000E2,1.543742315E-1,3.790092468E0,2.748327971E0,2.100000000E1
1.093054610E2,4.300871842E1,-7.878522592E1,1.824700530E2,1.477474365E2,1.409999967E0,2.260000000E2,1.558693422E-1,3.790092468E0,2.732231617E0,2.100000000E1
1.103071346E2,4.300870946E1,-7.878523963E1,1.826749352E2,1.479523315E2,1.519999981E0,2.318000031E2,1.572686849E-1,3.790092468E0,2.507378817E0,2.100000000E1
1.113036651E2,4.300870118E1,-7.878525259E1,1.828678556E2,1.481452637E2,1.269999981E0,2.341000061E2,1.589281706E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.123053481E2,4.300869217E1,-7.878526886E1,1.832546842E2,1.485321045E2,1.559999943E0,2.366999969E2,1.604197463E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.133066782E2,4.300868386E1,-7.878528326E1,1.833633764E2,1.486408081E2,1.399999976E0,2.396999969E2,1.618564699E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.143061454E2,4.300867441E1,-7.878529531E1,1.832973223E2,1.485747681E2,1.440000057E0,2.271999969E2,1.631726393E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.153069576E2,4.300866641E1,-7.878530724E1,1.826993494E2,1.479768066E2,1.340000033E0,2.341999969E2,1.645835417E-1,3.790092468E0,2.500000000E0,2.100000000E1
