"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.113073593E0,4.299866330E1,-7.877799534E1,1.949493084E2,1.602476807E2,2.700000107E-1,2.091999969E2,1.632200225E-4,9.510151863E0,1.152279949E1,0.000000000E0
1.205411875E0,4.299866235E1,-7.877799687E1,1.947585714E2,1.600569458E2,2.700000107E-1,2.091999969E2,4.253703766E-3,9.903477669E0,1.152279949E1,0.000000000E0
2.211519999E0,4.299865660E1,-7.877794719E1,1.923128044E2,1.576112061E2,0.000000000E0,NaN,5.602580254E-3,6.686899185E0,8.854441643E0,1.700000000E1
3.212126822E0,4.299864450E1,-7.877794837E1,1.902295217E2,1.555279541E2,7.699999809E-1,3.593999939E2,6.774203092E-3,5.014238834E0,6.762494087E0,2.500000000E1
4.211775623E0,4.299864113E1,-7.877793472E1,1.896455863E2,1.549440308E2,1.669999957E0,3.547000122E2,7.988739407E-3,4.507793903E0,5.969680786E0,2.500000000E1
5.212414894E0,4.299864772E1,-7.877792281E1,1.891616524E2,1.544600830E2,1.250000000E0,3.562000122E2,9.122009984E-3,4.505701542E0,5.471119404E0,2.500000000E1
6.210528279E0,4.299865787E1,-7.877792407E1,1.893170743E2,1.546154785E2,1.659999967E0,1.799999952E0,1.089821473E-2,3.962971210E0,4.617338657E0,2.500000000E1
7.211482706E0,4.299867378E1,-7.877792212E1,1.897989261E2,1.550972900E2,1.600000024E0,3.562999878E2,1.275921417E-2,3.802169085E0,4.324292660E0,2.500000000E1
8.211530570E0,4.299869026E1,-7.877792611E1,1.882159005E2,1.535142212E2,1.570000052E0,3.570000000E2,1.436505169E-2,3.790092468E0,3.905763865E0,2.500000000E1
9.209226194E0,4.299870439E1,-7.877793019E1,1.866232864E2,1.519215698E2,1.600000024E0,3.565000000E2,1.610156405E-2,3.790092468E0,3.951118469E0,2.500000000E1
1.021277781E1,4.299871995E1,-7.877793201E1,1.856904044E2,1.509886475E2,1.610000014E0,3.582000122E2,1.783983158E-2,3.790092468E0,3.845556021E0,2.500000000E1
1.121167713E1,4.299873555E1,-7.877793339E1,1.850182035E2,1.503164062E2,1.639999986E0,3.571000061E2,1.969033909E-2,3.790092468E0,3.603609324E0,2.500000000E1
1.221247104E1,4.299875217E1,-7.877793222E1,1.853814050E2,1.506795654E2,1.700000048E0,3.581000061E2,2.158313369E-2,3.790092468E0,3.433015585E0,2.600000000E1
1.321746338E1,4.299876915E1,-7.877793058E1,1.854236234E2,1.507217407E2,1.690000057E0,3.587999878E2,2.344137164E-2,3.790092468E0,3.219189167E0,2.600000000E1
1.421124708E1,4.299878582E1,-7.877792897E1,1.848241174E2,1.501221924E2,1.769999981E0,3.593999939E2,2.528869243E-2,3.790092468E0,3.186254025E0,2.600000000E1
1.521379473E1,4.299880239E1,-7.877792733E1,1.858748187E2,1.511728516E2,1.700000048E0,0.000000000E0,2.707351018E-2,3.790092468E0,2.930823088E0,2.600000000E1
1.621360176E1,4.299881808E1,-7.877792270E1,1.854073284E2,1.507053223E2,1.720000029E0,6.999999881E-1,2.898072447E-2,3.790092468E0,3.010039330E0,2.600000000E1
1.721583994E1,4.299883404E1,-7.877791411E1,1.864007754E2,1.516987305E2,1.629999995E0,1.700000048E0,3.071822735E-2,3.790092468E0,2.882101059E0,2.600000000E1
1.821420702E1,4.299884953E1,-7.877791130E1,1.863983730E2,1.516962891E2,1.649999976E0,3.577000122E2,3.250604981E-2,3.790092468E0,2.827836514E0,2.600000000E1
1.921521166E1,4.299886555E1,-7.877790943E1,1.866363286E2,1.519342041E2,1.620000005E0,6.999999881E-1,3.428117393E-2,3.790092468E0,2.800822258E0,2.500000000E1
2.021114182E1,4.299888097E1,-7.877790378E1,1.872375020E2,1.525353394E2,1.690000057E0,3.299999952E0,3.607230990E-2,3.790092468E0,3.026464462E0,2.500000000E1
2.120941171E1,4.299889699E1,-7.877790148E1,1.875451597E2,1.528429565E2,1.730000019E0,1.399999976E0,3.791235480E-2,3.790092468E0,2.939717531E0,2.500000000E1
2.221336249E1,4.299891353E1,-7.877790078E1,1.880144402E2,1.533121948E2,1.799999952E0,3.587000122E2,3.960759936E-2,3.790092468E0,2.933511734E0,2.500000000E1
2.321205030E1,4.299892877E1,-7.877790135E1,1.880243671E2,1.533220825E2,1.730000019E0,3.565000000E2,4.137818421E-2,3.790092468E0,3.051866770E0,2.500000000E1
2.421164957E1,4.299894469E1,-7.877790179E1,1.881967103E2,1.534943848E2,1.730000019E0,3.596000061E2,4.324624854E-2,3.790092468E0,3.002421141E0,1.500000000E1
2.521021598E1,4.299896146E1,-7.877790042E1,1.885882324E2,1.538858643E2,1.779999971E0,3.596000061E2,4.505237715E-2,3.790092468E0,3.025507689E0,1.600000000E1
2.621456082E1,4.299897770E1,-7.877790000E1,1.887526416E2,1.540502319E2,1.789999962E0,1.399999976E0,4.696855585E-2,3.790092468E0,2.988123417E0,1.600000000E1
2.721417942E1,4.299899493E1,-7.877790041E1,1.888237919E2,1.541213379E2,1.769999981E0,8.999999762E-1,4.873231883E-2,3.790092468E0,2.831686735E0,1.600000000E1
2.821500223E1,4.299901078E1,-7.877790125E1,1.882248337E2,1.535223389E2,1.789999962E0,3.587000122E2,5.039683059E-2,3.790092468E0,2.865895987E0,1.700000000E1
2.921301046E1,4.299902570E1,-7.877790291E1,1.879868963E2,1.532843628E2,1.740000010E0,3.592999878E2,5.216537090E-2,3.790092468E0,2.840122938E0,1.700000000E1
3.021262197E1,4.299904159E1,-7.877790385E1,1.883029163E2,1.536003418E2,1.720000029E0,3.592000122E2,5.387111750E-2,3.790092468E0,2.936542273E0,1.700000000E1
3.121386978E1,4.299905681E1,-7.877790123E1,1.884422979E2,1.537396851E2,1.690000057E0,4.500000000E0,5.561791017E-2,3.790092468E0,2.912023544E0,1.700000000E1
3.221509624E1,4.299907218E1,-7.877789679E1,1.881067649E2,1.534041138E2,1.639999986E0,6.300000191E0,5.730241932E-2,3.790092468E0,2.997972250E0,1.600000000E1
3.321300405E1,4.299908732E1,-7.877789607E1,1.883130413E2,1.536103516E2,1.629999995E0,1.500000000E0,5.897304243E-2,3.790092468E0,2.920759439E0,1.700000000E1
3.421506348E1,4.299910234E1,-7.877789656E1,1.888435975E2,1.541408691E2,1.580000043E0,3.582000122E2,6.073103723E-2,3.790092468E0,2.669450760E0,1.600000000E1
3.521370332E1,4.299911815E1,-7.877789660E1,1.896808573E2,1.549780884E2,1.710000038E0,2.000000000E0,6.251512458E-2,3.790092468E0,2.726901293E0,2.500000000E1
3.621211952E1,4.299913419E1,-7.877789607E1,1.899023949E2,1.551995850E2,1.710000038E0,8.000000119E-1,6.434512492E-2,3.790092468E0,2.810610056E0,2.700000000E1
3.721258436E1,4.299915061E1,-7.877789759E1,1.898312704E2,1.551284180E2,1.710000038E0,3.591000061E2,6.623791486E-2,3.790092468E0,2.794510365E0,2.700000000E1
3.821173624E1,4.299916763E1,-7.877789721E1,1.896786040E2,1.549757080E2,1.809999943E0,2.799999952E0,6.799972235E-2,3.790092468E0,2.702872753E0,2.700000000E1
3.921038759E1,4.299918341E1,-7.877789916E1,1.897742260E2,1.550712891E2,1.769999981E0,3.571000061E2,6.970657145E-2,3.790092468E0,2.768696547E0,2.700000000E1
4.021228186E1,4.299919876E1,-7.877789922E1,1.899515114E2,1.552485352E2,1.769999981E0,5.000000000E-1,7.160075715E-2,3.790092468E0,2.825970888E0,2.700000000E1
4.121255035E1,4.299921573E1,-7.877790125E1,1.902960379E2,1.555930176E2,1.850000024E0,3.551000061E2,7.336125065E-2,3.790092468E0,2.878129721E0,2.600000000E1
4.221692498E1,4.299923155E1,-7.877790039E1,1.903615689E2,1.556585083E2,1.769999981E0,3.597999878E2,7.499603700E-2,3.790092468E0,3.031145811E0,2.600000000E1
4.321633373E1,4.299924617E1,-7.877789827E1,1.890477021E2,1.543446045E2,1.769999981E0,3.597999878E2,7.682811132E-2,3.790092468E0,3.254566669E0,2.600000000E1
