"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.140241000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.615694100E-2,-3.617661595E-1,-2.423565984E-1,3.542566299E-1,5.613459137E-1
6.091147300E-2,-2.844312191E-1,-3.096939027E-1,9.421110153E-1,1.031690165E0
6.566600400E-2,3.367150128E-1,-2.801092267E-1,1.637972832E0,1.695521506E0
7.042053500E-2,8.325842023E-1,-2.655892372E-1,1.865941048E0,2.060453855E0
7.517506600E-2,5.252858400E-1,-3.304349780E-1,1.607204437E0,1.722851877E0
7.992959800E-2,-1.127652600E-1,-5.402076244E-1,1.222120285E0,1.340939325E0
8.468412900E-2,-2.670095563E-1,-3.138042092E-1,1.023791313E0,1.103592243E0
8.943866000E-2,2.595525980E-2,-4.689243734E-1,8.231449127E-1,9.476978901E-1
9.419319100E-2,3.303534687E-1,-3.607678115E-1,8.486928940E-1,9.795746303E-1
9.894767100E-2,3.103232682E-1,-2.778265476E-1,8.170471191E-1,9.170900262E-1
1.037022020E-1,3.594458848E-2,-2.463926077E-1,7.725486755E-1,8.116851524E-1
1.084567330E-1,-6.407927722E-2,-1.968394518E-1,5.796575546E-1,6.155118229E-1
1.132112640E-1,-9.801601060E-3,-1.416927576E-1,2.259140015E-1,2.668521032E-1
1.179657960E-1,1.101932079E-1,-4.800885916E-2,-3.396320343E-2,1.249035340E-1
1.227203270E-1,1.567897499E-1,8.868861198E-2,-3.092136383E-1,3.578571917E-1
1.274748580E-1,9.600682557E-2,1.809239089E-1,-5.806760788E-1,6.157397826E-1
1.322293890E-1,-9.231765568E-2,1.684674472E-1,-9.293422699E-1,9.489894019E-1
1.369839210E-1,-1.287953556E-1,5.484039187E-1,-1.271390915E0,1.390600575E0
1.417384520E-1,5.648906901E-2,5.792301893E-1,-1.592777252E0,1.695770622E0
1.464929830E-1,2.382958233E-1,6.436051130E-1,-1.786329269E0,1.913631286E0
1.512474620E-1,2.377765477E-1,7.066037059E-1,-2.022947311E0,2.155955080E0
1.560019940E-1,7.568697631E-2,6.173599958E-1,-2.175472260E0,2.262640368E0
1.607565250E-1,-1.450837255E-1,5.166441798E-1,-2.027401924E0,2.097219363E0
1.655110560E-1,-2.146466970E-1,4.747196734E-1,-1.691053391E0,1.769489628E0
1.702655870E-1,-1.335165650E-2,3.543124795E-1,-1.248300552E0,1.297678646E0
1.750201190E-1,1.983702183E-1,2.116968930E-1,-7.315473557E-1,7.869738570E-1
1.797746500E-1,1.465848535E-1,8.928211778E-2,-2.827138901E-1,3.307348779E-1
1.845291810E-1,2.102771401E-2,-1.554043591E-2,2.085590363E-2,3.344605539E-2
1.892837120E-1,-8.316053450E-2,-1.002368033E-1,2.981424332E-1,3.253490459E-1
1.940381910E-1,-9.612116963E-3,-1.573819071E-1,5.366840363E-1,5.593667958E-1
1.987927230E-1,1.171750575E-1,-1.932370067E-1,6.500015259E-1,6.881660544E-1
2.035472540E-1,1.740740091E-1,-2.436258495E-1,6.954460144E-1,7.571660809E-1
2.083017850E-1,6.768666208E-2,-2.315645814E-1,6.518077850E-1,6.950230415E-1
2.130563160E-1,-2.899387665E-2,-2.308870405E-1,6.215219498E-1,6.636557876E-1
2.178108480E-1,-6.122895330E-2,-2.129460424E-1,5.273370743E-1,5.719959717E-1
2.225653790E-1,2.797021344E-2,-1.498241723E-1,4.500122070E-1,4.751216706E-1
2.273199100E-1,1.269280016E-1,-6.983941793E-2,2.910823822E-1,3.251418385E-1
2.320744410E-1,1.121294871E-1,-4.000297189E-2,7.108592987E-2,1.386595437E-1
2.368289210E-1,5.109096318E-2,3.067107499E-2,-8.967113495E-2,1.076657504E-1
2.415834520E-1,4.525333643E-4,1.235202700E-1,-3.049278259E-1,3.289961108E-1
2.463379830E-1,5.116782337E-2,1.524691284E-1,-4.754657745E-1,5.019289631E-1
2.510925140E-1,9.623052925E-2,2.110138535E-1,-6.305685043E-1,6.718659091E-1
2.558470460E-1,6.137751788E-2,2.920382917E-1,-7.894611359E-1,8.439801233E-1
2.606015770E-1,-1.899620146E-2,2.806713283E-1,-8.843212128E-1,9.279877464E-1
2.653561080E-1,-1.024608836E-1,2.727189660E-1,-8.440160751E-1,8.928812923E-1
2.701106390E-1,-1.308814436E-1,2.349052131E-1,-8.189840317E-1,8.620007283E-1
2.748651710E-1,-4.890563339E-2,1.884132624E-1,-7.057342529E-1,7.320875318E-1
2.796197020E-1,3.397969902E-2,1.490973979E-1,-5.223779678E-1,5.443008316E-1
2.843741810E-1,4.764012992E-2,8.553089201E-2,-3.405523300E-1,3.543458832E-1
2.891287120E-1,4.705383629E-2,6.780713797E-3,-1.553821564E-1,1.624920186E-1
2.938832440E-1,4.391992092E-2,-1.478907466E-2,6.607913971E-2,8.071015356E-2
2.986377750E-1,5.243398994E-2,-6.710931659E-3,2.176008224E-1,2.239296270E-1
3.033923060E-1,8.442053944E-2,-7.326142490E-2,2.183341980E-1,2.452832768E-1
3.081468370E-1,6.669357419E-2,-9.098668396E-2,2.473068237E-1,2.718221377E-1
3.129013690E-1,4.745192826E-3,-9.142436087E-2,2.405414581E-1,2.573735101E-1
3.176559000E-1,-8.213056624E-2,-8.179077506E-2,1.821956635E-1,2.159407803E-1
3.224104310E-1,-1.114982069E-1,-3.381903470E-2,1.625375748E-1,1.999851006E-1
3.271649620E-1,-5.825797841E-2,-4.211261868E-3,1.197090149E-1,1.331990053E-1
3.319194410E-1,-8.102793247E-3,6.677657366E-4,3.995037079E-2,4.076926901E-2
3.366739730E-1,2.253177017E-2,2.648672462E-2,-8.087921143E-2,8.803791279E-2
3.414285040E-1,3.298707306E-3,7.573968172E-2,-1.597318649E-1,1.768096421E-1
