"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.893177000E-3,4.300205270E1,-7.879175710E1,1.777122390E2,1.430000153E2,NaN,NaN,4.628416221E-2,1.451430054E2,1.135085983E2,0.000000000E0
1.161825780E0,4.300223812E1,-7.879226667E1,1.812789702E2,1.465662842E2,1.000000000E0,1.843999939E2,4.927224118E-2,7.256251812E0,8.800463676E0,0.000000000E0
1.777884322E0,4.300225125E1,-7.879229873E1,1.797832744E2,1.450705566E2,0.000000000E0,NaN,5.175469220E-2,4.339492321E0,5.563812733E0,1.600000000E1
2.767909165E0,4.300222893E1,-7.879229939E1,1.810395820E2,1.463269043E2,1.399999976E0,1.781999969E2,5.419175733E-2,3.790092468E0,3.881858587E0,2.000000000E1
3.790339529E0,4.300221126E1,-7.879231712E1,1.815739784E2,1.468613281E2,1.440000057E0,1.785000000E2,5.616592451E-2,3.790092468E0,2.718941212E0,2.000000000E1
4.783432602E0,4.300219502E1,-7.879232693E1,1.811209487E2,1.464083252E2,1.440000057E0,1.766999969E2,5.788557126E-2,3.790092468E0,2.500000000E0,2.000000000E1
5.779201195E0,4.300218015E1,-7.879233274E1,1.810115483E2,1.462989502E2,1.350000024E0,1.795000000E2,5.930987849E-2,3.790092468E0,2.500000000E0,2.000000000E1
6.778078903E0,4.300216737E1,-7.879233392E1,1.806365256E2,1.459239502E2,1.429999948E0,1.846999969E2,6.096763278E-2,3.790092468E0,2.500000000E0,2.000000000E1
7.790411351E0,4.300215247E1,-7.879233461E1,1.806308837E2,1.459183350E2,1.460000038E0,1.793000031E2,6.253156042E-2,3.790092468E0,2.500000000E0,2.000000000E1
8.784316090E0,4.300213848E1,-7.879233263E1,1.808972764E2,1.461847534E2,1.509999990E0,1.708000031E2,6.416537276E-2,3.790092468E0,2.500000000E0,2.000000000E1
9.790682756E0,4.300212383E1,-7.879233109E1,1.809629845E2,1.462504883E2,1.570000052E0,1.793000031E2,6.555033083E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.078127031E1,4.300211141E1,-7.879232981E1,1.808052469E2,1.460927734E2,1.529999971E0,1.818000031E2,6.699523723E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.178863041E1,4.300209842E1,-7.879232935E1,1.810511951E2,1.463387451E2,1.539999962E0,1.793999939E2,6.847586138E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.278783630E1,4.300208514E1,-7.879232802E1,1.812665028E2,1.465540771E2,1.500000000E0,1.813000031E2,6.989326360E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.378193640E1,4.300207241E1,-7.879232712E1,1.811328127E2,1.464204102E2,1.379999995E0,1.761999969E2,7.091066089E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.479060177E1,4.300206328E1,-7.879232630E1,1.811669757E2,1.464545898E2,8.899999857E-1,1.780000000E2,7.166352477E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.579008760E1,4.300205651E1,-7.879232617E1,1.811235064E2,1.464111328E2,7.599999905E-1,1.778999939E2,7.244310979E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.678283494E1,4.300204950E1,-7.879232601E1,1.810224805E2,1.463101196E2,9.200000167E-1,1.778000031E2,7.364968437E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.779009161E1,4.300203865E1,-7.879232581E1,1.811854248E2,1.464730835E2,1.529999971E0,1.793000031E2,7.515891591E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.879283103E1,4.300202508E1,-7.879232619E1,1.809993042E2,1.462869873E2,1.580000043E0,1.798999939E2,7.623613710E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.979090239E1,4.300201541E1,-7.879232539E1,1.802846260E2,1.455723267E2,7.200000286E-1,1.755000000E2,7.728336922E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.079046312E1,4.300200930E1,-7.879231559E1,1.814672907E2,1.467550049E2,1.629999995E0,1.320000000E2,7.887960962E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.178059843E1,4.300200642E1,-7.879229636E1,1.808964189E2,1.461841431E2,1.639999986E0,9.400000000E1,8.052826520E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.278912645E1,4.300200830E1,-7.879227625E1,1.808779236E2,1.461656494E2,1.490000010E0,8.669999695E1,8.212606012E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.379261515E1,4.300200966E1,-7.879225669E1,1.810177526E2,1.463054810E2,1.519999981E0,9.319999695E1,8.371103871E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.479035562E1,4.300201013E1,-7.879223721E1,1.807583492E2,1.460460815E2,1.500000000E0,9.340000153E1,8.520717774E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.578928384E1,4.300200973E1,-7.879221882E1,1.805748111E2,1.458625488E2,1.450000048E0,9.430000305E1,8.660198474E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.679072020E1,4.300200926E1,-7.879220168E1,1.807229993E2,1.460107422E2,1.440000057E0,9.240000153E1,8.801381485E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.779067488E1,4.300200942E1,-7.879218432E1,1.808432955E2,1.461310425E2,1.419999957E0,9.109999847E1,8.942766481E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.879032989E1,4.300200976E1,-7.879216694E1,1.811647640E2,1.464525146E2,1.429999948E0,8.959999847E1,9.080855681E-2,3.790092468E0,2.500000000E0,2.000000000E1
2.979043301E1,4.300200989E1,-7.879214996E1,1.811392472E2,1.464270020E2,1.409999967E0,9.019999695E1,9.229428655E-2,3.790092468E0,2.500000000E0,2.000000000E1
3.079335218E1,4.300200984E1,-7.879213169E1,1.810246185E2,1.463123779E2,1.490000010E0,9.369999695E1,9.377796677E-2,3.790092468E0,2.500000000E0,2.000000000E1
3.178203092E1,4.300201015E1,-7.879211345E1,1.810132009E2,1.463009644E2,1.529999971E0,9.109999847E1,9.514674813E-2,3.790092468E0,2.500000000E0,2.000000000E1
3.278070452E1,4.300200996E1,-7.879209662E1,1.808618292E2,1.461495972E2,1.360000014E0,9.150000000E1,9.654987375E-2,3.790092468E0,2.500000000E0,2.000000000E1
3.379279244E1,4.300200929E1,-7.879207939E1,1.807503124E2,1.460380859E2,1.409999967E0,9.140000153E1,9.799523276E-2,3.790092468E0,2.500000000E0,2.000000000E1
3.479200598E1,4.300200878E1,-7.879206163E1,1.806039447E2,1.458917236E2,1.450000048E0,9.109999847E1,9.944796879E-2,3.790092468E0,2.500000000E0,2.000000000E1
3.579018160E1,4.300200849E1,-7.879204377E1,1.804468962E2,1.457346802E2,1.409999967E0,9.009999847E1,1.008673232E-1,3.790092468E0,2.500000000E0,2.000000000E1
3.678628613E1,4.300200822E1,-7.879202632E1,1.803037639E2,1.455915527E2,1.399999976E0,8.909999847E1,1.022963093E-1,3.790092468E0,2.500000000E0,2.000000000E1
3.777628519E1,4.300200801E1,-7.879200875E1,1.805881830E2,1.458759766E2,1.409999967E0,8.990000153E1,1.036816206E-1,3.790092468E0,2.500000000E0,2.000000000E1
3.879464150E1,4.300200770E1,-7.879199172E1,1.805397772E2,1.458275757E2,1.450000048E0,8.940000153E1,1.050921776E-1,3.790092468E0,2.500000000E0,2.000000000E1
3.979298519E1,4.300200716E1,-7.879197439E1,1.805309829E2,1.458187866E2,1.470000029E0,9.000000000E1,1.065015169E-1,3.790092468E0,2.500000000E0,2.000000000E1
