"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.551063600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.026522000E-2,4.136487469E-2,5.159245431E-2,-1.736335754E-1,1.857994960E-1
5.501975100E-2,7.344826311E-2,8.697245270E-2,-2.546472549E-1,2.789338261E-1
5.977428200E-2,7.657308131E-2,9.374887496E-2,-2.161264420E-1,2.477154159E-1
6.452886500E-2,5.001533777E-2,7.054895163E-2,-1.020202637E-1,1.337416270E-1
6.928339700E-2,3.806311637E-2,1.916744560E-2,5.067253113E-2,6.621100520E-2
7.403798000E-2,4.328750074E-3,-3.854527324E-2,2.445631027E-1,2.476198445E-1
7.879251100E-2,-6.275489181E-2,-8.832877874E-2,4.025487900E-1,4.168760942E-1
8.354709500E-2,-1.129626483E-1,-1.307152361E-1,4.238033295E-1,4.576639541E-1
8.830162600E-2,-1.060999930E-1,-1.285178363E-1,4.352893829E-1,4.661018018E-1
9.305615700E-2,-5.978731066E-2,-1.092387289E-1,3.543472290E-1,3.755923070E-1
9.781074000E-2,-2.444245107E-2,-9.080897272E-2,2.150611877E-1,2.347232784E-1
1.025652720E-1,-1.624552533E-2,-6.335936487E-2,5.263233185E-2,8.395527717E-2
1.073198550E-1,1.133051515E-2,-1.109300554E-2,-6.230354309E-2,6.428971012E-2
1.120743860E-1,4.385504872E-2,2.712698281E-2,-1.274280548E-1,1.374665328E-1
1.168289180E-1,4.779816046E-2,5.473837256E-3,-1.015024185E-1,1.123270582E-1
1.215835010E-1,4.059115425E-2,1.425862312E-3,-4.369354248E-2,5.965568322E-2
1.263380320E-1,1.815170795E-2,-2.255369723E-2,4.919528961E-2,5.708178589E-2
1.310926150E-1,-1.220346242E-2,-3.867147863E-2,1.577587128E-1,1.628871364E-1
1.358471470E-1,-3.205854446E-2,-3.854933381E-2,2.317581177E-1,2.371194351E-1
1.406017300E-1,-7.838183641E-2,-2.308589220E-2,2.526416779E-1,2.655268124E-1
1.453562610E-1,-9.317839146E-2,-2.930083871E-2,2.091569901E-1,2.308406339E-1
1.501107930E-1,-8.473531902E-2,-1.717884839E-2,1.748628616E-1,1.950697503E-1
1.548653760E-1,-6.530491263E-2,5.821868777E-3,1.331501007E-1,1.484168962E-1
1.596199070E-1,-4.662810266E-2,5.251169205E-4,6.576061249E-2,8.061584125E-2
1.643744380E-1,-3.559465334E-2,2.670362592E-3,-2.655029297E-2,4.448627023E-2
1.691290220E-1,-3.885515407E-2,-3.184255958E-2,-5.553531647E-2,7.488553247E-2
1.738835530E-1,-1.437658444E-2,-2.344572544E-2,-7.201290131E-2,7.708596614E-2
1.786381360E-1,4.385671392E-2,-1.531314850E-2,-7.111549377E-3,4.699444656E-2
1.833926680E-1,7.480046898E-2,-3.537997603E-2,4.404449463E-2,9.373777452E-2
1.881472510E-1,1.164402813E-1,-2.720321715E-2,3.799152374E-2,1.254659715E-1
1.929017820E-1,8.729329705E-2,-2.649079263E-2,2.752494812E-2,9.528643436E-2
1.976563130E-1,4.518611729E-2,-1.200780272E-2,4.757976532E-2,6.670687064E-2
2.024108970E-1,2.527208626E-2,-2.822549641E-2,2.526092529E-2,4.553538556E-2
2.071654280E-1,-1.271246560E-2,-2.528712153E-2,4.081535339E-2,4.966828334E-2
2.119200110E-1,-3.324739262E-2,-1.302896440E-2,6.062698364E-2,7.036173801E-2
2.166745430E-1,-6.950283051E-2,-7.988557220E-3,4.268360138E-2,8.195334234E-2
2.214291260E-1,-1.002772748E-1,6.321564317E-3,2.291393280E-2,1.030560156E-1
2.261836570E-1,-7.679061592E-2,3.968387842E-3,5.265426636E-2,9.319344698E-2
2.309381880E-1,-3.060032800E-2,-1.002280414E-2,1.073627472E-1,1.120874487E-1
2.356927720E-1,4.854984581E-4,4.293307662E-3,9.773731232E-2,9.783276761E-2
2.404473030E-1,1.680889353E-2,4.080131650E-3,1.070938110E-1,1.084816608E-1
2.452018860E-1,3.048110008E-2,6.156638265E-3,7.653903961E-2,8.261492747E-2
2.499564180E-1,8.735075593E-3,8.189141750E-3,5.841732025E-2,5.963176078E-2
2.547109490E-1,2.027750015E-2,-1.554103196E-2,2.902507782E-2,3.866724491E-2
2.594655320E-1,8.215915412E-3,-2.459789813E-2,-9.078979492E-3,2.747700360E-2
2.642200630E-1,-8.271463215E-3,-2.867475152E-2,-3.231525421E-2,4.398788621E-2
2.689746470E-1,-1.741576381E-2,-2.799142897E-2,-5.853652954E-3,3.348274448E-2
2.737291780E-1,-2.635281906E-2,-1.323458552E-2,-5.732536316E-3,3.004142638E-2
2.784837610E-1,-3.043026105E-2,-5.845338106E-3,6.007766724E-2,6.759803892E-2
2.832382930E-1,-2.038403600E-2,8.297339082E-3,3.777408600E-2,4.371768901E-2
2.879928240E-1,-1.995929703E-2,-8.381783962E-3,-1.226329803E-2,2.488003857E-2
2.927474070E-1,-1.488091238E-2,1.060575247E-3,-2.612590790E-2,3.008536914E-2
2.975019380E-1,4.197284579E-3,-6.119802594E-3,-1.859569550E-2,2.002171503E-2
3.022565220E-1,2.525121719E-2,1.979258657E-2,-8.855819702E-3,3.328356944E-2
3.070110530E-1,7.180349529E-2,-4.101067781E-3,7.085800171E-4,7.192400697E-2
3.117655840E-1,7.995842397E-2,2.419789135E-2,1.010417938E-2,8.414857070E-2
3.165201680E-1,4.337744042E-2,1.442761719E-2,2.404880524E-2,5.165368824E-2
3.212746990E-1,2.625581250E-2,7.180407643E-3,6.365108490E-2,6.922706517E-2
3.260292820E-1,-1.887929626E-2,-6.978139281E-3,6.729984283E-2,7.024522119E-2
3.307838130E-1,-3.975893930E-2,-3.268061578E-2,9.445762634E-2,1.075687644E-1
3.355383450E-1,-5.083392188E-2,-2.500057220E-2,5.995845795E-2,8.248716811E-2
3.402929280E-1,-8.763448894E-2,-8.081108332E-3,4.958248138E-2,1.010125261E-1
3.450474590E-1,-1.026724875E-1,-1.738004386E-2,4.645061493E-2,1.140235293E-1
3.498020430E-1,-1.246321052E-1,-2.654011548E-2,2.216339111E-2,1.293396895E-1
3.545565740E-1,-6.385087967E-2,-3.559623659E-2,1.239585876E-2,7.414637016E-2
3.593111570E-1,-4.175372422E-2,-1.625332236E-2,7.493972778E-3,4.542800460E-2
3.640656880E-1,3.655415028E-3,-2.311785519E-2,-1.620578766E-2,2.846796166E-2
3.688202200E-1,3.430758417E-2,-2.988789976E-2,-4.428482056E-2,6.349363917E-2
3.735748030E-1,5.031351000E-2,-3.528863192E-3,-2.949333191E-2,5.842738049E-2
3.783293340E-1,5.899415910E-2,5.935490131E-3,-1.255607605E-2,6.060689645E-2
3.830839180E-1,7.464908808E-2,1.524129510E-2,-2.418708801E-2,7.993621616E-2
3.878384490E-1,8.543639630E-2,1.028284431E-2,-2.431869507E-4,8.605331975E-2
3.925929800E-1,5.836340040E-2,5.393430591E-3,4.483222961E-3,5.878328749E-2
3.973475630E-1,-3.770614043E-3,1.243789494E-2,-5.024909973E-3,1.393443508E-2
4.021020950E-1,-6.520196795E-2,2.647954226E-2,-2.595901489E-3,7.042159816E-2
4.068566780E-1,-7.627932727E-2,3.092001379E-2,6.360244751E-2,1.040185289E-1
4.116112090E-1,-3.044956550E-2,1.637303829E-2,6.515312195E-2,7.375758755E-2
4.163657930E-1,-2.775264159E-2,-1.450514793E-2,2.414417267E-2,3.954174384E-2
4.211203240E-1,-1.451568678E-3,-9.537011385E-3,1.438617706E-2,1.732119304E-2
4.258748550E-1,-3.850512207E-3,-1.178227365E-2,1.893806458E-2,2.263401658E-2
4.306294380E-1,3.238234669E-3,1.671323180E-2,3.762531281E-2,4.129748715E-2
4.353839700E-1,4.101823270E-2,4.658475518E-3,4.426765442E-2,6.052951376E-2
4.401385530E-1,9.894356132E-3,1.637543738E-2,9.341621399E-2,9.535534735E-2
4.448930840E-1,-3.029662743E-2,1.903221011E-3,2.843475342E-2,4.159378663E-2
4.496476150E-1,-4.884198681E-2,-1.941379905E-2,-4.051685333E-2,6.636302188E-2
4.544021990E-1,-7.670404762E-2,-2.859860659E-2,-2.348423004E-2,8.516396116E-2
4.591567300E-1,-4.038198665E-2,-1.161852479E-2,-2.084922791E-2,4.690826439E-2
4.639113130E-1,-3.521777317E-2,-3.036710620E-2,-2.061367035E-2,5.086625690E-2
4.686658450E-1,2.971451730E-3,-2.526488900E-2,-2.275085449E-2,3.412836828E-2
4.734204280E-1,4.316672683E-2,-1.077908278E-2,4.853343964E-2,6.584109426E-2
4.781749590E-1,4.267301410E-2,1.056672633E-2,8.352470398E-2,9.438759459E-2
4.829294900E-1,6.584588438E-2,1.513445377E-2,4.946899414E-2,8.373716954E-2
4.876840740E-1,6.044061482E-2,-1.350565255E-2,3.472900391E-2,7.100404413E-2
4.924386050E-1,3.383659571E-2,-2.520646155E-2,2.015113831E-2,4.675841409E-2
4.971931880E-1,2.646614611E-2,-1.774945855E-2,-8.486747742E-3,3.297764479E-2
5.019477200E-1,-9.286966175E-3,-3.643484414E-2,-3.658294678E-3,3.777735734E-2
5.067023030E-1,-2.109299973E-2,-2.172946930E-2,4.851436615E-2,5.719028061E-2
5.114568340E-1,-8.997865021E-3,-7.289052010E-3,4.565525055E-2,4.710088913E-2
5.162113650E-1,6.052479148E-4,-2.617597580E-2,4.519844055E-2,5.223453898E-2
5.209659490E-1,2.436482534E-2,-1.649074256E-2,5.186080933E-2,5.962493478E-2
5.257204800E-1,9.963821620E-3,-2.589564025E-2,4.423904419E-2,5.222025427E-2
5.304750630E-1,9.928137064E-3,-1.991301775E-3,-2.494716644E-2,2.692386120E-2
5.352295950E-1,-9.075492620E-3,-1.622581482E-2,-5.739212036E-3,1.945713719E-2
5.399841780E-1,-1.606864482E-2,1.472876966E-2,3.799438477E-3,2.212631318E-2
5.447387090E-1,-1.348329522E-2,7.476896048E-3,-4.603767395E-2,4.855070182E-2
5.494932400E-1,-2.518218756E-2,-4.392907023E-3,-2.188873291E-2,3.365348170E-2
5.542478240E-1,1.069102436E-2,2.793550491E-3,1.626491547E-2,1.966340259E-2
5.590023550E-1,5.909748375E-3,5.170032382E-3,6.627082825E-3,1.027485219E-2
5.637569380E-1,2.726871520E-2,-1.619789004E-2,-3.139019012E-2,4.462396785E-2
5.685114700E-1,2.471220121E-2,-1.370644569E-2,6.142139435E-2,6.761025977E-2
5.732660010E-1,1.511946321E-2,-1.598381996E-2,8.934402466E-2,9.201323497E-2
5.780205840E-1,1.747680083E-2,-3.242276609E-2,7.874488831E-3,3.766539396E-2
5.827751150E-1,-3.004879132E-2,-2.736215293E-2,4.577445984E-2,6.121207762E-2
5.875296990E-1,-1.783200726E-2,-1.045376062E-3,7.148170471E-2,7.367976250E-2
5.922842300E-1,-2.468039840E-2,-1.530423760E-2,9.156227112E-3,3.044960179E-2
5.970388130E-1,-2.918297425E-2,-1.751688123E-2,-4.314231873E-2,5.495222269E-2
6.017933450E-1,-4.739258438E-4,-3.163833916E-2,3.555870056E-2,4.759863755E-2
6.065478760E-1,1.936603338E-3,1.864686608E-3,2.338886261E-2,2.354286267E-2
6.113024590E-1,2.334774286E-2,-1.951691508E-2,-3.615856171E-2,4.725958797E-2
6.160569900E-1,1.131561399E-2,-1.460444927E-2,-2.636146545E-2,3.219099128E-2
6.208115740E-1,1.134021208E-2,-1.213562489E-2,-1.902008057E-2,2.525148047E-2
6.255661050E-1,-1.949932054E-2,-1.336783171E-4,-6.989479065E-3,2.071458879E-2
6.303206360E-1,-3.349199519E-2,1.651647687E-2,-1.405334473E-2,3.989992792E-2
6.350752200E-1,-6.166889891E-2,1.166073978E-2,1.692867279E-2,6.500466066E-2
6.398297510E-1,-7.061842084E-2,-9.802237153E-3,2.865695953E-2,7.683922530E-2
6.445843340E-1,-5.340570211E-2,-2.625092864E-3,-1.669025421E-2,5.601450452E-2
6.493388650E-1,-6.488274783E-2,2.146750689E-3,-4.741573334E-2,8.039049242E-2
6.540934490E-1,-2.646539174E-2,4.475966096E-3,1.470661163E-2,3.060613759E-2
6.588479800E-1,2.192970365E-3,1.631100476E-2,2.645492554E-2,3.115639710E-2
6.636025630E-1,6.927587092E-3,6.680011749E-3,1.436328888E-2,1.728924774E-2
6.683570950E-1,2.586822957E-2,-7.590368390E-3,0.000000000E0,2.695883887E-2
6.731116260E-1,9.037621319E-3,-1.221682131E-2,4.748344421E-3,1.592093266E-2
6.778662090E-1,1.608874649E-2,-1.445917785E-2,-9.534835815E-3,2.363955756E-2
6.826207400E-1,4.089731723E-3,-2.383358777E-2,-3.082180023E-2,3.917587499E-2
6.873753240E-1,-3.148518503E-3,-4.668936133E-3,9.796142578E-3,1.129940453E-2
6.921298550E-1,3.240881115E-2,7.213652134E-3,1.921081543E-2,3.835913512E-2
6.968844380E-1,1.303585246E-2,-9.492546320E-3,-2.317428589E-3,1.629148122E-2
7.016389700E-1,-2.516824938E-2,1.192691922E-2,4.043769836E-2,4.910091270E-2
7.063935010E-1,-1.317010447E-2,9.426131845E-3,4.010105133E-2,4.324809743E-2
7.111480840E-1,-5.991667509E-3,7.003366947E-3,-5.341529846E-3,1.065266020E-2
7.159026150E-1,-2.742057666E-2,-1.679520309E-2,-2.923011780E-3,3.228793690E-2
7.206571990E-1,-2.487287857E-2,-2.352043986E-3,3.983783722E-2,4.702388195E-2
7.254117300E-1,-1.282004640E-2,2.378453314E-2,-1.509952545E-2,3.095243569E-2
7.301663130E-1,-4.365827143E-2,-1.250505447E-4,-1.734638214E-2,4.697826386E-2
7.349208450E-1,-1.482985914E-2,-1.433897018E-2,2.315807343E-2,3.101333830E-2
7.396753760E-1,-5.139466375E-4,-2.404376864E-3,-1.739501953E-2,1.756792173E-2
7.444299590E-1,3.027372435E-2,9.402275085E-3,-2.200126648E-2,3.858700415E-2
7.491844900E-1,4.181045294E-2,-4.948109388E-3,1.616954803E-2,4.510046613E-2
7.539390740E-1,2.484698594E-2,1.168501377E-2,3.027725220E-2,4.087327070E-2
7.586936050E-1,2.227037773E-2,-5.058452487E-3,1.534461975E-3,2.288912928E-2
7.634481360E-1,5.470348522E-3,-5.014777184E-3,4.188251495E-2,4.253490052E-2
7.682027200E-1,-1.350726932E-2,9.216174483E-3,1.541709900E-2,2.247378780E-2
7.729572510E-1,-1.813960820E-2,1.989692450E-3,-1.557636261E-2,2.399223487E-2
7.777118340E-1,1.282291673E-2,-9.867504239E-3,3.678512573E-2,4.018631992E-2
7.824663650E-1,3.171443194E-2,-1.456055045E-2,1.985836029E-2,4.015182806E-2
7.872209490E-1,1.961198635E-2,-1.446636021E-2,1.969146729E-2,3.133144539E-2
7.919754800E-1,2.177073620E-2,-1.199862361E-2,-1.845741272E-2,3.096139544E-2
7.967300110E-1,3.103333898E-2,-1.192569733E-2,1.493358612E-2,3.644588289E-2
8.014845950E-1,3.086626530E-2,-1.185318828E-2,2.430438995E-2,4.103568906E-2
8.062391260E-1,2.120339870E-2,-2.599768341E-2,3.604888916E-4,3.354986753E-2
8.109937090E-1,-1.217819192E-2,-1.622575521E-2,3.585815430E-4,2.029068928E-2
8.157482400E-1,-4.056128114E-2,-3.024807572E-2,3.834438324E-2,6.348586724E-2
8.205028240E-1,-3.066431358E-2,-2.052639425E-2,2.852630615E-2,4.664100268E-2
8.252573550E-1,-4.702261090E-2,-1.803673804E-2,1.166915894E-2,5.169738026E-2
8.300118860E-1,-2.048194408E-2,-1.294478774E-3,-2.166748047E-2,2.984401814E-2
8.347664700E-1,-2.270938642E-2,1.053139567E-2,3.311824799E-2,4.151439360E-2
8.395210010E-1,2.250812575E-2,4.837445915E-2,1.384830475E-2,5.512240531E-2
8.442755840E-1,4.131773859E-2,2.654826641E-2,-2.887725830E-3,4.919659472E-2
8.490301150E-1,3.388416767E-2,9.709492326E-3,1.138114929E-2,3.703973028E-2
