"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.300158550E1,-7.879139980E1,1.777113068E2,1.430000153E2,NaN,NaN,8.555093980E-2,5.585800171E1,1.389521599E1,0.000000000E0
1.738034010E0,4.300221556E1,-7.879200356E1,1.868912292E2,1.521786499E2,0.000000000E0,NaN,8.678516564E-2,7.669995308E0,8.787647247E0,0.000000000E0
3.757401301E0,4.300222635E1,-7.879200000E1,1.823750124E2,1.476624146E2,8.899999857E-1,1.139999962E1,8.819885407E-2,3.790092468E0,3.627911091E0,1.800000000E1
4.753402238E0,4.300222939E1,-7.879198312E1,1.823048842E2,1.475922852E2,1.080000043E0,1.260000038E1,8.928857467E-2,3.790092468E0,2.786555290E0,2.100000000E1
5.760159112E0,4.300223593E1,-7.879197314E1,1.812284775E2,1.465158691E2,1.330000043E0,4.020000076E1,9.075217338E-2,3.790092468E0,2.500000000E0,2.100000000E1
6.760117029E0,4.300224299E1,-7.879195795E1,1.811047682E2,1.463921509E2,1.259999990E0,4.570000076E1,9.222931427E-2,3.790092468E0,2.500000000E0,2.100000000E1
7.838575153E0,4.300225033E1,-7.879194281E1,1.811770432E2,1.464644165E2,1.299999952E0,6.790000153E1,9.356465285E-2,3.790092468E0,2.500000000E0,2.100000000E1
8.756834007E0,4.300225657E1,-7.879192878E1,1.812162355E2,1.465036011E2,1.230000019E0,6.980000305E1,9.499590368E-2,3.790092468E0,2.500000000E0,2.100000000E1
9.753874632E0,4.300226097E1,-7.879191224E1,1.809133218E2,1.462006836E2,1.389999986E0,6.790000153E1,9.633690517E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.075378406E1,4.300226380E1,-7.879189621E1,1.805877614E2,1.458751221E2,1.269999981E0,7.750000000E1,9.782583322E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.175806229E1,4.300227031E1,-7.879188021E1,1.802956548E2,1.455830078E2,1.370000005E0,6.559999847E1,9.905024539E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.275648593E1,4.300227491E1,-7.879186653E1,1.800393731E2,1.453267212E2,1.389999986E0,6.050000000E1,1.004424021E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.375728776E1,4.300227814E1,-7.879184999E1,1.800200266E2,1.453073730E2,1.450000048E0,7.859999847E1,1.018750574E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.475753781E1,4.300228065E1,-7.879183271E1,1.803691479E2,1.456564941E2,1.379999995E0,7.469999695E1,1.032645600E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.575727906E1,4.300228285E1,-7.879181589E1,1.799198068E2,1.452071533E2,1.429999948E0,8.400000000E1,1.046685985E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.675739911E1,4.300228395E1,-7.879179869E1,1.798607224E2,1.451480713E2,1.379999995E0,8.459999847E1,1.060749792E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.775696718E1,4.300228527E1,-7.879178149E1,1.798117703E2,1.450991211E2,1.360000014E0,8.309999847E1,1.074530584E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.875857822E1,4.300228652E1,-7.879176463E1,1.798971565E2,1.451845093E2,1.389999986E0,8.390000153E1,1.088406989E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.975717702E1,4.300228679E1,-7.879174757E1,1.800332000E2,1.453205566E2,1.360000014E0,9.080000305E1,1.102173807E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.075712619E1,4.300228620E1,-7.879173066E1,1.802007362E2,1.454880981E2,1.350000024E0,9.630000305E1,1.115975994E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.174732077E1,4.300228471E1,-7.879171381E1,1.803268280E2,1.456141968E2,1.389999986E0,9.850000000E1,1.129600825E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.275829661E1,4.300228348E1,-7.879169714E1,1.805560086E2,1.458433838E2,1.320000052E0,9.809999847E1,1.143523748E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.375893020E1,4.300228122E1,-7.879168030E1,1.805847478E2,1.458721313E2,1.470000029E0,1.041999969E2,1.157428140E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.475431343E1,4.300227722E1,-7.879166410E1,1.808390090E2,1.461264038E2,1.370000005E0,1.080000000E2,1.171308058E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.575063437E1,4.300227270E1,-7.879164819E1,1.809434890E2,1.462308960E2,1.360000014E0,1.109000015E2,1.185143683E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.674890916E1,4.300226833E1,-7.879163226E1,1.809428668E2,1.462302856E2,1.250000000E0,1.104000015E2,1.198531867E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.775937176E1,4.300226360E1,-7.879161712E1,1.807212969E2,1.460087280E2,1.279999971E0,1.155000000E2,1.211148223E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.875909025E1,4.300225814E1,-7.879160352E1,1.807050482E2,1.459924927E2,1.190000057E0,1.210999985E2,1.221907217E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.975205728E1,4.300225204E1,-7.879159325E1,1.809406914E2,1.462281494E2,1.000000000E0,1.323999939E2,1.229181777E-1,3.790092468E0,2.500000000E0,2.100000000E1
