"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.947041722E-3,-5.525265035E-1,1.489812076E-2,-1.451653512E-1,5.714721955E-1
1.697304170E-2,-3.998292442E-1,-6.535900712E-2,-1.450401843E-1,4.303160227E-1
2.699904167E-2,-1.407653032E-1,-8.377188921E-2,-1.114508539E-1,1.981259520E-1
3.702504165E-2,1.197306940E-2,-3.945584178E-2,-2.066698372E-2,4.612203441E-2
4.705104162E-2,1.235502963E-1,-1.773694396E-2,1.385263860E-2,1.255833209E-1
5.707704159E-2,1.184108404E-1,-5.862769246E-2,4.436388496E-2,1.393789358E-1
6.710304157E-2,1.045968757E-1,-9.177614272E-2,5.561221026E-2,1.498535442E-1
7.712904178E-2,6.908287036E-2,-5.311552227E-2,1.401650682E-3,8.715311990E-2
8.715504175E-2,-7.547284467E-3,-9.519851804E-3,-1.880457245E-2,2.238751943E-2
9.718104172E-2,-9.074886002E-2,8.553190112E-2,1.038909888E-1,1.623095785E-1
1.072070417E-1,-3.057562055E-2,1.206947172E-1,2.233735782E-1,2.557300115E-1
1.172330417E-1,-1.419808114E-2,1.674970007E-1,2.385272223E-1,2.918082701E-1
1.272590416E-1,-6.301993813E-2,1.338451052E-1,2.402908156E-1,2.821802630E-1
1.372850416E-1,-4.097308461E-2,2.574587524E-2,2.162446529E-1,2.215928556E-1
1.473110416E-1,-1.421570501E-2,-6.796394169E-2,1.214017186E-1,1.398555002E-1
1.573370416E-1,-2.827362657E-2,-1.571848512E-1,1.125187017E-2,1.601033416E-1
1.673630418E-1,-2.804144642E-2,-1.627163172E-1,-2.619143307E-2,1.671792863E-1
1.773890418E-1,2.796856179E-2,-1.135698849E-1,-2.378647327E-2,1.193572600E-1
1.874150417E-1,1.092712860E-1,-7.693649411E-2,-2.967111111E-2,1.368934363E-1
1.974400417E-1,1.038957762E-1,-1.568047822E-2,-3.878282726E-2,1.120014170E-1
2.074660417E-1,8.821131460E-2,2.872210801E-2,-5.525436066E-2,1.079779602E-1
2.174920416E-1,6.679133284E-2,4.095155954E-2,1.446191847E-2,7.966968971E-2
2.275180416E-1,2.286077224E-2,5.210512340E-2,4.744438089E-2,7.408460077E-2
2.375440416E-1,-3.393493274E-2,4.625147581E-2,1.133395777E-1,1.270300695E-1
2.475700416E-1,-1.361306265E-1,5.195426524E-2,1.568608423E-1,2.140937108E-1
2.575960418E-1,-5.595092393E-2,1.644763291E-2,1.335485782E-1,1.457266388E-1
2.676220417E-1,1.185509726E-1,-3.686435580E-2,2.478049994E-2,1.265993168E-1
2.776480417E-1,1.888321202E-1,-3.852730393E-2,-2.631897546E-2,1.945112111E-1
2.876740417E-1,1.131707393E-1,-6.933862209E-2,-9.689187169E-2,1.643274035E-1
2.977000417E-1,6.157099809E-2,-5.770734072E-2,-1.116087288E-1,1.399200962E-1
3.077260416E-1,5.815647083E-2,-5.713138998E-2,-3.539027274E-2,8.887430576E-2
3.177520416E-1,-6.705166642E-3,-3.623519540E-2,1.655814528E-2,4.039951510E-2
3.277780416E-1,-2.619428359E-2,7.671546936E-3,7.981332421E-2,8.435140691E-2
3.378040416E-1,1.870172541E-2,1.399531066E-2,2.441512205E-2,3.378936872E-2
3.478300418E-1,-1.145495128E-2,1.847661674E-2,-3.512539387E-2,4.130852901E-2
3.578560418E-1,-9.720074172E-2,5.565906107E-2,2.529096186E-2,1.148283415E-1
3.678820417E-1,-6.159371544E-2,5.277112126E-2,9.628551543E-2,1.258947080E-1
3.779080417E-1,2.722709830E-2,9.977513373E-2,1.595710999E-1,1.901560625E-1
3.879340417E-1,1.113080722E-1,7.672131658E-2,1.079080991E-1,1.729734234E-1
3.979600416E-1,1.472662923E-1,3.936930299E-2,-5.391892970E-2,1.616927762E-1
4.079856668E-1,9.711765644E-2,-3.234211922E-2,-8.448810004E-2,1.327256227E-1
4.180116667E-1,5.641074806E-2,-9.876356542E-2,-1.181411650E-1,1.639931377E-1
4.280376667E-1,-1.471389692E-2,-1.459628749E-1,-2.094174439E-1,2.556899009E-1
4.380636667E-1,-5.830907859E-2,-1.332001573E-1,-1.692535043E-1,2.231344421E-1
4.480896667E-1,-4.087034720E-3,-1.266746646E-1,-1.549015865E-1,2.001441381E-1
4.581156666E-1,1.052264563E-1,-1.049294543E-1,-2.108372209E-1,2.579440467E-1
4.681416666E-1,6.512235020E-2,-4.556735158E-2,-2.363831214E-1,2.493878187E-1
4.781676666E-1,-2.612861662E-2,-5.419784188E-3,-1.363565574E-1,1.389431157E-1
4.881936666E-1,8.624506043E-3,6.240148544E-3,-3.336187363E-2,3.501908294E-2
4.982196668E-1,7.133733745E-2,2.711529315E-2,3.576157093E-3,7.640054801E-2
5.082456667E-1,5.828023081E-2,4.673971832E-2,-5.038472638E-3,7.487705108E-2
5.182716667E-1,6.656264733E-3,9.047981501E-3,-4.257825494E-2,4.403498181E-2
5.282976667E-1,-4.941754209E-2,-1.442625046E-2,-4.603922188E-2,6.906388434E-2
5.383236667E-1,-8.221197085E-2,-2.561606705E-2,-5.535500586E-2,1.023678060E-1
5.483496666E-1,-6.571578777E-2,-4.509021878E-2,-1.641078814E-1,1.824365351E-1
5.583756666E-1,-8.841814158E-2,-2.431506157E-2,-2.253640435E-1,2.433062722E-1
5.684016666E-1,-1.124725452E-1,2.430395186E-2,-8.751936972E-2,1.445696911E-1
5.784276666E-1,-2.380240694E-2,8.061848581E-2,7.417894721E-2,1.121089249E-1
5.884536668E-1,2.034851512E-1,7.856318951E-2,1.524982347E-1,2.661467511E-1
5.984796667E-1,2.551351603E-1,6.333587050E-2,1.510440322E-1,3.031825888E-1
6.085056667E-1,8.926783338E-2,5.302255154E-3,4.758339845E-2,1.012967906E-1
6.185316667E-1,4.013568567E-2,-7.311767757E-2,-9.772568464E-2,1.284810394E-1
6.285576667E-1,-7.522552115E-2,-6.253597140E-2,-1.570877874E-1,1.850572876E-1
6.385836666E-1,-1.993466382E-1,-2.946821272E-2,-9.571014941E-2,2.230871812E-1
6.486096666E-1,-2.059833924E-1,-1.967120290E-2,-6.314868651E-2,2.163420227E-1
6.586356666E-1,-1.536325763E-1,-1.149738014E-2,-4.617714308E-2,1.608337241E-1
6.686616666E-1,-5.915135630E-2,3.505756617E-2,3.239247836E-2,7.600781902E-2
6.786876668E-1,-5.682939042E-2,1.025268334E-1,1.183762231E-1,1.665961025E-1
6.887136668E-1,-1.366566475E-2,8.286381662E-2,1.543835232E-1,1.757482141E-1
6.987396667E-1,9.402330078E-2,-1.079045177E-2,7.317790389E-2,1.196320215E-1
7.087656667E-1,1.015990265E-1,-7.577874541E-2,-5.820435405E-2,1.394723172E-1
7.187916667E-1,3.738220898E-3,-4.393013120E-2,-1.543197155E-1,1.604942532E-1
7.288176666E-1,-1.295778072E-1,-2.977402210E-3,-1.925674494E-1,2.321238799E-1
7.388436666E-1,-1.947510008E-1,3.194041550E-2,-2.132977293E-1,2.905926079E-1
7.488696666E-1,-1.288726147E-1,3.861150384E-2,-1.363523912E-1,1.915488806E-1
7.588946666E-1,-1.042156920E-1,2.835548759E-2,-4.791800536E-2,1.181570115E-1
