"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.700875074E-3,1.461278943E-1,9.752570987E-3,-1.659295084E-1,2.213166868E-1
1.572687505E-2,2.669993984E-1,1.291357577E-2,-1.818175627E-1,3.232848052E-1
2.575287502E-2,3.197205259E-1,4.006336749E-2,-1.860642493E-1,3.720835833E-1
3.577987500E-2,2.634868480E-1,2.025592446E-2,-1.040466709E-1,2.840093859E-1
4.580587498E-2,1.978918692E-1,1.348017097E-2,-1.411232807E-1,2.434310729E-1
5.583187495E-2,8.334221936E-2,9.994645715E-3,-1.668481059E-1,1.867728806E-1
6.585787493E-2,-2.373521877E-3,1.050978541E-2,7.688503861E-3,1.323640008E-2
7.588487514E-2,-1.050033028E-1,2.276262581E-2,2.689613950E-1,2.896274551E-1
8.591087512E-2,-1.585018634E-1,9.982366562E-2,3.232070379E-1,3.735644446E-1
9.593687509E-2,-1.029428902E-1,1.302116454E-1,2.972730285E-1,3.404754979E-1
1.059628751E-1,-6.058507531E-2,1.116642773E-1,2.732655305E-1,3.013528037E-1
1.159898750E-1,-1.228611288E-1,4.404415190E-2,2.361358573E-1,2.698052768E-1
1.260158750E-1,-1.714581421E-1,-4.778520048E-2,1.324096137E-1,2.218414427E-1
1.360418750E-1,-9.962414766E-2,-8.852742970E-2,-4.337932348E-2,1.401564922E-1
1.460678750E-1,5.934757607E-2,-6.228629529E-2,-2.582894956E-1,2.722410345E-1
1.560938749E-1,1.423318910E-1,-1.916424930E-2,-2.595994180E-1,2.966774233E-1
1.661208749E-1,7.551463399E-2,-8.103071451E-3,-1.565486741E-1,1.739988709E-1
1.761468751E-1,9.760007914E-4,-4.952123880E-2,-5.024921715E-2,7.055699465E-2
1.861728751E-1,-2.401679875E-2,-6.360074937E-2,8.283341110E-2,1.071598616E-1
1.961988751E-1,-5.859048955E-2,-5.966849685E-2,5.498019934E-2,1.000799545E-1
2.062258751E-1,-1.194483283E-1,-3.970610261E-2,-1.820194378E-2,1.271840732E-1
2.162518750E-1,-1.029560099E-1,-3.012251616E-2,-7.753817260E-2,1.323611505E-1
2.262778750E-1,-2.812841462E-2,1.268261075E-3,1.492019400E-2,3.186578705E-2
2.363038750E-1,-1.964270686E-2,-1.870407343E-2,9.966681406E-2,1.032915878E-1
2.463308750E-1,-2.573748814E-2,-3.158081174E-2,1.067151940E-1,1.142273986E-1
2.563568749E-1,3.387924258E-2,-1.342871547E-2,8.488271400E-2,9.237536800E-2
2.663828752E-1,4.118444318E-2,-3.156619370E-2,5.259278119E-2,7.388222775E-2
2.764088751E-1,2.943201480E-2,-7.353224516E-2,-2.921853662E-3,7.925762930E-2
2.864358751E-1,5.386491604E-3,-5.953050256E-2,-9.998621821E-2,1.164909390E-1
2.964618751E-1,6.915766904E-3,-1.873623312E-2,-1.736780924E-1,1.748226359E-1
3.064878751E-1,2.466462457E-2,-8.414143324E-4,-1.600513025E-1,1.619428019E-1
3.165138750E-1,1.482575233E-2,-1.883972883E-2,-1.175714269E-2,2.670147410E-2
3.265408750E-1,1.515214574E-2,-1.810181022E-2,9.705208540E-2,9.988178179E-2
3.365668750E-1,4.238166058E-2,-5.463053584E-3,1.648745245E-1,1.703222209E-1
3.465928750E-1,4.954693001E-3,1.332755864E-2,1.878568594E-1,1.883941943E-1
3.566188749E-1,4.623410775E-2,2.899575770E-2,1.772272061E-1,1.854395569E-1
3.666458752E-1,4.936009319E-2,1.014860290E-1,2.615447867E-1,2.848534857E-1
3.766718751E-1,-4.564228730E-2,1.109286976E-1,2.854641379E-1,3.096420004E-1
3.866978751E-1,-1.382998521E-1,1.385439277E-2,1.442467171E-1,2.003145244E-1
3.967238751E-1,-1.027140448E-1,-3.954471946E-2,-1.543299481E-2,1.111401690E-1
4.067508751E-1,4.342739856E-2,-1.012503862E-2,-6.608932436E-2,7.972611960E-2
4.167768750E-1,1.300739983E-1,1.836025715E-4,-5.617697820E-2,1.416867376E-1
4.268028750E-1,5.881538808E-2,-6.327915251E-2,-9.999498904E-2,1.321457485E-1
4.368288750E-1,-4.193903550E-2,-1.441935074E-1,-1.459745693E-1,2.094259420E-1
4.468548750E-1,-1.990679087E-2,-1.455237490E-1,-2.223747276E-1,2.665032107E-1
4.568818749E-1,2.500194496E-2,-8.864846706E-2,-2.304953407E-1,2.482171429E-1
4.669078751E-1,6.846952485E-3,-7.780012786E-2,-2.224701834E-1,2.357810916E-1
4.769338751E-1,1.574540058E-2,-1.115970343E-1,-2.244114590E-1,2.511221190E-1
4.869598751E-1,6.838618375E-2,-1.144984227E-1,-2.072295620E-1,2.464358949E-1
4.969868751E-1,1.110460713E-1,-1.150527388E-1,-1.653914183E-1,2.300493076E-1
5.070128751E-1,1.418362847E-1,-7.465724945E-2,-1.298884405E-1,2.063061888E-1
5.170388750E-1,7.087686921E-2,-1.684992135E-2,-6.597939670E-2,9.828901886E-2
5.270648750E-1,-4.178437664E-2,-3.148257852E-2,-5.973398566E-2,7.940551571E-2
5.370918750E-1,-1.191298104E-1,-2.966701806E-2,-1.046821171E-1,1.613393608E-1
5.471178750E-1,-1.344071779E-1,-5.316873193E-3,-1.264372677E-1,1.846075331E-1
5.571438749E-1,-7.050234592E-2,4.128134251E-3,-5.007190034E-2,8.657261389E-2
5.671698751E-1,-4.654950108E-3,2.425600469E-2,2.779064655E-2,3.717986498E-2
5.771968751E-1,7.277196094E-2,5.606193423E-2,1.348894179E-1,1.631988169E-1
5.872228751E-1,2.536322066E-2,2.926648378E-2,2.315940325E-1,2.348097441E-1
5.972488751E-1,-1.178484753E-1,-2.318187118E-2,1.846818213E-1,2.203021503E-1
6.072748750E-1,-1.992791576E-1,6.132559776E-2,-3.266079247E-2,2.110444005E-1
6.173018750E-1,-2.152868241E-1,8.808713436E-2,4.545230761E-2,2.370098567E-1
6.273280417E-1,-2.202292014E-1,-4.445053339E-3,2.465256286E-1,3.305987677E-1
6.373540417E-1,-2.136165122E-1,-8.993017673E-4,1.179441869E-1,2.440156844E-1
6.473800417E-1,-1.570550247E-1,3.115688860E-2,4.548125133E-2,1.664499225E-1
6.574070416E-1,-2.838124274E-2,7.814218998E-2,1.287359543E-1,1.532469991E-1
6.674330416E-1,9.727486432E-2,1.266425049E-1,1.551482660E-1,2.226470474E-1
6.774590418E-1,8.096065756E-2,1.304449493E-1,2.900321290E-2,1.562424373E-1
6.874850418E-1,7.066825152E-2,1.724870145E-1,-5.518777549E-2,1.944002637E-1
6.975110418E-1,1.337619742E-1,2.337798679E-1,-7.344848379E-2,2.791773131E-1
7.075380418E-1,1.535290258E-1,2.762464410E-1,-5.944995716E-2,3.215859999E-1
7.175640417E-1,7.604502213E-2,2.419308865E-1,-5.949965850E-2,2.604872523E-1
7.275900417E-1,-3.363260428E-2,1.524415898E-1,7.014422223E-2,1.711426373E-1
7.376160417E-1,-8.702423846E-2,-1.372926235E-3,2.275759721E-1,2.436512386E-1
7.476430417E-1,-8.771115839E-2,-1.044909132E-1,2.878044860E-1,3.185012094E-1
7.576690416E-1,2.185752708E-2,-1.094318104E-1,2.763271326E-1,2.980096589E-1
7.676950416E-1,1.567085406E-1,-2.703810990E-2,1.975749318E-1,2.536227115E-1
7.777210418E-1,1.773042066E-1,-1.627397060E-2,4.650933802E-2,1.840237548E-1
7.877480418E-1,1.780363694E-1,3.740113020E-2,-1.621959150E-1,2.437279389E-1
7.977740418E-1,2.065624495E-1,2.082368910E-1,-2.881386544E-1,4.111624162E-1
8.078000417E-1,1.331996457E-1,2.816434211E-1,-2.685691930E-1,4.113326800E-1
8.178260417E-1,-2.145366264E-3,1.117894077E-1,-1.050083917E-1,1.533891672E-1
8.278530417E-1,-1.145603575E-1,2.588562369E-2,4.552057385E-2,1.259613579E-1
8.378790417E-1,-1.917750969E-1,2.670189500E-2,7.425496101E-2,2.073752112E-1
8.479050416E-1,-5.329081083E-2,6.239914656E-2,1.350484622E-1,1.580242106E-1
8.579310416E-1,1.005020705E-1,1.362354469E-1,2.678849226E-1,3.168960318E-1
8.679580416E-1,1.323013489E-1,1.100071764E-1,3.316131413E-1,3.735940327E-1
8.779840418E-1,5.635362807E-2,1.147165239E-2,3.590647955E-1,3.636411110E-1
8.880100418E-1,-5.225840268E-2,-9.380278766E-2,2.390786147E-1,2.620848863E-1
8.980360418E-1,-1.132626959E-1,-1.763853532E-1,1.428645815E-1,2.536740424E-1
9.080630417E-1,-7.773029018E-2,-1.898988533E-1,9.381111994E-2,2.256193669E-1
9.180890417E-1,-1.082866880E-2,-1.110175753E-1,4.950369716E-2,1.220359706E-1
9.281150417E-1,4.857096576E-2,-5.599761486E-2,-3.958564997E-4,7.412845801E-2
9.381410417E-1,1.077716214E-1,-6.075023174E-2,-1.497048005E-2,1.246171269E-1
9.481670416E-1,4.756233933E-2,-1.333013141E-1,-6.217329785E-2,1.545863365E-1
9.581940416E-1,-5.623527677E-2,-2.170550770E-1,-1.223560573E-1,2.554335874E-1
9.682200416E-1,-1.133726510E-1,-2.486534303E-1,-1.253398915E-1,3.006525816E-1
9.782460418E-1,-2.211186360E-1,-2.777994615E-1,-1.413418204E-1,3.821563845E-1
9.882720418E-1,-3.754478167E-1,-3.287152612E-1,-1.666093934E-1,5.260926496E-1
9.982990418E-1,-3.713712476E-1,-4.011078840E-1,-1.422358596E-1,5.648319909E-1
1.008325042E0,-2.824097718E-1,-3.577034175E-1,-9.805415198E-2,4.661776816E-1
1.018351042E0,-3.397634290E-2,-2.016821623E-1,-2.286363646E-2,2.057980377E-1
1.028377042E0,1.792154787E-1,-4.858802319E-2,-6.078911573E-3,1.857846521E-1
1.038404042E0,2.211554004E-1,7.987881303E-3,-1.140668982E-1,2.489674168E-1
1.048430042E0,1.231838038E-1,-6.482281744E-2,-1.981254472E-1,2.421362013E-1
1.058456042E0,-4.421624277E-2,-1.613235104E-1,-2.649719860E-1,3.133536412E-1
1.068482042E0,-1.265961201E-1,-1.597073400E-1,-2.410871333E-1,3.156834140E-1
1.078508042E0,-9.711843302E-2,-1.172255641E-1,-1.450040777E-1,2.102379734E-1
1.088535042E0,-9.302703573E-2,-1.147428364E-1,-6.273536146E-2,1.604857422E-1
1.098561042E0,4.244211074E-2,-8.202883422E-2,6.928965166E-2,1.154604618E-1
1.108587042E0,2.444723788E-1,8.231125474E-2,1.258433367E-1,2.870164317E-1
1.118613042E0,3.531443435E-1,2.898610979E-1,2.648715600E-2,4.576373596E-1
1.128640042E0,3.414115398E-1,3.229522455E-1,-1.831830338E-2,4.703143126E-1
1.138666042E0,1.599022533E-1,2.216685301E-1,5.494847819E-2,2.787920427E-1
1.148692042E0,-4.536339339E-2,9.733801425E-2,1.095696585E-1,1.534211085E-1
1.158718042E0,-2.198350077E-1,-8.012439609E-3,1.085803096E-1,2.453187996E-1
1.168745042E0,-2.613527787E-1,4.349334419E-2,7.694044098E-2,2.758926918E-1
1.178771042E0,-1.643829746E-1,9.957515895E-2,1.286472228E-1,2.312727450E-1
1.188797042E0,-2.985277222E-2,1.150889915E-1,2.163383545E-1,2.468581528E-1
