"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.883004189E-3,4.300188708E1,-7.878581397E1,1.904120026E2,1.557015711E2,NaN,NaN,1.125019413E-2,3.500000000E1,9.999446869E0,-1.000000000E0
5.395054817E-3,4.300198755E1,-7.878583033E1,1.904120026E2,1.557013856E2,NaN,NaN,1.901158605E-2,8.436465727E1,1.452026653E1,-1.000000000E0
5.395054817E-3,4.300205647E1,-7.878584542E1,1.904120026E2,1.557012574E2,NaN,NaN,3.836918180E-2,8.436465727E1,1.126789474E1,-1.000000000E0
5.078409910E-1,4.300188245E1,-7.878585201E1,1.904120026E2,1.557015699E2,NaN,NaN,4.886548605E-2,3.500000000E1,1.030454063E1,-1.000000000E0
2.276437283E0,4.300183545E1,-7.878596395E1,2.162964201E2,1.815860441E2,3.780346811E-1,NaN,6.032560499E-2,3.425602849E1,2.263338661E1,-1.000000000E0
3.276423931E0,4.300193796E1,-7.878594939E1,1.967395584E2,1.620290010E2,5.338904858E-1,NaN,6.982941301E-2,2.010080055E1,1.167996597E1,-1.000000000E0
4.276363611E0,4.300200976E1,-7.878588599E1,1.907673169E2,1.560566458E2,5.338904858E-1,NaN,7.839988500E-2,1.538661422E1,9.052233696E0,-1.000000000E0
5.276351333E0,4.300207891E1,-7.878583943E1,1.879901695E2,1.532793853E2,8.989178538E-1,3.074698721E2,8.512920091E-2,1.142051301E1,7.615815163E0,-1.000000000E0
6.783333063E0,4.300213064E1,-7.878579650E1,1.840658294E2,1.493549626E2,1.353347898E0,2.951122020E2,8.637331279E-2,6.698357577E0,6.440114498E0,-1.000000000E0
7.783320904E0,4.300214133E1,-7.878580102E1,1.828722548E2,1.481613676E2,1.353347898E0,2.896347728E2,8.740752642E-2,5.898731708E0,5.896700382E0,-1.000000000E0
8.786384106E0,4.300215002E1,-7.878580557E1,1.818588232E2,1.471479192E2,1.326557636E0,2.856808856E2,8.848772451E-2,5.223653211E0,5.251584530E0,-1.000000000E0
9.786391854E0,4.300215358E1,-7.878581793E1,1.811416434E2,1.464307299E2,1.262667537E0,2.788588926E2,8.966636880E-2,4.649972908E0,4.861216545E0,-1.000000000E0
1.078637707E1,4.300215255E1,-7.878583236E1,1.806288973E2,1.459179820E2,1.171143532E0,2.720347687E2,9.082566162E-2,4.239321640E0,4.508085251E0,-1.000000000E0
1.178638303E1,4.300215028E1,-7.878584627E1,1.802522662E2,1.455413515E2,1.176368117E0,2.730204196E2,9.224284991E-2,3.745935451E0,4.241752625E0,-1.000000000E0
1.278638482E1,4.300214703E1,-7.878586312E1,1.799270592E2,1.452161462E2,1.176368117E0,2.667487760E2,9.359816983E-2,3.374695458E0,4.071732044E0,-1.000000000E0
1.378636932E1,4.300214339E1,-7.878587903E1,1.796526851E2,1.449417746E2,1.239614487E0,2.610533545E2,9.483457271E-2,3.299419259E0,3.964487076E0,-1.000000000E0
1.478636956E1,4.300214166E1,-7.878589405E1,1.796526853E2,1.449417741E2,1.239614487E0,2.610533442E2,9.649349342E-2,4.150144336E0,4.074412721E0,-1.000000000E0
1.578636813E1,4.300213325E1,-7.878591090E1,1.795014922E2,1.447905920E2,1.263237953E0,2.530339646E2,9.789521498E-2,4.179822908E0,4.043960620E0,-1.000000000E0
1.678634787E1,4.300212442E1,-7.878592320E1,1.795359951E2,1.448251078E2,1.272756934E0,2.457306623E2,9.991041116E-2,4.231079698E0,3.990300944E0,-1.000000000E0
1.778634679E1,4.300210831E1,-7.878593455E1,1.809841444E2,1.462732832E2,1.387167215E0,2.333669275E2,1.014045989E-1,4.349155469E0,3.861267115E0,-1.000000000E0
1.878634763E1,4.300209919E1,-7.878594805E1,1.806966493E2,1.459858013E2,1.387167215E0,2.328141467E2,1.029983697E-1,4.384406888E0,3.821192650E0,-1.000000000E0
1.978632712E1,4.300208924E1,-7.878596215E1,1.806233665E2,1.459125328E2,1.416196108E0,2.312912057E2,1.045326453E-1,4.378077450E0,3.828442879E0,-1.000000000E0
2.078632367E1,4.300207578E1,-7.878596632E1,1.799438181E2,1.452330077E2,1.420095444E0,2.204906291E2,1.059582803E-1,4.357960518E0,3.851326674E0,-1.000000000E0
2.178632247E1,4.300206307E1,-7.878596863E1,1.798697638E2,1.451589758E2,1.393709183E0,2.049948041E2,1.074035429E-1,4.355186274E0,3.854463588E0,-1.000000000E0
2.278630137E1,4.300205052E1,-7.878597327E1,1.797060557E2,1.449952892E2,1.407742977E0,1.973644187E2,1.087269563E-1,4.401666140E0,3.801298755E0,-1.000000000E0
2.378628099E1,4.300203862E1,-7.878597326E1,1.796273931E2,1.449166481E2,1.393709183E0,1.890772426E2,1.099873119E-1,4.378741838E0,3.827682974E0,-1.000000000E0
2.478626263E1,4.300202729E1,-7.878597271E1,1.795982158E2,1.448874913E2,1.362324476E0,1.852894254E2,1.112137913E-1,4.363269916E0,3.845310478E0,-1.000000000E0
2.578624368E1,4.300201634E1,-7.878597447E1,1.795320933E2,1.448213882E2,1.348129034E0,1.889668805E2,1.126199467E-1,4.413605770E0,3.787429358E0,-1.000000000E0
2.678622484E1,4.300200374E1,-7.878597587E1,1.794355783E2,1.447248955E2,1.366453886E0,1.878805391E2,1.139579354E-1,4.391181187E0,3.813405933E0,-1.000000000E0
2.778620708E1,4.300199175E1,-7.878597725E1,1.794319202E2,1.447212588E2,1.366453886E0,1.858802503E2,1.150705382E-1,4.378151211E0,3.828358526E0,-1.000000000E0
2.878618920E1,4.300198182E1,-7.878597902E1,1.793690420E2,1.446583980E2,1.315461993E0,1.844658004E2,1.163533932E-1,4.432801859E0,3.764944185E0,-1.000000000E0
2.978617191E1,4.300197032E1,-7.878597779E1,1.793382753E2,1.446276524E2,1.315461993E0,1.808747472E2,1.176647612E-1,4.409570887E0,3.792126267E0,-1.000000000E0
3.078615499E1,4.300195854E1,-7.878597705E1,1.792778101E2,1.445672086E2,1.326616287E0,1.801502828E2,1.190442549E-1,4.449728977E0,3.744923105E0,-1.000000000E0
3.178613794E1,4.300194657E1,-7.878597259E1,1.792901117E2,1.445795329E2,1.334657431E0,1.730964336E2,1.203961883E-1,4.420714049E0,3.779130102E0,-1.000000000E0
3.278612113E1,4.300193483E1,-7.878596826E1,1.792384502E2,1.445278937E2,1.335942149E0,1.710122974E2,1.216961979E-1,4.400397076E0,3.802767756E0,-1.000000000E0
3.378610420E1,4.300192396E1,-7.878596236E1,1.791199289E2,1.444093936E2,1.334657431E0,1.643329747E2,1.240150082E-1,4.381209666E0,3.824858022E0,-1.000000000E0
