"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.648996353E-3,4.300177796E1,-7.878693639E1,1.904119263E2,1.557014096E2,NaN,NaN,2.334365541E-2,4.000000000E1,1.047707748E1,-1.000000000E0
5.087971687E-3,4.300182072E1,-7.878721743E1,1.904119873E2,1.557013228E2,NaN,NaN,2.529255929E-2,1.123333333E2,1.575350094E1,-1.000000000E0
5.087971687E-3,4.300182284E1,-7.878724122E1,1.904119873E2,1.557013130E2,NaN,NaN,3.583915256E-2,1.123333333E2,1.187856960E1,-1.000000000E0
5.120599270E-1,4.300186342E1,-7.878712400E1,1.904119873E2,1.557012693E2,NaN,NaN,3.653037487E-2,3.500000000E1,1.064803982E1,-1.000000000E0
2.939337015E0,4.300186287E1,-7.878713247E1,1.904119873E2,1.557012681E2,NaN,NaN,5.562947323E-2,3.500000000E1,1.214660740E1,-1.000000000E0
5.279658079E0,4.300173356E1,-7.878728706E1,1.817040151E2,1.469934904E2,6.118701696E-1,NaN,7.145723723E-2,1.970256493E1,9.856143951E0,-1.000000000E0
6.858637810E0,4.300167801E1,-7.878746626E1,1.830502905E2,1.483398210E2,7.744477987E-1,2.966449511E2,7.344927444E-2,8.771357473E0,7.396242142E0,-1.000000000E0
7.858625174E0,4.300168033E1,-7.878749055E1,1.824004419E2,1.476899621E2,8.969880939E-1,2.826840171E2,7.495398852E-2,6.215276548E0,6.204749107E0,-1.000000000E0
8.858708501E0,4.300168413E1,-7.878750831E1,1.814616329E2,1.467511418E2,8.969880939E-1,2.742279697E2,7.637941581E-2,4.508466927E0,4.987559319E0,-1.000000000E0
9.858715177E0,4.300168393E1,-7.878752584E1,1.807573523E2,1.460468571E2,9.088789225E-1,2.709586587E2,7.762867022E-2,3.797105683E0,4.349899292E0,-1.000000000E0
1.085870254E1,4.300168335E1,-7.878754118E1,1.805550073E2,1.458445093E2,9.961280823E-1,2.745793420E2,7.881716786E-2,3.433572978E0,3.924890757E0,-1.000000000E0
1.185871089E1,4.300168350E1,-7.878755579E1,1.804722005E2,1.457616986E2,1.059305191E0,2.748405011E2,7.998956331E-2,3.221734557E0,3.621557236E0,-1.000000000E0
1.285871887E1,4.300168419E1,-7.878757018E1,1.801081213E2,1.453976146E2,1.059305191E0,2.795459824E2,8.141637574E-2,3.054578740E0,3.360604525E0,-1.000000000E0
1.385870647E1,4.300168453E1,-7.878758772E1,1.801149918E2,1.454044800E2,1.125196815E0,2.751659733E2,8.253859235E-2,2.927260252E0,3.142152309E0,-1.000000000E0
1.485871458E1,4.300168544E1,-7.878760146E1,1.801149919E2,1.454044750E2,1.125196815E0,2.751659639E2,8.405622544E-2,4.433124793E0,3.764563932E0,-1.000000000E0
1.585872114E1,4.300168547E1,-7.878762012E1,1.801088099E2,1.453982883E2,1.228328228E0,2.746401751E2,8.543065137E-2,4.472114694E0,3.718161803E0,-1.000000000E0
1.685870945E1,4.300168743E1,-7.878763681E1,1.800973425E2,1.453868131E2,1.228328228E0,2.816364746E2,8.621024615E-2,4.465152771E0,3.726519524E0,-1.000000000E0
1.785871363E1,4.300168844E1,-7.878764630E1,1.799859254E2,1.452753918E2,9.592434168E-1,2.815821905E2,8.726904974E-2,4.499713528E0,3.684713720E0,-1.000000000E0
1.885871744E1,4.300168821E1,-7.878765931E1,1.799746033E2,1.452640669E2,9.592434168E-1,2.752986622E2,8.857152482E-2,4.528914768E0,3.648762538E0,-1.000000000E0
1.985870266E1,4.300168615E1,-7.878767508E1,1.800479247E2,1.453373880E2,1.088004589E0,2.683891871E2,8.999758998E-2,4.486110204E0,3.701263605E0,-1.000000000E0
