"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.923998800E-2,-8.041024208E-3,6.757199764E-3,1.048784256E-1,1.054030454E-1
2.741802600E-2,7.625454664E-2,4.610282183E-2,2.756786346E-2,9.327493318E-2
3.559641100E-2,1.417018771E-1,6.265002489E-2,-3.562927246E-2,1.589776483E-1
4.377341100E-2,1.926549077E-1,4.762566090E-2,-6.120014191E-2,2.076766102E-1
5.195098800E-2,2.133148909E-1,2.587187290E-2,-6.566238403E-2,2.246867712E-1
6.012718000E-2,1.941874623E-1,-7.471680641E-3,-6.779861450E-2,2.058184848E-1
6.830329500E-2,1.774180532E-1,-5.696356297E-2,-3.918266296E-2,1.904134821E-1
7.647991100E-2,2.101612687E-1,-4.548960924E-2,-8.363723755E-3,2.151906487E-1
8.465706400E-2,1.860243678E-1,-5.195254087E-2,1.111030579E-3,1.931459715E-1
9.286056400E-2,1.473655999E-1,-7.682847977E-2,-3.941249847E-2,1.707998254E-1
1.010380260E-1,1.350004077E-1,-8.234584332E-2,-9.411621094E-2,1.840212193E-1
1.092157570E-1,1.013790667E-1,-9.565901756E-2,-1.174831390E-1,1.822927611E-1
1.173927570E-1,1.096585989E-1,-1.050196290E-1,-1.218366623E-1,1.946748650E-1
1.255700260E-1,8.959129453E-2,-1.024840474E-1,-1.427469254E-1,1.972467103E-1
1.337465640E-1,1.017024517E-1,-9.864759445E-2,-1.612186432E-1,2.146303508E-1
1.419228720E-1,8.892047405E-2,-1.033112407E-1,-1.676778793E-1,2.160924209E-1
1.500995260E-1,8.123356104E-2,-1.022244692E-1,-1.379518509E-1,1.899459047E-1
1.582765640E-1,4.558610916E-2,-1.162629128E-1,-1.226701736E-1,1.750517916E-1
1.664537180E-1,-1.335918903E-3,-1.052806973E-1,-7.313728333E-2,1.281985652E-1
1.746592950E-1,7.347178459E-2,-8.402282000E-2,-6.899833679E-3,1.118281946E-1
1.828371030E-1,3.021985292E-2,-5.984079838E-2,3.773117065E-2,7.692725070E-2
1.910144100E-1,-2.857983112E-3,-7.199865580E-2,6.555557251E-2,9.741410366E-2
1.991912950E-1,-4.498934746E-2,2.557039261E-5,1.323947906E-1,1.398299776E-1
2.073667180E-1,1.678240299E-2,1.217180490E-2,1.466093063E-1,1.480678581E-1
2.155420640E-1,1.297712326E-2,-2.010768652E-2,-1.232719421E-2,2.691996476E-2
2.237196020E-1,2.182739973E-2,-9.736666083E-2,-9.166622162E-2,1.354968568E-1
2.318971410E-1,-2.648115158E-3,-1.084876955E-1,-7.581043243E-2,1.323775443E-1
2.400745640E-1,-6.628841162E-3,-1.336806715E-1,1.646995544E-2,1.348544508E-1
2.482522180E-1,-3.250721097E-2,-1.118356884E-1,1.305999756E-1,1.749865526E-1
2.564570250E-1,-7.768100500E-2,-1.288243532E-1,2.185707092E-1,2.653360274E-1
2.646328710E-1,-1.146616936E-1,-1.201443672E-1,2.758026123E-1,3.219457313E-1
2.728096410E-1,-7.846426964E-2,-7.484591007E-2,3.546457291E-1,3.708532661E-1
2.809869100E-1,-6.562632322E-2,-5.230280757E-2,3.951539993E-1,4.039666832E-1
2.891640250E-1,-1.119738221E-1,-3.061616421E-2,3.668146133E-1,3.847446516E-1
2.973415640E-1,-1.268839836E-1,-5.734771490E-3,3.364343643E-1,3.596116160E-1
3.055186410E-1,-1.120934486E-1,-2.414706349E-2,3.011159897E-1,3.222093437E-1
3.136956410E-1,-2.551400661E-2,4.422843456E-3,3.076009750E-1,3.086889793E-1
3.218733710E-1,2.123892307E-2,1.303148270E-2,3.236227036E-1,3.245805996E-1
3.300508710E-1,7.872602344E-2,2.103665471E-2,3.683414459E-1,3.772475956E-1
3.382554100E-1,1.207015216E-1,5.221903324E-2,3.843145370E-1,4.061937323E-1
3.464315250E-1,1.792609394E-1,1.597273350E-2,3.907308578E-1,4.301862572E-1
3.546074860E-1,1.610865891E-1,5.584570765E-2,4.211187363E-1,4.543221569E-1
3.627835250E-1,1.525472403E-1,-2.456599474E-2,3.773250580E-1,4.077356349E-1
3.709591400E-1,1.843749583E-1,-5.528262258E-2,4.005908966E-1,4.444360022E-1
3.791357560E-1,1.850419343E-1,-4.337427020E-2,4.502220154E-1,4.886938795E-1
3.873127940E-1,2.942672372E-1,-5.902647972E-3,4.185352325E-1,5.116637460E-1
3.954894860E-1,2.900426984E-1,1.599162817E-2,3.965511322E-1,4.915621014E-1
4.036666400E-1,2.578522563E-1,-3.838539124E-3,4.033842087E-1,4.787706552E-1
4.118424860E-1,1.955348551E-1,-1.495343447E-2,3.312931061E-1,3.849839047E-1
4.200459480E-1,1.443797946E-1,-1.749059558E-2,2.617111206E-1,2.994063404E-1
4.282216400E-1,1.062988341E-1,-4.188963771E-2,2.113494873E-1,2.402556756E-1
4.363985250E-1,1.025284827E-1,-3.514465690E-2,1.227159500E-1,1.637267268E-1
4.445747550E-1,1.022456884E-1,-3.284874558E-2,7.721328735E-2,1.322690918E-1
4.527514860E-1,1.051891744E-1,-3.461667895E-2,6.284141541E-2,1.273268250E-1
4.609274090E-1,1.064935327E-1,-5.742055178E-2,2.454090118E-2,1.234513997E-1
4.691041010E-1,6.792548299E-2,-1.175518334E-1,5.386352539E-3,1.358724312E-1
4.772804860E-1,2.267718315E-2,-1.647924781E-1,5.086040497E-2,1.739471077E-1
4.854572550E-1,-3.885757923E-2,-1.850013435E-1,1.609687805E-1,2.482868439E-1
