"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.980125002E-3,-2.580484075E-2,6.761720181E-3,-1.524269718E-1,1.547436344E-1
1.190312499E-2,7.205675511E-2,-3.195272206E-2,1.127851886E-1,1.375996045E-1
2.182612500E-2,-3.014495485E-3,1.309551554E-2,-7.219206333E-2,7.343210278E-2
3.174912500E-2,2.775704334E-2,-8.124888875E-3,3.689593077E-3,2.915613779E-2
4.167212499E-2,1.672360322E-2,6.018283255E-3,-6.020527124E-2,6.277398604E-2
5.159412501E-2,4.519013308E-2,2.849677093E-2,-1.411283970E-2,5.525745493E-2
6.151712500E-2,2.535286926E-2,4.921390367E-2,-6.111042023E-2,8.245762399E-2
7.144012500E-2,1.529699223E-2,6.310068453E-2,-5.527431428E-2,8.526983159E-2
8.136312501E-2,-4.032934271E-3,6.281195085E-2,-8.610843658E-2,1.066595921E-1
9.128512500E-2,3.107521031E-3,5.852459874E-2,-9.433079123E-2,1.110544169E-1
1.012081250E-1,1.697828600E-2,6.981343428E-2,-9.402790546E-2,1.183360672E-1
1.111311250E-1,2.669948302E-2,6.071090008E-2,-3.833668470E-2,7.660533386E-2
1.210541250E-1,3.126517173E-2,3.854351168E-2,-3.039967418E-2,5.820011552E-2
1.309771250E-1,4.010528471E-2,2.220232551E-2,1.301122427E-2,4.765153803E-2
1.408991250E-1,2.853866989E-2,-2.056118567E-4,3.411967278E-2,4.448201913E-2
1.508221250E-1,3.307751622E-2,-1.885008023E-2,3.651352286E-2,5.275116071E-2
1.607451250E-1,4.102812152E-2,-3.036417061E-2,5.148181021E-2,7.249597503E-2
1.706681250E-1,4.688156812E-2,-5.923810523E-2,5.043340445E-2,9.083260882E-2
1.805901250E-1,5.892197186E-2,-5.654418334E-2,1.869764149E-2,8.377735515E-2
1.905131250E-1,6.176817717E-2,-4.593226352E-2,-1.138979137E-2,7.781264608E-2
2.004361250E-1,5.264266524E-2,-3.208916319E-2,-5.209986091E-2,8.071778060E-2
2.103591250E-1,6.581041217E-2,-1.988958727E-2,-8.547986090E-2,1.096969127E-1
2.202821250E-1,4.825151592E-2,9.204705153E-4,-7.394856691E-2,8.830315172E-2
2.302041250E-1,4.602493275E-2,-3.653906789E-3,-1.176541650E-1,1.263888762E-1
2.401271250E-1,3.651823718E-2,8.735246826E-3,-1.071701074E-1,1.135575541E-1
2.500501250E-1,3.304438809E-2,1.180635980E-2,-7.033908069E-2,7.860603023E-2
2.599731250E-1,4.361129349E-2,1.563551861E-2,-2.586866677E-2,5.306224913E-2
2.698961250E-1,2.993419927E-2,2.019993737E-2,-4.449146390E-3,3.638528080E-2
2.798181250E-1,1.431897232E-2,2.341861946E-2,-1.596874595E-3,2.749572174E-2
2.897411250E-1,4.421755839E-3,1.220211580E-2,8.151018620E-4,1.300415110E-2
2.996641250E-1,1.301831402E-2,1.751419245E-2,1.534250915E-2,2.667613211E-2
3.095871250E-1,1.454458348E-2,3.085795884E-2,1.040628970E-2,3.566580152E-2
3.195091250E-1,1.160637589E-2,3.518183777E-2,1.355267644E-2,3.944800006E-2
3.294321250E-1,-1.630788445E-3,2.578822187E-2,-1.860584021E-3,2.590663296E-2
3.393551250E-1,1.585337307E-2,3.942412977E-2,2.134058297E-2,4.755009913E-2
3.492781250E-1,2.202792317E-2,6.058852882E-2,3.286486030E-2,7.236227101E-2
3.592011250E-1,3.995709434E-2,6.618245954E-2,3.615742743E-2,8.534662792E-2
3.691231250E-1,5.119748935E-2,5.827085699E-2,-7.255225182E-3,7.790580198E-2
3.790461250E-1,5.761844477E-2,5.497384049E-2,1.893971622E-2,8.185793282E-2
3.889691250E-1,5.318768056E-2,3.802736700E-2,-2.132947326E-2,6.877467872E-2
3.988921250E-1,6.224730168E-2,2.199362559E-2,-2.087397516E-2,6.923993769E-2
4.088151250E-1,5.696185727E-2,1.613887251E-2,-2.715446949E-2,6.513433505E-2
4.187371250E-1,4.022524400E-2,6.120161852E-3,-3.327708900E-2,5.256321231E-2
4.286601250E-1,2.256809626E-2,-1.632876084E-2,-8.969979644E-2,9.392550708E-2
4.385831250E-1,1.229236392E-2,-2.302592411E-2,-8.535239160E-2,8.925427801E-2
4.485061250E-1,-8.746904712E-3,-9.249271899E-3,-9.102769911E-2,9.191354295E-2
4.584281250E-1,-4.515121255E-2,2.620036835E-3,-8.383679330E-2,9.525809414E-2
4.683511250E-1,-6.725250000E-2,-2.512018662E-3,-4.670463502E-2,8.191783644E-2
4.782741250E-1,-7.269126937E-2,-8.624615679E-3,-3.980901361E-2,8.332563952E-2
4.881971250E-1,-7.751019733E-2,-1.586077346E-2,-1.764631212E-2,8.106039203E-2
4.981201250E-1,-6.473774046E-2,-1.286629555E-2,1.409412861E-2,6.749193331E-2
5.080421250E-1,-4.004931590E-2,-6.586047895E-3,1.080565453E-2,4.200102261E-2
5.179651250E-1,-1.981445968E-2,2.395987976E-3,2.862212062E-2,3.489382982E-2
5.278881250E-1,9.535657559E-3,-2.504252829E-3,3.401032984E-2,3.541048691E-2
5.378111250E-1,2.799730908E-2,7.666357532E-3,2.592480004E-2,3.891937320E-2
