"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.063833337E-3,-8.712903884E-1,3.486687385E-1,-1.839980772E0,2.065489305E0
7.859166668E-3,1.458989758E-1,-1.183291895E-2,1.329180876E0,1.337216636E0
1.778116667E-2,3.353658112E-1,-1.192721170E-1,5.334514242E-1,6.413006216E-1
2.770416667E-2,3.792257758E-1,-1.269547097E-1,3.691323853E-1,5.442319406E-1
3.762616667E-2,3.850331208E-1,-1.680559945E-1,6.988603842E-1,8.154134890E-1
4.754916666E-2,4.265171972E-2,-2.111919276E-2,3.891146600E-1,3.920145509E-1
5.747216666E-2,-5.877288248E-1,2.688022411E-1,-1.913611250E0,2.019798958E0
6.739416666E-2,-5.121007914E-1,2.168523796E-1,-1.312022222E0,1.425017363E0
7.731716667E-2,9.249582533E-3,-2.367093595E-2,6.286253840E-1,6.291388888E-1
8.724016666E-2,2.464684172E-1,-1.494206076E-1,7.427928543E-1,7.967524227E-1
9.716216667E-2,3.696228936E-1,-1.977424180E-1,4.605875158E-1,6.227872888E-1
1.070851667E-1,1.730111443E-1,-1.646813836E-1,6.359466827E-1,6.793239267E-1
1.170071667E-1,-5.619262407E-2,-2.256625073E-2,-3.306074202E-2,6.899173382E-2
1.269301667E-1,-6.517788231E-1,1.973816265E-1,-1.968329494E0,2.082809674E0
1.368531667E-1,-9.034670862E-2,1.245282431E-2,5.072459579E-2,1.043579667E-1
1.467751667E-1,5.339381319E-2,-8.498178776E-2,4.135560215E-1,4.255600856E-1
1.566981667E-1,3.182455658E-1,-1.610091312E-1,6.354058152E-1,7.286595436E-1
1.666211667E-1,2.739819606E-1,-1.324503158E-1,5.245513773E-1,6.064349498E-1
1.765431667E-1,9.308348877E-2,-6.108979052E-2,1.181950325E-1,1.623778436E-1
1.864661667E-1,-8.816429934E-2,4.901486993E-2,-3.618145949E-1,3.756131018E-1
1.963891667E-1,-3.976366114E-1,1.728584589E-1,-1.299192846E0,1.369633883E0
2.063111667E-1,1.238867305E-1,-4.035539023E-2,3.422954196E-1,3.662548754E-1
2.162341667E-1,7.119842039E-2,-3.805735225E-2,1.176635206E-1,1.426964653E-1
2.261561667E-1,7.428381337E-2,-4.285536728E-2,1.031191564E-1,1.341201992E-1
2.360791667E-1,1.439261800E-1,-6.751871277E-2,2.054401678E-1,2.597675584E-1
2.460021667E-1,1.005649281E-1,-5.674265063E-2,1.006352592E-1,1.531681708E-1
2.559241667E-1,9.912002631E-2,-5.511192614E-2,1.049493349E-1,1.545201181E-1
2.658471667E-1,8.178268472E-2,-5.978865713E-2,1.321476585E-1,1.665115452E-1
2.757701667E-1,-8.620296048E-2,2.661292596E-2,-2.562770301E-1,2.716930518E-1
2.856921667E-1,-3.857568599E-1,1.327359797E-1,-9.918807328E-1,1.072499223E0
2.956151667E-1,3.292718796E-2,-6.481512470E-2,2.645087403E-1,2.743174690E-1
3.055371667E-1,-1.295938505E-2,-4.673415433E-2,1.437567204E-1,1.517169124E-1
3.154601667E-1,1.217006575E-2,-5.060190476E-2,1.587098050E-1,1.670253438E-1
3.253831667E-1,1.917852016E-2,-5.669653986E-2,1.522153026E-1,1.635598105E-1
3.353048750E-1,3.329205422E-2,-3.753053639E-2,1.716368294E-1,1.788186322E-1
3.452278750E-1,-8.813581243E-3,-3.107226843E-2,7.347728133E-2,8.026254389E-2
3.551508750E-1,-2.937307487E-1,1.111619101E-1,-7.166113615E-1,7.824107402E-1
3.650728750E-1,-7.225296574E-2,1.747698041E-2,-4.885757983E-2,8.895503925E-2
3.749958750E-1,4.054209913E-2,-3.247028288E-2,2.155026412E-1,2.216740162E-1
3.849188750E-1,2.925864486E-2,-2.479175583E-2,1.463423592E-1,1.512837914E-1
3.948408750E-1,5.324445337E-2,-2.725061964E-2,1.394502461E-1,1.517364136E-1
4.047638750E-1,4.881730256E-2,-2.864267724E-2,8.184230804E-2,9.950726292E-2
4.146858750E-1,-5.625641811E-2,1.742981896E-2,-2.217188162E-1,2.294075339E-1
4.246088750E-1,-8.540320756E-2,3.066223243E-2,-3.033225578E-1,3.166045711E-1
4.345318750E-1,5.162335851E-2,-3.277227329E-2,6.849545360E-2,9.181840885E-2
4.444538750E-1,7.861065245E-2,-4.092767732E-2,9.753331125E-2,1.317856451E-1
4.543768750E-1,7.152654056E-2,-4.434427852E-2,7.149390578E-2,1.104257199E-1
4.642998750E-1,5.634514504E-2,-3.535327082E-2,-1.965132236E-2,6.935995673E-2
4.742218750E-1,-3.545279683E-2,9.358925465E-3,-2.450895524E-1,2.478172290E-1
4.841448750E-1,3.825184526E-3,-1.864534546E-2,-1.042400676E-1,1.059635439E-1
4.940668750E-1,5.132595907E-2,-3.469618997E-2,6.400888503E-2,8.908039647E-2
5.039898750E-1,3.907417391E-2,-3.160431024E-2,1.132371783E-2,5.151553240E-2
5.139128750E-1,-1.966797323E-2,-2.079394139E-2,-1.010901725E-1,1.050639812E-1
5.238348750E-1,-3.801908496E-2,-3.095199851E-2,-1.247456682E-1,1.340334240E-1
5.337578750E-1,-4.696282614E-3,-7.666251551E-2,-1.742060959E-2,7.875705679E-2
5.436808750E-1,1.788951061E-3,-7.128413692E-2,2.359585404E-2,7.510920616E-2
5.536028750E-1,-4.275668638E-2,-5.512672691E-2,-4.570534587E-2,8.340305085E-2
5.635258750E-1,-5.783290511E-2,-3.573710399E-2,-6.890943646E-2,9.680028899E-2
5.734478750E-1,-4.597702669E-2,-2.836036636E-2,-7.841700912E-3,5.458653347E-2
5.833708750E-1,-2.368173046E-2,-4.177945219E-2,3.496927321E-2,5.940704547E-2
5.932938750E-1,-2.242369287E-2,-2.632063827E-2,6.378727555E-3,3.516086128E-2
6.032158750E-1,-2.411199873E-2,-3.224257037E-2,-2.326080859E-2,4.649771008E-2
6.131388750E-1,-2.360790479E-3,-3.501957754E-2,-1.742645681E-2,3.918705832E-2
6.230618750E-1,1.060854397E-2,-2.628078584E-2,4.726304412E-3,2.873254014E-2
6.329838750E-1,6.599642672E-3,-1.563783009E-3,-8.897708058E-3,1.118793589E-2
6.429068750E-1,1.397615646E-2,3.517862180E-2,-2.221941948E-2,4.389272130E-2
6.528288750E-1,3.206599359E-3,5.526636573E-2,-3.539144218E-2,6.570546126E-2
6.627518750E-1,7.921844311E-3,3.823364580E-2,-3.793848932E-2,5.444167760E-2
6.726748750E-1,-2.033867170E-3,3.193250349E-2,-3.315137386E-2,4.607423340E-2
6.825968750E-1,1.085657555E-2,2.844789186E-2,-4.632748961E-2,5.543811034E-2
6.925198750E-1,1.659467211E-2,1.773661505E-3,-6.234535217E-2,6.454046758E-2
7.024428750E-1,1.436754076E-2,-2.871260628E-2,-6.459302187E-2,7.213250627E-2
7.123648750E-1,1.622241004E-2,-2.795979554E-2,-4.677889466E-2,5.686107403E-2
7.222878750E-1,1.131791630E-2,-9.513913225E-3,-4.093401790E-2,4.352244933E-2
7.322108750E-1,-6.893757619E-3,-1.978356080E-2,-5.005976737E-2,5.426687277E-2
7.421328750E-1,-3.319464326E-2,-1.161220483E-2,2.409052849E-4,3.516796380E-2
7.520558750E-1,-2.440535080E-2,-3.267153673E-2,-4.481306076E-2,6.059093063E-2
7.619778750E-1,-1.289356733E-3,-5.596686216E-2,-3.538208663E-2,6.622570615E-2
7.719008750E-1,2.581981968E-2,-6.257808963E-2,-2.700127244E-2,7.288174739E-2
7.818238750E-1,1.879815878E-2,-7.548797434E-2,1.670257151E-2,7.956620475E-2
7.917458750E-1,7.129578567E-3,-7.840893265E-2,-1.473732233E-2,8.009981448E-2
8.016688750E-1,-2.939538748E-2,-4.621087421E-2,7.865674496E-3,5.532994248E-2
8.115918750E-1,-5.324730846E-2,-6.684538761E-2,-4.078608334E-2,9.469470047E-2
8.215138750E-1,-2.585603130E-2,-6.686230799E-2,-3.435180724E-2,7.949307671E-2
8.314368750E-1,-1.645607939E-2,-4.921087956E-2,-2.537223816E-2,5.776039894E-2
8.413588750E-1,-2.684333366E-2,-3.264093021E-2,-4.244493842E-2,5.989630777E-2
8.512818750E-1,-4.078296330E-2,-1.167941127E-2,-1.207099199E-2,4.410632144E-2
8.612048750E-1,-4.090181253E-2,-4.127366804E-3,-4.148014784E-3,4.131827019E-2
8.711268750E-1,-1.222364087E-2,1.558129482E-2,-1.373978734E-2,2.410344167E-2
8.810498750E-1,2.008702673E-2,3.515462995E-2,2.472729027E-2,4.744233904E-2
8.909728750E-1,2.002780996E-3,2.319976000E-2,3.766776323E-3,2.358873883E-2
9.008948750E-1,1.426187518E-2,1.158245713E-2,2.862212062E-3,1.859426402E-2
9.108178750E-1,2.457416631E-2,-1.111009346E-2,-4.309514880E-2,5.083813212E-2
9.207408750E-1,6.498037250E-2,-2.038631737E-3,1.124010265E-2,6.597685001E-2
9.306628750E-1,7.785227772E-2,3.888325319E-2,2.066873789E-2,8.944317330E-2
9.405858750E-1,4.670172512E-2,3.841511048E-2,-1.780301750E-2,6.303744343E-2
9.505078750E-1,-6.444613799E-3,2.767934846E-2,-4.354596913E-2,5.199933466E-2
9.604308750E-1,-3.545194259E-2,5.062755028E-2,-3.111654282E-2,6.919702535E-2
9.703538750E-1,-4.560058478E-2,4.255157702E-2,-5.611280501E-2,8.389694228E-2
9.802758750E-1,-2.391030177E-2,2.422315065E-2,-2.153646469E-2,4.027757279E-2
9.901988750E-1,-1.070478092E-2,-2.267725646E-2,-4.354304552E-2,5.024785676E-2
1.000121875E0,-1.821686789E-2,-4.800291790E-2,-2.213755846E-2,5.591248427E-2
1.010043875E0,-3.844436027E-2,-6.789399438E-2,-6.778677106E-2,1.033567107E-1
1.019966875E0,-4.750575382E-2,-6.263469798E-2,-5.760150611E-2,9.745683939E-2
1.029888875E0,-7.381075535E-2,-5.859516732E-2,-6.658282936E-2,1.153893167E-1
1.039811875E0,-4.109432754E-2,-3.905201845E-2,-4.202920139E-2,7.057094069E-2
1.049734875E0,-1.948292255E-3,-3.869082497E-2,-2.466121674E-2,4.592332077E-2
1.059656875E0,-6.607997795E-3,-3.058908742E-2,-8.940977454E-3,3.254687361E-2
1.069579875E0,-5.574383656E-3,-5.667879721E-2,-6.400946975E-3,5.731083605E-2
1.079502875E0,1.804111338E-2,-6.916344317E-2,-1.688792825E-2,7.344566538E-2
1.089424875E0,4.317925278E-2,-5.491693977E-2,-1.405670643E-2,7.125944948E-2
1.099347875E0,6.198784062E-2,-3.730963955E-2,-9.874777794E-3,7.302063286E-2
1.109269875E0,5.838189927E-2,-4.825261228E-2,-2.141016483E-2,7.870931274E-2
1.119192875E0,4.313949171E-2,-3.460080726E-2,1.485777497E-3,5.532123591E-2
1.129115875E0,2.863163605E-2,-1.163128138E-2,-5.104619265E-3,3.132274616E-2
1.139037875E0,3.284003247E-2,7.303409893E-3,-6.607938409E-3,3.428516266E-2
1.148960875E0,2.990195279E-2,1.340450434E-2,-3.880095363E-2,5.078702117E-2
1.158883875E0,1.148825300E-2,1.103499329E-2,-4.464641511E-2,4.740309501E-2
1.168805875E0,-1.287508008E-2,1.776097236E-2,-4.494813144E-2,5.001554105E-2
