"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.658984184E-3,4.300030770E1,-7.879338478E1,1.856986323E2,1.509891447E2,NaN,NaN,2.317217641E-3,9.090269501E1,1.756366656E1,-1.000000000E0
5.391204357E-2,4.300030130E1,-7.879335767E1,1.856986323E2,1.509891631E2,NaN,NaN,5.745184181E-2,9.804462199E1,1.757506759E1,-1.000000000E0
6.165226698E-1,4.299980862E1,-7.879343405E1,1.727987061E2,1.380902497E2,3.100000024E-1,2.710546875E2,5.881125739E-2,1.385951249E1,6.000000000E0,-1.000000000E0
1.850509763E0,4.299980731E1,-7.879341743E1,1.770752563E2,1.423668075E2,1.800000072E-1,NaN,5.955062270E-2,3.533251095E0,3.000000000E0,-1.000000000E0
2.850494027E0,4.299981213E1,-7.879341117E1,1.793859863E2,1.446775267E2,3.000000119E-1,1.251562500E2,5.998211919E-2,3.179251650E0,3.000000000E0,-1.000000000E0
3.850477695E0,4.299980826E1,-7.879341080E1,1.807821655E2,1.460737159E2,3.000000119E-1,1.557421875E2,6.050445370E-2,3.535533906E0,3.000000000E0,-1.000000000E0
4.850462556E0,4.299980356E1,-7.879341105E1,1.812827148E2,1.465742772E2,6.200000048E-1,1.511718750E2,6.137647448E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.850445032E0,4.299979577E1,-7.879340988E1,1.822640381E2,1.475556206E2,9.399999976E-1,1.655859375E2,6.235510470E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.851770282E0,4.299978701E1,-7.879340870E1,1.822525635E2,1.475441687E2,9.399999976E-1,1.638281250E2,6.331175032E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.851777196E0,4.299977854E1,-7.879340661E1,1.829234619E2,1.482150893E2,9.499999881E-1,1.599609375E2,6.441121707E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.851752996E0,4.299976937E1,-7.879340158E1,1.829440918E2,1.482357439E2,1.080000043E0,1.511718750E2,6.550786057E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.851755857E0,4.299976077E1,-7.879339496E1,1.832783813E2,1.485700570E2,1.090000033E0,1.451953125E2,6.665062730E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.085176110E1,4.299975218E1,-7.879338725E1,1.833571167E2,1.486488163E2,1.090000033E0,1.402734375E2,6.780736509E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.185173619E1,4.299974401E1,-7.879337844E1,1.832871704E2,1.485788931E2,1.110000014E0,1.364062500E2,6.891447369E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.285173762E1,4.299973647E1,-7.879336956E1,1.836032104E2,1.488949547E2,1.110000014E0,1.353515625E2,7.002352852E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.385173965E1,4.299972936E1,-7.879335999E1,1.836032106E2,1.488949754E2,1.110000014E0,1.353515690E2,7.114888576E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.485171425E1,4.299972250E1,-7.879334981E1,1.833328859E2,1.486246707E2,1.149999976E0,1.332421945E2,7.219201485E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.585171306E1,4.299971702E1,-7.879333941E1,1.836338502E2,1.489256517E2,1.149999976E0,1.300781324E2,7.329684647E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.685171735E1,4.299971212E1,-7.879332759E1,1.840519411E2,1.493437581E2,1.149999976E0,1.262109453E2,7.462508154E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.785169268E1,4.299970652E1,-7.879331316E1,1.842935793E2,1.495854142E2,1.289999962E0,1.226953216E2,7.581021547E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.885169673E1,4.299970177E1,-7.879330012E1,1.844245607E2,1.497164111E2,1.289999962E0,1.205859468E2,7.657362301E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.985170174E1,4.299969924E1,-7.879329139E1,1.844543458E2,1.497462049E2,1.019999981E0,1.181250075E2,7.758349289E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.085167754E1,4.299969646E1,-7.879327957E1,1.848164674E2,1.501083365E2,1.080000043E0,1.146093832E2,7.875330556E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.185165381E1,4.299969424E1,-7.879326550E1,1.851112672E2,1.504031455E2,1.080000043E0,1.110937584E2,8.018731149E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.285163200E1,4.299969183E1,-7.879324818E1,1.851680300E2,1.504599188E2,1.269999981E0,1.086328226E2,8.133334219E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.385160923E1,4.299969019E1,-7.879323427E1,1.852172853E2,1.505091819E2,1.269999981E0,1.086328226E2,8.234628100E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.485158670E1,4.299968931E1,-7.879322187E1,1.852720949E2,1.505639968E2,1.190000057E0,1.075781345E2,8.361563452E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.585156524E1,4.299968762E1,-7.879320644E1,1.853645632E2,1.506564733E2,1.269999981E0,1.065234477E2,8.474558365E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.685154343E1,4.299968697E1,-7.879319257E1,1.855068971E2,1.507988124E2,1.200000048E0,1.037109473E2,8.610005013E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.785152280E1,4.299968611E1,-7.879317596E1,1.857655641E2,1.510574858E2,1.269999981E0,1.019531354E2,8.733987513E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.885150230E1,4.299968614E1,-7.879316071E1,1.857023927E2,1.509943182E2,1.200000048E0,9.843750993E1,8.862249403E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.985148072E1,4.299968651E1,-7.879314495E1,1.855101930E2,1.508021215E2,1.220000029E0,9.527344766E1,9.003307039E-2,4.748651530E0,4.029364438E0,-1.000000000E0
3.085146070E1,4.299968705E1,-7.879312762E1,1.854782717E2,1.507702031E2,1.309999943E0,9.246094845E1,9.136558843E-2,4.748651530E0,4.029364438E0,-1.000000000E0
3.185144007E1,4.299968776E1,-7.879311126E1,1.851067507E2,1.503986845E2,1.309999943E0,9.105469845E1,9.271709539E-2,4.748651530E0,4.029364438E0,-1.000000000E0
