"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.956239223E-1,4.300376365E1,-7.878543031E1,1.775853271E2,1.428716044E2,1.700000018E-1,NaN,3.638463693E-4,3.516776467E0,3.000000000E0,-1.000000000E0
1.895897746E0,4.300376292E1,-7.878542595E1,1.773188477E2,1.426051273E2,2.500000000E-1,5.343750000E1,1.320992563E-3,3.535533906E0,3.000000000E0,-1.000000000E0
2.895904660E0,4.300376359E1,-7.878541421E1,1.767491455E2,1.420354269E2,2.500000000E-1,8.296875000E1,2.861580842E-3,3.535533906E0,3.000000000E0,-1.000000000E0
3.895885468E0,4.300376338E1,-7.878539527E1,1.763727417E2,1.416590282E2,1.039999962E0,8.859375000E1,4.607368265E-3,3.535533906E0,3.000000000E0,-1.000000000E0
4.895894885E0,4.300376288E1,-7.878537381E1,1.759010010E2,1.411872938E2,1.549999952E0,8.964843750E1,6.484565218E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.895899892E0,4.300376196E1,-7.878535076E1,1.761757812E2,1.414620815E2,1.679999948E0,9.175781250E1,8.321762240E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.895879984E0,4.300376091E1,-7.878532821E1,1.762747803E2,1.415610881E2,1.559999943E0,9.140625000E1,1.006695875E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.895888805E0,4.300376062E1,-7.878530676E1,1.756044922E2,1.408908059E2,1.629999995E0,8.789062500E1,1.169261297E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.895899296E0,4.300376116E1,-7.878528678E1,1.756044924E2,1.408908102E2,1.629999995E0,8.789063863E1,1.322583017E-2,4.748651530E0,4.029364438E0,-1.000000000E0
9.895882130E0,4.300376163E1,-7.878526793E1,1.754435427E2,1.407298643E2,1.529999971E0,8.542970026E1,1.473859668E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.089588845E1,4.300376193E1,-7.878524934E1,1.752189333E2,1.405052591E2,1.529999971E0,8.507813775E1,1.625173725E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.189589453E1,4.300376053E1,-7.878523083E1,1.751729739E2,1.404593067E2,1.509999990E0,8.859376263E1,1.779535002E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.289587498E1,4.300375898E1,-7.878521196E1,1.752069094E2,1.404932498E2,1.509999990E0,9.035157513E1,1.941627824E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.389588416E1,4.300375714E1,-7.878519219E1,1.752119143E2,1.404982630E2,1.509999990E0,9.175782513E1,2.108896127E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.489589465E1,4.300375603E1,-7.878517167E1,1.753549197E2,1.406412755E2,1.590000033E0,9.140626330E1,2.262292079E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.589587700E1,4.300375614E1,-7.878515281E1,1.757368166E2,1.410231770E2,1.590000033E0,8.929688830E1,2.395908076E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.689585507E1,4.300375666E1,-7.878513640E1,1.756180422E2,1.409044057E2,1.460000038E0,8.789063720E1,2.531895006E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.789583468E1,4.300375797E1,-7.878511977E1,1.756127932E2,1.408991585E2,1.429999948E0,8.648438694E1,2.653754341E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.889581347E1,4.300375849E1,-7.878510480E1,1.758128054E2,1.410991735E2,1.330000043E0,8.753907361E1,2.720644143E-2,4.748651530E0,4.029364438E0,-1.000000000E0
1.989579260E1,4.300376187E1,-7.878509800E1,1.754004518E2,1.406868155E2,9.300000072E-1,7.699219508E1,2.909949352E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.089577198E1,4.300377761E1,-7.878508913E1,1.754177248E2,1.407040624E2,1.480000019E0,4.218750831E1,3.093358483E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.189575124E1,4.300379356E1,-7.878509487E1,1.749838869E2,1.402701943E2,1.480000019E0,1.089843984E1,3.259776179E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.289573061E1,4.300380801E1,-7.878510020E1,1.746981203E2,1.399844002E2,1.490000010E0,1.406250306E0,3.411412134E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.389571023E1,4.300382157E1,-7.878510221E1,1.743383791E2,1.396246340E2,1.490000010E0,3.515625764E0,3.549758447E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.489568996E1,4.300383396E1,-7.878510379E1,1.741136477E2,1.393998798E2,1.470000029E0,3.867188329E0,3.684032126E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.589566958E1,4.300384596E1,-7.878510563E1,1.740093996E2,1.392956097E2,1.470000029E0,2.812500603E0,3.812684086E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.689564919E1,4.300385744E1,-7.878510362E1,1.737395632E2,1.390257530E2,1.440000057E0,6.679688901E0,3.943413693E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.789562964E1,4.300386912E1,-7.878510180E1,1.737419436E2,1.390281127E2,1.419999957E0,6.679688882E0,4.177505568E-2,4.748651530E0,4.029364438E0,-1.000000000E0
2.889560938E1,4.300388881E1,-7.878511198E1,1.733435366E2,1.386296677E2,1.502661918E0,2.182855731E0,4.336656054E-2,2.156223652E0,3.000000000E0,-1.000000000E0
2.989558935E1,4.300390300E1,-7.878510943E1,1.729664123E2,1.382525184E2,1.469451573E0,4.215407751E0,4.474523792E-2,2.581888662E0,3.000000000E0,-1.000000000E0
3.089556944E1,4.300391375E1,-7.878510099E1,1.727194934E2,1.380055822E2,1.441613648E0,9.697732420E0,4.606671500E-2,2.650912766E0,3.000000000E0,-1.000000000E0
3.189554989E1,4.300392563E1,-7.878510029E1,1.726334307E2,1.379194982E2,1.406488303E0,9.339675728E0,4.764155525E-2,2.591332910E0,3.000000000E0,-1.000000000E0
3.289553010E1,4.300393905E1,-7.878510648E1,1.722899693E2,1.375760110E2,1.406002106E0,3.585759944E2,4.917937011E-2,2.656576415E0,3.000000000E0,-1.000000000E0
3.389550996E1,4.300395288E1,-7.878510679E1,1.719555317E2,1.372415484E2,1.471633693E0,1.563688969E0,5.086024779E-2,2.576599313E0,3.000000000E0,-1.000000000E0
3.489549041E1,4.300396786E1,-7.878510403E1,1.718569770E2,1.371429673E2,1.551180790E0,4.853107088E0,5.232449543E-2,2.548538775E0,3.000000000E0,-1.000000000E0
3.589547074E1,4.300398098E1,-7.878510251E1,1.715055380E2,1.367915050E2,1.453569636E0,7.252767273E0,5.375815753E-2,2.572311267E0,3.000000000E0,-1.000000000E0
3.689545059E1,4.300399379E1,-7.878510056E1,1.713353153E2,1.366212597E2,1.462885768E0,8.325149234E0,5.503213610E-2,2.566010776E0,3.000000000E0,-1.000000000E0
3.789543140E1,4.300400507E1,-7.878509783E1,1.712970191E2,1.365829439E2,1.375118040E0,8.546912551E0,5.632080601E-2,2.589580610E0,3.000000000E0,-1.000000000E0
3.889541149E1,4.300401665E1,-7.878509865E1,1.711845856E2,1.364704893E2,1.331424908E0,2.358832261E0,5.759034230E-2,2.558710829E0,3.000000000E0,-1.000000000E0
3.989539254E1,4.300402800E1,-7.878509698E1,1.712142702E2,1.365001537E2,1.342758453E0,8.214197425E0,5.872523785E-2,2.541106019E0,3.000000000E0,-1.000000000E0
4.089537263E1,4.300403721E1,-7.878509096E1,1.711866664E2,1.364725348E2,1.083542220E0,9.093069008E0,6.030235604E-2,2.606622249E0,3.000000000E0,-1.000000000E0
4.189535308E1,4.300405139E1,-7.878509093E1,1.711696084E2,1.364554512E2,1.425865228E0,7.743554005E0,6.158521624E-2,2.559959002E0,3.000000000E0,-1.000000000E0
4.289533365E1,4.300406291E1,-7.878508994E1,1.710991051E2,1.363849274E2,1.387309227E0,6.388428607E0,6.297442235E-2,2.558267812E0,3.000000000E0,-1.000000000E0
4.389531434E1,4.300407523E1,-7.878508711E1,1.709947413E2,1.362805421E2,1.368049107E0,1.066674578E1,6.456009056E-2,2.521049958E0,3.000000000E0,-1.000000000E0
4.489529479E1,4.300408936E1,-7.878508451E1,1.710886883E2,1.363744642E2,1.356036299E0,3.587189434E0,6.598705811E-2,2.500857903E0,3.000000000E0,-1.000000000E0
4.589527547E1,4.300410099E1,-7.878507709E1,1.711549809E2,1.364407377E2,1.369709027E0,1.156188175E1,6.755771675E-2,2.471395676E0,3.000000000E0,-1.000000000E0
4.689525616E1,4.300411478E1,-7.878507288E1,1.711528832E2,1.364386161E2,1.375177727E0,1.083560427E1,6.913995397E-2,2.474350768E0,3.000000000E0,-1.000000000E0
4.789523673E1,4.300412889E1,-7.878507043E1,1.712550429E2,1.365407509E2,1.395480273E0,1.285265261E1,7.055122921E-2,2.449384939E0,3.000000000E0,-1.000000000E0
4.889521742E1,4.300414144E1,-7.878506783E1,1.712807673E2,1.365664533E2,1.358404699E0,1.039969922E1,7.205059266E-2,2.426915692E0,3.000000000E0,-1.000000000E0
4.989519823E1,4.300415475E1,-7.878506482E1,1.711554902E2,1.364411530E2,1.381608386E0,1.108964704E1,7.327772919E-2,2.416125593E0,3.000000000E0,-1.000000000E0
5.089517844E1,4.300416578E1,-7.878506535E1,1.714325309E2,1.367181736E2,1.252809590E0,5.301813422E0,7.438160307E-2,2.450950669E0,3.000000000E0,-1.000000000E0
5.189515996E1,4.300417568E1,-7.878506438E1,1.715288477E2,1.368144728E2,1.231265157E0,5.446847949E0,7.563797973E-2,2.428403135E0,3.000000000E0,-1.000000000E0
5.289513981E1,4.300418666E1,-7.878506077E1,1.717565902E2,1.370421964E2,1.235156678E0,5.801308114E0,7.677197355E-2,2.491222659E0,3.000000000E0,-1.000000000E0
5.389512193E1,4.300419664E1,-7.878505789E1,1.717074225E2,1.369930114E2,1.208494229E0,8.381739101E0,7.783968397E-2,2.466661525E0,3.000000000E0,-1.000000000E0
5.489510226E1,4.300419572E1,-7.878507096E1,1.715592392E2,1.368448265E2,6.482363002E-1,3.193582725E2,7.960310821E-2,2.494539565E0,3.000000000E0,-1.000000000E0
5.589508247E1,4.300418060E1,-7.878507752E1,1.713961072E2,1.366817201E2,6.852218728E-1,2.352543824E2,8.210718966E-2,2.547151723E0,3.000000000E0,-1.000000000E0
5.689506328E1,4.300416241E1,-7.878509567E1,1.712811977E2,1.365668390E2,1.487609169E0,2.224164352E2,8.374481369E-2,2.569912615E0,3.000000000E0,-1.000000000E0
5.789504409E1,4.300414953E1,-7.878510545E1,1.708675778E2,1.361532399E2,1.459456248E0,2.140742704E2,8.527228488E-2,2.574898251E0,3.000000000E0,-1.000000000E0
5.889502501E1,4.300413670E1,-7.878511214E1,1.707296707E2,1.360153542E2,1.492196765E0,2.090407060E2,8.680470841E-2,2.574668685E0,3.107426393E0,-1.000000000E0
5.989500546E1,4.300412510E1,-7.878512232E1,1.706945515E2,1.359802534E2,1.493213884E0,2.121129859E2,8.828506858E-2,2.558709534E0,3.176996898E0,-1.000000000E0
6.089498711E1,4.300411407E1,-7.878513252E1,1.704833575E2,1.357690767E2,1.494764290E0,2.130298329E2,8.998409220E-2,2.530774049E0,3.194679175E0,-1.000000000E0
6.189496756E1,4.300410069E1,-7.878514261E1,1.704779869E2,1.357637277E2,1.555604569E0,2.113514560E2,9.151296502E-2,2.522052210E0,3.009293873E0,-1.000000000E0
6.289494836E1,4.300408872E1,-7.878515185E1,1.702962812E2,1.355820414E2,1.530719858E0,2.104091912E2,9.303066296E-2,2.528134868E0,3.000000000E0,-1.000000000E0
6.389492929E1,4.300407647E1,-7.878516008E1,1.700784892E2,1.353642694E2,1.518286559E0,2.095655023E2,9.463914054E-2,2.547987306E0,3.000000000E0,-1.000000000E0
6.489491022E1,4.300406396E1,-7.878517002E1,1.704191320E2,1.357049323E2,1.516304031E0,2.086604380E2,9.609110029E-2,2.569381925E0,3.167038876E0,-1.000000000E0
6.589489079E1,4.300405270E1,-7.878517906E1,1.704026632E2,1.356884816E2,1.512626650E0,2.089196181E2,9.748822300E-2,2.633118875E0,3.325156692E0,-1.000000000E0
6.689487159E1,4.300404190E1,-7.878518784E1,1.701379415E2,1.354237772E2,1.502781026E0,2.095448971E2,9.894108750E-2,2.620456102E0,3.361608160E0,-1.000000000E0
6.789485335E1,4.300403088E1,-7.878519743E1,1.700728677E2,1.353587208E2,1.503411356E0,2.113288708E2,1.003802396E-1,2.589433294E0,3.348485260E0,-1.000000000E0
6.889483392E1,4.300401889E1,-7.878520410E1,1.698355364E2,1.351214096E2,1.502587828E0,2.073287182E2,1.018131838E-1,2.559961622E0,3.345818649E0,-1.000000000E0
6.989481497E1,4.300400694E1,-7.878521069E1,1.698339910E2,1.351198841E2,1.505066755E0,2.052772741E2,1.032045027E-1,2.531963539E0,3.329729755E0,-1.000000000E0
7.089479542E1,4.300399595E1,-7.878521888E1,1.697389934E2,1.350249043E2,1.500136625E0,2.067617197E2,1.047356964E-1,2.528801228E0,3.344420070E0,-1.000000000E0
7.189477623E1,4.300398394E1,-7.878522810E1,1.697154899E2,1.350014202E2,1.520477318E0,2.089435173E2,1.061999484E-1,2.523629346E0,3.417143729E0,-1.000000000E0
7.289475775E1,4.300397238E1,-7.878523671E1,1.695818000E2,1.348677490E2,1.533078610E0,2.082973830E2,1.076497899E-1,2.554035241E0,3.419274841E0,-1.000000000E0
7.389473832E1,4.300396135E1,-7.878524622E1,1.693928337E2,1.346788002E2,1.516931050E0,2.093965705E2,1.091070748E-1,2.548279277E0,3.385289059E0,-1.000000000E0
7.489471924E1,4.300394970E1,-7.878525443E1,1.693478627E2,1.346338481E2,1.529319125E0,2.084985475E2,1.106161580E-1,2.520865305E0,3.345222622E0,-1.000000000E0
7.589470065E1,4.300393764E1,-7.878526294E1,1.695423625E2,1.348283676E2,1.523129665E0,2.076087083E2,1.120505958E-1,2.519844786E0,3.309947338E0,-1.000000000E0
7.689468169E1,4.300392610E1,-7.878527083E1,1.691883155E2,1.344743394E2,1.522910367E0,2.077618054E2,1.135855133E-1,2.508843660E0,3.287169811E0,-1.000000000E0
7.789466202E1,4.300391428E1,-7.878528057E1,1.690129657E2,1.342990085E2,1.527069183E0,2.086357960E2,1.151077777E-1,2.483401465E0,3.268978316E0,-1.000000000E0
7.889464283E1,4.300390311E1,-7.878529139E1,1.691981553E2,1.344842156E2,1.534381392E0,2.110263816E2,1.161367839E-1,2.473952470E0,3.291704536E0,-1.000000000E0
7.989462364E1,4.300389477E1,-7.878529689E1,1.689538334E2,1.342399074E2,1.102577373E0,2.096833227E2,1.182009068E-1,2.454242959E0,3.289480841E0,-1.000000000E0
8.089460421E1,4.300387880E1,-7.878530982E1,1.689282090E2,1.342143086E2,1.694432066E0,2.104926140E2,1.191564455E-1,2.472364914E0,3.000000000E0,-1.000000000E0
8.189458609E1,4.300387135E1,-7.878531568E1,1.690025930E2,1.342887045E2,1.096718196E0,2.103039871E2,1.213258338E-1,2.448746683E0,3.145554224E0,-1.000000000E0
8.289456666E1,4.300385456E1,-7.878532926E1,1.691843008E2,1.344704393E2,1.725536395E0,2.094586837E2,1.221922177E-1,2.462635253E0,3.000000000E0,-1.000000000E0
8.389454710E1,4.300384795E1,-7.878533491E1,1.691893063E2,1.344754553E2,1.127793975E0,2.104484850E2,1.240285308E-1,2.452486718E0,3.171190105E0,-1.000000000E0
8.489452875E1,4.300383382E1,-7.878534660E1,1.691778930E2,1.344640646E2,1.521105257E0,2.103337768E2,1.250623455E-1,2.502512217E0,3.000000000E0,-1.000000000E0
8.589450955E1,4.300382532E1,-7.878535175E1,1.692520665E2,1.345382521E2,1.109740470E0,2.095763019E2,1.268226731E-1,2.501116965E0,3.218978970E0,-1.000000000E0
