"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.300889510E1,-7.878500570E1,1.767228959E2,NaN,NaN,4.890000153E1,5.461039066E0
5.847434960E-1,4.300807246E1,-7.878502707E1,1.788536639E2,0.000000000E0,NaN,7.261330605E0,1.257257557E1
1.657432093E0,4.300807793E1,-7.878497630E1,1.701906363E2,0.000000000E0,NaN,9.565538406E0,1.482503319E1
2.657966100E0,4.300813576E1,-7.878486489E1,1.733400049E2,8.600000143E-1,2.020000076E1,7.174008846E0,9.722367287E0
3.657547657E0,4.300816843E1,-7.878482222E1,1.775725972E2,1.200000048E0,2.000000000E1,6.497670650E0,8.610203743E0
4.657421559E0,4.300817531E1,-7.878480431E1,1.767596169E2,1.389999986E0,1.789999962E1,5.378003597E0,6.839229107E0
5.658066034E0,4.300820307E1,-7.878477262E1,1.786542514E2,1.590000033E0,1.979999924E1,5.079654217E0,6.114890099E0
6.657401133E0,4.300822188E1,-7.878475594E1,1.812162929E2,1.440000057E0,2.050000000E1,4.705050945E0,5.264212608E0
7.658109774E0,4.300823458E1,-7.878474589E1,1.809102221E2,1.500000000E0,1.820000076E1,4.423337936E0,4.637992859E0
8.657235811E0,4.300825142E1,-7.878473597E1,1.826354697E2,1.509999990E0,1.460000038E1,4.192358971E0,4.137716293E0
9.657900755E0,4.300826874E1,-7.878472522E1,1.827685550E2,1.549999952E0,1.660000038E1,4.106215954E0,3.905626297E0
1.065756221E1,4.300828584E1,-7.878471484E1,1.832729778E2,1.519999981E0,1.620000076E1,3.805690050E0,3.384750366E0
1.165726345E1,4.300830370E1,-7.878470555E1,1.841719335E2,1.559999943E0,1.500000000E1,3.790092468E0,3.134649277E0
1.265790262E1,4.300832147E1,-7.878469759E1,1.849303864E2,1.570000052E0,1.269999981E1,3.790092468E0,3.035072803E0
1.365764053E1,4.300833993E1,-7.878469037E1,1.848822612E2,1.620000005E0,8.800000191E0,3.790092468E0,2.876948357E0
1.465730526E1,4.300835862E1,-7.878468495E1,1.856264343E2,1.610000014E0,7.099999905E0,3.790092468E0,2.628062487E0
1.565797875E1,4.300837654E1,-7.878468014E1,1.857564093E2,1.620000005E0,5.000000000E0,3.790092468E0,2.503255844E0
1.665797869E1,4.300839341E1,-7.878467704E1,1.854898374E2,1.590000033E0,3.500000000E0,3.790092468E0,2.500000000E0
1.765765150E1,4.300841143E1,-7.878467349E1,1.861728524E2,1.629999995E0,1.200000048E0,3.790092468E0,2.500000000E0
1.865737811E1,4.300842723E1,-7.878467161E1,1.853762496E2,1.509999990E0,3.577999878E2,3.790092468E0,2.500000000E0
1.965808576E1,4.300844579E1,-7.878466853E1,1.848090216E2,1.629999995E0,3.552999878E2,3.790092468E0,2.500000000E0
2.065812128E1,4.300846478E1,-7.878466618E1,1.841203957E2,1.570000052E0,3.522999878E2,3.790092468E0,2.500000000E0
2.165785846E1,4.300848261E1,-7.878466532E1,1.847059989E2,1.580000043E0,3.508999939E2,3.790092468E0,2.500000000E0
2.265779195E1,4.300849785E1,-7.878466630E1,1.852217738E2,1.549999952E0,3.482999878E2,3.790092468E0,2.500000000E0
2.365776059E1,4.300851291E1,-7.878466842E1,1.853306882E2,1.549999952E0,3.473999939E2,3.790092468E0,2.500000000E0
2.465776350E1,4.300852785E1,-7.878467116E1,1.856388824E2,1.580000043E0,3.472999878E2,3.790092468E0,2.500000000E0
2.565744787E1,4.300854355E1,-7.878467319E1,1.858720655E2,1.600000024E0,3.482000122E2,3.790092468E0,2.500000000E0
2.665747594E1,4.300855879E1,-7.878467585E1,1.857411733E2,1.549999952E0,3.467999878E2,3.790092468E0,2.500000000E0
2.765750411E1,4.300857353E1,-7.878467933E1,1.856807149E2,1.519999981E0,3.438999939E2,3.790092468E0,2.500000000E0
2.865749062E1,4.300858824E1,-7.878468444E1,1.859569879E2,1.570000052E0,3.407000122E2,3.790092468E0,2.500000000E0
2.965760822E1,4.300860259E1,-7.878469060E1,1.861215051E2,1.570000052E0,3.395000000E2,3.790092468E0,2.500000000E0
3.065762050E1,4.300861677E1,-7.878469806E1,1.864000970E2,1.610000014E0,3.381000061E2,3.790092468E0,2.500000000E0
3.165787440E1,4.300863115E1,-7.878470597E1,1.868052763E2,1.610000014E0,3.366000061E2,3.790092468E0,2.500000000E0
