"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.300154640E1,-7.878514620E1,1.786096578E2,1.439000092E2,NaN,NaN,9.673324126E-3,1.215999985E1,1.000000000E0,0.000000000E0
2.523149158E0,4.300150668E1,-7.878525203E1,1.831066372E2,1.483970337E2,2.500000000E-1,1.104000015E2,1.822133887E-2,5.388556004E0,6.641143322E0,0.000000000E0
3.522961185E0,4.300143058E1,-7.878523715E1,1.845442402E2,1.498347778E2,0.000000000E0,NaN,2.034697634E-2,1.075059605E1,1.637490082E1,1.400000000E1
4.522901910E0,4.300144073E1,-7.878521500E1,1.880296046E2,1.533201294E2,1.599999964E-1,1.104000015E2,2.326557398E-2,1.168449783E1,1.751000023E1,1.600000000E1
5.523194249E0,4.300146693E1,-7.878521284E1,1.878739506E2,1.531644287E2,5.899999738E-1,1.104000015E2,2.377286031E-2,9.225129128E0,1.285799122E1,1.700000000E1
6.522275286E0,4.300146492E1,-7.878520724E1,1.897368606E2,1.550273438E2,8.500000238E-1,8.519999695E1,2.779454294E-2,8.426755905E0,1.134721375E1,2.100000000E1
7.522278095E0,4.300145910E1,-7.878515843E1,1.839246430E2,1.492151489E2,9.900000095E-1,9.159999847E1,2.965006019E-2,9.012138367E0,1.110032558E1,2.300000000E1
8.331140102E0,4.300144245E1,-7.878515995E1,1.842726968E2,1.495632324E2,8.100000024E-1,9.540000153E1,3.063645699E-2,8.402045250E0,1.055629063E1,2.100000000E1
9.331964004E0,4.300143998E1,-7.878514830E1,1.853415371E2,1.506320801E2,1.029999971E0,9.009999847E1,3.218916669E-2,8.308006287E0,1.029736996E1,2.100000000E1
1.033170764E1,4.300142774E1,-7.878513911E1,1.861796475E2,1.514702148E2,1.179999948E0,9.480000305E1,3.341550473E-2,7.519827843E0,9.619937897E0,2.100000000E1
1.133149551E1,4.300142570E1,-7.878512429E1,1.854517348E2,1.507423096E2,1.149999976E0,8.969999695E1,3.443070337E-2,6.873203278E0,8.869436264E0,2.100000000E1
1.233118738E1,4.300142527E1,-7.878511182E1,1.857718603E2,1.510624390E2,1.210000038E0,9.280000305E1,3.532326237E-2,5.289654732E0,6.868146896E0,2.100000000E1
