"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.917870800E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.418001000E-2,-1.953274012E-2,1.734507084E-2,7.530212402E-3,2.718609052E-2
3.918381200E-2,-6.170022488E-2,1.907122135E-2,4.050922394E-2,7.623402428E-2
4.419120800E-2,-6.179171801E-2,1.502275467E-3,8.817863464E-2,1.076844690E-1
4.920308300E-2,-4.354846478E-2,-3.140163422E-2,2.087154388E-1,2.155102453E-1
5.422006200E-2,-4.301291704E-2,-3.606116772E-2,2.499198914E-1,2.561454098E-1
5.924261400E-2,3.599524498E-4,-6.156134605E-2,2.348213196E-1,2.427570411E-1
6.427094700E-2,2.472662926E-2,-8.919835091E-2,1.342115402E-1,1.630352401E-1
6.930501000E-2,1.014412045E-1,-1.191411018E-1,6.808090210E-2,1.706456251E-1
7.434448900E-2,1.629068255E-1,-1.429497004E-1,2.227020264E-2,2.178743045E-1
7.938891600E-2,1.771924496E-1,-1.657562256E-1,-6.113052368E-3,2.427131227E-1
8.443766600E-2,2.011752725E-1,-1.702957153E-1,-1.021385193E-2,2.637734704E-1
8.948990600E-2,2.080039680E-1,-1.755353212E-1,2.134227753E-2,2.730087774E-1
9.454474900E-2,1.811469495E-1,-1.993230581E-1,7.755374908E-2,2.802828622E-1
9.960120800E-2,1.445606351E-1,-2.092316151E-1,1.439104080E-1,2.922085753E-1
1.046582910E-1,1.294866800E-1,-2.196482420E-1,1.709289551E-1,3.069671940E-1
1.097067810E-1,1.026605368E-1,-1.898847818E-1,2.151050568E-1,3.047385792E-1
1.147398020E-1,1.724151969E-1,-1.670794487E-1,1.807012558E-1,3.004920733E-1
1.197728220E-1,1.977626383E-1,-1.414172649E-1,2.620429993E-1,3.574569029E-1
1.248057910E-1,1.715600789E-1,-1.720306873E-1,1.443939209E-1,2.826252332E-1
1.298387600E-1,2.874809206E-1,-1.463544369E-1,-9.057426453E-2,3.350650657E-1
1.348717290E-1,3.842336833E-1,-1.395603418E-1,-1.781558990E-1,4.459283987E-1
1.399046970E-1,3.900280595E-1,-1.093947887E-1,-2.854146957E-1,4.955306807E-1
1.449376660E-1,4.234706759E-1,-1.256343126E-1,-3.476295471E-1,5.621011439E-1
1.499706350E-1,5.111115575E-1,-1.587334871E-1,-3.989753723E-1,6.675422772E-1
1.550036040E-1,3.099997044E-1,-2.636470795E-1,-2.327556610E-1,4.688121126E-1
1.600365720E-1,8.335289359E-2,-2.494235039E-1,1.528024673E-1,3.041519081E-1
1.650695410E-1,2.981190085E-1,-2.082744837E-1,2.608871460E-2,3.646009117E-1
1.701025100E-1,8.943876624E-2,-3.077273369E-1,3.754014969E-1,4.935804804E-1
1.751354790E-1,4.490277171E-2,-3.124979734E-1,4.081745148E-1,5.160210042E-1
1.801684470E-1,2.104688138E-1,-3.042471409E-1,3.153705597E-1,4.861296476E-1
1.852014160E-1,2.973804474E-1,-3.063330650E-1,2.908630371E-1,5.166007971E-1
1.902343850E-1,3.317241073E-1,-3.183740377E-1,2.628641129E-1,5.296229348E-1
1.952673540E-1,3.478451669E-1,-3.353829384E-1,2.592887878E-1,5.483690828E-1
2.003003220E-1,3.231599033E-1,-3.061177731E-1,2.840776443E-1,5.280535220E-1
2.053332910E-1,2.541827261E-1,-2.413171530E-1,3.132257462E-1,4.700565866E-1
2.103662600E-1,1.700635552E-1,-1.606230736E-1,3.280353546E-1,4.029002091E-1
2.153992290E-1,8.009843528E-2,-7.370960712E-2,3.895015717E-1,4.044259386E-1
2.204321970E-1,-6.852626801E-3,2.399861813E-2,4.218416214E-1,4.225792774E-1
2.254651660E-1,-9.592905641E-2,7.643556595E-2,3.977766037E-1,4.162583405E-1
2.304981350E-1,-1.083001494E-1,1.037092209E-1,3.512821198E-1,3.819471855E-1
2.355311040E-1,-8.365148306E-2,1.066546440E-1,2.640800476E-1,2.968350641E-1
2.405640720E-1,-2.291610837E-2,1.048026085E-1,1.509943008E-1,1.852242253E-1
2.455970410E-1,7.690787315E-3,9.851443768E-2,1.712131500E-2,1.002864999E-1
2.506300100E-1,2.318426967E-2,1.067732573E-1,-9.510135651E-2,1.448527074E-1
2.556629790E-1,5.565196276E-3,1.293689013E-1,-1.815767288E-1,2.230188164E-1
2.606959470E-1,-4.889026284E-2,1.519079208E-1,-2.101106644E-1,2.638423118E-1
2.657289160E-1,-1.159180105E-1,1.508637667E-1,-1.912908554E-1,2.697944636E-1
2.707618850E-1,-1.904588342E-1,1.548523903E-1,-1.635837555E-1,2.949804661E-1
2.757948540E-1,-2.583878934E-1,1.636215448E-1,-9.895992279E-2,3.214488758E-1
2.808278220E-1,-3.058479726E-1,1.863608360E-1,-4.971122742E-2,3.615861581E-1
2.858607910E-1,-3.288444281E-1,1.804435253E-1,-2.018833160E-2,3.756409089E-1
2.908937600E-1,-3.185921013E-1,1.699476242E-1,-5.698966980E-2,3.655556654E-1
2.959267290E-1,-2.427970171E-1,1.456512213E-1,-1.495313644E-1,3.201941579E-1
3.009596970E-1,-1.731118262E-1,1.362093687E-1,-2.122774124E-1,3.059123997E-1
3.059927180E-1,-1.235385239E-1,1.132339239E-1,-2.693338394E-1,3.172135014E-1
3.110257390E-1,-8.892568946E-2,7.699871063E-2,-3.067293167E-1,3.285109639E-1
3.160587600E-1,-8.311966062E-2,3.732371330E-2,-3.248586655E-1,3.373945614E-1
3.210917810E-1,-1.103684008E-1,3.185200691E-2,-3.146352768E-1,3.349493867E-1
3.261248020E-1,-1.278283298E-1,1.762902737E-2,-2.718153000E-1,3.008893847E-1
3.311578220E-1,-1.357055902E-1,8.861303329E-3,-2.534160614E-1,2.876008173E-1
3.361908430E-1,-1.578585505E-1,5.508303642E-3,-2.402009964E-1,2.874824900E-1
3.412238640E-1,-1.421741545E-1,-2.043604851E-3,-2.179203033E-1,2.602055440E-1
3.462568850E-1,-1.363977492E-1,-4.260063171E-3,-2.432746887E-1,2.789355988E-1
3.512899060E-1,-1.213323176E-1,-1.059746742E-2,-2.872581482E-1,3.120113480E-1
3.563229270E-1,-8.747339249E-2,-2.576422691E-2,-3.118629456E-1,3.249213545E-1
3.613559470E-1,-5.847373605E-2,-4.015243053E-2,-3.268251419E-1,3.344339529E-1
3.663889680E-1,-3.884583712E-2,-7.746970654E-2,-2.662153244E-1,2.799663434E-1
3.714219890E-1,-4.943907261E-3,-1.091346741E-1,-1.971597672E-1,2.254036226E-1
3.764550100E-1,9.763896465E-3,-1.353398561E-1,-1.197366714E-1,1.809670711E-1
3.814880310E-1,2.434390783E-2,-1.421098709E-1,-2.457523346E-2,1.462593018E-1
3.865210520E-1,1.031813025E-2,-1.535304785E-1,5.037307739E-2,1.619120705E-1
3.915540720E-1,1.515552402E-2,-1.742622852E-1,1.101312637E-1,2.067025138E-1
3.965870930E-1,2.442252636E-2,-1.807229519E-1,1.407842636E-1,2.303854466E-1
4.016201140E-1,3.812322021E-2,-1.684296131E-1,1.616373062E-1,2.365344230E-1
4.066531350E-1,4.202747345E-2,-1.377265453E-1,1.964702606E-1,2.435887377E-1
4.116861560E-1,8.051663637E-3,-1.029704809E-1,2.072992325E-1,2.316046654E-1
4.167191770E-1,-3.014695644E-2,-8.799242973E-2,2.275533676E-1,2.458292940E-1
4.217521970E-1,-6.308063865E-2,-3.580474854E-2,2.665729523E-1,2.762648835E-1
4.267852180E-1,-1.144165397E-1,5.807399750E-3,2.674026489E-1,2.909107201E-1
4.318182390E-1,-1.605114639E-1,4.654753208E-2,2.730522156E-1,3.201376504E-1
4.368512600E-1,-1.731489599E-1,8.643162251E-2,2.834596634E-1,3.432205828E-1
4.418842810E-1,-1.623427272E-1,1.066118479E-1,2.654428482E-1,3.289090343E-1
4.469173020E-1,-1.472420990E-1,1.263564825E-1,2.287788391E-1,2.999765885E-1
4.519503220E-1,-1.183683574E-1,1.409970522E-1,1.878662109E-1,2.630303214E-1
4.569833430E-1,-1.181488335E-1,1.695806980E-1,1.474752426E-1,2.539009791E-1
4.620163640E-1,-1.318639219E-1,1.834470034E-1,1.407470703E-1,2.661778254E-1
4.670493850E-1,-1.449668705E-1,2.159006596E-1,1.294317245E-1,2.904841815E-1
4.720824060E-1,-1.622105539E-1,2.287070751E-1,1.751527786E-1,3.306020052E-1
4.771154270E-1,-1.552193761E-1,2.268170118E-1,2.204647064E-1,3.523403161E-1
4.821484470E-1,-1.339616776E-1,2.151314020E-1,2.511663437E-1,3.568077681E-1
4.871814680E-1,-9.410962462E-2,1.793886423E-1,2.579679489E-1,3.280005627E-1
4.922144890E-1,-3.135824203E-2,1.104712486E-1,2.553129196E-1,2.799498581E-1
4.972475100E-1,-2.172672749E-2,7.052242756E-2,2.006263733E-1,2.137671751E-1
5.022805310E-1,-3.596648574E-2,5.443811417E-2,1.750059128E-1,1.867730331E-1
5.073135520E-1,-3.087410331E-2,4.295992851E-2,1.781625748E-1,1.858512006E-1
5.123465720E-1,-4.461169243E-2,4.088044167E-2,1.576519012E-1,1.688654363E-1
5.173795930E-1,-6.762334704E-2,6.221628189E-2,1.516408920E-1,1.773097373E-1
5.224126140E-1,-8.081671596E-2,7.360517979E-2,1.362743378E-1,1.746990532E-1
5.274456350E-1,-1.032810211E-1,7.040286064E-2,1.116437912E-1,1.675943562E-1
5.324786560E-1,-1.160078645E-1,6.234049797E-2,1.157426834E-1,1.753297780E-1
5.375116770E-1,-1.238884926E-1,5.420577526E-2,1.245822906E-1,1.838678107E-1
5.425446970E-1,-9.383869171E-2,4.130554199E-2,1.096553802E-1,1.501204526E-1
5.475777180E-1,-6.887197495E-2,4.740059376E-2,6.170272827E-2,1.039104995E-1
5.526107390E-1,-4.899591208E-2,6.767034531E-2,2.369499207E-2,8.684081807E-2
5.576437600E-1,-5.327862501E-2,1.258068085E-1,-5.666637421E-2,1.479089007E-1
5.626767810E-1,-7.173889875E-2,1.788791418E-1,-1.505479813E-1,2.445586057E-1
5.677098020E-1,-8.986231685E-2,2.128564119E-1,-2.009315491E-1,3.061969554E-1
5.727428220E-1,-1.027120352E-1,2.278649807E-1,-2.082080841E-1,3.253041929E-1
5.777758430E-1,-8.652818203E-2,1.860648394E-1,-1.632671356E-1,2.622277794E-1
5.828088640E-1,-8.908361197E-2,1.354112625E-1,-9.504604340E-2,1.878985106E-1
5.878418850E-1,-5.835473537E-2,8.531343937E-2,-8.473396301E-3,1.037085171E-1
5.928749060E-1,-9.284555912E-3,4.519808292E-2,7.256698608E-2,8.599440184E-2
5.979079270E-1,4.346838593E-2,5.436062813E-3,1.528797150E-1,1.590322565E-1
6.029409470E-1,8.082556725E-2,-3.877294064E-2,1.755266190E-1,1.970931435E-1
6.079739680E-1,9.819632769E-2,-6.376171112E-2,1.600160599E-1,1.982756011E-1
6.130069890E-1,1.103079915E-1,-8.858394623E-2,8.767414093E-2,1.664383475E-1
6.180400100E-1,1.081361175E-1,-8.491206169E-2,2.073669434E-2,1.390449158E-1
6.230730310E-1,1.014617682E-1,-6.722736359E-2,-3.134918213E-2,1.256852419E-1
6.281060520E-1,9.524145722E-2,-8.778095245E-2,-6.872653961E-2,1.466279920E-1
6.331390720E-1,9.431672096E-2,-1.035128832E-1,-1.010084152E-1,1.726651696E-1
6.381720930E-1,7.964929938E-2,-1.191598177E-1,-1.472415924E-1,2.054827476E-1
6.432051140E-1,5.615410209E-2,-1.251215935E-1,-1.693353653E-1,2.179063154E-1
6.482381350E-1,2.389541268E-2,-9.763431549E-2,-1.722602844E-1,1.994418609E-1
6.532711560E-1,-1.710590720E-2,-5.597043037E-2,-1.514282227E-1,1.623447189E-1
6.583041770E-1,-9.548494220E-2,-1.919209957E-2,-1.402940750E-1,1.707868214E-1
6.633371970E-1,-1.636285186E-1,3.167772293E-2,-8.178997040E-2,1.856538970E-1
6.683702180E-1,-2.075412273E-1,8.712661266E-2,-3.331661224E-2,2.275398961E-1
6.734032390E-1,-2.323476076E-1,1.138726473E-1,5.201339722E-3,2.588038726E-1
6.784362600E-1,-2.241689861E-1,1.167994738E-1,6.208419800E-4,2.527730936E-1
6.834692810E-1,-2.212591171E-1,1.104046106E-1,7.743835449E-4,2.472759079E-1
6.885023020E-1,-1.949181259E-1,1.090131998E-1,8.802413940E-4,2.233332227E-1
6.935353220E-1,-1.737805307E-1,9.828615189E-2,1.044750214E-2,1.999224620E-1
6.985683430E-1,-1.576991677E-1,7.814538479E-2,3.892421722E-2,1.802521105E-1
7.036013640E-1,-1.229319572E-1,4.872322083E-2,4.815483093E-2,1.407306154E-1
7.086343850E-1,-7.429793477E-2,2.413082123E-2,8.107757568E-2,1.125879786E-1
7.136674060E-1,-7.383227348E-2,9.132385254E-3,9.473991394E-2,1.204585255E-1
7.187004270E-1,-7.838785648E-2,1.314711571E-2,9.879875183E-2,1.268017983E-1
7.237334470E-1,-6.882509589E-2,1.211810112E-2,7.912254333E-2,1.055657097E-1
7.287664680E-1,-3.560891747E-2,3.937900066E-2,4.540157318E-2,6.985702215E-2
7.337994370E-1,-1.701906323E-2,5.681180954E-2,2.479553223E-3,5.935805253E-2
7.388324060E-1,-1.774337888E-2,7.409751415E-2,-4.958820343E-2,9.090797004E-2
7.438653740E-1,-2.338463068E-2,7.704162598E-2,-6.324863434E-2,1.023847783E-1
7.488983430E-1,-9.961009026E-3,8.005917072E-2,-1.053028107E-1,1.326550958E-1
7.539313120E-1,-1.123636961E-3,9.264457226E-2,-1.327667236E-1,1.618989877E-1
7.589642810E-1,1.276630163E-2,1.052211523E-1,-1.742506027E-1,2.039552448E-1
7.639972490E-1,3.160536289E-2,1.130903959E-1,-2.011566162E-1,2.329212761E-1
7.690302180E-1,3.632482886E-2,1.210956573E-1,-2.136182785E-1,2.482265504E-1
7.740631870E-1,8.151978254E-3,1.244874001E-1,-2.022552490E-1,2.376357576E-1
7.790961560E-1,-1.966837049E-2,1.376509666E-1,-1.767902374E-1,2.249209227E-1
7.841291240E-1,-4.271119833E-2,1.366565228E-1,-1.325874329E-1,1.951375900E-1
7.891620930E-1,-3.749045730E-2,1.264201403E-1,-9.356212616E-2,1.616832017E-1
7.941950620E-1,-9.032487869E-3,1.307636499E-1,-7.391929626E-2,1.504818273E-1
7.992280310E-1,1.399686933E-2,1.116337776E-1,-6.875705719E-2,1.318542588E-1
8.042609990E-1,4.596418142E-2,9.771108627E-2,-4.946136475E-2,1.187711621E-1
8.092939680E-1,8.202281594E-2,6.041586399E-2,-3.038692474E-2,1.063070278E-1
8.143269370E-1,1.175035834E-1,1.893913746E-2,-1.627635956E-2,1.201278607E-1
8.193599060E-1,1.525856555E-1,-1.718294621E-2,1.666164398E-2,1.544514366E-1
8.243928740E-1,1.684621125E-1,-4.339587688E-2,4.456043243E-2,1.795781658E-1
8.294258430E-1,1.843149364E-1,-5.982851982E-2,7.222080231E-2,2.068025431E-1
8.344588120E-1,1.858468801E-1,-7.611119747E-2,8.540534973E-2,2.182339364E-1
8.394917810E-1,1.732382178E-1,-7.335317135E-2,1.032505035E-1,2.145992413E-1
8.445247490E-1,1.418673992E-1,-7.070565224E-2,1.399621964E-1,2.114593687E-1
8.495577180E-1,1.109085381E-1,-7.302570343E-2,1.431694031E-1,1.952714397E-1
8.545906870E-1,8.506399393E-2,-6.602501869E-2,1.748809814E-1,2.053741557E-1
8.596236560E-1,7.862171531E-2,-4.983723164E-2,1.683921814E-1,1.924085511E-1
8.646566240E-1,6.310310960E-2,-4.832959175E-2,1.715221405E-1,1.890439012E-1
8.696895930E-1,1.962321997E-2,-2.339589596E-2,1.841907501E-1,1.867047700E-1
8.747225620E-1,-3.271314502E-2,-3.778100014E-3,2.015762329E-1,2.042483821E-1
8.797555310E-1,-8.925795555E-2,4.375183582E-2,2.283916473E-1,2.490862307E-1
8.847884990E-1,-1.216166914E-1,6.682586670E-2,2.502899170E-1,2.861841341E-1
8.898214680E-1,-1.494190395E-1,7.508897781E-2,2.863006592E-1,3.315606602E-1
8.948544370E-1,-1.586841345E-1,7.356512547E-2,2.697925568E-1,3.215283905E-1
8.998874580E-1,-1.258059442E-1,5.279076099E-2,2.534465790E-1,2.878353148E-1
9.049204790E-1,-7.481727004E-2,8.231639862E-3,2.135114670E-1,2.263902169E-1
9.099534990E-1,-2.458465099E-2,-1.712155342E-2,1.881723404E-1,1.905423374E-1
9.149865200E-1,2.981185913E-2,-4.257690907E-2,1.725921631E-1,1.802487029E-1
9.200195410E-1,8.870160580E-2,-6.808137894E-2,1.382017136E-1,1.777716588E-1
9.250525620E-1,1.284458786E-1,-7.938182354E-2,1.516418457E-1,2.139978201E-1
9.300855830E-1,1.586492807E-1,-7.664883137E-2,1.270475388E-1,2.172227306E-1
9.351186040E-1,1.651031524E-1,-5.999767780E-2,9.322547913E-2,1.988712202E-1
9.401516240E-1,1.763777137E-1,-3.893041611E-2,7.396984100E-2,1.951825109E-1
9.451846450E-1,1.828652769E-1,-2.768087387E-2,4.065895081E-2,1.893649666E-1
9.502176660E-1,1.939468682E-1,-2.126276493E-2,-1.612091064E-2,1.957737894E-1
9.552506870E-1,1.953296065E-1,-1.953363419E-2,-7.719802856E-2,2.109377957E-1
9.602837080E-1,2.014816552E-1,-1.284658909E-2,-1.520490646E-1,2.527425772E-1
9.653167290E-1,1.791147888E-1,-1.053380966E-2,-2.026100159E-1,2.706360790E-1
9.703497490E-1,1.570525169E-1,1.118159294E-2,-2.338275909E-1,2.818969020E-1
9.753827700E-1,1.163929999E-1,4.274272919E-2,-2.363834381E-1,2.669295809E-1
9.804157910E-1,6.676937640E-2,5.072104931E-2,-2.152442932E-1,2.309997408E-1
9.854488120E-1,2.727395296E-2,6.374657154E-2,-1.943416595E-1,2.063399489E-1
9.904818330E-1,-2.578333020E-2,6.272828579E-2,-1.784067154E-1,1.908627100E-1
9.955148540E-1,-4.474318027E-2,6.667482853E-2,-1.341381073E-1,1.563346307E-1
1.000547874E0,-7.744577527E-2,7.068920135E-2,-6.175518036E-2,1.216902362E-1
1.005580895E0,-1.237766743E-1,5.087268353E-2,-2.319431305E-2,1.358185230E-1
1.010613916E0,-1.885549426E-1,5.480003357E-2,2.457618713E-2,1.978888553E-1
1.015646937E0,-2.148762047E-1,7.278108597E-2,7.197666168E-2,2.380115746E-1
1.020679958E0,-2.412236333E-1,7.610070705E-2,9.527969360E-2,2.702931351E-1
1.025712979E0,-2.392714620E-1,8.392512798E-2,9.467315674E-2,2.706607955E-1
1.030745999E0,-2.281457186E-1,6.772577763E-2,6.561088562E-2,2.468644125E-1
1.035779020E0,-2.172451317E-1,6.590175629E-2,4.153633118E-2,2.307894182E-1
1.040812041E0,-2.017768919E-1,5.928587914E-2,-1.323699951E-3,2.103104414E-1
1.045845062E0,-1.768939495E-1,3.372097015E-2,-3.907489777E-2,1.842699673E-1
1.050878083E0,-1.426652372E-1,8.412599564E-3,-5.752372742E-2,1.540555775E-1
1.055911104E0,-1.038462222E-1,-1.188945770E-2,-8.531951904E-2,1.349252289E-1
1.060944124E0,-6.511026621E-2,-3.482699394E-3,-1.033878326E-1,1.222314194E-1
1.065977145E0,-2.179303765E-2,-2.828180790E-2,-1.308164597E-1,1.356014132E-1
1.071010166E0,-2.653917670E-2,-7.160997391E-2,-1.628189087E-1,1.798396878E-1
1.076043187E0,3.040000796E-2,-6.202876568E-2,-1.661243439E-1,1.799139402E-1
1.081076208E0,7.725971937E-2,-5.215537548E-2,-1.504802704E-1,1.770128786E-1
1.086109229E0,8.097879589E-2,-5.629158020E-2,-1.350259781E-1,1.672074225E-1
1.091142249E0,6.084933877E-2,-5.532836914E-2,-1.197614670E-1,1.452813802E-1
1.096175270E0,7.894666493E-2,-5.891072750E-2,-9.516239166E-2,1.369632451E-1
1.101208291E0,1.015475988E-1,-6.220209599E-2,-8.506488800E-2,1.463456550E-1
1.106241312E0,1.241635978E-1,-6.525015831E-2,-9.407901764E-2,1.688935870E-1
1.111274333E0,1.136914641E-1,-5.386686325E-2,-1.172819138E-1,1.719954513E-1
1.116307354E0,1.131952852E-1,-1.387512684E-2,-1.260719299E-1,1.699994802E-1
1.121340374E0,7.041963935E-2,3.544270992E-2,-1.253070831E-1,1.480438326E-1
1.126373395E0,3.319224715E-2,7.501280308E-2,-8.657550812E-2,1.192642633E-1
1.131406416E0,1.550483704E-2,9.056746960E-2,-2.917385101E-2,9.640529085E-2
1.136439437E0,-1.639387012E-2,1.012942791E-1,3.248596191E-2,1.076319083E-1
1.141472458E0,-5.292135477E-2,9.763610363E-2,6.989288330E-2,1.312192580E-1
1.146505479E0,-8.455145359E-2,8.915650845E-2,1.070022583E-1,1.629334667E-1
1.151538499E0,-8.764386177E-2,1.043848991E-1,1.343173981E-1,1.913604377E-1
1.156571520E0,-7.663944364E-2,1.193275452E-1,1.804227829E-1,2.294886663E-1
1.161604541E0,-4.707229137E-2,1.100871563E-1,1.976995468E-1,2.311278724E-1
1.166637562E0,-1.334270835E-2,9.116232395E-2,1.816310883E-1,2.036625871E-1
1.171670583E0,1.999253035E-2,7.693457603E-2,1.752271652E-1,1.924141099E-1
1.176703604E0,5.768522620E-2,3.882157803E-2,1.546745300E-1,1.695845231E-1
1.181736624E0,8.557625115E-2,6.643533707E-4,1.770963669E-1,1.966897539E-1
1.186769645E0,1.131403893E-1,-1.843869686E-2,1.756315231E-1,2.097311735E-1
1.191802666E0,1.213013381E-1,-3.768920898E-2,1.742296219E-1,2.156164470E-1
1.196835687E0,1.388156414E-1,-6.178259850E-2,1.443929672E-1,2.096096390E-1
1.201868708E0,1.418628842E-1,-7.168447971E-2,1.053514481E-1,1.906899844E-1
1.206901729E0,1.686224788E-1,-9.114849567E-2,5.241584778E-2,1.987184182E-1
1.211934749E0,1.809277534E-1,-9.619343281E-2,-9.576797485E-3,2.051334774E-1
1.216967770E0,1.694635898E-1,-7.744073868E-2,-5.205821991E-2,1.934555105E-1
1.222000791E0,1.488626301E-1,-5.398237705E-2,-8.470153809E-2,1.795787578E-1
1.227033812E0,1.239920259E-1,-3.530395031E-2,-9.334945679E-2,1.591681892E-1
1.232066833E0,9.487783909E-2,-1.656711102E-2,-5.447006226E-2,1.106492711E-1
1.237099854E0,7.557420433E-2,-7.324337959E-3,-2.069091797E-2,7.869701629E-2
1.242132874E0,5.163106322E-2,1.945495605E-3,-1.570415497E-2,5.400159374E-2
1.247165895E0,2.774110436E-2,1.604378223E-2,-2.978610992E-2,4.375139043E-2
1.252198916E0,8.789330721E-3,3.007495403E-2,-3.901100159E-2,5.003612135E-2
1.257231937E0,-2.889454365E-2,4.873764515E-2,-5.290508270E-2,7.751903304E-2
1.262264958E0,-8.036345243E-2,5.310177803E-2,-6.194877625E-2,1.145239459E-1
1.267297979E0,-9.325954318E-2,6.223034859E-2,-7.092189789E-2,1.326645178E-1
1.272330999E0,-1.107636094E-1,6.658327579E-2,-6.558227539E-2,1.449239270E-1
1.277364020E0,-1.519540548E-1,7.569408417E-2,-6.029891968E-2,1.801543474E-1
1.282397041E0,-1.785416305E-1,7.047724724E-2,-7.572174072E-3,1.920976159E-1
