"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.988887200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.463762200E-2,2.153785527E-2,4.765039310E-3,4.787445068E-3,2.257220502E-2
5.938642400E-2,-3.732740879E-5,1.274168678E-2,9.575843811E-3,1.593890711E-2
6.413522600E-2,1.427963376E-2,1.854325086E-2,-2.334117889E-2,3.305405762E-2
6.888402800E-2,1.832947135E-3,7.136058062E-3,4.310607910E-3,8.536062349E-3
7.363277800E-2,-2.501651645E-3,1.393609494E-2,-4.386901855E-3,1.482288471E-2
7.838158100E-2,-1.449684799E-2,-6.514225155E-3,-5.811691284E-3,1.692245510E-2
8.313038300E-2,-3.160449117E-2,-9.930167347E-3,-7.180213928E-3,3.389701400E-2
8.787918500E-2,-2.382713556E-2,-3.556497395E-4,-2.340602875E-2,3.340211157E-2
9.262793500E-2,-4.516234994E-2,-1.328952983E-2,-8.137702942E-3,4.777522019E-2
9.737673700E-2,-3.024306893E-2,-5.568305030E-3,-3.045082092E-3,3.090180843E-2
1.021255390E-1,-2.996044606E-2,-7.307864726E-4,-1.156806946E-2,3.212448611E-2
1.068743410E-1,-3.432885557E-2,-9.530473500E-3,4.792213440E-3,3.594809536E-2
1.116231430E-1,-5.243286490E-3,1.339203119E-2,-1.333332062E-2,1.961162898E-2
1.163718930E-1,-1.384855062E-2,1.697875559E-2,-1.691341400E-2,2.767894631E-2
1.211206950E-1,2.711370587E-3,2.263458446E-2,2.099037170E-3,2.289283515E-2
1.258694970E-1,2.954712510E-2,1.675269008E-2,1.976013184E-3,3.402337218E-2
1.306182990E-1,-1.559898257E-3,2.482228726E-2,1.543331146E-2,2.927057106E-2
1.353670490E-1,1.664988697E-2,1.215880364E-2,1.462078094E-2,2.527493773E-2
1.401158510E-1,-1.152019203E-2,1.608410105E-2,-2.030372620E-3,1.988807542E-2
1.448646530E-1,-1.098902524E-2,-2.911087126E-3,-8.773803711E-3,1.436010917E-2
1.496134560E-1,-3.705881536E-3,1.747589558E-3,1.219367981E-2,1.286364857E-2
1.543622580E-1,-5.906984210E-3,1.997457817E-2,-4.365921021E-3,2.128232840E-2
1.591110080E-1,-1.941649616E-2,7.428191602E-4,2.105331421E-2,2.864950510E-2
1.638598100E-1,2.083167434E-3,-3.845062107E-3,-7.369041443E-3,8.568947482E-3
1.686086120E-1,-1.412869245E-2,5.494780838E-3,-1.399135590E-2,2.062936273E-2
1.733574140E-1,-2.123363316E-3,-1.086357981E-2,-4.251480103E-3,1.185753436E-2
