"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.205001400E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.679860800E-2,-4.798710346E-3,-7.200745866E-3,5.985260010E-3,1.052148751E-2
6.154725400E-2,6.324723363E-3,1.540577039E-3,2.395629883E-3,6.936464933E-3
6.629590000E-2,-9.658530354E-3,1.728864200E-2,-1.792907715E-3,1.988463902E-2
7.104454500E-2,-1.348958910E-2,-1.520078629E-3,2.395629883E-3,1.378472689E-2
7.579313900E-2,6.876140833E-4,-3.268539906E-3,-1.992225647E-3,3.889103916E-3
8.054178500E-2,-1.794694364E-2,-1.516965218E-2,-1.607036591E-2,2.846871605E-2
8.529043100E-2,-2.622143924E-2,1.811723039E-2,-7.776260376E-3,3.280652585E-2
9.003907700E-2,-1.268619299E-2,1.396896131E-2,-6.912231445E-3,2.009602738E-2
9.478767000E-2,1.517519355E-3,1.908116788E-2,-1.484012604E-2,2.422030498E-2
9.953631600E-2,1.386761665E-3,-2.249283716E-3,-6.961822510E-3,7.446432556E-3
1.042849620E-1,1.278430223E-3,-2.069627866E-3,-1.954936981E-2,1.970014222E-2
1.090336080E-1,-5.495682359E-3,-8.547663689E-3,1.289367676E-2,1.641682002E-2
1.137822020E-1,1.041203737E-2,-2.347823046E-2,2.086734772E-2,3.309205386E-2
1.185308470E-1,9.698152542E-3,-1.072033122E-2,3.288173676E-2,3.591919092E-2
1.232794930E-1,3.151698411E-2,-3.699146956E-2,8.381843567E-3,4.931474839E-2
1.280281390E-1,2.739000320E-2,-1.682405546E-2,-3.376960754E-3,3.232127754E-2
1.327767330E-1,7.732450962E-3,-4.755187035E-2,1.263809204E-2,4.980655119E-2
1.375253790E-1,2.769425511E-3,-1.106312126E-2,-6.171226501E-3,1.296712791E-2
1.422740250E-1,4.857972264E-3,-1.447433606E-3,-1.041126251E-2,1.157969540E-2
1.470226700E-1,-2.233669162E-3,1.454702020E-2,-9.915351868E-3,1.774596510E-2
1.517712640E-1,-4.464998841E-3,1.156530716E-2,-9.463310242E-3,1.559637089E-2
1.565199100E-1,-1.973509789E-3,3.624572605E-2,-2.279186249E-2,4.286159579E-2
1.612685560E-1,-6.444871426E-3,1.634538732E-2,-8.077621460E-3,1.933794257E-2
