"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.174098020E0,4.300153852E1,-7.879122439E1,1.778420221E2,1.431308594E2,6.800000072E-1,5.890000153E1,3.666483999E-3,8.891636848E0,1.180526161E1,0.000000000E0
1.831042707E0,4.300152311E1,-7.879118453E1,1.728195844E2,1.381084595E2,9.499999881E-1,4.729999924E1,9.433429068E-3,7.304007530E0,9.291770935E0,1.000000000E1
2.848430571E0,4.300155556E1,-7.879112921E1,1.772180055E2,1.425068359E2,9.900000095E-1,7.530000305E1,1.161951562E-2,4.611639977E0,5.619055271E0,1.000000000E1
3.850237081E0,4.300156594E1,-7.879110638E1,1.774978036E2,1.427866211E2,1.110000014E0,7.530000305E1,1.289474497E-2,3.861777306E0,4.129141808E0,2.100000000E1
4.851212394E0,4.300156534E1,-7.879109072E1,1.760995442E2,1.413883667E2,1.240000010E0,7.519999695E1,1.329206534E-2,3.790092468E0,3.100325823E0,2.100000000E1
5.848491924E0,4.300156880E1,-7.879108950E1,1.745032366E2,1.397920532E2,6.000000238E-1,7.519999695E1,1.457202884E-2,3.790092468E0,2.777740479E0,2.100000000E1
6.838182445E0,4.300157517E1,-7.879107639E1,1.749279885E2,1.402167969E2,6.899999976E-1,7.519999695E1,1.596232322E-2,3.790092468E0,2.873103380E0,2.100000000E1
7.846018851E0,4.300157923E1,-7.879106022E1,1.753524302E2,1.406412354E2,1.690000057E0,7.519999695E1,1.767447658E-2,3.790092468E0,2.596584558E0,2.100000000E1
8.861253903E0,4.300157997E1,-7.879103919E1,1.758189790E2,1.411077881E2,1.490000010E0,7.519999695E1,1.927498018E-2,3.790092468E0,2.605327606E0,2.100000000E1
9.839077548E0,4.300157980E1,-7.879101951E1,1.758643229E2,1.411531372E2,1.529999971E0,7.519999695E1,2.045749141E-2,3.790092468E0,2.511641026E0,2.100000000E1
1.086815698E1,4.300158099E1,-7.879100506E1,1.757349879E2,1.410238037E2,1.029999971E0,7.809999847E1,2.109762463E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.188487526E1,4.300158111E1,-7.879099719E1,1.743071297E2,1.395959473E2,7.699999809E-1,7.819999695E1,2.176966661E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.287631588E1,4.300158197E1,-7.879098901E1,1.743323977E2,1.396212158E2,8.799999952E-1,7.840000153E1,2.255973503E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.384940177E1,4.300158412E1,-7.879097975E1,1.742003192E2,1.394891357E2,8.199999928E-1,7.830000305E1,2.390890187E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.487168416E1,4.300158825E1,-7.879096415E1,1.741613823E2,1.394501953E2,1.659999967E0,7.830000305E1,2.614128539E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.583319979E1,4.300159638E1,-7.879093905E1,1.750638565E2,1.403526611E2,2.180000067E0,6.630000305E1,2.846589918E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.684170098E1,4.300160577E1,-7.879091351E1,1.753397459E2,1.406285400E2,1.940000057E0,6.640000153E1,3.004590730E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.784928765E1,4.300161287E1,-7.879089668E1,1.759303306E2,1.412191162E2,8.799999952E-1,6.640000153E1,3.116685312E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.883900609E1,4.300161759E1,-7.879088450E1,1.760158463E2,1.413046265E2,1.039999962E0,6.640000153E1,3.228754986E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.988076114E1,4.300162215E1,-7.879087221E1,1.759989447E2,1.412877197E2,8.999999762E-1,6.220000076E1,3.329593052E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.087104864E1,4.300162635E1,-7.879086122E1,1.755887933E2,1.408775635E2,9.800000191E-1,6.220000076E1,3.453272112E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.184005489E1,4.300163127E1,-7.879084758E1,1.755490648E2,1.408378296E2,1.350000024E0,6.719999695E1,3.623959687E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.287848426E1,4.300163827E1,-7.879082890E1,1.757627568E2,1.410515137E2,1.840000033E0,6.630000305E1,3.803385706E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.387869192E1,4.300164568E1,-7.879080930E1,1.763745817E2,1.416633301E2,1.539999962E0,6.650000000E1,3.966724678E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.485053577E1,4.300165496E1,-7.879079373E1,1.772395237E2,1.425282593E2,1.590000033E0,4.050000000E1,4.075464023E-2,3.790092468E0,2.500000000E0,2.100000000E1
2.587489567E1,4.300166285E1,-7.879078583E1,1.781712376E2,1.434599609E2,6.000000238E-1,4.040000153E1,4.162045677E-2,3.790092468E0,2.617935896E0,2.100000000E1
2.685167244E1,4.300167058E1,-7.879078711E1,1.773331781E2,1.426218872E2,9.599999785E-1,3.462000122E2,4.278474088E-2,3.790092468E0,2.780376196E0,2.100000000E1
2.784196233E1,4.300168090E1,-7.879078953E1,1.768734195E2,1.421621094E2,1.090000033E0,3.466000061E2,4.381840781E-2,3.790092468E0,2.654415846E0,2.100000000E1
2.885082655E1,4.300168964E1,-7.879079386E1,1.763423084E2,1.416309814E2,6.200000048E-1,3.462000122E2,4.467387140E-2,3.790092468E0,2.665735245E0,2.100000000E1
2.984558738E1,4.300169685E1,-7.879079753E1,1.763706427E2,1.416593018E2,7.099999785E-1,3.462999878E2,4.622313514E-2,3.790092468E0,2.593419790E0,2.100000000E1
3.084996728E1,4.300171067E1,-7.879079511E1,1.763231816E2,1.416118164E2,1.879999995E0,3.462999878E2,4.833246501E-2,3.790092468E0,2.505610466E0,2.100000000E1
3.190198122E1,4.300172837E1,-7.879078578E1,1.771858211E2,1.424744263E2,1.899999976E0,3.209999847E1,4.990972997E-2,3.790092468E0,2.500000000E0,2.100000000E1
