"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.186602187E0,4.300164557E1,-7.879105620E1,1.914126685E2,1.567013550E2,1.639999986E0,3.530000000E2,8.435439971E-4,9.812183380E0,1.031295681E1,0.000000000E0
1.193750417E0,4.300165310E1,-7.879105746E1,1.916178215E2,1.569064941E2,1.639999986E0,3.530000000E2,7.443457854E-3,1.021254158E1,1.031295681E1,0.000000000E0
2.200982031E0,4.300165715E1,-7.879113843E1,1.840225733E2,1.493112183E2,1.409999967E0,9.000000000E0,1.373341133E-2,6.118237019E0,6.400921345E0,1.200000000E1
3.217686041E0,4.300161769E1,-7.879119385E1,1.769518984E2,1.422406006E2,1.370000005E0,8.199999809E0,1.584521991E-2,3.790092468E0,3.306462288E0,1.200000000E1
4.216440311E0,4.300163107E1,-7.879117542E1,1.774736464E2,1.427623291E2,1.370000005E0,8.300000191E0,1.739437114E-2,3.790092468E0,2.500000000E0,2.200000000E1
5.221717082E0,4.300164407E1,-7.879116857E1,1.783348742E2,1.436235352E2,1.169999957E0,6.699999809E0,1.864307189E-2,3.790092468E0,2.500000000E0,2.200000000E1
6.218052602E0,4.300165515E1,-7.879117107E1,1.778391062E2,1.431277466E2,1.360000014E0,3.558999939E2,1.960779837E-2,3.790092468E0,2.500000000E0,2.200000000E1
7.208057498E0,4.300166381E1,-7.879117179E1,1.771152451E2,1.424038696E2,1.450000048E0,3.581000061E2,2.149096353E-2,3.790092468E0,2.500000000E0,2.200000000E1
8.207646456E0,4.300168056E1,-7.879116837E1,1.777830601E2,1.430716553E2,1.669999957E0,1.799999952E0,2.248326369E-2,3.790092468E0,2.500000000E0,2.300000000E1
9.218914684E0,4.300168850E1,-7.879117394E1,1.768084054E2,1.420969849E2,1.100000024E0,2.050000000E1,2.391280190E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.021355713E1,4.300170053E1,-7.879118014E1,1.765805844E2,1.418691406E2,1.649999976E0,1.189999962E1,2.514888100E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.120776958E1,4.300170575E1,-7.879116672E1,1.766964351E2,1.419849854E2,1.139999986E0,1.189999962E1,2.604729868E-2,3.790092468E0,2.500000000E0,2.200000000E1
1.221548000E1,4.300171145E1,-7.879115889E1,1.776021441E2,1.428906860E2,7.900000215E-1,1.189999962E1,2.729034883E-2,3.790092468E0,2.500000000E0,2.200000000E1
1.320689255E1,4.300172253E1,-7.879115686E1,1.776906035E2,1.429791260E2,1.289999962E0,1.189999962E1,2.856110098E-2,3.790092468E0,2.515948534E0,2.300000000E1
1.422108416E1,4.300173395E1,-7.879115745E1,1.784939690E2,1.437824707E2,1.149999976E0,1.189999962E1,3.020755198E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.522237041E1,4.300174871E1,-7.879115584E1,1.792266612E2,1.445151367E2,1.750000000E0,7.199999809E0,3.197180654E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.621161432E1,4.300176449E1,-7.879115358E1,1.790702560E2,1.443587036E2,1.549999952E0,1.189999962E1,3.372085935E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.721317234E1,4.300178005E1,-7.879115043E1,1.794876417E2,1.447760620E2,1.779999971E0,1.280000019E1,3.557692909E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.822483609E1,4.300179663E1,-7.879114779E1,1.795569458E2,1.448453369E2,1.730000019E0,8.899999619E0,3.724596422E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.921721327E1,4.300181152E1,-7.879114520E1,1.804645648E2,1.457529297E2,1.340000033E0,1.189999962E1,3.866730433E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.022040359E1,4.300182430E1,-7.879114486E1,1.798113895E2,1.450997314E2,1.259999990E0,4.599999905E0,3.981152449E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.121112421E1,4.300183453E1,-7.879114334E1,1.800018373E2,1.452901611E2,8.999999762E-1,1.100000000E1,4.088455831E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.221884546E1,4.300184418E1,-7.879114331E1,1.797342765E2,1.450225830E2,1.159999967E0,3.571000061E2,4.199125924E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.321555775E1,4.300185412E1,-7.879114400E1,1.797024953E2,1.449907837E2,9.499999881E-1,3.571000061E2,4.322696737E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.421373431E1,4.300186520E1,-7.879114517E1,1.796616831E2,1.449499512E2,1.320000052E0,3.541000061E2,4.486936797E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.521151223E1,4.300187997E1,-7.879114501E1,1.795573395E2,1.448455811E2,1.750000000E0,2.900000095E0,4.664834345E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.622502754E1,4.300189594E1,-7.879114370E1,1.796277415E2,1.449159546E2,1.669999957E0,3.000000119E-1,4.849646772E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.720983942E1,4.300191256E1,-7.879114389E1,1.792751104E2,1.445632935E2,2.019999981E0,3.552999878E2,5.010852256E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.820717207E1,4.300192705E1,-7.879114453E1,1.797805688E2,1.450687256E2,1.419999957E0,5.000000000E-1,5.110455736E-2,3.790092468E0,2.500000000E0,2.300000000E1
2.922337270E1,4.300193598E1,-7.879114549E1,1.796425237E2,1.449306641E2,1.009999990E0,3.299999952E0,5.186079133E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.022263754E1,4.300194271E1,-7.879114415E1,1.797646058E2,1.450527344E2,9.900000095E-1,3.500000000E0,5.263286439E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.121565634E1,4.300194964E1,-7.879114356E1,1.796354677E2,1.449235840E2,8.999999762E-1,3.299999952E0,5.344721154E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.221036942E1,4.300195695E1,-7.879114417E1,1.796293165E2,1.449174194E2,1.070000052E0,3.536000061E2,5.459468169E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.321284218E1,4.300196709E1,-7.879114679E1,1.795776387E2,1.448657227E2,1.440000057E0,3.532999878E2,5.611675331E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.422671634E1,4.300198067E1,-7.879114914E1,1.800001491E2,1.452882080E2,1.639999986E0,3.568999939E2,5.777321518E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.522411462E1,4.300199539E1,-7.879115227E1,1.800238581E2,1.453118896E2,1.720000029E0,3.540000000E2,5.932396536E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.621647144E1,4.300200933E1,-7.879115284E1,1.798222842E2,1.451102905E2,1.620000005E0,2.299999952E0,6.074250714E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.721470967E1,4.300202204E1,-7.879115134E1,1.797410080E2,1.450289917E2,1.429999948E0,3.556000061E2,6.194437040E-2,3.790092468E0,2.500000000E0,2.300000000E1
3.820968733E1,4.300203284E1,-7.879115075E1,1.795490107E2,1.448369751E2,1.100000024E0,3.550000000E2,6.280394565E-2,3.790092468E0,2.500000000E0,2.400000000E1
3.921236535E1,4.300204057E1,-7.879115065E1,1.794171887E2,1.447051392E2,7.799999714E-1,3.551000061E2,6.361931535E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.021072624E1,4.300204788E1,-7.879115144E1,1.791103783E2,1.443983154E2,9.499999881E-1,3.548999939E2,6.482186132E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.120649040E1,4.300205867E1,-7.879115244E1,1.794027564E2,1.446906738E2,1.279999971E0,3.541000061E2,6.642978514E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.222095400E1,4.300207312E1,-7.879115319E1,1.789981196E2,1.442860107E2,1.639999986E0,3.577999878E2,6.819961648E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.320805566E1,4.300208902E1,-7.879115418E1,1.790950113E2,1.443828735E2,1.570000052E0,5.900000095E0,6.997419812E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.421120816E1,4.300210496E1,-7.879115311E1,1.791805500E2,1.444683838E2,1.730000019E0,5.300000191E0,7.164277142E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.521529300E1,4.300211990E1,-7.879115119E1,1.795655862E2,1.448533936E2,1.480000019E0,7.800000191E0,7.293951190E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.621557300E1,4.300213152E1,-7.879114984E1,1.798866518E2,1.451744385E2,1.100000024E0,6.400000095E0,7.403038793E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.722152951E1,4.300214132E1,-7.879115046E1,1.796254391E2,1.449132080E2,1.009999990E0,6.099999905E0,7.502384064E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.820595785E1,4.300215022E1,-7.879115153E1,1.795968910E2,1.448846436E2,9.599999785E-1,6.000000000E0,7.618186369E-2,3.790092468E0,2.500000000E0,2.500000000E1
4.921141566E1,4.300216050E1,-7.879115381E1,1.795890366E2,1.448767700E2,1.149999976E0,3.596000061E2,7.768307513E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.021293680E1,4.300217384E1,-7.879115665E1,1.797497669E2,1.450374756E2,1.490000010E0,3.568999939E2,7.915267791E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.120845436E1,4.300218699E1,-7.879115846E1,1.798705186E2,1.451582031E2,1.259999990E0,3.000000119E-1,8.090511920E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.222066607E1,4.300220275E1,-7.879115853E1,1.799641750E2,1.452518311E2,2.039999962E0,6.000000000E0,8.266890040E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.321779264E1,4.300221861E1,-7.879115888E1,1.797878121E2,1.450754395E2,1.519999981E0,1.000000000E1,8.394666789E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.420826555E1,4.300223006E1,-7.879116021E1,1.794001377E2,1.446877441E2,1.009999990E0,3.552000122E2,8.486223133E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.520811357E1,4.300223826E1,-7.879116123E1,1.792105165E2,1.444981079E2,8.399999738E-1,3.566000061E2,8.575406424E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.621102008E1,4.300224624E1,-7.879116233E1,1.792585659E2,1.445461426E2,9.300000072E-1,3.562000122E2,8.689277831E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.720530383E1,4.300225647E1,-7.879116297E1,1.788703398E2,1.441578979E2,1.309999943E0,6.199999809E0,8.834170662E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.821552795E1,4.300226950E1,-7.879116281E1,1.795016499E2,1.447891846E2,1.600000024E0,4.400000095E0,8.999674749E-2,3.790092468E0,2.500000000E0,2.500000000E1
5.920909566E1,4.300228438E1,-7.879116329E1,1.793992599E2,1.446867676E2,1.710000038E0,4.699999809E0,9.150516656E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.022030019E1,4.300229794E1,-7.879116382E1,1.798405076E2,1.451279907E2,1.379999995E0,3.500000000E0,9.249602148E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.121683180E1,4.300230685E1,-7.879116364E1,1.799713220E2,1.452587891E2,7.699999809E-1,5.199999809E0,9.323107312E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.221811706E1,4.300231336E1,-7.879116207E1,1.803154495E2,1.456029053E2,8.399999738E-1,3.799999952E0,9.413950269E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.320921873E1,4.300232149E1,-7.879116097E1,1.799913672E2,1.452788086E2,9.200000167E-1,3.400000095E0,9.526051129E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.421552341E1,4.300233151E1,-7.879115945E1,1.801064972E2,1.453939209E2,1.200000048E0,3.799999952E0,9.660152529E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.521326372E1,4.300234355E1,-7.879115850E1,1.803367433E2,1.456241455E2,1.309999943E0,5.300000191E0,9.765552064E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.621755279E1,4.300235289E1,-7.879115629E1,1.800598431E2,1.453472290E2,7.699999809E-1,4.500000000E0,9.831992749E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.721265987E1,4.300235792E1,-7.879115188E1,1.796368774E2,1.449242554E2,7.099999785E-1,4.000000000E0,9.909606662E-2,3.790092468E0,2.500000000E0,2.500000000E1
6.821165820E1,4.300235917E1,-7.879114249E1,1.794063475E2,1.446937256E2,9.300000072E-1,1.056999969E2,1.004436550E-1,3.790092468E0,2.500000000E0,2.500000000E1
6.922391039E1,4.300235405E1,-7.879112747E1,1.792242056E2,1.445115967E2,1.590000033E0,1.155999985E2,1.023298638E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.020872831E1,4.300234280E1,-7.879111011E1,1.789374378E2,1.442248535E2,1.840000033E0,1.313999939E2,1.043675414E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.120605581E1,4.300232831E1,-7.879109477E1,1.794586481E2,1.447460938E2,1.960000038E0,1.468000031E2,1.059399595E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.221848581E1,4.300231588E1,-7.879108555E1,1.792284598E2,1.445159302E2,1.149999976E0,1.470000000E2,1.070341899E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.322354091E1,4.300230699E1,-7.879107978E1,1.791294432E2,1.444169312E2,1.129999995E0,1.468999939E2,1.080530491E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.421697070E1,4.300229928E1,-7.879107301E1,1.790158412E2,1.443033447E2,9.700000286E-1,1.393000031E2,1.090586176E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.521605930E1,4.300229263E1,-7.879106463E1,1.788219795E2,1.441094971E2,1.080000043E0,1.390000000E2,1.102273772E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.622238607E1,4.300228558E1,-7.879105397E1,1.789307287E2,1.442182617E2,1.210000038E0,1.341000061E2,1.118514871E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.720825476E1,4.300227471E1,-7.879104063E1,1.786851003E2,1.439726562E2,1.899999976E0,1.380000000E2,1.136436691E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.822091929E1,4.300226212E1,-7.879102687E1,1.784131015E2,1.437006836E2,1.639999986E0,1.350000000E2,1.152425229E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.921133211E1,4.300225092E1,-7.879101454E1,1.787104415E2,1.439980469E2,1.570000052E0,1.380000000E2,1.165215917E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.021425346E1,4.300224159E1,-7.879100534E1,1.787793310E2,1.440669556E2,1.029999971E0,1.383000031E2,1.175004104E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.122431794E1,4.300223420E1,-7.879099880E1,1.781516916E2,1.434393311E2,9.399999976E-1,1.385000000E2,1.185726184E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.221390382E1,4.300222564E1,-7.879099273E1,1.783349021E2,1.436225586E2,1.139999986E0,1.528000031E2,1.197376799E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.322409752E1,4.300221726E1,-7.879098413E1,1.781997530E2,1.434874268E2,1.269999981E0,1.401999969E2,1.211643871E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.421740023E1,4.300220790E1,-7.879097213E1,1.781609148E2,1.434486084E2,1.590000033E0,1.408000031E2,1.228291777E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.520719075E1,4.300219751E1,-7.879095739E1,1.779941443E2,1.432818604E2,1.679999948E0,1.373999939E2,1.244801246E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.621954174E1,4.300218807E1,-7.879094172E1,1.780301951E2,1.433179321E2,1.490000010E0,1.361000061E2,1.258246715E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.721558570E1,4.300218047E1,-7.879092886E1,1.781727563E2,1.434605103E2,1.179999948E0,1.343000031E2,1.267726460E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.820951887E1,4.300217532E1,-7.879091957E1,1.773670806E2,1.426548462E2,8.299999833E-1,1.348000031E2,1.276218785E-1,3.790092468E0,2.500000000E0,2.500000000E1
8.920977491E1,4.300217060E1,-7.879091136E1,1.772704514E2,1.425582275E2,9.800000191E-1,1.361000061E2,1.286924245E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.021124132E1,4.300216446E1,-7.879090122E1,1.774866243E2,1.427744141E2,1.210000038E0,1.301999969E2,1.298311263E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.122665528E1,4.300215766E1,-7.879089075E1,1.775522832E2,1.428400879E2,1.169999957E0,1.306999969E2,1.311800830E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.221690127E1,4.300214961E1,-7.879087834E1,1.775041699E2,1.427919922E2,1.549999952E0,1.351000061E2,1.325939279E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.321482830E1,4.300214078E1,-7.879086583E1,1.771073002E2,1.423951416E2,1.399999976E0,1.353000031E2,1.340748030E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.421819049E1,4.300213159E1,-7.879085265E1,1.774429737E2,1.427308350E2,1.620000005E0,1.341000061E2,1.352450594E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.521369038E1,4.300212471E1,-7.879084176E1,1.772215230E2,1.425093994E2,8.799999952E-1,1.336999969E2,1.361524401E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.621126054E1,4.300211916E1,-7.879083358E1,1.765330344E2,1.418209229E2,9.100000262E-1,1.356000061E2,1.371705919E-1,3.790092468E0,2.500000000E0,2.500000000E1
9.721949236E1,4.300211291E1,-7.879082443E1,1.764017342E2,1.416896362E2,1.049999952E0,1.318000031E2,1.383712471E-1,3.790092468E0,2.500000000E0,2.400000000E1
9.822064351E1,4.300210642E1,-7.879081263E1,1.771159529E2,1.424038696E2,1.179999948E0,1.270999985E2,1.398938125E-1,3.790092468E0,2.500000000E0,2.400000000E1
9.921742538E1,4.300209759E1,-7.879079832E1,1.773498812E2,1.426378174E2,1.610000014E0,1.343999939E2,1.415735684E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.002762042E2,4.300208671E1,-7.879078399E1,1.771806075E2,1.424685669E2,1.490000010E0,1.395000000E2,1.432199440E-1,3.790092468E0,2.506111622E0,2.400000000E1
1.012187497E2,4.300207457E1,-7.879077240E1,1.779939982E2,1.432819824E2,1.529999971E0,1.466000061E2,1.446881683E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.022211737E2,4.300206365E1,-7.879076225E1,1.776369813E2,1.429249878E2,1.269999981E0,1.358999939E2,1.459157236E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.032233642E2,4.300205476E1,-7.879075330E1,1.769353639E2,1.422233887E2,1.100000024E0,1.363000031E2,1.468510050E-1,3.790092468E0,2.753557920E0,2.500000000E1
1.042147217E2,4.300204812E1,-7.879074624E1,1.769077623E2,1.421958008E2,7.799999714E-1,1.363000031E2,1.476433802E-1,3.790092468E0,2.830784798E0,2.500000000E1
1.052139792E2,4.300204246E1,-7.879074032E1,1.767278189E2,1.420158691E2,8.100000024E-1,1.361000061E2,1.488495326E-1,3.790092468E0,3.138099909E0,2.500000000E1
1.062222127E2,4.300203351E1,-7.879073194E1,1.762057670E2,1.414938354E2,1.350000024E0,1.361000061E2,1.503390058E-1,3.959463358E0,3.531866789E0,2.500000000E1
1.072141780E2,4.300202197E1,-7.879072264E1,1.764858342E2,1.417739258E2,1.549999952E0,1.503999939E2,1.521302754E-1,3.790092468E0,3.392993450E0,2.500000000E1
1.082214645E2,4.300200828E1,-7.879071103E1,1.768456699E2,1.421337891E2,1.870000005E0,1.468000031E2,1.538794191E-1,3.790092468E0,3.196295500E0,2.400000000E1
1.092219806E2,4.300199551E1,-7.879069847E1,1.769640519E2,1.422521973E2,1.600000024E0,1.436999969E2,1.554964093E-1,3.790092468E0,3.105347872E0,2.300000000E1
1.102236636E2,4.300198457E1,-7.879068537E1,1.774316802E2,1.427198486E2,1.600000024E0,1.433999939E2,1.569649956E-1,3.790092468E0,3.195199490E0,2.400000000E1
1.112245057E2,4.300197529E1,-7.879067252E1,1.775982252E2,1.428864136E2,1.350000024E0,1.433000031E2,1.582150692E-1,3.870409250E0,3.265458584E0,2.400000000E1
1.122215606E2,4.300196770E1,-7.879066118E1,1.768752472E2,1.421634521E2,1.179999948E0,1.433000031E2,1.592311153E-1,3.872421503E0,3.348568439E0,2.400000000E1
1.132140957E2,4.300196087E1,-7.879065288E1,1.764285776E2,1.417167969E2,9.700000286E-1,1.486999969E2,1.604483414E-1,3.790092468E0,3.022097111E0,2.400000000E1
1.142231638E2,4.300195299E1,-7.879064249E1,1.764250817E2,1.417133179E2,1.470000029E0,1.411999969E2,1.617639836E-1,3.790092468E0,2.910046816E0,2.400000000E1
1.152146436E2,4.300194458E1,-7.879063111E1,1.766242214E2,1.419124756E2,1.279999971E0,1.483000031E2,1.630377217E-1,3.790092468E0,2.965256214E0,2.500000000E1
1.162227097E2,4.300193664E1,-7.879061982E1,1.766642433E2,1.419525146E2,1.330000043E0,1.483000031E2,1.646040610E-1,3.790092468E0,3.087660074E0,2.500000000E1
1.172277859E2,4.300192614E1,-7.879060698E1,1.768004516E2,1.420887451E2,1.690000057E0,1.483000031E2,1.659580007E-1,3.871400595E0,3.292292118E0,2.500000000E1
1.182224546E2,4.300191608E1,-7.879059760E1,1.762763223E2,1.415646362E2,1.159999967E0,1.485000000E2,1.670778689E-1,3.790092468E0,3.176232576E0,2.500000000E1
1.192259096E2,4.300190777E1,-7.879058982E1,1.757805778E2,1.410689087E2,1.179999948E0,1.481999969E2,1.681851364E-1,3.790092468E0,3.050150156E0,2.500000000E1
1.202227382E2,4.300189991E1,-7.879058146E1,1.750702954E2,1.403586426E2,9.900000095E-1,1.483999939E2,1.692251630E-1,3.790092468E0,3.120319843E0,2.500000000E1
1.212099181E2,4.300189222E1,-7.879057418E1,1.746209999E2,1.399093628E2,9.599999785E-1,1.488999939E2,1.705285986E-1,3.790092468E0,3.082733154E0,2.400000000E1
1.222243378E2,4.300188303E1,-7.879056423E1,1.747174774E2,1.400058594E2,1.450000048E0,1.428000031E2,1.720454069E-1,3.790092468E0,2.963975430E0,2.400000000E1
1.232072452E2,4.300187243E1,-7.879055249E1,1.748290886E2,1.401174927E2,1.450000048E0,1.411999969E2,1.736497225E-1,3.790092468E0,2.902565479E0,2.400000000E1
1.242168633E2,4.300186142E1,-7.879053974E1,1.748556159E2,1.401440430E2,1.519999981E0,1.428000031E2,1.748598074E-1,3.790092468E0,2.987948179E0,2.400000000E1
1.252134916E2,4.300185223E1,-7.879053177E1,1.747352360E2,1.400236816E2,1.019999981E0,1.430000000E2,1.760618601E-1,3.816888809E0,3.155606747E0,2.400000000E1
1.262161904E2,4.300184298E1,-7.879052412E1,1.750764039E2,1.403648682E2,1.429999948E0,1.493999939E2,1.772270959E-1,3.790092468E0,3.169780970E0,2.400000000E1
1.272221770E2,4.300183411E1,-7.879051649E1,1.758966374E2,1.411851196E2,1.080000043E0,1.488000031E2,1.781197156E-1,3.790092468E0,3.318845987E0,2.500000000E1
