"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.803144200E-2,-1.370228827E-3,1.129329205E-2,2.643680573E-1,2.646127088E-1
2.621259600E-2,1.387616992E-2,1.031413674E-2,2.979393005E-1,2.984405407E-1
3.439355700E-2,3.391100466E-2,6.940871477E-3,3.075685501E-1,3.095101694E-1
4.257574900E-2,2.207587659E-2,1.300656796E-2,3.360385895E-1,3.370140186E-1
5.075763400E-2,5.647604167E-2,-2.337932587E-3,3.456668854E-1,3.502579119E-1
5.894078800E-2,6.919148564E-2,-1.747399569E-3,3.141832352E-1,3.217166771E-1
6.712348000E-2,5.404696614E-2,-8.634001017E-3,2.374076843E-1,2.436350326E-1
7.532794200E-2,4.535160214E-2,-2.158442140E-2,1.536588669E-1,1.616592170E-1
8.350886500E-2,4.326864704E-2,6.759911776E-3,8.158016205E-2,9.259154964E-2
9.169048000E-2,3.936151415E-2,2.972275019E-2,-9.352684021E-3,5.020202559E-2
9.987074900E-2,6.923895329E-2,1.056379080E-2,-4.748344421E-2,8.461857836E-2
1.080505570E-1,2.463030070E-2,-1.675155759E-2,-6.898593903E-2,7.514204001E-2
1.162307490E-1,-3.434363008E-2,-4.646089673E-2,-9.085655212E-3,5.848631449E-2
1.244107490E-1,-1.558785886E-2,-3.699925542E-2,6.929302216E-2,8.008401317E-2
1.325925950E-1,-3.237691522E-2,-2.937519550E-2,1.458873749E-1,1.522967265E-1
1.407748640E-1,1.201599836E-3,-2.424350381E-2,1.817846298E-1,1.833980451E-1
1.489570180E-1,3.962177783E-3,-4.872381687E-4,2.005386353E-1,2.005783649E-1
1.571623640E-1,-2.916119993E-3,1.866695285E-2,1.718091965E-1,1.728448983E-1
1.653441340E-1,-1.668361202E-2,5.668011308E-2,9.760284424E-2,1.140933536E-1
1.735265570E-1,-2.152470872E-2,6.019997597E-2,3.844261169E-2,7.460016478E-2
1.817083640E-1,-1.862558350E-2,2.384725213E-2,-2.238273621E-3,3.034161604E-2
1.898899410E-1,-2.344705909E-2,3.128433228E-2,-1.627731323E-2,4.234884830E-2
1.980708640E-1,-3.105039895E-2,2.415221930E-2,5.268096924E-3,3.968891302E-2
2.062520180E-1,-5.330730230E-3,-4.331946373E-3,4.835033417E-2,4.883581942E-2
2.144333260E-1,-1.288734004E-2,-5.148026347E-2,7.225704193E-2,8.965144265E-2
2.226145950E-1,-2.240644768E-2,-4.744565487E-2,1.220731735E-1,1.328721143E-1
2.307965560E-1,2.070207708E-2,-6.317558885E-2,1.507587433E-1,1.647662881E-1
2.390000560E-1,2.231251821E-2,-4.028230906E-2,1.883668900E-1,1.939138936E-1
2.471817100E-1,2.525302768E-2,-1.076570153E-2,2.050952911E-1,2.069243683E-1
2.553631330E-1,5.313666910E-2,3.845095634E-3,2.001619339E-1,2.071306113E-1
2.635441720E-1,1.049816795E-2,1.571917534E-2,1.642541885E-1,1.653382668E-1
2.717262490E-1,1.579880156E-2,1.068747044E-2,1.427183151E-1,1.439872968E-1
2.799090560E-1,-7.479887456E-3,5.813255906E-2,1.044311523E-1,1.197547858E-1
2.880912490E-1,-1.436042599E-2,5.478000641E-2,6.916809082E-2,8.939404748E-2
2.962729410E-1,-4.472491145E-2,4.969939590E-2,5.481719971E-2,8.645966135E-2
3.044545950E-1,-4.749353603E-2,3.864556551E-2,1.943111420E-2,6.423927067E-2
3.126365950E-1,-8.276933432E-2,4.805690050E-2,-1.407909393E-2,9.673907832E-2
3.208413640E-1,-8.001658320E-2,3.866994381E-2,-1.887416840E-2,9.085291616E-2
3.290227480E-1,-5.356391892E-2,3.662425280E-2,-4.523277283E-3,6.504528684E-2
3.372035560E-1,3.222392127E-2,1.607504487E-2,8.401584625E-2,9.140815385E-2
3.453838640E-1,5.336309597E-2,-3.951579332E-3,1.797151566E-1,1.875120596E-1
3.535646710E-1,5.791540071E-2,-3.580510616E-2,2.849845886E-1,2.930058276E-1
3.617464020E-1,2.460536733E-2,-4.161557555E-2,3.328094482E-1,3.363025558E-1
3.699287870E-1,3.557991236E-3,-1.190486550E-2,3.279790878E-1,3.282143616E-1
3.781113250E-1,-9.961817414E-3,1.956358552E-2,2.872657776E-1,2.881034513E-1
3.862935940E-1,-9.169701487E-3,5.747994781E-2,1.915187836E-1,2.001686096E-1
3.944764790E-1,-1.341883093E-3,4.716947675E-2,8.381462097E-2,9.618550242E-2
4.026812100E-1,2.778021619E-2,6.315010786E-2,5.512046814E-2,8.830595983E-2
4.108628630E-1,1.364702545E-2,5.792772770E-2,6.471729279E-2,8.792150434E-2
4.190446330E-1,9.041815996E-3,3.159642220E-2,9.344863892E-2,9.905925725E-2
4.272265170E-1,-1.958649606E-2,2.471742034E-2,1.293478012E-1,1.331369046E-1
4.354075560E-1,-1.713057607E-2,1.299649477E-3,1.580553055E-1,1.589862425E-1
4.435889020E-1,1.414533891E-2,-2.941906452E-3,1.819734573E-1,1.825461164E-1
4.517692480E-1,4.310726747E-2,-1.220184565E-2,1.723842621E-1,1.781107952E-1
4.599492480E-1,2.447117493E-2,4.970520735E-3,1.627912521E-1,1.646952830E-1
4.681301710E-1,3.235663846E-2,7.730394602E-3,1.843271255E-1,1.873050994E-1
4.763098630E-1,1.640327089E-2,1.034775376E-2,2.130517960E-1,2.139327256E-1
4.845124020E-1,7.641892880E-3,5.593210459E-3,2.250242233E-1,2.252234082E-1
4.926937090E-1,-8.290145546E-3,1.256641746E-2,2.178554535E-1,2.183749985E-1
5.008763250E-1,-7.496796548E-3,2.628350258E-2,1.915512085E-1,1.934913175E-1
5.090585940E-1,-4.504605010E-2,3.955835104E-2,1.461133957E-1,1.579339551E-1
5.172415170E-1,-3.020686284E-2,6.210198998E-2,7.435131073E-2,1.014752636E-1
5.254235550E-1,-2.492919564E-2,7.027828693E-2,4.089736938E-2,8.504761744E-2
5.336051710E-1,-2.931912616E-2,5.721259117E-2,4.813003540E-2,8.030810703E-2
5.417872090E-1,-1.205620915E-2,4.445937276E-2,7.450389862E-2,8.759462834E-2
5.499701320E-1,-6.583277136E-3,1.044109464E-2,1.080484390E-1,1.087511893E-1
5.581524780E-1,2.505141497E-2,7.630765438E-3,1.367998123E-1,1.392838491E-1
5.663613240E-1,2.084982395E-2,1.670867205E-2,1.894979477E-1,1.913723257E-1
5.745426710E-1,4.789690301E-2,2.305051684E-2,1.847515106E-1,1.922460931E-1
5.827237090E-1,4.360196739E-2,1.708063483E-2,1.680469513E-1,1.744495844E-1
5.909057090E-1,1.990259439E-2,3.235796094E-2,1.250190735E-1,1.306633829E-1
5.990876700E-1,3.672444075E-2,4.028210044E-2,1.035470963E-1,1.170185169E-1
6.072711700E-1,2.242657542E-2,3.862810135E-2,9.643936157E-2,1.062809106E-1
6.154554780E-1,-1.521117985E-3,2.979692817E-2,7.736110687E-2,8.291508659E-2
6.236374400E-1,5.620952696E-3,4.490226507E-2,9.180164337E-2,1.023491585E-1
6.318192470E-1,-1.535780728E-3,1.727363467E-2,1.062259674E-1,1.076322128E-1
6.400021700E-1,1.773823053E-2,8.812606335E-3,9.431457520E-2,9.637191472E-2
6.482134010E-1,1.566449553E-2,2.912974358E-2,8.718967438E-2,9.325211901E-2
6.563969780E-1,-3.301415592E-3,3.043153882E-2,8.963584900E-2,9.471833680E-2
6.645794010E-1,-3.111913800E-3,1.509052515E-2,9.686470032E-2,9.808250672E-2
6.727637090E-1,-5.134046078E-4,6.953656673E-3,1.280355453E-1,1.282252619E-1
6.809458620E-1,2.606519870E-2,-1.519680023E-2,1.280641556E-1,1.315703814E-1
6.891295550E-1,3.099563718E-2,1.044228673E-2,1.065492630E-1,1.114563427E-1
6.973113620E-1,2.404851839E-2,2.859890461E-3,1.065692902E-1,1.092864302E-1
7.054924780E-1,3.393641859E-2,-1.907405257E-2,1.233491898E-1,1.293465214E-1
7.136745930E-1,1.255546883E-2,-2.423292398E-2,1.257610321E-1,1.286884284E-1
7.218583620E-1,1.970645785E-2,-1.496568322E-2,1.233816147E-1,1.258385434E-1
7.300684390E-1,1.204754040E-2,-8.593797684E-4,1.162071228E-1,1.168331167E-1
7.382519390E-1,4.411678761E-3,2.046334743E-2,1.162157059E-1,1.180859932E-1
7.464357850E-1,-2.235175297E-2,-3.510296345E-3,1.233978271E-1,1.254549592E-1
7.546205160E-1,-3.499686718E-3,-9.643733501E-4,1.640901566E-1,1.641303059E-1
7.628044010E-1,-2.042064816E-2,-1.029226184E-2,1.808376312E-1,1.822777617E-1
7.709883240E-1,-4.922381043E-2,-3.106683493E-3,1.856260300E-1,1.920668061E-1
7.791706700E-1,-5.874896422E-2,-7.867813110E-3,1.736526489E-1,1.834900154E-1
7.873533240E-1,-2.278553694E-2,-1.067227125E-2,1.617021561E-1,1.636479922E-1
7.955363240E-1,3.632128239E-3,1.274958253E-2,1.353893280E-1,1.360368125E-1
8.037190930E-1,-3.575857729E-3,7.292985916E-3,1.042976379E-1,1.046134393E-1
8.119246700E-1,2.268081158E-2,2.092596889E-2,8.996582031E-2,9.511132536E-2
8.201063620E-1,8.525859565E-3,2.038735151E-2,5.886745453E-2,6.287854631E-2
8.282883620E-1,1.848962158E-3,1.286402345E-2,7.325077057E-2,7.439473872E-2
8.364702460E-1,-8.845701814E-5,2.688840032E-2,5.651092529E-2,6.258177509E-2
8.446537460E-1,-2.113053575E-2,4.950851202E-3,6.610870361E-2,6.957996236E-2
8.528365540E-1,-1.144424081E-2,1.179206371E-2,6.133747101E-2,6.350046271E-2
8.610198230E-1,-1.637722179E-2,-5.211889744E-3,5.655956268E-2,5.911312307E-2
8.692019770E-1,-7.040623575E-3,2.317628264E-2,6.136322021E-2,6.597086670E-2
8.773843620E-1,-4.336359352E-2,-8.144497871E-3,9.010028839E-2,1.003234572E-1
8.855655540E-1,-3.428220749E-2,-6.041079760E-3,1.044769287E-1,1.101235353E-1
8.937706310E-1,-4.182554781E-2,-8.618354797E-3,1.092710495E-1,1.173192855E-1
9.019527850E-1,-3.987440094E-2,-1.601862907E-2,1.332216263E-1,1.399805916E-1
9.101355920E-1,-1.867059991E-2,-2.100861073E-2,1.308336258E-1,1.338184990E-1
9.183177850E-1,1.676488295E-2,-1.163333654E-2,1.140823364E-1,1.158929476E-1
9.264989770E-1,3.578694165E-2,-1.892405748E-2,8.296203613E-2,9.231210421E-2
9.346813610E-1,-1.911573857E-2,2.419096231E-2,5.423164368E-2,6.238337354E-2
9.428637850E-1,-2.022881061E-3,4.344153404E-2,4.704666138E-2,6.406752121E-2
9.510461310E-1,-6.311379373E-3,5.104759336E-2,5.899906158E-2,7.827247003E-2
9.592282460E-1,-3.465730697E-3,4.944723845E-2,6.135940552E-2,7.887976499E-2
9.674109770E-1,-1.018718630E-2,4.561585188E-2,4.934501648E-2,6.796701670E-2
9.756208610E-1,-1.441015676E-2,1.583269238E-2,7.083320618E-2,7.399776931E-2
9.838018230E-1,-5.471089482E-2,1.252910495E-2,1.042842865E-1,1.184291894E-1
9.919832460E-1,-5.452126265E-2,4.574745893E-3,1.736412048E-1,1.820570361E-1
1.000163015E0,-4.492970556E-2,6.050646305E-3,2.549753189E-1,2.589743269E-1
1.008342707E0,-4.547137767E-3,1.457625628E-2,2.716703415E-1,2.720990962E-1
1.016523977E0,-2.424456179E-4,8.361279964E-3,2.740173340E-1,2.741449783E-1
1.024705053E0,2.556307800E-2,1.144880056E-2,2.835588455E-1,2.849388792E-1
1.032886361E0,4.445508122E-2,1.660087705E-2,2.835407257E-1,2.874842370E-1
1.041068169E0,2.757514268E-2,2.385950089E-2,2.907199860E-1,2.929979087E-1
1.049248823E0,3.017512336E-2,3.785166144E-2,2.548246384E-1,2.593817316E-1
1.057452976E0,4.292368889E-3,2.995160222E-2,1.854286194E-1,1.878810682E-1
1.065633899E0,-1.684464514E-2,3.870400786E-2,1.375846863E-1,1.439141695E-1
1.073815592E0,1.453572884E-2,3.537821770E-2,9.453487396E-2,1.019791552E-1
1.081998399E0,9.895011783E-3,2.246797085E-2,7.542514801E-2,7.932007265E-2
1.090181245E0,9.944640100E-3,3.120070696E-2,7.307052612E-2,8.007297777E-2
1.098364784E0,7.440153509E-3,3.771838546E-2,7.788848877E-2,8.685993995E-2
1.106547015E0,9.819608182E-3,2.029681206E-2,8.510303497E-2,8.803926309E-2
1.114730361E0,2.392014861E-2,1.959627867E-2,9.710502625E-2,1.019096353E-1
1.122912399E0,4.273186997E-2,9.270995855E-3,9.953308105E-2,1.087142967E-1
1.131095091E0,4.255729169E-2,6.226897240E-3,1.163215637E-1,1.240185612E-1
1.139305591E0,5.451309681E-2,1.519879699E-2,1.067724228E-1,1.208430032E-1
1.147488514E0,4.748600721E-2,9.167194366E-5,1.068086624E-1,1.168889201E-1
1.155672322E0,5.258619040E-2,6.588578224E-3,1.116313934E-1,1.235729937E-1
1.163856822E0,5.251805484E-2,5.910247564E-3,1.236343384E-1,1.344564120E-1
1.172039668E0,3.339346498E-2,-2.032011747E-3,9.254455566E-2,9.840603314E-2
1.180222399E0,4.078873247E-2,-3.368258476E-4,6.384944916E-2,7.576665695E-2
1.188405130E0,-9.149733931E-3,1.581582427E-2,3.036117554E-2,3.543527774E-2
1.196586937E0,-3.270936385E-2,2.721968293E-2,-2.467632294E-2,4.919079727E-2
1.204769976E0,-3.021949157E-2,1.019319892E-2,-4.381656647E-2,5.419419224E-2
1.212955476E0,7.614754140E-4,2.242806554E-2,-7.343292236E-4,2.245299998E-2
1.221163283E0,2.667907625E-3,1.575034857E-2,6.148815155E-2,6.352939471E-2
1.229345937E0,2.821373567E-2,-2.544224262E-4,1.117258072E-1,1.152333962E-1
1.237528706E0,8.333027363E-3,-1.849049330E-2,1.595630646E-1,1.608468503E-1
1.245711899E0,3.397308290E-2,-1.043453813E-2,2.121896744E-1,2.151453180E-1
1.253896822E0,5.274172500E-2,-7.307052612E-3,2.384891510E-1,2.443607123E-1
1.262081629E0,2.621520311E-2,1.721647382E-2,2.384614944E-1,2.405151309E-1
1.270264706E0,2.860482037E-2,1.256668568E-2,1.905708313E-1,1.931149893E-1
1.278447091E0,2.390448935E-2,1.016402245E-2,1.762065887E-1,1.781109033E-1
1.286629937E0,2.413669415E-2,1.713779569E-2,1.450920105E-1,1.480809763E-1
1.294812783E0,3.851555288E-2,1.697227359E-2,1.498889923E-1,1.556862740E-1
1.303022552E0,2.401415817E-2,-4.395842552E-5,9.004592896E-2,9.319308476E-2
1.311203437E0,-5.142517388E-3,2.846884727E-2,8.765888214E-2,9.230926480E-2
1.319386206E0,1.097397879E-2,4.269242287E-3,1.163978577E-1,1.169919481E-1
1.327569091E0,-2.096283063E-2,1.965880394E-3,1.379375458E-1,1.395351980E-1
1.335751475E0,7.012143731E-3,1.148679852E-2,1.307535172E-1,1.314442808E-1
1.343934168E0,2.052615397E-2,-5.029648542E-3,1.714391708E-1,1.727368220E-1
1.352116975E0,7.995769382E-3,1.431590319E-2,1.762161255E-1,1.769774005E-1
1.360299668E0,-6.712194532E-3,1.211753488E-2,1.809930801E-1,1.815224043E-1
1.368482591E0,1.464206725E-2,2.589970827E-3,1.594419479E-1,1.601337967E-1
1.376665283E0,-1.169645786E-2,1.446279883E-2,1.522645950E-1,1.533965012E-1
1.384870014E0,-1.169415191E-2,2.247184515E-3,1.283340454E-1,1.288853376E-1
1.393051475E0,-2.164114267E-3,4.150658846E-3,1.187801361E-1,1.188723353E-1
1.401233514E0,-9.433064610E-3,2.994954586E-2,1.116228104E-1,1.159552060E-1
1.409416475E0,-1.470875368E-2,1.011070609E-2,9.010505676E-2,9.185583850E-2
1.417597244E0,-3.029219806E-3,3.097334504E-2,7.577037811E-2,8.191260266E-2
1.425777590E0,3.668528050E-3,2.071169019E-2,5.185890198E-2,5.596229019E-2
1.433959090E0,-8.642788976E-3,1.782825589E-2,4.469680786E-2,4.889119698E-2
1.442140513E0,-1.841075718E-2,1.743698120E-2,2.077293396E-2,3.277985782E-2
1.450321629E0,1.501355320E-2,2.206280828E-2,1.599216461E-2,3.111147084E-2
1.458501744E0,-1.797273755E-3,1.959532499E-2,4.023551941E-3,2.008471869E-2
1.466706590E0,1.485718042E-2,5.360305309E-3,-1.274204254E-2,2.029355393E-2
1.474889936E0,1.021139696E-2,-2.023991942E-2,6.377220154E-3,2.354985994E-2
1.483072590E0,-3.857687116E-3,-3.357660770E-2,4.942512512E-2,5.987581589E-2
1.491254590E0,-2.276184037E-2,-1.554369926E-2,9.246158600E-2,9.648239658E-2
1.499437129E0,-4.664796963E-2,-2.771615982E-6,1.163492203E-1,1.253522004E-1
1.507619782E0,-4.904700443E-2,-2.032026649E-2,1.330499649E-1,1.432508814E-1
1.515802052E0,-2.285371721E-2,2.358973026E-3,1.641216278E-1,1.657219535E-1
1.523983321E0,-8.497133851E-3,5.832612514E-3,1.928005219E-1,1.930757931E-1
1.532164667E0,1.784366928E-2,2.107951045E-2,2.023363113E-1,2.042124511E-1
1.540345244E0,2.747171745E-2,2.415931225E-2,1.879396439E-1,1.914671705E-1
1.548555090E0,3.006172739E-2,1.741728187E-2,1.831321716E-1,1.863986627E-1
1.556736282E0,1.111149043E-2,3.217628598E-2,1.759319305E-1,1.791949296E-1
1.564916898E0,4.073478281E-3,1.820236444E-2,1.711263657E-1,1.721399208E-1
1.573097667E0,-1.468624920E-2,1.141175628E-2,2.094173431E-1,2.102416174E-1
1.581278705E0,-1.205180958E-2,1.649329066E-2,1.974325180E-1,1.984864578E-1
1.589460628E0,-1.899646595E-2,1.419630647E-2,1.830644608E-1,1.845941430E-1
1.597642590E0,9.776093066E-3,-7.548034191E-3,1.375846863E-1,1.381379409E-1
1.605826359E0,1.949067228E-2,-1.741960645E-2,9.450340271E-2,9.805213979E-2
1.614008359E0,4.771314561E-4,-1.527094841E-2,8.972644806E-2,9.101793780E-2
1.622190705E0,7.741723210E-3,-2.739053965E-2,7.776260376E-2,8.280820300E-2
1.630399436E0,3.161262721E-2,-1.535990834E-2,6.818294525E-2,7.670853281E-2
1.638581474E0,1.701705530E-2,-1.987713575E-2,9.211158752E-2,9.575607163E-2
1.646763743E0,1.190228015E-2,-1.945167780E-2,1.040611267E-1,1.065305127E-1
1.654946397E0,9.326674044E-3,-2.604833245E-2,1.255807877E-1,1.285925219E-1
1.663128320E0,2.607990988E-2,-4.209432006E-2,1.255474091E-1,1.349601623E-1
1.671310320E0,1.668130234E-2,-3.661727905E-2,1.350936890E-1,1.409588442E-1
1.679493243E0,2.172913402E-2,-1.910838485E-2,1.087245941E-1,1.125092130E-1
1.687676205E0,2.696585096E-2,-2.084463835E-2,1.110897064E-1,1.162005978E-1
1.695858705E0,1.510490477E-2,-1.292356849E-2,1.206321716E-1,1.222591412E-1
1.704040243E0,5.082656816E-2,-3.622287512E-2,1.541204453E-1,1.662785264E-1
1.712245205E0,6.233781949E-2,-3.562983871E-2,1.900053024E-1,2.031194331E-1
1.720427551E0,6.665407121E-2,-6.502896547E-3,1.588592529E-1,1.723987097E-1
1.728611051E0,5.663260072E-2,8.599162102E-4,1.157531738E-1,1.288673278E-1
1.736792589E0,5.391160026E-2,1.766154170E-2,6.307792664E-2,8.483640449E-2
1.744973281E0,4.898210242E-2,1.756945252E-2,4.153442383E-2,6.658108127E-2
