"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.715492098E0,4.300038190E1,-7.878881180E1,1.823084756E2,1.476000061E2,NaN,NaN,5.964872940E-2,6.196599960E1,1.298153019E1,0.000000000E0
3.981289689E0,4.300014425E1,-7.878946938E1,1.797082065E2,1.450000000E2,7.999999523E-1,0.000000000E0,6.352772323E-2,8.000000000E0,1.400000000E1,1.300000000E1
4.380707189E0,4.300010946E1,-7.878947298E1,1.747081446E2,1.400000000E2,3.499999940E-1,0.000000000E0,7.461201043E-2,9.000000000E0,1.600000000E1,1.100000000E1
5.392109534E0,4.300001060E1,-7.878945555E1,1.987079619E2,1.640000000E2,6.800000072E-1,0.000000000E0,7.586940841E-2,6.500000000E0,1.000000000E1,2.700000000E1
6.376785495E0,4.300001663E1,-7.878944247E1,1.967079695E2,1.620000000E2,7.599999905E-1,0.000000000E0,8.934006234E-2,6.500000000E0,1.000000000E1,2.900000000E1
7.384666687E0,4.300013067E1,-7.878949838E1,1.747081893E2,1.400000000E2,8.499999642E-1,0.000000000E0,9.150390716E-2,4.500000000E0,8.000000000E0,2.700000000E1
8.390375725E0,4.300011122E1,-7.878949737E1,1.727081540E2,1.380000000E2,1.149999976E0,0.000000000E0,9.395638734E-2,3.000000000E0,6.000000000E0,2.700000000E1
9.392630031E0,4.300009018E1,-7.878948832E1,1.717081137E2,1.370000000E2,7.400000095E-1,1.783000031E2,9.587090426E-2,2.500000000E0,5.000000000E0,2.900000000E1
1.036613238E1,4.300007325E1,-7.878948404E1,1.717080821E2,1.370000000E2,7.500000000E-1,1.813000031E2,9.681020801E-2,2.500000000E0,5.000000000E0,3.000000000E1
1.138587364E1,4.300006529E1,-7.878948019E1,1.717080668E2,1.370000000E2,5.099999905E-1,1.833999939E2,9.802667267E-2,2.000000000E0,4.000000000E0,3.000000000E1
1.240315541E1,4.300005435E1,-7.878947994E1,1.717080470E2,1.370000000E2,0.000000000E0,NaN,9.972763215E-2,2.000000000E0,4.000000000E0,3.000000000E1
1.339126130E1,4.300003905E1,-7.878947985E1,1.737080194E2,1.390000000E2,8.700000048E-1,1.863999939E2,1.005444364E-1,1.500000000E0,4.000000000E0,2.900000000E1
1.438772057E1,4.300003381E1,-7.878948689E1,1.727080117E2,1.380000000E2,8.399999738E-1,1.863999939E2,1.011348083E-1,1.500000000E0,3.000000000E0,2.900000000E1
1.538391891E1,4.300002853E1,-7.878948765E1,1.727080024E2,1.380000000E2,5.699999928E-1,1.863999939E2,1.018726012E-1,1.500000000E0,3.000000000E0,2.900000000E1
1.639894760E1,4.300002585E1,-7.878949595E1,1.717079996E2,1.370000000E2,9.399999976E-1,1.863999939E2,1.029347148E-1,1.500000000E0,3.000000000E0,3.200000000E1
1.740434126E1,4.300001848E1,-7.878950424E1,1.697079884E2,1.350000000E2,7.999999523E-1,1.863999939E2,1.036069153E-1,1.500000000E0,3.000000000E0,3.000000000E1
1.839559106E1,4.300001739E1,-7.878949611E1,1.687079844E2,1.340000000E2,7.699999809E-1,1.598999939E2,1.043571394E-1,1.500000000E0,3.000000000E0,3.100000000E1
1.939491510E1,4.300001177E1,-7.878949100E1,1.687079730E2,1.340000000E2,7.999999523E-1,1.748999939E2,1.051555271E-1,1.500000000E0,3.000000000E0,3.100000000E1
2.039586548E1,4.300000557E1,-7.878949595E1,1.687079630E2,1.340000000E2,7.500000000E-1,1.781999969E2,1.057173286E-1,1.500000000E0,3.000000000E0,3.100000000E1
