"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.663980700E-2,4.300044360E1,-7.878969820E1,1.902088193E2,1.555000153E2,NaN,NaN,3.253473469E-2,9.744000244E1,4.671145630E1,0.000000000E0
4.628453266E0,4.300015221E1,-7.878966199E1,1.797082694E2,1.450000000E2,9.399999976E-1,0.000000000E0,3.453860962E-2,6.500000000E0,1.200000000E1,2.300000000E1
5.634281419E0,4.300015858E1,-7.878963894E1,1.787082750E2,1.440000000E2,9.099999666E-1,0.000000000E0,3.668935000E-2,6.500000000E0,1.100000000E1,2.700000000E1
6.632476226E0,4.300014244E1,-7.878965353E1,1.767082496E2,1.420000000E2,1.159999967E0,0.000000000E0,3.756196786E-2,7.000000000E0,1.200000000E1,2.800000000E1
7.716881840E0,4.300013876E1,-7.878964406E1,1.817082406E2,1.470000000E2,1.110000014E0,0.000000000E0,4.092265623E-2,3.500000000E0,7.000000000E0,2.900000000E1
8.623510532E0,4.300011034E1,-7.878962997E1,1.817081858E2,1.470000000E2,1.110000014E0,1.826000061E2,4.131588503E-2,2.500000000E0,6.000000000E0,3.000000000E1
9.643309301E0,4.300011089E1,-7.878962520E1,1.797081856E2,1.450000000E2,0.000000000E0,NaN,4.131588503E-2,2.500000000E0,5.000000000E0,2.900000000E1
1.063170442E1,4.300011089E1,-7.878962520E1,1.797081856E2,1.450000000E2,0.000000000E0,NaN,4.131588503E-2,2.000000000E0,4.000000000E0,2.900000000E1
1.163743015E1,4.300011089E1,-7.878962520E1,1.797081856E2,1.450000000E2,0.000000000E0,NaN,4.255850148E-2,2.000000000E0,4.000000000E0,3.100000000E1
1.264786134E1,4.300010242E1,-7.878963517E1,1.787081728E2,1.440000000E2,1.110000014E0,1.678000031E2,4.381982068E-2,2.000000000E0,4.000000000E0,3.100000000E1
1.363513588E1,4.300009148E1,-7.878963106E1,1.787081520E2,1.440000000E2,1.120000005E0,1.678000031E2,4.522452105E-2,1.500000000E0,4.000000000E0,3.100000000E1
1.464228418E1,4.300007887E1,-7.878963014E1,1.797081291E2,1.450000000E2,1.110000014E0,1.678000031E2,4.645925407E-2,1.500000000E0,3.000000000E0,3.000000000E1
1.564425172E1,4.300006839E1,-7.878962511E1,1.807081089E2,1.460000000E2,1.139999986E0,1.796999969E2,4.741545485E-2,1.500000000E0,3.000000000E0,3.100000000E1
1.663394453E1,4.300005980E1,-7.878962461E1,1.817080933E2,1.470000000E2,9.899999499E-1,1.813000031E2,4.874502407E-2,1.500000000E0,3.000000000E0,3.200000000E1
1.763120222E1,4.300004852E1,-7.878961916E1,1.817080716E2,1.470000000E2,1.039999962E0,1.835000000E2,4.973743487E-2,1.500000000E0,3.000000000E0,3.100000000E1
1.863162729E1,4.300004002E1,-7.878962285E1,1.817080571E2,1.470000000E2,8.399999738E-1,1.841999969E2,5.141759697E-2,1.500000000E0,3.000000000E0,3.100000000E1
1.964169276E1,4.300002707E1,-7.878963349E1,1.807080365E2,1.460000000E2,1.090000033E0,1.806999969E2,5.245250407E-2,1.500000000E0,3.000000000E0,2.900000000E1
2.063966672E1,4.300001776E1,-7.878963316E1,1.817080196E2,1.470000000E2,1.039999962E0,1.791000061E2,5.369787245E-2,1.500000000E0,3.000000000E0,2.800000000E1
