"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.115375108E-3,-2.179005843E-1,-1.408665879E-1,-1.225516174E0,1.252682703E0
1.416537503E-2,-2.832044815E-1,-2.634721752E-1,-9.226315731E-1,1.000435598E0
2.421537507E-2,-2.548150800E-1,-3.978622408E-1,-7.045731139E-1,8.483209066E-1
3.426537500E-2,-1.401541412E-1,-4.587071975E-1,-5.812477344E-1,7.535943239E-1
4.431437503E-2,-1.303947363E-2,-4.384815323E-1,-6.302848238E-1,7.679160378E-1
5.436437507E-2,7.825767249E-2,-3.592736873E-1,-6.630309856E-1,7.581635269E-1
6.441437500E-2,1.326941173E-1,-2.410258837E-1,-6.358355856E-1,6.928117329E-1
7.446437504E-2,1.930099009E-1,-1.630515088E-1,-6.125122118E-1,6.625781659E-1
8.451437508E-2,2.690388341E-1,-1.341414128E-1,-5.067068446E-1,5.891753892E-1
9.456337499E-2,2.847467211E-1,-1.627268422E-1,-3.143661940E-1,4.542981667E-1
1.046133750E-1,2.719224981E-1,-1.828066193E-1,-2.025457960E-1,3.852076122E-1
1.146633751E-1,2.275893476E-1,-1.578388622E-1,-1.921664035E-1,3.371022756E-1
1.247133750E-1,1.622242740E-1,-1.088237000E-1,-2.137712806E-1,2.895815484E-1
1.347623750E-1,8.447147202E-2,-3.440428600E-2,-2.515472174E-1,2.675725828E-1
1.448123751E-1,1.482890435E-2,2.797571093E-2,-2.500924301E-1,2.520887947E-1
1.548623750E-1,-1.592207786E-2,4.564161122E-2,-2.305948895E-1,2.356070294E-1
1.649123750E-1,-9.343375526E-3,4.303229123E-2,-2.214796650E-1,2.258147887E-1
1.749623751E-1,2.809777156E-2,6.082507610E-2,-1.855724984E-1,1.972975591E-1
1.850113750E-1,7.855387051E-2,5.954395115E-2,-1.712187535E-1,1.975653164E-1
1.950613750E-1,9.122219212E-2,3.371855378E-2,-1.791756445E-1,2.038684399E-1
2.051113751E-1,4.246068936E-2,2.347277015E-2,-1.127179456E-1,1.227159987E-1
2.151613750E-1,2.542087968E-2,8.324944049E-2,-1.011562461E-1,1.334514016E-1
2.252103750E-1,5.014641579E-2,1.309576039E-1,-1.643827736E-1,2.160700195E-1
2.352603751E-1,6.597340330E-2,1.250298429E-1,-2.302656913E-1,2.701985198E-1
2.453103750E-1,7.950788029E-2,8.197562456E-2,-3.087774253E-1,3.292187790E-1
2.553603750E-1,9.659856074E-2,3.261606127E-2,-3.759221721E-1,3.895029767E-1
2.654103751E-1,1.207008933E-1,-2.519126683E-3,-4.717235380E-1,4.869272512E-1
2.754593750E-1,1.215867830E-1,-2.677366957E-2,-5.929655546E-1,6.058946477E-1
2.855093750E-1,6.816051777E-2,-5.011166140E-2,-6.748218960E-1,6.801041288E-1
2.955593751E-1,-1.793845363E-2,-3.656468600E-2,-7.086380982E-1,7.098075223E-1
3.056093750E-1,-6.040626928E-2,-3.458394170E-2,-6.825408053E-1,6.860808388E-1
3.156593750E-1,-6.058270901E-2,-6.093193397E-2,-7.388763893E-1,7.438556875E-1
3.257083751E-1,-2.803641234E-2,-1.242765753E-1,-8.876178610E-1,8.967140987E-1
3.357583750E-1,-9.424140193E-3,-1.368018959E-1,-8.981697464E-1,9.085771660E-1
3.458083750E-1,3.985312354E-2,-1.229501344E-1,-9.017932659E-1,9.110082884E-1
3.558583751E-1,1.075389570E-1,-9.719490364E-2,-9.331530529E-1,9.443442681E-1
3.659073750E-1,1.621446057E-1,-1.306517945E-1,-9.335892552E-1,9.565300110E-1
3.759573750E-1,1.800550292E-1,-1.793118846E-1,-8.681010246E-1,9.045285813E-1
3.860073751E-1,1.276340100E-1,-2.432508954E-1,-8.335626912E-1,8.776606399E-1
3.960571251E-1,3.005834296E-2,-3.556190313E-1,-8.126401842E-1,8.875542059E-1
4.061071251E-1,-8.050216276E-2,-3.538895711E-1,-6.699008793E-1,7.618960656E-1
4.161561250E-1,-1.108207251E-1,-3.490545085E-1,-6.131934124E-1,7.142313659E-1
4.262061251E-1,-5.516372882E-3,-2.136389874E-1,-9.694145608E-1,9.926916127E-1
4.362561251E-1,-3.369531110E-3,-1.384223056E-1,-8.735716796E-1,8.844770024E-1
4.463061250E-1,-2.798934225E-2,-3.111841393E-1,-7.257564068E-1,7.901527281E-1
4.563551251E-1,-4.093014412E-3,-3.218044370E-1,-5.413305473E-1,6.297726653E-1
4.664051251E-1,-1.866694361E-2,-2.015332045E-1,-4.429499745E-1,4.869997610E-1
4.764551250E-1,-8.977277700E-2,-1.017864297E-1,-3.753929991E-1,3.991735619E-1
4.865051251E-1,-1.451829660E-1,-2.557367474E-2,-3.955746639E-1,4.221509459E-1
4.965541251E-1,-1.804878693E-1,1.731579825E-2,-4.292177886E-1,4.659437926E-1
5.066041250E-1,-2.002141457E-1,1.585516378E-2,-4.726333648E-1,5.135361602E-1
