"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.417500040E-3,8.184289277E-2,-4.193408181E-1,4.647542417E-2,4.297731330E-1
1.546749996E-2,-1.580435148E-1,-1.701036894E-1,6.124274272E-1,6.549659314E-1
2.551650000E-2,-3.105500087E-1,4.014230490E-2,1.007306857E0,1.054855354E0
3.556650004E-2,-3.535418080E-1,9.885500126E-2,1.009905944E0,1.074557648E0
4.561649996E-2,-3.296209949E-1,5.152266763E-2,6.740290135E-1,7.520769220E-1
5.566550000E-2,-1.836880870E-1,2.554085724E-2,1.451705772E-1,2.355167620E-1
6.571550004E-2,-4.934976920E-2,4.955179051E-2,-3.286070877E-1,3.359663640E-1
7.576549996E-2,-3.507642344E-2,6.369320847E-2,-5.457481188E-1,5.505707851E-1
8.581449999E-2,-8.934998676E-2,1.039818399E-1,-6.339907891E-1,6.486447131E-1
9.586450004E-2,-1.533157486E-1,1.694805224E-1,-6.388053864E-1,6.784553692E-1
1.059145000E-1,-1.791271126E-1,2.634942484E-1,-5.553048080E-1,6.402180654E-1
1.159645000E-1,-2.323496389E-1,3.250369240E-1,-4.403625816E-1,5.946045408E-1
1.260135000E-1,-2.907022930E-1,2.843040504E-1,-2.606080627E-1,4.829629163E-1
1.360635000E-1,-2.692538289E-1,1.749310045E-1,5.815172911E-2,3.263128933E-1
1.461135000E-1,-1.966431049E-1,-3.235045150E-2,3.548137236E-1,4.069494328E-1
1.561625000E-1,-1.087579919E-1,-2.669164775E-1,5.135469174E-1,5.888999433E-1
1.662125000E-1,-6.302742988E-2,-3.679041776E-1,4.649828678E-1,5.962675643E-1
1.762625000E-1,-3.102949239E-2,-3.067289995E-1,2.824421507E-1,4.181137130E-1
1.863125000E-1,8.144104287E-2,-2.060028161E-1,1.099826181E-1,2.473175691E-1
1.963615000E-1,1.223616122E-1,-1.522959942E-1,-2.485943735E-2,1.969376185E-1
2.064115000E-1,9.595880225E-2,-1.991497332E-1,-4.159650743E-2,2.249421645E-1
2.164615000E-1,8.373731755E-2,-1.924922396E-1,-1.198427778E-1,2.417177943E-1
2.265105000E-1,1.361820911E-1,-1.450727825E-1,-2.694285876E-1,3.349379613E-1
2.365605000E-1,2.092505790E-1,-1.289438228E-1,-3.194263744E-1,4.030453113E-1
2.466105000E-1,2.422134532E-1,-1.890439904E-1,-2.687140578E-1,4.081816165E-1
2.566605000E-1,2.486953110E-1,-2.896102524E-1,-1.356144726E-1,4.051107764E-1
2.667095000E-1,1.921581443E-1,-3.385467696E-1,4.011482298E-2,3.913411129E-1
2.767595000E-1,7.248011179E-2,-2.431877455E-1,1.409488875E-1,2.902761359E-1
2.868095000E-1,-2.848047182E-2,-5.972682282E-2,9.964181721E-2,1.196115478E-1
2.968585000E-1,-4.817886427E-3,8.013506725E-2,-1.219150311E-1,1.459729969E-1
3.069085000E-1,6.417881973E-2,2.002585115E-1,-4.700149816E-1,5.149140465E-1
3.169585000E-1,3.365262643E-2,2.702238089E-1,-7.101349854E-1,7.605557861E-1
3.270075000E-1,-6.083406620E-2,1.755619191E-1,-5.611122626E-1,5.910750733E-1
3.370575000E-1,-5.254307985E-2,-1.595822096E-2,-1.158321726E-1,1.281894390E-1
3.471075000E-1,-5.190938786E-2,-2.283599375E-1,3.392981368E-1,4.122694159E-1
3.571575000E-1,-3.167341702E-2,-4.506536812E-1,5.446839255E-1,7.076528276E-1
3.672065000E-1,-1.943073615E-2,-5.102106424E-1,5.800695205E-1,7.727697598E-1
3.772565000E-1,-4.686448328E-2,-4.154304926E-1,3.314464957E-1,5.335124680E-1
3.873065000E-1,-6.831097394E-2,-1.275400525E-1,-8.479515195E-2,1.676993499E-1
3.973555000E-1,-7.738541409E-2,1.699117546E-1,-4.083958536E-1,4.490497522E-1
4.074055000E-1,-1.059231155E-1,3.735023019E-1,-4.781174684E-1,6.158895919E-1
4.174555000E-1,-1.764514267E-1,4.834492519E-1,-2.988669795E-1,5.951300334E-1
4.275045000E-1,-2.474301197E-1,4.580691200E-1,-1.037524098E-1,5.308611357E-1
4.375544999E-1,-1.998353923E-1,2.551201585E-1,-3.627612591E-2,3.260926810E-1
4.476045000E-1,-6.879687756E-2,4.825853258E-2,-9.836653948E-2,1.293749296E-1
4.576545000E-1,5.112746894E-2,-9.886852294E-2,-4.075731504E-1,4.224983738E-1
4.677034999E-1,1.521854087E-1,-1.441189554E-1,-7.027101910E-1,7.333023145E-1
4.777535000E-1,2.176248881E-1,-7.827024400E-2,-6.960168833E-1,7.334346084E-1
4.878035000E-1,3.217167654E-1,4.838117793E-2,-2.684421623E-1,4.217862136E-1
4.978524999E-1,1.446359224E-1,1.308782279E-1,6.861005902E-2,2.067752422E-1
5.079025000E-1,-8.309547599E-2,1.933000325E-1,1.098563182E-1,2.373566332E-1
5.179525000E-1,-1.188775122E-1,1.470757462E-1,3.924306160E-1,4.356201630E-1
5.280025000E-1,-3.207369182E-1,-5.506732285E-2,1.059324857E0,1.108184882E0
5.380515000E-1,-4.264828996E-1,-2.774923365E-1,1.548928011E0,1.630358134E0
5.481015000E-1,-3.645574872E-1,-4.266989543E-1,1.572505739E0,1.669655191E0
5.581515000E-1,-3.556650782E-1,-5.289470217E-1,1.321766607E0,1.467429576E0
5.682005000E-1,-2.087903665E-1,-4.658293985E-1,7.693818980E-1,9.233303584E-1
5.782505000E-1,1.489399116E-2,-2.304815997E-1,2.104155636E-1,3.124392872E-1
5.883004999E-1,2.136954496E-1,1.133722490E-1,-2.167135996E-1,3.247826908E-1
5.983505000E-1,2.230475594E-1,3.798955013E-1,-6.440234417E-1,7.802800773E-1
6.083995000E-1,9.854871679E-2,4.511941101E-1,-9.845489091E-1,1.087485415E0
6.184494999E-1,-7.730859630E-3,4.655958022E-1,-1.078283869E0,1.174536215E0
6.284995000E-1,-5.109989567E-2,4.302333038E-1,-9.325098592E-1,1.028244393E0
6.385485000E-1,-3.236205457E-2,3.814850669E-1,-7.802278984E-1,8.690993799E-1
6.485984999E-1,6.102545287E-2,2.657841642E-1,-5.538020736E-1,6.173022473E-1
6.586485000E-1,-2.135317275E-2,-2.766171545E-3,-1.165771079E-1,1.185488582E-1
6.686975000E-1,-2.171386921E-1,-3.344575194E-1,2.055477566E-1,4.486211365E-1
6.787474999E-1,-1.029367963E-1,-5.190481241E-1,6.518932092E-1,8.396259259E-1
6.887975000E-1,-7.860274044E-2,-5.534622042E-1,5.741158855E-1,8.013163247E-1
6.988475000E-1,-4.982346219E-2,-5.094866109E-1,3.572941124E-1,6.242740319E-1
7.088965001E-1,4.054060992E-2,-2.703837302E-1,1.058369422E-1,2.931763308E-1
7.189465000E-1,1.403103898E-1,4.003603175E-2,-2.213405013E-1,2.651065952E-1
7.289965000E-1,1.826099701E-1,3.383573198E-1,-4.447608572E-1,5.879152126E-1
7.390455001E-1,1.559656336E-1,5.543533199E-1,-5.350284183E-1,7.860587068E-1
7.490955000E-1,1.183899823E-1,5.875818770E-1,-5.640095580E-1,8.230282082E-1
7.591455000E-1,6.002995984E-2,4.339433621E-1,-4.991604280E-1,6.641321935E-1
7.691954999E-1,2.897605076E-2,2.481436993E-1,-3.250256681E-1,4.099470600E-1
7.792446250E-1,2.732420320E-2,8.062696427E-2,-1.993842065E-1,2.167980195E-1
7.892946251E-1,1.906762406E-2,-1.120918550E-1,-8.783745825E-2,1.436787295E-1
7.993446250E-1,-1.032510476E-2,-2.504381467E-1,-7.969462574E-2,2.630154111E-1
8.093936250E-1,-7.128336947E-2,-2.228305180E-1,-1.335971832E-2,2.343357433E-1
8.194436250E-1,-6.030397042E-2,-1.812126683E-1,1.421516597E-1,2.380791766E-1
8.294936250E-1,1.614709516E-2,-1.312869483E-1,2.096337909E-1,2.478776266E-1
8.395426250E-1,1.507826799E-1,-7.312878728E-2,2.192594773E-1,2.759673069E-1
8.495926250E-1,1.913686789E-1,-8.631104261E-2,1.042505926E-1,2.343923066E-1
8.596426250E-1,1.162963593E-1,-2.038356918E-1,-2.091204053E-1,3.143329069E-1
8.696926250E-1,8.468626583E-2,-3.289450568E-1,-5.653754675E-1,6.595650334E-1
8.797416250E-1,1.714295456E-1,-3.124165861E-1,-8.743248010E-1,9.441589220E-1
8.897916250E-1,3.385585006E-1,-1.856599143E-1,-1.120331197E0,1.185003566E0
8.998416250E-1,4.511649836E-1,-4.745687932E-2,-1.237074950E0,1.317632889E0
9.098906250E-1,4.121925239E-1,7.677964255E-2,-1.117749066E0,1.193800974E0
9.199406250E-1,2.938711915E-1,2.204660502E-1,-6.096646178E-1,7.117980772E-1
9.299906250E-1,1.592486077E-1,2.852097841E-1,-4.080245554E-2,3.291953529E-1
9.400406250E-1,1.183360417E-1,2.691995229E-1,4.754850519E-1,5.590687225E-1
9.500896250E-1,1.148126740E-1,1.682609394E-1,8.062725663E-1,8.316063642E-1
9.601396250E-1,-8.469896525E-2,2.728530094E-2,8.461780590E-1,8.508441161E-1
9.701896250E-1,-1.631322552E-1,-5.805641949E-2,6.469452953E-1,6.697170266E-1
9.802386250E-1,-1.783755444E-1,-8.365669906E-2,2.253557843E-1,2.993351093E-1
9.902886250E-1,-7.502359578E-2,1.553152040E-2,-9.802447736E-2,1.244128860E-1
1.000338625E0,1.119926898E-1,2.358554833E-1,-1.480368823E-1,3.001417833E-1
1.010388625E0,2.261296816E-1,3.572824180E-1,-5.651392400E-2,4.265901812E-1
1.020437625E0,3.066475770E-1,3.103476951E-1,9.794144690E-2,4.471475767E-1
1.030487625E0,3.470940102E-1,1.887753108E-1,-2.268719673E-4,3.951081135E-1
1.040537625E0,2.171647853E-1,1.066128677E-1,-6.303473890E-2,2.500004517E-1
1.050586625E0,7.487863965E-2,-1.307890579E-2,8.371458650E-2,1.130751982E-1
1.060636625E0,-8.547781438E-2,-2.426265590E-1,2.471980584E-1,3.567646058E-1
1.070686625E0,-6.914290482E-2,-3.208115798E-1,3.465521926E-1,4.772831793E-1
1.080736625E0,-5.130659474E-2,-1.609823254E-1,7.142642891E-1,7.339762602E-1
1.090785625E0,-5.857530506E-2,1.557932138E-2,7.375812310E-1,7.400674658E-1
1.100835625E0,5.411492106E-2,1.460517526E-1,6.762638193E-1,6.939685097E-1
1.110885625E0,1.827490607E-2,2.628405297E-1,5.443769467E-1,6.047853969E-1
1.120934625E0,-1.492695484E-1,1.713829140E-1,8.456067860E-2,2.424953807E-1
1.130984625E0,-2.374654045E-1,-4.245137036E-2,-4.246329868E-1,4.883698502E-1
1.141034625E0,-1.414377695E-1,-1.905451168E-1,-6.078823864E-1,6.525588709E-1
1.151084625E0,1.833603689E-2,-2.170055218E-1,-4.793459684E-1,5.264980191E-1
1.161133625E0,1.342841214E-1,-2.440060633E-1,-3.406260395E-1,4.399969125E-1
1.171183625E0,1.765717698E-1,-3.284886816E-1,-1.616468614E-1,4.064629277E-1
1.181233625E0,1.956599870E-1,-3.016486461E-1,-1.814782780E-1,4.027519108E-1
1.191282625E0,1.849241701E-1,-2.114674777E-1,-1.665737253E-1,3.265918688E-1
1.201332625E0,1.611073279E-1,-9.518930867E-2,-7.573489130E-2,2.018721114E-1
1.211382625E0,1.260114807E-1,6.896571591E-2,-6.447958589E-2,1.574572331E-1
1.221431625E0,-4.310679755E-2,7.648640469E-2,-1.390678382E-1,1.644634601E-1
1.231481625E0,-2.353740016E-1,-9.942532405E-2,-1.329744548E-1,2.880425686E-1
1.241531625E0,-2.359213741E-1,-1.683670664E-1,-1.141464204E-1,3.115056485E-1
1.251581625E0,-1.261440481E-1,-1.260200688E-1,-8.630958080E-2,1.980977596E-1
1.261630625E0,4.894237359E-2,-6.655534744E-2,-1.291492063E-1,1.533117337E-1
1.271680625E0,2.549166937E-1,-2.960839972E-2,-2.560589290E-1,3.625263482E-1
1.281730625E0,3.645596799E-1,-2.030547962E-2,-4.070813996E-1,5.468375797E-1
1.291779625E0,3.569984261E-1,-6.640317366E-2,-4.835319901E-1,6.046986382E-1
1.301829625E0,2.670716115E-1,-1.741837303E-1,-4.527206719E-1,5.537356990E-1
1.311879625E0,1.549680438E-1,-2.458397502E-1,-3.815588880E-1,4.796242929E-1
1.321929625E0,1.078284308E-1,-2.752620623E-1,-3.996595287E-1,4.971155925E-1
1.331978625E0,-3.664707236E-2,-2.423450156E-1,-3.694715238E-1,4.433771773E-1
1.342028625E0,-1.658443766E-1,-8.032261670E-2,-2.718066502E-1,3.283823002E-1
1.352078625E0,-2.319355647E-1,1.973999539E-1,-2.086046809E-1,3.691568242E-1
1.362128625E0,-2.452819075E-1,4.441828600E-1,-1.967868733E-1,5.442303747E-1
1.372177625E0,-1.998135201E-1,5.067844664E-1,-1.762327409E-1,5.725503621E-1
1.382227625E0,-1.829072096E-1,4.432993457E-1,-1.173150265E-1,4.936923867E-1
1.392277625E0,-2.083983107E-1,3.302581953E-1,1.754340112E-2,3.909067694E-1
1.402326625E0,-2.359659956E-1,2.327737083E-1,1.255806506E-1,3.544489387E-1
1.412376625E0,-2.114003078E-1,1.742883955E-1,1.086892140E-1,2.947539316E-1
1.422426625E0,-1.481826972E-1,1.793851210E-1,2.858235955E-2,2.344228758E-1
1.432476625E0,-7.566522263E-2,2.228338802E-1,-5.291847110E-2,2.412064026E-1
1.442525625E0,-5.005768886E-2,2.102636822E-1,-1.476819563E-1,2.617757599E-1
1.452575625E0,-1.599693135E-2,2.177913876E-1,-2.181251174E-1,3.086544300E-1
1.462625625E0,-2.477559376E-2,1.677446303E-1,-1.998701102E-1,2.621071383E-1
1.472674625E0,-1.953061391E-2,4.390279546E-2,-1.270330989E-1,1.358171880E-1
1.482724625E0,-1.003336525E-3,-4.398414485E-2,-6.815748453E-2,8.112369802E-2
1.492774625E0,3.747183583E-2,-1.567552270E-1,1.836610436E-3,1.611822348E-1
1.502824625E0,1.768086551E-2,-2.869931848E-1,1.149632764E-1,3.096679771E-1
1.512873625E0,-2.872875921E-2,-3.332878570E-1,2.710014886E-1,4.305205500E-1
1.522923625E0,-1.072732559E-1,-2.792014045E-1,4.573738861E-1,5.464904825E-1
1.532973625E0,-1.995652692E-1,-9.965877414E-2,5.842871171E-1,6.254195417E-1
