"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.241302490E-2,4.295165988E1,-7.883122386E1,1.949188214E2,1.603228089E2,NaN,NaN,7.491550483E-3,2.568975148E1,3.000682291E1,-1.000000000E0
1.578295231E-2,4.295169877E1,-7.883114870E1,1.519674377E1,-1.939934620E1,NaN,NaN,7.491550485E-3,2.754477519E1,3.000000000E1,-1.000000000E0
1.578295231E-2,4.295169877E1,-7.883114870E1,1.519674377E1,-1.939934620E1,NaN,NaN,1.415341287E-2,2.754477519E1,3.000000000E1,-1.000000000E0
2.280763030E0,4.295164815E1,-7.883119249E1,2.007482491E2,1.661522751E2,NaN,NaN,1.827879801E-2,2.112561454E1,3.000000000E1,-1.000000000E0
5.148781419E0,4.295166962E1,-7.883115115E1,7.208938121E1,3.749336440E1,9.212929010E-1,NaN,3.991623688E-2,2.248865634E1,2.858678370E1,-1.000000000E0
6.148774862E0,4.295167290E1,-7.883141697E1,1.944960288E2,1.598999293E2,1.033279061E0,NaN,4.433197198E-2,2.757573152E1,6.943710264E0,-1.000000000E0
7.098767877E0,4.295163566E1,-7.883139814E1,1.942468110E2,1.596508111E2,1.054565430E0,2.551563852E2,4.589745345E-2,1.823727339E1,6.773353678E0,-1.000000000E0
8.048761725E0,4.295162682E1,-7.883141312E1,1.942412267E2,1.596452450E2,8.735039830E-1,2.700575300E2,4.731760161E-2,1.481842705E1,6.732016217E0,-1.000000000E0
9.124121904E0,4.295161784E1,-7.883142553E1,1.942450740E2,1.596491116E2,9.996241331E-1,2.496753781E2,4.805661914E-2,1.400000000E1,6.565454073E0,-1.000000000E0
1.007446969E1,4.295161661E1,-7.883143445E1,1.942677252E2,1.596717634E2,9.424878955E-1,2.523555743E2,5.038669792E-2,1.400000000E1,6.490757892E0,-1.000000000E0
1.102450621E1,4.295160957E1,-7.883146142E1,1.942738638E2,1.596779123E2,9.424878955E-1,2.493232151E2,5.244018770E-2,1.400000000E1,6.460375933E0,-1.000000000E0
1.197423923E1,4.295160995E1,-7.883148664E1,1.942377831E2,1.596418236E2,9.424878955E-1,2.591509876E2,5.395121611E-2,1.400000000E1,7.062829757E0,-1.000000000E0
1.292462862E1,4.295160471E1,-7.883150377E1,1.942292707E2,1.596333196E2,9.586783051E-1,2.602672551E2,5.525868624E-2,1.400000000E1,6.391859245E0,-1.000000000E0
1.387469816E1,4.295160596E1,-7.883151974E1,1.942215728E2,1.596256141E2,1.039550304E0,2.634108238E2,5.706335290E-2,1.400000000E1,7.134245882E0,-1.000000000E0
1.482444251E1,4.295159954E1,-7.883154011E1,1.942392261E2,1.596432780E2,9.586783051E-1,2.565287652E2,5.797181913E-2,1.564064353E1,1.149599252E1,-1.000000000E0
1.577451241E1,4.295159763E1,-7.883155096E1,1.942392262E2,1.596432799E2,9.586783051E-1,2.565287578E2,6.043842644E-2,1.564064353E1,1.149599252E1,-1.000000000E0
1.672458291E1,4.295158180E1,-7.883157219E1,1.942573111E2,1.596613989E2,7.931112051E-1,2.429880638E2,6.175631140E-2,8.835515728E0,6.703923234E0,-1.000000000E0
1.767497528E1,4.295157833E1,-7.883158767E1,1.942494679E2,1.596535601E2,7.931112051E-1,2.489911394E2,6.386143753E-2,8.218289747E0,6.410395633E0,-1.000000000E0
1.863704085E1,4.295158835E1,-7.883160962E1,1.942560452E2,1.596601059E2,9.916497469E-1,2.610155449E2,6.490572907E-2,8.681553412E0,7.316503216E0,-1.000000000E0
1.963678730E1,4.295159448E1,-7.883161934E1,1.942401380E2,1.596441805E2,9.916497469E-1,2.736721319E2,6.562325475E-2,7.383695065E0,6.414179485E0,-1.000000000E0
2.063684940E1,4.295159541E1,-7.883162806E1,1.942247707E2,1.596288084E2,9.073454738E-1,2.802516160E2,6.683912544E-2,9.095510687E0,8.135341801E0,-1.000000000E0
2.163691056E1,4.295159339E1,-7.883164274E1,1.942195154E2,1.596235541E2,8.539091945E-1,2.784385974E2,6.832335590E-2,8.935131781E0,7.989893304E0,-1.000000000E0
2.263696933E1,4.295159268E1,-7.883166095E1,1.941929522E2,1.595969876E2,8.539091945E-1,2.770733673E2,7.005855753E-2,7.004223897E0,6.267776780E0,-1.000000000E0
2.363702512E1,4.295159873E1,-7.883168061E1,1.941647867E2,1.595688013E2,8.850871325E-1,2.745429034E2,7.154756658E-2,7.315744767E0,6.685208148E0,-1.000000000E0
2.463707900E1,4.295159822E1,-7.883169889E1,1.941467915E2,1.595508023E2,8.850871325E-1,2.718003974E2,7.268230740E-2,1.264262161E1,1.150210451E1,-1.000000000E0
2.563713205E1,4.295159800E1,-7.883171283E1,1.941384556E2,1.595424631E2,8.118923903E-1,2.696792945E2,7.409124117E-2,7.315789506E0,6.700332679E0,-1.000000000E0
2.663718224E1,4.295160205E1,-7.883172924E1,1.941425238E2,1.595465164E2,8.118923903E-1,2.724612465E2,7.519290625E-2,7.536245989E0,6.873060082E0,-1.000000000E0
2.763723171E1,4.295160178E1,-7.883174277E1,1.941457161E2,1.595497055E2,9.575389624E-1,2.687763354E2,7.698676297E-2,6.528996085E0,5.975015610E0,-1.000000000E0
2.863728034E1,4.295160436E1,-7.883176452E1,1.941579854E2,1.595619622E2,1.154884577E0,2.666861404E2,7.783950014E-2,9.694110870E0,8.853336516E0,-1.000000000E0
2.963732815E1,4.295160281E1,-7.883177478E1,1.941890890E2,1.595930669E2,9.575389624E-1,2.607388785E2,7.949839256E-2,8.168558665E0,7.454743763E0,-1.000000000E0
3.063737357E1,4.295159396E1,-7.883179119E1,1.941976455E2,1.596016412E2,9.367533326E-1,2.421729014E2,8.034605058E-2,6.069186387E0,5.556420784E0,-1.000000000E0
3.163741899E1,4.295158759E1,-7.883179692E1,1.942525412E2,1.596565515E2,8.842093945E-1,2.262710085E2,8.043200995E-2,5.703064859E0,5.618937799E0,-1.000000000E0
3.263746345E1,4.295158835E1,-7.883179711E1,1.942946364E2,1.596986447E2,8.842093945E-1,2.194193069E2,8.144127347E-2,5.544432520E0,5.722214738E0,-1.000000000E0
3.363750637E1,4.295158408E1,-7.883180806E1,1.943436020E2,1.597476180E2,8.842093945E-1,2.234877092E2,8.265096814E-2,5.588933331E0,5.722733922E0,-1.000000000E0
3.463754964E1,4.295157664E1,-7.883181891E1,1.943852703E2,1.597893021E2,9.246454239E-1,2.272997110E2,8.420872342E-2,5.227605534E0,5.631985308E0,-1.000000000E0
3.563759041E1,4.295157444E1,-7.883183781E1,1.945056137E2,1.599096459E2,1.399161512E0,2.287882472E2,8.489243415E-2,5.511111190E0,3.000000000E0,-1.000000000E0
3.663763130E1,4.295157235E1,-7.883184571E1,1.947609810E2,1.601650162E2,1.058847973E0,2.315327296E2,8.580645982E-2,3.798276438E0,3.000000000E0,-1.000000000E0
3.763767135E1,4.295156665E1,-7.883185381E1,1.947922941E2,1.601963414E2,1.258171496E0,2.286500423E2,8.637660899E-2,4.859967195E0,3.000000000E0,-1.000000000E0
3.863771069E1,4.295156277E1,-7.883185838E1,1.949391614E2,1.603432173E2,8.691338270E-1,2.304674919E2,8.783988119E-2,5.377607032E0,3.000000000E0,-1.000000000E0
3.963775003E1,4.295155110E1,-7.883186670E1,1.949598788E2,1.603639619E2,1.021580045E0,2.217649916E2,8.876769495E-2,5.561538790E0,3.000000000E0,-1.000000000E0
4.063778841E1,4.295154408E1,-7.883187286E1,1.947920922E2,1.601961914E2,1.035432001E0,2.201047187E2,9.000920544E-2,5.753878672E0,3.000000000E0,-1.000000000E0
4.163782597E1,4.295153429E1,-7.883188020E1,1.949454958E2,1.603496177E2,1.051757342E0,2.135124274E2,9.112571138E-2,5.448082190E0,3.000000000E0,-1.000000000E0
4.263786352E1,4.295152477E1,-7.883188456E1,1.952823173E2,1.606864621E2,9.911467203E-1,2.087940997E2,9.231460622E-2,5.856582702E0,3.000000000E0,-1.000000000E0
4.363790047E1,4.295151582E1,-7.883189255E1,1.954694323E2,1.608735976E2,9.403031905E-1,2.105717764E2,9.347785930E-2,6.025824998E0,3.000000000E0,-1.000000000E0
4.463793671E1,4.295150644E1,-7.883189888E1,1.953378414E2,1.607420286E2,1.010845372E0,2.041046139E2,9.485844155E-2,6.444108212E0,3.000000000E0,-1.000000000E0
4.563797283E1,4.295149733E1,-7.883191041E1,1.953843430E2,1.607885501E2,1.218865487E0,2.174299968E2,9.609812051E-2,6.494486688E0,3.000000000E0,-1.000000000E0
4.663800812E1,4.295148758E1,-7.883191779E1,1.952955194E2,1.606997491E2,1.200872878E0,2.142957746E2,9.765043884E-2,6.477520645E0,3.000000000E0,-1.000000000E0
4.763804448E1,4.295147376E1,-7.883192046E1,1.955429391E2,1.609472030E2,1.023610949E0,2.071119304E2,9.858540278E-2,6.373981590E0,3.000000000E0,-1.000000000E0
4.863807881E1,4.295146615E1,-7.883192535E1,1.955029941E2,1.609072760E2,7.566905575E-1,2.207490997E2,1.001705808E-1,6.423264078E0,3.000000000E0,-1.000000000E0
4.963811421E1,4.295145215E1,-7.883192904E1,1.954554117E2,1.608597280E2,8.797340147E-1,2.056019612E2,1.014925327E-1,6.683386038E0,3.000000000E0,-1.000000000E0
5.063814723E1,4.295144237E1,-7.883193828E1,1.957355016E2,1.611398401E2,1.050633049E0,2.081620923E2,1.025348130E-1,6.469486004E0,3.000000000E0,-1.000000000E0
5.163818109E1,4.295143454E1,-7.883194532E1,1.958227946E2,1.612271509E2,1.059818039E0,2.157131236E2,1.040028362E-1,6.474574788E0,3.000000000E0,-1.000000000E0
5.263821495E1,4.295142202E1,-7.883195104E1,1.957979915E2,1.612023780E2,1.209751489E0,2.149761239E2,1.054070781E-1,6.607099511E0,3.000000000E0,-1.000000000E0
5.363824880E1,4.295141040E1,-7.883195779E1,1.961315767E2,1.615359907E2,1.132943479E0,2.167182653E2,1.063218910E-1,6.657371117E0,3.000000000E0,-1.000000000E0
5.463828170E1,4.295140298E1,-7.883196263E1,1.962696808E2,1.616741123E2,9.919862028E-1,2.142507300E2,1.075248549E-1,6.726297490E0,3.000000000E0,-1.000000000E0
5.563831460E1,4.295139231E1,-7.883196013E1,1.964575915E2,1.618620507E2,1.047776127E0,1.891751956E2,1.086528787E-1,6.966464184E0,3.000000000E0,-1.000000000E0
5.663834774E1,4.295138225E1,-7.883196189E1,1.966979704E2,1.621024545E2,1.091262997E0,1.784935881E2,1.103017559E-1,6.998831116E0,3.000000000E0,-1.000000000E0
5.763838089E1,4.295136744E1,-7.883196279E1,1.971040147E2,1.625085361E2,1.366110446E0,1.798069602E2,1.116637281E-1,7.168581976E0,3.000000000E0,-1.000000000E0
5.863841295E1,4.295135524E1,-7.883196120E1,1.970512359E2,1.624557886E2,1.416385618E0,1.790594251E2,1.123849840E-1,7.554054064E0,3.000000000E0,-1.000000000E0
5.963844466E1,4.295134939E1,-7.883195738E1,1.972669857E2,1.626715543E2,8.900221500E-1,1.741607928E2,1.128864483E-1,7.630086094E0,3.000000000E0,-1.000000000E0
6.063847685E1,4.295134719E1,-7.883195200E1,1.971421258E2,1.625467015E2,7.744105354E-1,1.829112022E2,1.139671683E-1,7.774447841E0,3.000000000E0,-1.000000000E0
6.163850975E1,4.295134051E1,-7.883194235E1,1.971725389E2,1.625771342E2,9.088669490E-1,1.740113547E2,1.157915466E-1,7.776889281E0,3.000000000E0,-1.000000000E0
6.263854063E1,4.295132868E1,-7.883192682E1,1.971301220E2,1.625347516E2,1.190757985E0,1.628700165E2,1.171800069E-1,7.741811160E0,3.000000000E0,-1.000000000E0
6.363857317E1,4.295131738E1,-7.883191957E1,1.970352586E2,1.624399189E2,1.048916929E0,1.694580670E2,1.186366617E-1,7.596423421E0,3.000000000E0,-1.000000000E0
6.463860393E1,4.295130432E1,-7.883191820E1,1.969920147E2,1.623967084E2,1.197206741E0,1.805439272E2,1.202495858E-1,7.569100288E0,3.000000000E0,-1.000000000E0
6.563863635E1,4.295129076E1,-7.883191116E1,1.969678927E2,1.623726228E2,1.383909752E0,1.719917529E2,1.217198434E-1,7.453195211E0,3.000000000E0,-1.000000000E0
6.663866758E1,4.295127816E1,-7.883190568E1,1.969949414E2,1.623997049E2,1.386178875E0,1.733876284E2,1.227063616E-1,7.427970039E0,3.000000000E0,-1.000000000E0
6.763869882E1,4.295126929E1,-7.883190603E1,1.969306070E2,1.623353929E2,1.173475811E0,1.729816928E2,1.238705398E-1,7.316417264E0,3.000000000E0,-1.000000000E0
6.863872945E1,4.295125903E1,-7.883190314E1,1.968379623E2,1.622427750E2,1.288635179E0,1.742808400E2,1.247802891E-1,7.344672967E0,3.000000000E0,-1.000000000E0
6.963876033E1,4.295125212E1,-7.883189717E1,1.968192829E2,1.622241148E2,1.142251218E0,1.744771158E2,1.255175761E-1,7.183063569E0,3.000000000E0,-1.000000000E0
7.063879251E1,4.295124558E1,-7.883189565E1,1.969794798E2,1.623843287E2,8.989579275E-1,1.828286827E2,1.266085312E-1,7.326747987E0,3.000000000E0,-1.000000000E0
7.163882244E1,4.295123659E1,-7.883189029E1,1.970642855E2,1.624691586E2,9.552961148E-1,1.785733990E2,1.274987547E-1,7.364335787E0,3.000000000E0,-1.000000000E0
7.263885415E1,4.295122914E1,-7.883188628E1,1.971291371E2,1.625340302E2,9.645140244E-1,1.781229872E2,1.284708183E-1,7.331930583E0,3.000000000E0,-1.000000000E0
7.363888466E1,4.295122141E1,-7.883188069E1,1.971259734E2,1.625308877E2,8.697088642E-1,1.746338275E2,1.298542874E-1,7.315036539E0,3.000000000E0,-1.000000000E0
7.463891554E1,4.295120995E1,-7.883187409E1,1.970727861E2,1.624777313E2,9.579139995E-1,1.708680739E2,1.311553102E-1,7.156126292E0,3.000000000E0,-1.000000000E0
7.563894582E1,4.295119826E1,-7.883187356E1,1.971466956E2,1.625516705E2,1.025005974E0,1.723706694E2,1.324072444E-1,7.372331489E0,3.000000000E0,-1.000000000E0
7.663897622E1,4.295118703E1,-7.883187234E1,1.971678019E2,1.625728056E2,1.061054906E0,1.726979446E2,1.337388998E-1,7.267059612E0,3.000000000E0,-1.000000000E0
