"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.260487076E0,4.295154325E1,-7.882707344E1,1.415945553E2,1.070000000E2,1.189999938E0,2.911000061E2,1.069118326E-2,1.150000000E1,1.000000000E2,1.000000000E1
3.268797729E0,4.295163880E1,-7.882705886E1,2.055947935E2,1.710000000E2,6.899999976E-1,2.780000000E2,2.056481760E-2,1.000000000E1,1.000000000E2,1.200000000E1
4.258596151E0,4.295171344E1,-7.882699315E1,2.135949644E2,1.790000000E2,1.279999971E0,2.745000000E2,3.427642203E-2,1.000000000E1,1.000000000E2,1.300000000E1
5.302300612E0,4.295160494E1,-7.882707319E1,2.015947116E2,1.670000000E2,1.129999995E0,2.723999939E2,4.127142686E-2,1.000000000E1,1.000000000E2,1.400000000E1
6.278318111E0,4.295162816E1,-7.882715307E1,1.995947929E2,1.650000000E2,9.799999595E-1,2.727000122E2,4.558326745E-2,1.000000000E1,1.000000000E2,1.500000000E1
7.297644457E0,4.295160611E1,-7.882710949E1,2.105947248E2,1.760000000E2,1.110000014E0,2.671000061E2,4.934729681E-2,1.000000000E1,1.000000000E2,1.500000000E1
7.610575726E0,4.295163369E1,-7.882713631E1,2.105948022E2,1.760000000E2,1.149999976E0,2.708999939E2,5.353203843E-2,9.500000000E0,1.000000000E2,1.500000000E1
9.278851917E0,4.295163226E1,-7.882718769E1,2.065948130E2,1.720000000E2,0.000000000E0,0.000000000E0,5.353203843E-2,4.500000000E0,1.000000000E2,1.500000000E1
1.030382938E1,4.295163226E1,-7.882718769E1,2.065948130E2,1.720000000E2,0.000000000E0,0.000000000E0,5.353203843E-2,4.000000000E0,1.000000000E2,2.300000000E1
1.131174153E1,4.295163226E1,-7.882718769E1,2.065948130E2,1.720000000E2,0.000000000E0,0.000000000E0,5.353203843E-2,3.500000000E0,1.000000000E2,2.400000000E1
1.233789611E1,4.295163226E1,-7.882718769E1,2.065948130E2,1.720000000E2,0.000000000E0,0.000000000E0,5.543669828E-2,3.500000000E0,1.000000000E2,2.400000000E1
1.334605934E1,4.295164241E1,-7.882720655E1,2.035948440E2,1.690000000E2,1.209999919E0,2.775000000E2,5.710008089E-2,3.000000000E0,1.000000000E2,2.400000000E1
1.429191691E1,4.295164802E1,-7.882722549E1,2.035948635E2,1.690000000E2,1.129999995E0,2.738999939E2,5.880367044E-2,2.500000000E0,1.000000000E2,2.200000000E1
1.529838741E1,4.295165246E1,-7.882724552E1,2.015948804E2,1.670000000E2,1.269999981E0,2.777999878E2,6.040528669E-2,2.500000000E0,1.000000000E2,2.400000000E1
1.629489891E1,4.295165364E1,-7.882726514E1,2.015948888E2,1.670000000E2,1.169999957E0,2.752000122E2,6.190530761E-2,2.000000000E0,1.000000000E2,2.400000000E1
1.733731714E1,4.295165950E1,-7.882728173E1,2.015949084E2,1.670000000E2,1.289999962E0,2.778999939E2,6.334334313E-2,2.000000000E0,1.000000000E2,2.400000000E1
1.836459937E1,4.295166340E1,-7.882729858E1,2.005949230E2,1.660000000E2,1.179999948E0,2.748999939E2,6.507938210E-2,2.000000000E0,1.000000000E2,2.300000000E1
1.935774445E1,4.295166244E1,-7.882731987E1,2.005949265E2,1.660000000E2,1.169999957E0,2.747999878E2,6.649983566E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.034428306E1,4.295166382E1,-7.882733722E1,2.005949348E2,1.660000000E2,1.149999976E0,2.783999939E2,6.794160876E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.132016022E1,4.295166189E1,-7.882735474E1,2.005949348E2,1.660000000E2,1.230000019E0,2.775000000E2,6.973184800E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.230422556E1,4.295166282E1,-7.882737670E1,2.005949433E2,1.660000000E2,1.240000010E0,2.741000061E2,7.124074384E-2,2.000000000E0,1.000000000E2,2.300000000E1
2.337855106E1,4.295165837E1,-7.882739422E1,2.005949370E2,1.660000000E2,1.240000010E0,2.730000000E2,7.298891057E-2,2.000000000E0,1.000000000E2,2.300000000E1
2.434287760E1,4.295165909E1,-7.882741568E1,2.005949448E2,1.660000000E2,1.329999924E0,2.710000000E2,7.426560934E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.535374364E1,4.295165955E1,-7.882743135E1,2.005949503E2,1.660000000E2,1.129999995E0,2.756000061E2,7.530804186E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.633443891E1,4.295166051E1,-7.882744409E1,1.995949563E2,1.650000000E2,9.899999499E-1,2.775000000E2,7.613004179E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.735262756E1,4.295165984E1,-7.882745415E1,1.995949575E2,1.650000000E2,9.499999881E-1,2.782000122E2,7.702853904E-2,2.000000000E0,1.000000000E2,2.400000000E1
2.834545860E1,4.295166256E1,-7.882746454E1,2.005949673E2,1.660000000E2,1.069999933E0,2.741000061E2,7.789784807E-2,2.000000000E0,1.000000000E2,2.300000000E1
2.935594086E1,4.295166437E1,-7.882747494E1,2.005949748E2,1.660000000E2,1.240000010E0,2.800000000E2,7.903754894E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.029021348E1,4.295166407E1,-7.882748893E1,2.005949779E2,1.660000000E2,9.699999690E-1,2.803999939E2,8.009683130E-2,2.000000000E0,1.000000000E2,2.300000000E1
3.133602356E1,4.295166629E1,-7.882750159E1,2.005949871E2,1.660000000E2,9.399999976E-1,2.833999939E2,8.120201487E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.227926359E1,4.295166340E1,-7.882751458E1,2.005949834E2,1.660000000E2,1.169999957E0,2.760000000E2,8.254706401E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.329890221E1,4.295165976E1,-7.882753034E1,2.005949786E2,1.660000000E2,1.069999933E0,2.773999939E2,8.367198136E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.433265048E1,4.295165707E1,-7.882754367E1,2.005949755E2,1.660000000E2,9.199999571E-1,2.836000061E2,8.467487766E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.534307840E1,4.295165695E1,-7.882755599E1,2.015949786E2,1.670000000E2,9.499999881E-1,2.782000122E2,8.572035466E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.634900267E1,4.295165888E1,-7.882756856E1,2.015949870E2,1.670000000E2,1.079999924E0,2.847000122E2,8.668952155E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.735148386E1,4.295166068E1,-7.882758021E1,2.015949949E2,1.670000000E2,1.110000014E0,2.816000061E2,8.746107039E-2,2.000000000E0,1.000000000E2,2.300000000E1
3.834424467E1,4.295166097E1,-7.882758969E1,2.015949983E2,1.670000000E2,1.059999943E0,2.810000000E2,8.856269202E-2,2.000000000E0,1.000000000E2,2.400000000E1
3.939297997E1,4.295166231E1,-7.882760310E1,2.015950054E2,1.670000000E2,1.289999962E0,2.727999878E2,8.970488087E-2,2.000000000E0,1.000000000E2,2.300000000E1
4.034193020E1,4.295166365E1,-7.882761701E1,2.015950127E2,1.670000000E2,1.129999995E0,2.746000061E2,9.075036688E-2,2.000000000E0,1.000000000E2,2.200000000E1
4.134618866E1,4.295166420E1,-7.882762983E1,2.015950177E2,1.670000000E2,1.240000010E0,2.743999939E2,9.193756421E-2,2.000000000E0,1.000000000E2,2.400000000E1
4.234111474E1,4.295166759E1,-7.882764366E1,2.015950302E2,1.670000000E2,1.100000024E0,2.753999939E2,9.283949439E-2,1.500000000E0,1.000000000E2,2.400000000E1
4.333718793E1,4.295166805E1,-7.882765473E1,2.015950344E2,1.670000000E2,9.499999881E-1,2.786000061E2,9.399463927E-2,2.000000000E0,1.000000000E2,2.300000000E1
4.434920347E1,4.295166634E1,-7.882766873E1,2.015950340E2,1.670000000E2,1.179999948E0,2.723999939E2,9.531846265E-2,2.000000000E0,1.000000000E2,2.300000000E1
