Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
5.719065666E-3,42.92921994,-78.86876244,1.862980350E2,1.517478775E2,1.006455796E-1,1.343324126E2,5.007779377E-2,7.015622530E0,9.217200240E0,-1.000000000E0
1.001608372E-2,42.92883743,-78.86843777,1.881429347E2,1.535938331E2,NaN,NaN,5.170445226E-2,7.790037029E1,3.000000000E0,-1.000000000E0
3.575205803E-2,42.92882415,-78.86842939,1.881429347E2,1.535938689E2,NaN,NaN,1.135343555E-1,7.779281135E1,3.000000000E0,-1.000000000E0
5.805877447E-1,42.92933489,-78.86872966,1.814398613E2,1.468894247E2,7.400000095E-1,6.644531250E1,1.159084118E-1,1.400000000E1,1.600000000E1,-1.000000000E0
1.377584696E0,42.9293556,-78.86872253,1.863001518E2,1.517496654E2,7.400000095E-1,7.031250000E1,1.209502964E-1,1.400000000E1,4.000000000E0,-1.000000000E0
2.377575517E0,42.92931033,-78.86871885,1.855798149E2,1.510294432E2,6.600000262E-1,5.062500000E1,1.236385807E-1,3.703905277E0,4.000000000E0,-1.000000000E0
3.377566457E0,42.92928703,-78.86871004,1.856726494E2,1.511223388E2,6.600000262E-1,5.660156250E1,1.252330851E-1,3.535533906E0,3.000000000E0,-1.000000000E0
4.377556801E0,42.92927488,-78.86869965,1.849931450E2,1.504428679E2,8.799999952E-1,5.871093750E1,1.263501473E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.377547979E0,42.92926683,-78.86869144,1.846926689E2,1.501424145E2,6.299999952E-1,5.660156250E1,1.272131622E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.378017306E0,42.92926323,-78.86868205,1.838511162E2,1.493008736E2,1.220000029E0,5.062500000E1,1.279855169E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.378019691E0,42.92926159,-78.86867283,1.839096489E2,1.493594131E2,8.100000024E-1,4.359375000E1,1.286496666E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.378008723E0,42.92925983,-78.86866503,1.841595879E2,1.496093587E2,8.100000024E-1,4.992187500E1,1.293150723E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.378014565E0,42.92925878,-78.86865699,1.849484673E2,1.503982431E2,7.400000095E-1,5.519531250E1,1.299519860E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.037802315E1,42.92925975,-78.86864928,1.843903008E2,1.498400765E2,7.599999905E-1,5.343750000E1,1.307178776E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.137801373E1,42.92926201,-78.86864039,1.844377251E2,1.498874977E2,7.599999905E-1,5.414062500E1,1.315452808E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.237802303E1,42.92926486,-78.868631,1.846851006E2,1.501348688E2,7.599999905E-1,5.343750000E1,1.323042166E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.337803185E1,42.92926894,-78.86862353,1.846851006E2,1.501348608E2,7.599999905E-1,5.343750509E1,1.332564726E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.437802422E1,42.9292689,-78.86861183,1.848661309E2,1.503158946E2,8.000000119E-1,6.363281848E1,1.343123312E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.537803328E1,42.92926882,-78.86859886,1.847962457E2,1.502460133E2,8.700000048E-1,6.750000671E1,1.354212177E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.637804198E1,42.92927149,-78.86858574,1.841544610E2,1.496042258E2,8.700000048E-1,5.906250623E1,1.365856873E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.737803435E1,42.92927499,-78.86857226,1.838462335E2,1.492959934E2,9.399999976E-1,5.906250673E1,1.375613845E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.837803841E1,42.92927944,-78.86856193,1.836845513E2,1.491343032E2,9.499999881E-1,5.906250680E1,1.384767114E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.937804914E1,42.92928691,-78.86855719,1.841388360E2,1.495885705E2,9.499999881E-1,4.183594279E1,1.393781042E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.037804019E1,42.92929264,-78.86854937,1.840854303E2,1.495351526E2,9.499999881E-1,4.148438025E1,1.406255003E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.137803066E1,42.92930097,-78.8685391,1.846517755E2,1.501014799E2,9.499999881E-1,4.289063039E1,1.414130544E-1,4.748651530E0,4.007211740E0,-1.000000000E0
2.237802267E1,42.92930699,-78.86853401,1.837844659E2,1.492341567E2,9.499999881E-1,4.218750532E1,1.418210316E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.337801385E1,42.92931032,-78.8685319,1.827665215E2,1.482162046E2,7.099999785E-1,3.832031617E1,1.424962044E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.437800467E1,42.92931564,-78.86852791,1.821125909E2,1.475622617E2,7.300000191E-1,3.550781604E1,1.433469645E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.537799621E1,42.92932157,-78.86852131,1.821464043E2,1.475960622E2,7.300000191E-1,3.937500386E1,1.444704588E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.637798715E1,42.92933036,-78.8685145,1.817822076E2,1.472318454E2,8.500000238E-1,3.480469155E1,1.452443993E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.737797880E1,42.92933666,-78.86851045,1.826900445E2,1.481396677E2,8.500000238E-1,3.058594111E1,1.458264949E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.837796962E1,42.92934146,-78.86850759,1.829874688E2,1.484370807E2,6.600000262E-1,2.671875248E1,1.475688274E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.937796021E1,42.92935621,-78.86850039,1.830124933E2,1.484620703E2,1.240000010E0,2.214844140E1,1.481871189E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.037795091E1,42.92936149,-78.868498,1.831638604E2,1.486134248E2,6.600000262E-1,2.179687704E1,1.493217205E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.137794268E1,42.92937139,-78.86849464,1.836428643E2,1.490924049E2,7.599999905E-1,1.722656438E1,1.505318853E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.237793350E1,42.92938124,-78.8684883,1.840740167E2,1.495235343E2,7.599999905E-1,2.250000243E1,1.547822388E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.337792480E1,42.92941923,-78.86849403,1.845909699E2,1.500403905E2,5.654365667E-1,2.453073740E1,1.558794139E-1,5.138059968E0,3.000000000E0,-1.000000000E0
3.437791550E1,42.92942897,-78.86849614,1.845547111E2,1.500041066E2,9.281095692E-1,1.828441031E1,1.564725465E-1,4.441146398E0,3.000000000E0,-1.000000000E0
