Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.008058541629,-0.4214361678,0.09748945713,-1.086284614,1.16924202
0.01805054164,-0.3087788871,0.1530166635,-0.8643219692,0.9304896382
0.02804154163,-0.2549736857,0.2034746262,-0.5552141762,0.643953636
0.03803354164,-0.1895309173,0.2088935333,-0.3464656538,0.4467627179
0.04802554165,-0.1436463542,0.1515346867,-0.1430731809,0.2531145422
0.05801754165,-0.02645485014,0.05483781964,-0.03032015204,0.06801732998
0.06800954166,0.1173588806,-0.1085465419,-0.04408976018,0.1658293267
0.07800054166,0.2323929083,-0.2250619617,-0.09451848686,0.3370357471
0.08799254167,0.2626059102,-0.2469255781,-0.1198316681,0.3798601504
0.09798454167,0.3048058502,-0.2702369651,-0.1086547154,0.4215927784
0.1079765416,0.3630667761,-0.328130832,-0.2308170837,0.5410765685
0.1179685416,0.3170021188,-0.3283004013,-0.4653991896,0.6518189185
0.1279595416,0.1274213541,-0.1855584651,-0.6163111478,0.6561307616
0.1379515416,0.01397645339,-0.06388229281,-0.5273036617,0.5313430532
0.1479435416,0.134952714,-0.1391043833,-0.4936979592,0.5303771671
0.1579355416,0.2034795964,-0.2954726708,-0.5084960926,0.622315291
0.1679275417,0.122391433,-0.411474705,-0.50877442,0.6656894969
0.1779185417,-0.08582893968,-0.3840492171,-0.3961552924,0.5583900283
0.1879105417,-0.1563358355,-0.3102114549,-0.2417437756,0.423216367
0.1979025417,0.0169009383,-0.2535332242,-0.1512750703,0.2957175753
0.2078945417,0.2006121218,-0.2095086604,-0.2580364573,0.3882292049
0.2178865416,0.2018559708,-0.1012223196,-0.335983935,0.4048172372
0.2278775416,0.1115577118,0.002092426121,-0.2931636053,0.3136788179
0.2378695416,0.01170305595,0.06481726259,-0.1289357829,0.1447849273
0.2478615416,-0.005623559654,0.1220717365,0.08372803509,0.1481334436
0.2578535416,0.02772983551,0.1842273465,0.208001833,0.2792372136
0.2678455416,0.03374252737,0.1807871372,0.1985006922,0.2706013155
0.2778365416,0.0003112180531,0.1099902195,0.2447223473,0.2683038809
0.2878285417,-0.007700344473,0.08048370749,0.3684950387,0.3772605413
0.2978205417,0.007146028429,0.0659250176,0.4261246115,0.4312532414
0.3078125417,0.01704521835,0.06823905319,0.4310257477,0.4367268059
0.3178035417,0.04649223492,0.07268615305,0.3165448666,0.3280936715
0.3277955417,0.03242091045,0.07198331773,0.2527435577,0.2647867433
0.3377875416,0.01767584056,0.06193253875,0.2540901715,0.262125714
0.3477795416,0.06735817015,0.02957784802,0.2205680841,0.232512907
0.3577715416,0.1006033187,-0.01902567029,0.1251707608,0.1617118524
0.3677625416,0.09694054976,-0.0532628721,0.00243945837,0.1106361365
0.3777545416,0.06417333797,-0.07689907193,-0.09074235499,0.135151247
0.3877465416,0.02732966669,-0.09256259322,-0.09016991258,0.1320808748
0.3977385417,0.05346518576,-0.1286899075,-0.118019616,0.1826150272
0.4077305417,0.07781036049,-0.1733810538,-0.2453181785,0.3103166943
0.4177215417,0.05904065207,-0.1919383621,-0.3346963781,0.3903175617
0.4277135417,0.08770465337,-0.2057991868,-0.4459846795,0.4989466363
0.4377055417,0.09506498225,-0.2530771413,-0.5384274048,0.6024860667
0.4476975416,0.09454867311,-0.2535887727,-0.6512845141,0.7052788353
0.4576895416,0.1172242485,-0.222423698,-0.7252248949,0.7675708267
0.4676805416,0.126318423,-0.1720294699,-0.7548825574,0.7844731722
0.4776725416,0.09052527711,-0.1650128111,-0.7495861495,0.772854093
0.4876645416,0.07201058038,-0.1368950129,-0.8098908234,0.8245295107
0.4976565416,0.06440254882,-0.1128489232,-0.8694347745,0.8790900949
0.5076485417,-0.003805733398,-0.1755766833,-0.9256189156,0.9421316427
0.5176395416,-0.06054148614,-0.188770633,-0.9709336674,0.9909650902
0.5276315417,-0.08256188102,-0.1662433577,-0.9619979525,0.9797414856
0.5376235417,0.07110915899,-0.1188203922,-0.9486885202,0.9587412093
0.5476155417,0.2041021056,-0.03460148335,-0.9019523102,0.9254041831
0.5576075417,0.2740699612,0.03855654001,-0.9222479957,0.962882296
0.5675985417,0.28912698,0.0473086524,-1.00242794,1.044363105
0.5775905416,0.1710470646,0.004727473855,-1.013122498,1.027470994
0.5875825416,0.02111020267,-0.04853452116,-0.9203113979,0.9218320398
0.5975745416,-0.08944683127,-0.1208546385,-0.7338173783,0.7490624299
0.6075665416,-0.1283901646,-0.189516153,-0.5475034529,0.5934310723
0.6175575416,-0.1110680075,-0.226733973,-0.3854765224,0.4607998982
0.6275495416,0.001365178674,-0.2590372083,-0.2539328814,0.3627451546
0.6375415417,0.1205983843,-0.2744370201,-0.1314266968,0.327311205
0.6475335417,0.1390106817,-0.2628729817,-0.04410847127,0.3006189139
0.6575245417,0.07939729482,-0.1770548594,0.0314550966,0.1965751174
0.6675165417,0.05251764446,-0.1178675884,0.08861396849,0.1565353212
0.6775085417,0.07240906812,-0.1105670473,0.1306478477,0.1858413441
0.6875005416,0.09226972081,-0.1402176932,0.171011762,0.239624134
0.6974925416,0.08470035397,-0.152265881,0.1314752287,0.2182768523
0.7074835416,0.04826474525,-0.1366359812,0.07611788392,0.1636850917
0.7174755416,0.06621876709,-0.1234221509,0.01762292325,0.1411684096
0.7274675416,0.09387229644,-0.0998558253,-0.04903475046,0.145559612
0.7374591667,0.07065205291,-0.07854155481,-0.1384883791,0.1741824318
0.7474511666,0.04282018349,-0.03577852786,-0.1907776898,0.1987707174
0.7574421666,0.02211508323,-0.03371153712,-0.2106985688,0.2145214011
0.7674341666,-0.02595801953,-0.03421001226,-0.2850254506,0.288242348
0.7774261666,-0.07938088607,-0.0001347783208,-0.3401769733,0.3493160695
