Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0.008805990219,42.92929188,-78.86899317,184.304208,149.7538023,,,0.002228532337,57.74123864,3.0,-1.0
0.03808796406,42.92931117,-78.86900061,184.304208,149.7537517,,,0.02480718549,70.86920177,3.0,-1.0
0.4248600006,42.92944483,-78.86920938,184.304208,149.7533549,,,0.1274110189,52.16053289,3.0,-1.0
0.6219930649,42.93002112,-78.86822515,185.850872,151.2988594,0.7900000215,282.3046875,0.1278279466,14.0,24.0,-1.0
1.165991545,42.93002193,-78.86823015,186.2393608,151.6873447,0.7900000215,282.3046875,0.1346278517,9.901107763,24.0,-1.0
2.165985823,42.93004087,-78.86830957,184.0801201,149.5280332,0.7900000215,243.984375,0.1356231581,5.563943036,4.0,-1.0
3.165974617,42.93004458,-78.86832069,182.5422173,147.9901178,0.5400000215,225.0,0.1360783616,3.430788033,4.0,-1.0
4.165965557,42.93004229,-78.86832532,181.7610893,147.2089942,0.5400000215,232.03125,0.1367033767,3.440856711,3.0,-1.0
5.16595602,42.93003894,-78.86833149,181.8310356,147.2789471,0.6499999762,227.4609375,0.1378930156,3.449592381,3.0,-1.0
6.168617249,42.93003304,-78.86834367,182.493145,147.9410678,0.9300000072,233.7890625,0.1381428916,3.456506835,3.0,-1.0
7.168613076,42.9300331,-78.86834674,182.022686,147.4706077,0.6499999762,231.328125,0.1386524325,3.478556839,3.0,-1.0
8.168587923,42.93003077,-78.86835213,182.1379814,147.5859074,0.8199999928,234.4921875,0.1393137992,3.484179653,3.0,-1.0
9.16857326,42.93002706,-78.86835847,181.6657524,147.1136859,0.75,229.21875,0.1399018711,3.490345698,3.0,-1.0
10.16856706,42.93002379,-78.86836415,181.5080986,146.9560386,0.75,231.328125,0.1406998459,3.497932232,3.0,-1.0
11.16853654,42.93001909,-78.86837156,181.5691338,147.0170834,0.75,226.40625,0.1415701793,3.504537459,3.0,-1.0
12.16851997,42.9300134,-78.8683789,181.2211723,146.6691342,0.8100000024,225.0,0.142453004,3.507733477,3.0,-1.0
13.16850829,42.93000853,-78.86838747,181.2211724,146.669144,0.8100000024,224.9999952,0.1432393842,2.863565174,4.029364438,-1.0
14.16847849,42.93000342,-78.86839415,180.6992608,146.1472432,0.8100000024,223.2421829,0.1439332388,3.029910417,4.029364438,-1.0
15.16846359,42.92999907,-78.86840025,180.8849297,146.3329213,0.6899999976,226.7578083,0.1447546136,3.117218504,4.029364438,-1.0
16.16844547,42.92999449,-78.86840816,180.8730889,146.3210897,0.9100000262,230.6249941,0.1455629145,3.200059518,4.029364438,-1.0
17.1684159,42.92999029,-78.86841627,180.9700738,146.4180827,0.8100000024,233.4374946,0.1463046987,3.306554062,4.029364438,-1.0
18.16840553,42.92998614,-78.86842341,180.930523,146.3785403,0.8100000024,231.3281197,0.1469888093,3.406718205,4.029364438,-1.0
19.1683898,42.92998227,-78.86842993,181.0395928,146.4876179,0.7699999809,230.9765575,0.1476194442,3.537228138,4.029364438,-1.0
20.16836178,42.92997858,-78.86843582,180.8319512,146.2799839,0.6399999857,230.9765584,0.1478390196,3.599241686,4.029364438,-1.0
21.1683358,42.92997874,-78.8684385,180.9552422,146.4032737,0.6399999857,231.6796833,0.1485196026,4.74865153,4.029364438,-1.0
22.16831172,42.9299749,-78.86844501,180.8915215,146.3395607,0.6399999857,231.3281208,0.1492747408,4.74865153,4.029364438,-1.0
23.16828895,42.92997053,-78.86845211,180.9906426,146.4386907,0.6899999976,229.5703081,0.1499961776,4.74865153,4.029364438,-1.0
24.1682651,42.92996616,-78.86845866,180.8335381,146.2815953,0.7099999785,227.8124956,0.15069273,4.74865153,4.029364438,-1.0
25.16824389,42.92996173,-78.86846472,181.0408746,146.4889411,0.6800000072,225.7031209,0.1513302428,4.74865153,4.029364438,-1.0
26.16822183,42.92995801,-78.86847068,180.9193536,146.3674277,0.6800000072,227.4609333,0.1518115003,4.74865153,4.029364438,-1.0
27.16820204,42.92995903,-78.86847642,180.8991509,146.3472208,0.6499999762,247.499995,0.1525103206,4.74865153,4.029364438,-1.0
28.16818154,42.92996427,-78.86848116,180.7416802,146.1897355,0.5500000119,283.007808,0.1533579146,4.74865153,4.029364438,-1.0
29.16816127,42.92997129,-78.86848522,180.7514458,146.1994823,0.5500000119,316.0546843,0.1543243675,4.74865153,4.029364438,-1.0
30.16814363,42.9299781,-78.86849259,180.9309502,146.3789675,0.6800000072,314.6484335,0.1551232245,4.74865153,4.029364438,-1.0
31.16812432,42.92998425,-78.86849768,181.0012627,146.4492631,0.6800000072,319.5703088,0.1558068111,4.74865153,4.029364438,-1.0
32.1681062,42.92998929,-78.86850248,181.1512261,146.5992124,0.6000000238,320.6249968,0.1594187079,4.74865153,4.029364438,-1.0
33.16808951,42.92999551,-78.86854602,183.3714052,148.8193631,0.6753221843,314.7994895,0.1604457193,2.338768946,3.0,-1.0
34.16807222,42.93000097,-78.8685562,183.5336201,148.9815613,0.6904318783,320.2980456,0.1610806049,4.229882327,3.0,-1.0
35.16805589,42.9300065,-78.86855812,183.6584206,149.1063474,0.585738144,324.7742386,0.162816237,4.161201644,3.0,-1.0
36.16804063,42.93001063,-78.86853756,183.7822508,149.2301732,0.8053325282,64.57417554,0.1648649789,4.051906398,3.0,-1.0
37.16802418,42.93001904,-78.86855995,183.8415107,149.2894054,1.200335267,307.9815655,0.1656567789,4.049540764,3.0,-1.0
38.16800821,42.93002485,-78.86856556,183.3678047,148.8156832,0.7866918171,326.5448299,0.1663877078,3.911164697,3.0,-1.0
39.16799331,42.93003108,-78.86856842,184.0748152,149.5226772,0.749904538,333.9806133,0.1671978551,3.833351314,3.0,-1.0
40.16797769,42.9300324,-78.8685782,184.1134035,149.5612593,0.6929412645,317.2078487,0.1683525308,3.851024492,3.0,-1.0
41.16796303,42.9300344,-78.86856429,184.7576528,150.2055076,0.7308662538,30.89821661,0.1703235665,3.802228243,3.0,-1.0
42.16794896,42.93003919,-78.8685876,184.7674104,150.2152465,0.8144178158,301.0362822,0.1712111534,3.745378282,3.0,-1.0
43.16793525,42.93004615,-78.86859294,184.8186899,150.2665069,0.5935252395,321.4227762,0.1715142265,3.622529255,3.0,-1.0
44.16792071,42.93004885,-78.86859246,184.6022823,150.0500927,0.7006749155,313.4580537,0.1716904975,3.605384751,3.0,-1.0
45.16790569,42.9300482,-78.86859048,184.5951873,150.0429999,0.4560285216,345.9952203,0.1722346328,3.54674461,3.0,-1.0
46.16789353,42.930053,-78.86858919,184.6008293,150.0486301,0.5576697454,352.5327181,0.1735365197,3.557956314,3.0,-1.0
47.16787946,42.93005252,-78.86860517,185.7003879,151.1481853,0.4358341056,307.4555766,0.1742746438,3.480696741,3.158448015,-1.0
48.16786635,42.93005916,-78.86860514,184.9642002,150.411981,0.4620776205,333.6443407,0.1747762788,3.446415303,3.137535571,-1.0
