"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.122062200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.622192400E-2,1.648870111E-2,-2.980113029E-3,-9.499549866E-3,1.926135471E-2
5.122577800E-2,2.007862926E-2,4.972219467E-4,-2.858829498E-2,3.493836276E-2
5.623327800E-2,1.806478202E-2,-3.433227539E-4,-5.008125305E-2,5.324083139E-2
6.124531000E-2,2.915650606E-2,-8.572578430E-3,-5.147743225E-2,5.977890077E-2
6.626254900E-2,3.957724571E-2,-1.166486740E-2,-5.081462860E-2,6.545650456E-2
7.128541400E-2,4.555495828E-2,2.040743828E-3,-5.173587799E-2,6.896390310E-2
7.631411200E-2,1.831364632E-2,1.016199589E-2,-3.689861298E-2,4.242833300E-2
8.134859100E-2,-2.262267470E-2,5.007505417E-3,-7.303237915E-3,2.429398702E-2
8.638859100E-2,-5.126450956E-2,2.216875553E-2,1.490211487E-2,5.780637240E-2
9.143359100E-2,-6.045664847E-2,4.253816605E-2,2.215099335E-2,7.716973773E-2
9.648296600E-2,-9.591658413E-2,6.166160107E-2,3.774070740E-2,1.201103874E-1
1.015358820E-1,-1.031404734E-1,7.095408440E-2,2.144050598E-2,1.270123405E-1
1.065914030E-1,-1.107987165E-1,6.676518917E-2,-1.137542725E-2,1.298589482E-1
1.116485390E-1,-1.231103539E-1,6.329929829E-2,-1.526546478E-2,1.392695043E-1
1.167062990E-1,-1.129119545E-1,6.926035881E-2,-1.021385193E-3,1.324656559E-1
1.217551530E-1,-1.218787581E-1,7.063400745E-2,2.139186859E-2,1.424823032E-1
1.267885910E-1,-1.399156600E-1,6.760084629E-2,2.002716064E-2,1.566759506E-1
1.318219760E-1,-1.483288705E-1,5.137491226E-2,3.239727020E-2,1.602823089E-1
1.368553620E-1,-1.611480713E-1,5.879580975E-2,4.879665375E-2,1.783445024E-1
1.418887470E-1,-1.554492712E-1,4.315423965E-2,6.910610199E-2,1.755061755E-1
1.469221320E-1,-1.363949180E-1,9.931445122E-3,7.038593292E-2,1.538063289E-1
1.519555180E-1,-1.364005059E-1,-2.651214600E-2,6.719970703E-2,1.543495789E-1
1.569889030E-1,-1.042267829E-1,-4.792881012E-2,9.643459320E-2,1.498666870E-1
1.620222890E-1,-7.790291309E-2,-8.252060413E-2,1.338891983E-1,1.755130519E-1
1.670556740E-1,-2.947162092E-2,-8.844590187E-2,1.609382629E-1,1.859902645E-1
1.720890600E-1,2.632266283E-2,-8.987808228E-2,1.549758911E-1,1.810758931E-1
1.771224450E-1,8.945381641E-2,-9.148252010E-2,1.171340942E-1,1.734688237E-1
1.821558300E-1,1.597332209E-1,-8.857285976E-2,8.075237274E-2,1.997017753E-1
1.871892160E-1,2.231084406E-1,-7.197332382E-2,5.030441284E-2,2.397666982E-1
1.922226010E-1,2.429680824E-1,-5.593109131E-2,6.985664368E-3,2.494204794E-1
1.972559870E-1,2.578294575E-1,-5.889093876E-2,-3.498840332E-2,2.667739871E-1
2.022893720E-1,2.771000266E-1,-4.313254356E-2,-3.859424591E-2,2.830801245E-1
2.073227570E-1,2.912289500E-1,-2.311658859E-2,-8.397769928E-2,3.039752161E-1
2.123561430E-1,2.772829235E-1,-1.753306389E-2,-1.141977310E-1,3.003903290E-1
2.173895280E-1,2.594351768E-1,-2.695202827E-3,-1.204071045E-1,2.860275265E-1
2.224229140E-1,2.285353839E-1,-6.784200668E-3,-1.218938828E-1,2.590995286E-1
2.274562990E-1,1.896135509E-1,3.325700760E-3,-8.147907257E-2,2.064054220E-1
2.324896850E-1,1.474194080E-1,3.903865814E-3,-2.816390991E-2,1.501363641E-1
2.375230700E-1,8.785632998E-2,-1.420009136E-2,2.380180359E-2,9.212438964E-2
2.425564550E-1,1.582258940E-2,-5.532860756E-2,8.854484558E-2,1.056020778E-1
2.475898410E-1,-3.129142523E-2,-7.239234447E-2,1.331348419E-1,1.547407217E-1
2.526232260E-1,-6.806243956E-2,-6.134462357E-2,1.674518585E-1,1.908815953E-1
2.576566120E-1,-1.040794104E-1,-8.823990822E-3,1.824121475E-1,2.102012799E-1
2.626899970E-1,-1.486992240E-1,7.036197186E-2,1.737604141E-1,2.392800615E-1
2.677233820E-1,-2.112548351E-1,1.336038113E-1,1.747789383E-1,3.050020672E-1
2.727567680E-1,-2.351007462E-1,1.579158306E-1,1.243295670E-1,3.093018132E-1
2.777901530E-1,-2.490891218E-1,1.161000729E-1,9.844017029E-2,2.919162288E-1
2.828235390E-1,-2.531782389E-1,7.982623577E-2,1.012802124E-1,2.841287208E-1
2.878569240E-1,-2.053758502E-1,1.125574112E-2,1.369895935E-1,2.471276599E-1
2.928903100E-1,-1.534988433E-1,-7.041215897E-2,1.392526627E-1,2.188859774E-1
2.979236950E-1,-1.304270923E-1,-9.918463230E-2,1.697559357E-1,2.359362104E-1
3.029570800E-1,-9.827953577E-2,-8.563292027E-2,2.233085632E-1,2.585702585E-1
