"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.424416665E-3,1.988129336E-1,-5.964920104E-1,-1.019780138E0,1.198032065E0
1.947941667E-2,1.794776532E-1,-5.326658508E-1,-1.060127680E0,1.199923262E0
2.953441667E-2,1.278949785E-1,-4.755929330E-1,-1.266795178E0,1.359159956E0
3.958941666E-2,7.311943173E-2,-3.068972531E-1,-1.496635192E0,1.529525833E0
4.964441666E-2,-2.625429064E-2,-5.885222554E-3,-1.556209549E0,1.556442123E0
5.969941667E-2,-1.456939030E-1,1.433105779E-1,-1.349209344E0,1.364599021E0
6.975441667E-2,-2.310857633E-1,6.558997214E-2,-1.047746201E0,1.074930126E0
7.980941666E-2,-1.617199516E-1,-9.035146862E-2,-8.202748936E-1,8.409325965E-1
8.986441667E-2,-1.571556151E-1,-8.227295548E-2,-5.717056632E-1,5.985934279E-1
9.991941667E-2,-2.468516108E-1,-1.653124809E-2,-3.385210419E-1,4.192916595E-1
1.099744167E-1,-2.244269541E-1,-6.848989874E-2,-3.111636740E-1,3.897193297E-1
1.200294167E-1,-1.435049978E-1,-1.500380918E-1,-3.757444167E-1,4.292889238E-1
1.300844167E-1,-1.424755955E-1,-1.772153655E-1,-3.266149414E-1,3.979722364E-1
1.401394167E-1,-9.622324258E-2,-2.492510158E-1,-2.749740869E-1,3.834002214E-1
1.501944167E-1,2.887852103E-2,-3.227519783E-1,-2.536691719E-1,4.115226085E-1
1.602494167E-1,6.956666350E-2,-2.160259670E-1,-2.700127244E-1,3.527231357E-1
1.703044167E-1,-4.978436351E-2,1.184017316E-1,-3.430239826E-1,3.662825488E-1
1.803594167E-1,-2.496867795E-1,2.644873980E-1,-4.044741261E-1,5.439635928E-1
1.904144167E-1,-4.109816386E-1,4.626173767E-1,-4.414267749E-1,7.601173213E-1
2.004694167E-1,-5.327104358E-1,6.119026396E-1,-4.061546159E-1,9.072854131E-1
2.105244167E-1,-6.245083594E-1,6.475425884E-1,-2.965649307E-1,9.472448748E-1
2.205794167E-1,-6.758936906E-1,6.722432739E-1,-7.608455479E-2,9.563117482E-1
2.306344167E-1,-6.138699353E-1,5.499274161E-1,6.324056089E-2,8.265929040E-1
2.406894167E-1,-6.415382288E-1,1.083141151E0,4.988785923E-2,1.259863029E0
2.507444167E-1,-8.842894797E-1,1.657856230E0,-4.100038379E-1,1.923163620E0
2.607994167E-1,-9.262764350E-1,1.502918610E0,-7.224287564E-1,1.907526065E0
2.708544167E-1,-8.214572006E-1,1.120144671E0,-9.169404781E-1,1.664420577E0
2.809094167E-1,-6.146487844E-1,7.455857769E-1,-8.854041052E-1,1.310584491E0
2.909644167E-1,-5.260317461E-1,3.719505970E-1,-6.803334814E-1,9.369686710E-1
3.010194167E-1,-4.343379761E-1,1.441141315E-1,-6.296702814E-1,7.783977284E-1
3.110744167E-1,-2.775113399E-1,7.699993640E-2,-7.462701935E-1,7.999129550E-1
3.211294167E-1,-9.085586406E-2,9.680752560E-2,-8.702563083E-1,8.803252395E-1
3.311844167E-1,1.546487676E-1,-1.299403346E-1,-8.224465495E-1,8.468878667E-1
3.412394167E-1,2.865156866E-1,-7.246069904E-1,-5.699631929E-1,9.654038380E-1
3.512944167E-1,3.159453077E-1,-1.195456516E0,-4.602723509E-1,1.319389387E0
3.613494167E-1,4.266165816E-1,-1.154408623E0,-5.679833257E-1,1.355457869E0
3.714044167E-1,6.310505898E-1,-1.059848329E0,-8.406629652E-1,1.492721524E0
3.814594167E-1,7.861506162E-1,-8.221433714E-1,-1.088828738E0,1.574642986E0
3.915144167E-1,8.140723135E-1,-7.810812995E-1,-1.122301708E0,1.591339955E0
4.015694167E-1,8.223276318E-1,-8.937852117E-1,-9.706798983E-1,1.554764999E0
4.116244167E-1,8.594733848E-1,-9.361357907E-1,-5.604760855E-1,1.388948581E0
4.216794167E-1,8.409951601E-1,-9.317665319E-1,-1.749369979E-2,1.255295885E0
4.317344167E-1,6.756834101E-1,-8.968571927E-1,3.894783568E-1,1.188526098E0
4.417894167E-1,4.770187400E-1,-8.136540914E-1,4.500537568E-1,1.045049397E0
4.518444167E-1,2.278362463E-1,-7.519362916E-1,2.599677926E-1,8.275873337E-1
4.618994167E-1,4.916091328E-2,-4.510754116E-1,1.872746229E-1,4.908743288E-1
4.719544167E-1,-1.428889388E-1,-1.635596319E-1,3.122804922E-1,3.803789003E-1
4.820094167E-1,2.635966843E-2,-2.943549755E-1,3.736440969E-1,4.763922699E-1
4.920682917E-1,3.755124284E-1,-3.252219153E-1,1.657983845E-1,5.237060076E-1
5.021232917E-1,4.687430660E-1,-1.695742241E-1,-1.467469865E-1,5.196250162E-1
5.121782917E-1,1.393671608E-1,4.609696314E-2,-3.870546860E-1,4.139558738E-1
5.222332917E-1,-3.240200201E-1,2.754753394E-1,-4.554571688E-2,4.277266048E-1
5.322882917E-1,-2.745448830E-1,3.278098930E-1,-4.197780436E-1,5.992059951E-1
5.423432917E-1,-3.643326983E-1,3.989205138E-1,-9.216966033E-1,1.068363477E0
5.523982917E-1,-4.147515578E-1,4.157884153E-1,-7.579880136E-1,9.588767855E-1
5.624532917E-1,-5.575714812E-1,1.552974138E0,3.036768991E-1,1.677746789E0
5.725082917E-1,2.846721052E-2,1.173154797E0,6.934277362E-1,1.363064410E0
5.825632917E-1,1.475802239E-1,6.233950496E-2,7.748642474E-1,7.912526387E-1
5.926182917E-1,2.852504222E-1,-3.017331384E-1,6.384557229E-1,7.616012082E-1
6.026722917E-1,3.234796278E-1,-1.896556091E-1,4.561652666E-1,5.905040814E-1
6.127272917E-1,2.116378692E-1,1.467699368E-1,2.015716499E-1,3.270521856E-1
6.227822917E-1,2.399637004E-1,3.122495019E-1,6.375336170E-2,3.989320996E-1
6.328372917E-1,3.166225980E-1,2.954171222E-1,4.688648343E-2,4.355680062E-1
6.428922917E-1,1.961689323E-1,2.424501193E-1,-1.007843632E-1,3.277526479E-1
6.529472917E-1,-4.033777092E-2,1.579129757E-1,-4.418056744E-1,4.709096491E-1
6.630022917E-1,-2.657975580E-1,5.654696077E-3,-7.792081439E-1,8.233138217E-1
6.730572917E-1,-4.169926859E-1,-2.086722162E-1,-1.111317714E0,1.205178018E0
6.831122917E-1,-5.006521989E-1,-4.276654990E-1,-1.432830960E0,1.576881404E0
6.931672917E-1,-5.401081138E-1,-6.155877011E-1,-1.769884935E0,1.950168627E0
7.032222917E-1,-5.386474793E-1,-7.069703262E-1,-1.986886218E0,2.176617787E0
7.132772917E-1,-4.471558402E-1,-7.405101013E-1,-2.117604232E0,2.287477047E0
7.233322917E-1,-3.974143441E-1,-8.486558166E-1,-2.191765637E0,2.383692821E0
7.333872917E-1,-5.320088430E-1,-8.401552807E-1,-1.887754862E0,2.133661811E0
7.434422917E-1,-9.337587514E-1,-6.579525326E-1,-1.272040130E0,1.709647050E0
7.534972917E-1,-7.429825965E-1,-5.609482482E-1,-1.596895645E0,1.848448478E0
7.635522917E-1,-9.746964238E-1,-5.466953677E-1,-9.544369179E-1,1.469645799E0
7.736072917E-1,-4.651100448E-1,-6.110290655E-1,-1.413948546E0,1.609016583E0
7.836622917E-1,-9.900902057E-2,-6.487500384E-1,-1.463103164E0,1.603543036E0
7.937172917E-1,-1.195061792E-1,-6.068686254E-1,-7.214633811E-1,9.503055643E-1
8.037722917E-1,-7.900652722E-3,-4.517450640E-1,-5.381619412E-1,7.026765245E-1
8.138272917E-1,6.391809787E-2,-2.315436003E-1,-8.495963413E-1,8.828997141E-1
8.238822917E-1,1.725200330E-1,6.805822805E-2,-8.674899906E-1,8.870929872E-1
8.339372917E-1,3.046464405E-1,2.117889284E-1,-7.018296003E-1,7.938695055E-1
8.439922917E-1,3.345707726E-1,1.576216382E-1,-5.460504198E-1,6.595098511E-1
8.540472917E-1,3.878956252E-1,9.446001470E-2,-3.737709814E-1,5.468916318E-1
8.641022917E-1,4.447115213E-1,8.744905695E-2,-2.103465664E-1,4.996612380E-1
8.741572917E-1,3.876241682E-1,1.483839145E-1,-2.090321124E-2,4.155805892E-1
8.842122917E-1,2.689076737E-1,2.653783675E-1,9.715675056E-2,3.900979993E-1
8.942672917E-1,1.373965578E-1,3.322819166E-1,2.645280361E-2,3.605396469E-1
9.043222917E-1,-9.368518554E-3,2.834455329E-1,-2.401568413E-2,2.846153410E-1
9.143772917E-1,-1.728061811E-1,1.814693610E-1,4.179063499E-2,2.540463785E-1
9.244322917E-1,-2.876934255E-1,9.842223421E-2,1.220080018E-1,3.276284416E-1
9.344872917E-1,-2.431633151E-1,8.320748672E-2,1.690342337E-1,3.076108838E-1
9.445422917E-1,-1.423593272E-1,6.765813231E-3,1.522012693E-1,2.085118238E-1
9.545972917E-1,-6.896706808E-2,-8.670616820E-2,5.901185453E-2,1.255261529E-1
9.646522917E-1,-1.321836188E-2,-1.723617379E-1,-1.681483805E-2,1.736837142E-1
9.747072917E-1,7.097047035E-2,-2.134609397E-1,-2.077047944E-2,2.259066029E-1
9.847622917E-1,1.230601352E-1,-1.692426869E-1,-9.968157828E-2,2.317828747E-1
9.948172917E-1,1.243493731E-1,-8.271617442E-2,-2.973086965E-1,3.327118770E-1
1.004872292E0,9.784723364E-2,-1.896807522E-2,-5.075511825E-1,5.172446925E-1
1.014927292E0,1.651634866E-1,2.081272557E-2,-6.737606263E-1,6.940212737E-1
1.024982292E0,1.564894345E-1,5.402534902E-3,-8.512902796E-1,8.655710662E-1
1.035037292E0,1.410154361E-1,-6.135176405E-2,-9.424606508E-1,9.549248507E-1
1.045092292E0,1.555721160E-1,-1.074409796E-1,-9.871819103E-1,1.005124058E0
1.055147292E0,8.938170791E-2,-1.972014409E-1,-9.588544893E-1,9.829951321E-1
1.065202292E0,-1.144232860E-1,-3.225613591E-1,-8.026683426E-1,8.725909620E-1
1.075257292E0,-2.958057063E-1,-4.447661197E-1,-6.213099325E-1,8.193558136E-1
1.085312292E0,-2.331914553E-1,-4.132461190E-1,-4.643694949E-1,6.639199029E-1
1.095367292E0,-1.070312725E-1,-2.876056807E-1,-4.524967235E-1,5.467412603E-1
1.105422292E0,5.102229215E-2,-1.350401299E-1,-5.374877572E-1,5.565358929E-1
1.115477292E0,2.009327320E-1,-3.759993553E-2,-6.566844177E-1,6.877660521E-1
1.125532292E0,2.926658611E-1,-1.951245099E-2,-7.408018774E-1,7.967568409E-1
1.135587292E0,3.024511034E-1,9.187437594E-4,-7.566115791E-1,8.148242728E-1
1.145642292E0,2.991318949E-1,6.391679138E-2,-7.450820392E-1,8.054269004E-1
1.155697292E0,2.855303211E-1,1.083952452E-1,-7.130995238E-1,7.757499754E-1
1.165752292E0,1.917971519E-1,9.473892689E-2,-6.533573520E-1,6.874863207E-1
1.175807292E0,3.064642668E-2,4.790316805E-2,-5.333450049E-1,5.363681676E-1
1.185862292E0,-1.167294279E-1,-1.671952844E-2,-2.877274489E-1,3.109539947E-1
1.195917292E0,-2.614037226E-1,-6.342021659E-2,-9.362503231E-2,2.848151624E-1
1.205972292E0,-2.073667523E-1,9.251903147E-3,-5.354295373E-2,2.143674778E-1
1.216027292E0,-7.729799822E-2,9.114113510E-2,-8.923377335E-2,1.491454101E-1
1.226082292E0,8.078549691E-3,4.547540411E-2,-1.381001240E-1,1.456190908E-1
1.236137292E0,9.731963206E-2,-9.500789881E-2,-2.346592891E-1,2.712242496E-1
1.246192292E0,5.619550657E-2,-9.312290266E-2,-1.699890840E-1,2.018070827E-1
1.256247292E0,-9.444203451E-2,-3.961473987E-2,-1.917149985E-1,2.173551613E-1
1.266302292E0,-1.390510640E-1,3.249984786E-2,-2.927390975E-1,3.257109419E-1
1.276357292E0,-3.135320887E-2,9.180172428E-2,-3.092609900E-1,3.241187132E-1
1.286412292E0,-1.935760941E-2,7.611963809E-2,-2.981150275E-1,3.082879920E-1
1.296466292E0,-2.776093539E-2,-4.586614430E-2,-2.449223220E-1,2.507215917E-1
1.306522292E0,-1.425714898E-1,-1.534970123E-1,-1.551032424E-1,2.606625755E-1
1.316576292E0,-1.494497523E-1,-1.564466402E-1,-1.934896284E-1,2.902568104E-1
1.326631292E0,-8.694838911E-2,-9.017371327E-2,-2.882460970E-1,3.142882966E-1
1.336686292E0,-7.687930103E-2,-3.263491854E-2,-4.666633576E-1,4.740782153E-1
1.346741292E0,-6.999807838E-2,7.494814843E-3,-5.347191006E-1,5.393333105E-1
1.356796292E0,-6.497528359E-2,-2.735897586E-2,-4.647741222E-1,4.700907208E-1
1.366851292E0,-7.853497669E-2,-4.387209758E-2,-4.133846980E-1,4.230595845E-1
1.376906292E0,-6.885838296E-2,1.947078958E-2,-4.145401078E-1,4.206709992E-1
1.386961292E0,-3.543591756E-2,7.695959061E-2,-3.736481899E-1,3.831337269E-1
1.397016292E0,4.345687218E-3,6.082668409E-2,-3.370814574E-1,3.425531775E-1
1.407071292E0,-2.896348838E-2,-2.769767582E-2,-1.919342691E-1,1.960734774E-1
1.417126292E0,-1.445114863E-1,-9.641166911E-2,8.333510220E-2,1.926746451E-1
1.427181292E0,-1.670639778E-1,-1.060484652E-1,2.589129549E-1,3.258720115E-1
1.437236292E0,-1.227058304E-1,-1.456718297E-1,3.052527237E-1,3.598002614E-1
