"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.977000000E-3,2.226233804E-1,-2.543684989E-2,2.268269438E-1,3.188395604E-1
1.403200000E-2,1.933221057E-1,3.114344001E-2,1.179781008E-1,2.286092358E-1
2.408700000E-2,3.025612503E-2,9.358702540E-2,-2.654694378E-2,1.018759277E-1
3.414200000E-2,-4.035835952E-2,2.516305402E-1,-2.529686755E-1,3.590819916E-1
4.419600000E-2,-1.064146471E-1,3.739844048E-1,-3.540372133E-1,5.258619216E-1
5.425100000E-2,-2.047373325E-1,4.267365226E-1,-3.764881825E-1,6.047849094E-1
6.430600000E-2,-1.609123050E-1,4.638900232E-1,-4.025924921E-1,6.349546742E-1
7.436000000E-2,-1.241574383E-1,4.662502518E-1,-3.596762681E-1,6.018067669E-1
8.441500000E-2,-1.044515906E-1,3.761253628E-1,-3.808969831E-1,5.454016273E-1
9.447000000E-2,-1.324920595E-1,2.095431590E-1,-2.531125170E-1,3.542999119E-1
1.045250000E-1,-1.525879164E-1,4.872981817E-2,6.612850070E-2,1.732935256E-1
1.145790000E-1,-1.371169147E-1,-6.433749855E-2,4.994662374E-1,5.219261292E-1
1.246340000E-1,-8.232499570E-2,-1.720753706E-1,8.132787001E-1,8.353499758E-1
1.346890000E-1,-7.971655279E-2,-2.581513551E-1,9.808762729E-1,1.017406071E0
1.447430000E-1,-1.393356407E-1,-2.987222609E-1,1.020584130E0,1.072493066E0
1.547980000E-1,-2.352102430E-1,-2.426471704E-1,9.148360652E-1,9.752571629E-1
1.648530000E-1,-3.135586935E-1,-1.502100000E-1,6.477756000E-1,7.351838724E-1
1.749080000E-1,-3.342807873E-1,-5.026208103E-2,3.713367856E-1,5.021562803E-1
1.849620000E-1,-3.422365089E-1,4.300217807E-2,1.297269112E-1,3.685160605E-1
1.950170000E-1,-2.596078965E-1,1.142402682E-1,-1.486444080E-1,3.202222023E-1
2.050720000E-1,-1.435748720E-1,1.606624827E-1,-2.918380415E-1,3.627611056E-1
2.151260000E-1,-8.528017849E-2,1.986758164E-1,-3.240000665E-1,3.895135838E-1
2.251810000E-1,-1.367327526E-2,1.593483210E-1,-2.635041887E-1,3.082422802E-1
2.352360000E-1,5.177037030E-2,3.145743549E-2,-1.524328190E-1,1.640289785E-1
2.452910000E-1,1.114767279E-1,-9.564992309E-2,2.510969818E-2,1.490183398E-1
2.553450000E-1,6.385524943E-2,-1.225009221E-1,1.695388484E-1,2.186947414E-1
2.654000000E-1,2.309065461E-3,-1.435349648E-1,2.378132772E-1,2.777818798E-1
2.754550000E-1,-2.604028255E-2,-1.920466818E-1,2.437441081E-1,3.114020143E-1
2.855090000E-1,-5.048500612E-2,-2.610176602E-1,1.905385387E-1,3.270839181E-1
2.955640000E-1,-1.015133648E-1,-3.075688058E-1,1.082378089E-1,3.414951783E-1
3.056190000E-1,-1.402257331E-1,-2.988602552E-1,7.687743723E-2,3.389555261E-1
3.156740000E-1,-1.378652121E-1,-2.242886674E-1,4.885114789E-2,2.677660503E-1
3.257280000E-1,-1.219352040E-1,-1.483216417E-1,-1.686921716E-2,1.927487324E-1
3.357830000E-1,-8.351812005E-2,-1.379051194E-1,-1.021046644E-1,1.908362147E-1
3.458380000E-1,-6.553325415E-2,-1.270687670E-1,-1.649645716E-1,2.182988521E-1
3.558920000E-1,-7.436430395E-2,7.747268379E-3,-2.136555058E-1,2.263597690E-1
3.659470000E-1,-5.951266855E-2,1.127942517E-1,-2.761025995E-1,3.041331064E-1
3.760020000E-1,-2.236530751E-2,9.691175222E-2,-3.029804957E-1,3.188875593E-1
3.860570000E-1,-8.080077276E-2,7.401230156E-2,-2.112745196E-1,2.379989670E-1
3.961110000E-1,-8.384395614E-2,1.113584679E-1,-1.926564002E-1,2.377961436E-1
4.061660000E-1,-4.454101905E-2,1.264372677E-1,-2.298522931E-1,2.660871318E-1
4.162210000E-1,-5.368182510E-2,1.212488870E-1,-1.840802890E-1,2.268668855E-1
4.262750000E-1,-8.624072984E-2,8.838636562E-2,-1.316483063E-1,1.805017719E-1
4.363300000E-1,-9.315652415E-2,4.940429449E-2,-1.203883231E-2,1.061313139E-1
4.463850000E-1,-9.460853398E-2,4.577492774E-2,1.204526424E-2,1.057885017E-1
4.564400000E-1,-7.776811436E-2,5.733808905E-2,-3.489150524E-2,1.027275679E-1
4.664940000E-1,-5.840359792E-2,1.183511531E-1,-1.192136174E-1,1.778478627E-1
4.765490000E-1,-1.474021670E-1,2.451081173E-1,-2.766346961E-1,3.979097173E-1
4.866040000E-1,-4.043890491E-1,2.622613630E-1,-3.607936710E-1,6.020661082E-1
4.966580000E-1,-1.151325679E0,1.931466892E-1,-5.567087245E-1,1.293360378E0
5.067130000E-1,-6.366068333E-2,8.352137987E-1,-6.119380152E-1,1.037353800E0
5.167680000E-1,6.188215037E-1,2.090699731E-1,-4.992726946E-1,8.221456870E-1
5.268230000E-1,4.289960329E-1,-3.088049072E-1,-2.863211936E-1,6.011471474E-1
5.368770000E-1,3.892487074E-1,1.435174231E-1,-1.165467024E-2,4.150272742E-1
5.469320000E-1,3.416148037E-1,2.650512157E-1,1.451495272E-1,4.560934184E-1
5.569870000E-1,2.093145329E-1,2.772238031E-2,3.011701977E-1,3.678105382E-1
5.670410000E-1,6.271358058E-2,-7.018369094E-2,5.564415067E-1,5.643455449E-1
5.770960000E-1,4.161609560E-3,-4.823148921E-2,6.590285665E-1,6.608042426E-1
5.871510000E-1,2.023370504E-2,-5.760691479E-2,8.190972644E-1,8.213697633E-1
5.972060000E-1,-1.449491139E-1,-7.426738635E-2,9.373601246E-1,9.514041693E-1
6.072600000E-1,-3.183753374E-1,-2.444077671E-2,9.427372241E-1,9.953460106E-1
6.173150000E-1,-4.795724018E-1,1.015338300E-1,9.527394712E-1,1.071452895E0
6.273700000E-1,-5.960890641E-1,1.885781135E-1,9.955118537E-1,1.175554222E0
6.374253333E-1,-5.886986952E-1,1.834701321E-1,1.003671058E0,1.177957145E0
6.474793333E-1,-5.720437784E-1,1.166998994E-1,1.108475967E0,1.252825575E0
6.575343333E-1,-5.573535993E-1,8.440265760E-2,1.380469728E0,1.491128269E0
6.675893333E-1,-5.114533950E-1,1.386817758E-1,1.724320507E0,1.803911977E0
6.776433333E-1,-3.950025869E-1,1.935997754E-1,1.939351863E0,1.988615992E0
6.876983333E-1,-2.589517658E-1,6.822765112E-2,1.896402310E0,1.915216110E0
6.977533333E-1,-1.676268089E-1,-7.133018374E-2,1.855169499E0,1.864092437E0
7.078083333E-1,-2.032090165E-1,-7.828581221E-2,1.875064065E0,1.887667297E0
7.178623333E-1,-3.230053090E-1,5.066173822E-2,1.890626430E0,1.918688964E0
7.279173333E-1,-3.992036652E-1,1.073906205E-1,1.724868391E0,1.773715670E0
