"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.911993027E-3,4.300377093E1,-7.879977338E1,1.751834106E2,1.404660798E2,NaN,NaN,2.870553567E-2,8.200000000E1,7.237815857E0,-1.000000000E0
9.865999222E-3,4.300357930E1,-7.879953684E1,1.751834106E2,1.404664840E2,NaN,NaN,4.034222336E-2,7.830877899E1,9.325397491E0,-1.000000000E0
9.865999222E-3,4.300349888E1,-7.879944527E1,1.751834106E2,1.404666518E2,NaN,NaN,8.858416578E-2,7.830877899E1,7.249588490E0,-1.000000000E0
2.104275227E0,4.300374282E1,-7.879993586E1,1.756854034E2,1.409680824E2,1.052114248E0,NaN,9.292528453E-2,3.022851042E1,1.742498631E1,-1.000000000E0
3.054279208E0,4.300374492E1,-7.879998917E1,1.774626656E2,1.427453275E2,1.309562206E0,9.019078082E1,9.444483202E-2,1.649057166E1,6.429040606E0,-1.000000000E0
4.004282951E0,4.300375019E1,-7.880000641E1,1.774862086E2,1.427688566E2,1.248394847E0,8.767239671E1,9.560103702E-2,1.154915807E1,6.187724194E0,-1.000000000E0
4.954286933E0,4.300375861E1,-7.879999807E1,1.775049337E2,1.427875686E2,1.248394847E0,8.310600418E1,9.733611074E-2,1.109468358E1,7.552275670E0,-1.000000000E0
5.904291034E0,4.300376673E1,-7.879997985E1,1.775058821E2,1.427885070E2,1.248394847E0,7.984787319E1,9.865172590E-2,1.356522565E1,1.096563036E1,-1.000000000E0
6.854295015E0,4.300376684E1,-7.879996367E1,1.775140348E2,1.427966636E2,1.458422422E0,8.058395969E1,1.004569857E-1,7.210025791E0,6.582243763E0,-1.000000000E0
7.804943562E0,4.300376647E1,-7.879994148E1,1.775128742E2,1.427955093E2,1.577784300E0,8.022867602E1,1.022978753E-1,7.739589561E0,7.753853612E0,-1.000000000E0
