"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.163206577E-2,4.300272870E1,-7.879978385E1,1.778447418E2,1.431292844E2,NaN,NaN,9.129893111E-2,1.414000000E3,8.402105713E1,-1.000000000E0
4.358119965E-1,4.300346328E1,-7.879928227E1,1.733565674E2,1.386399134E2,NaN,NaN,1.032733296E-1,8.600000000E1,1.159612846E1,-1.000000000E0
2.082819581E0,4.300350986E1,-7.879914950E1,1.739916351E2,1.392749306E2,1.058991551E0,1.888974546E2,1.056036531E-1,3.075489426E1,1.600983718E1,-1.000000000E0
3.032823086E0,4.300349317E1,-7.879913216E1,1.763960385E2,1.416793684E2,1.417902708E0,1.841971050E2,1.070173517E-1,1.803056000E1,1.154789063E1,-1.000000000E0
3.982826591E0,4.300349024E1,-7.879911525E1,1.767616407E2,1.420449801E2,1.417902708E0,1.860553641E2,1.096753763E-1,1.085684209E1,9.725620053E0,-1.000000000E0
4.932830811E0,4.300346668E1,-7.879910970E1,1.769130305E2,1.421964137E2,1.528169632E0,1.780668706E2,1.116146572E-1,8.638940850E0,1.006796736E1,-1.000000000E0
5.882834435E0,4.300344987E1,-7.879911603E1,1.768899164E2,1.421733283E2,1.596854091E0,1.836303295E2,1.146925028E-1,1.191079384E1,1.594564893E1,-1.000000000E0
6.832838655E0,4.300342278E1,-7.879910822E1,1.770124195E2,1.422958821E2,1.684141994E0,1.783128112E2,1.163300441E-1,7.727314152E0,1.180467186E1,-1.000000000E0
7.816765308E0,4.300340806E1,-7.879910884E1,1.770301673E2,1.423136562E2,1.728831053E0,1.764601096E2,1.178197466E-1,5.136811478E0,8.640375874E0,-1.000000000E0
8.816188216E0,4.300339556E1,-7.879910227E1,1.772599930E2,1.425435061E2,1.694745660E0,1.831654632E2,1.193664704E-1,5.952551415E0,1.049202284E1,-1.000000000E0
9.816192150E0,4.300338210E1,-7.879909747E1,1.768688534E2,1.421523920E2,1.694745660E0,1.831439411E2,1.207037894E-1,5.988547512E0,1.080694429E1,-1.000000000E0
1.081595564E1,4.300337007E1,-7.879909731E1,1.765413225E2,1.418248827E2,1.609863162E0,1.792796318E2,1.221783169E-1,7.361875914E0,1.356218078E1,-1.000000000E0
1.181652522E1,4.300335708E1,-7.879909369E1,1.762967152E2,1.415802998E2,1.640413880E0,1.875874309E2,1.241134257E-1,4.529815023E0,8.539128291E0,-1.000000000E0
1.281652915E1,4.300334034E1,-7.879908717E1,1.760866383E2,1.413702546E2,1.640413880E0,1.800695031E2,1.257169528E-1,7.459883646E0,1.425959941E1,-1.000000000E0
1.381652904E1,4.300332604E1,-7.879908464E1,1.759228885E2,1.412065312E2,1.640413880E0,1.766326806E2,1.273587405E-1,9.894423809E0,1.894199406E1,-1.000000000E0
1.481648505E1,4.300331130E1,-7.879908346E1,1.759228888E2,1.412065583E2,1.640413880E0,1.766326814E2,1.289342559E-1,9.894423809E0,1.894199406E1,-1.000000000E0
1.581648922E1,4.300329716E1,-7.879908465E1,1.757956824E2,1.410793771E2,1.633075833E0,1.779192407E2,1.308738145E-1,5.967223154E0,1.140463009E1,-1.000000000E0
1.681649935E1,4.300327973E1,-7.879908555E1,1.755917386E2,1.408754645E2,1.736036062E0,1.786692954E2,1.321430060E-1,5.130976047E0,9.730156074E0,-1.000000000E0
1.781615961E1,4.300326831E1,-7.879908552E1,1.755232234E2,1.408069698E2,1.696736336E0,1.776589916E2,1.336697450E-1,7.586007242E0,1.436133517E1,-1.000000000E0
1.881616318E1,4.300325482E1,-7.879908902E1,1.755311328E2,1.408149026E2,1.696736336E0,1.750880353E2,1.351509245E-1,1.050904997E1,1.992091375E1,-1.000000000E0
1.981617033E1,4.300324150E1,-7.879908942E1,1.756163125E2,1.409001062E2,1.686217070E0,1.777414316E2,1.366860525E-1,8.047420111E0,1.571953211E1,-1.000000000E0
2.081667745E1,4.300322786E1,-7.879908659E1,1.756889976E2,1.409728166E2,1.574147940E0,1.762551474E2,1.388245782E-1,5.594336784E0,1.096000417E1,-1.000000000E0
2.181668091E1,4.300320866E1,-7.879908831E1,1.758120752E2,1.410959283E2,1.630965233E0,1.821481765E2,1.408188601E-1,4.579872295E0,8.960478148E0,-1.000000000E0
2.281668508E1,4.300319074E1,-7.879908763E1,1.759100479E2,1.411939335E2,1.710998178E0,1.823721002E2,1.424250957E-1,4.330003697E0,8.089008306E0,-1.000000000E0
2.381668973E1,4.300317629E1,-7.879908723E1,1.760316637E2,1.413155754E2,1.694261074E0,1.789731321E2,1.438200955E-1,5.742696083E0,1.113569042E1,-1.000000000E0
2.481669343E1,4.300316392E1,-7.879909003E1,1.762324931E2,1.415164263E2,1.694261074E0,1.751077883E2,1.456560200E-1,5.126289779E0,1.018272963E1,-1.000000000E0
2.581669736E1,4.300314743E1,-7.879908880E1,1.762908732E2,1.415748364E2,1.626369834E0,1.793365224E2,1.478319427E-1,5.817619314E0,1.163734347E1,-1.000000000E0
2.681670189E1,4.300312794E1,-7.879908636E1,1.763398378E2,1.416238367E2,1.721665502E0,1.789163617E2,1.500163841E-1,5.420735423E0,1.110807098E1,-1.000000000E0
2.781670570E1,4.300310830E1,-7.879908566E1,1.764921742E2,1.417762086E2,1.721665502E0,1.813648323E2,1.520741152E-1,4.628905339E0,9.103693783E0,-1.000000000E0
2.881670964E1,4.300308980E1,-7.879908558E1,1.765253811E2,1.418094489E2,1.731237650E0,1.772195946E2,1.536641165E-1,6.417407549E0,1.273290127E1,-1.000000000E0
