"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.325893402E-2,4.293529832E1,-7.886639457E1,1.866780701E2,1.521133312E2,NaN,NaN,5.527391723E-3,1.136666667E2,5.083606720E0,-1.000000000E0
1.394295692E-2,4.293526140E1,-7.886634911E1,1.866780701E2,1.521134371E2,NaN,NaN,6.258840918E-3,6.000000000E1,6.005682468E0,-1.000000000E0
1.394295692E-2,4.293525707E1,-7.886634234E1,1.866780701E2,1.521134499E2,NaN,NaN,6.806338368E-3,6.000000000E1,4.377078533E0,-1.000000000E0
1.126152992E0,4.293525329E1,-7.886633804E1,1.866780701E2,1.521134607E2,NaN,NaN,7.018467285E-3,6.000000000E1,5.304523468E0,-1.000000000E0
1.403695941E0,4.293525212E1,-7.886633598E1,1.866780701E2,1.521134642E2,NaN,NaN,1.032544921E-1,6.000000000E1,4.641180515E0,-1.000000000E0
2.100611925E0,4.293439115E1,-7.886645640E1,1.870199394E2,1.524574623E2,7.329999924E0,2.661328125E2,1.131628881E-1,4.100179329E1,2.400000000E1,-1.000000000E0
2.945226908E0,4.293438537E1,-7.886657786E1,1.871247368E2,1.525622390E2,7.329999924E0,2.661328125E2,1.519864492E-1,4.429756177E1,2.400000000E1,-1.000000000E0
3.946107864E0,4.293425934E1,-7.886702260E1,1.830670586E2,1.485047485E2,7.329999924E0,2.657812500E2,1.626067982E-1,5.183374368E0,3.000000000E0,-1.000000000E0
5.005450964E0,4.293424216E1,-7.886715093E1,1.832671318E2,1.487048277E2,1.127999973E1,2.657812500E2,1.782863024E-1,4.634190359E0,3.000000000E0,-1.000000000E0
6.006553888E0,4.293424589E1,-7.886734346E1,1.829609184E2,1.483985492E2,1.156000042E1,2.671875000E2,1.924275252E-1,3.650540987E0,3.000000000E0,-1.000000000E0
7.000356913E0,4.293423763E1,-7.886751680E1,1.827488823E2,1.481864835E2,1.398999977E1,2.671875000E2,2.080924341E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.981519222E0,4.293423227E1,-7.886770908E1,1.819977226E2,1.474352816E2,1.435999966E1,2.675390625E2,2.225541164E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.981580257E0,4.293422498E1,-7.886788644E1,1.817819023E2,1.472194282E2,1.435999966E1,2.671875000E2,2.372985109E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.981644392E0,4.293421618E1,-7.886806715E1,1.818318291E2,1.472693247E2,1.457999992E1,2.685937500E2,2.520718085E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.098171639E1,4.293421622E1,-7.886824862E1,1.820145683E2,1.474520112E2,1.510000038E1,2.710546875E2,2.679870564E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.198178792E1,4.293423093E1,-7.886844308E1,1.823467827E2,1.477841323E2,1.627000046E1,2.770312500E2,2.840244712E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.298185122E1,4.293424057E1,-7.886863964E1,1.815958672E2,1.470331355E2,1.627000046E1,2.759765625E2,3.005243640E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.398192143E1,4.293426349E1,-7.886883988E1,1.812743340E2,1.467114867E2,1.627000046E1,2.794921875E2,3.167522033E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.498198521E1,4.293428764E1,-7.886903647E1,1.812743547E2,1.467113898E2,1.627000046E1,2.794920536E2,3.335709792E-1,4.596207923E0,3.563623122E0,-1.000000000E0
1.598203957E1,4.293431857E1,-7.886923870E1,1.809017968E2,1.463386956E2,1.652000046E1,2.812498648E2,3.505968733E-1,4.596208125E0,3.563622862E0,-1.000000000E0
1.698209882E1,4.293436228E1,-7.886943913E1,1.804038731E2,1.458406041E2,1.695000076E1,2.844139255E2,3.673939531E-1,4.596208321E0,3.563622610E0,-1.000000000E0
1.798215199E1,4.293441020E1,-7.886963480E1,1.803054846E2,1.457420386E2,1.703000069E1,2.875779895E2,3.837755593E-1,4.596208513E0,3.563622362E0,-1.000000000E0
1.898219478E1,4.293446116E1,-7.886982361E1,1.800700108E2,1.455063821E2,1.695000076E1,2.900389296E2,3.999954794E-1,4.596208696E0,3.563622125E0,-1.000000000E0
1.998223519E1,4.293451381E1,-7.887000941E1,1.796842679E2,1.451204531E2,1.668000031E1,2.914451829E2,4.160211533E-1,4.596208877E0,3.563621893E0,-1.000000000E0
2.098228455E1,4.293456737E1,-7.887019217E1,1.796982442E2,1.451342421E2,1.640999985E1,2.921483107E2,4.321543788E-1,4.596209052E0,3.563621666E0,-1.000000000E0
2.198232186E1,4.293461316E1,-7.887038022E1,1.796194479E2,1.450552762E2,1.640999985E1,2.907420594E2,4.477200882E-1,4.596209233E0,3.563621434E0,-1.000000000E0
2.298235381E1,4.293465148E1,-7.887056411E1,1.793217180E2,1.447573969E2,1.626000023E1,2.886326839E2,4.645132959E-1,4.596209411E0,3.563621203E0,-1.000000000E0
2.398238373E1,4.293468737E1,-7.887076449E1,1.787538469E2,1.441893776E2,1.626000023E1,2.858201820E2,4.810768580E-1,4.596209607E0,3.563620951E0,-1.000000000E0
