"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.869826794E-1,4.300342587E1,-7.879239505E1,1.816303638E2,1.469155043E2,4.120748608E-2,1.401832785E2,6.070001354E-4,4.694315436E0,3.433356903E0,-1.000000000E0
1.886987567E0,4.300342106E1,-7.879239153E1,1.815907712E2,1.468759212E2,2.482047065E-1,1.401832806E2,1.107193613E-3,4.688023537E0,3.441943107E0,-1.000000000E0
2.886992455E0,4.300341658E1,-7.879239200E1,1.817201363E2,1.470052943E2,2.449288432E-1,1.451445341E2,1.373717382E-3,4.689826507E0,3.439486062E0,-1.000000000E0
3.886997461E0,4.300341426E1,-7.879239116E1,1.813783636E2,1.466635260E2,2.183921817E-1,1.451445339E2,1.887104669E-3,4.695919518E0,3.431162618E0,-1.000000000E0
4.887003899E0,4.300341001E1,-7.879238869E1,1.811958286E2,1.464809993E2,2.836869204E-1,1.451445348E2,2.866605748E-3,4.693185522E0,3.434901263E0,-1.000000000E0
5.887007236E0,4.300340863E1,-7.879237680E1,1.804926411E2,1.457778172E2,7.285148492E-1,1.025521715E2,4.105163540E-3,4.696090301E0,3.430928871E0,-1.000000000E0
6.887012005E0,4.300340851E1,-7.879236157E1,1.802161749E2,1.455013551E2,1.130085595E0,8.968933418E1,5.687521784E-3,4.692020341E0,3.436492711E0,-1.000000000E0
7.887015939E0,4.300340798E1,-7.879234212E1,1.801979793E2,1.454831654E2,1.349043970E0,9.049426981E1,6.839799604E-3,4.693157158E0,3.434940017E0,-1.000000000E0
8.887021065E0,4.300340774E1,-7.879232795E1,1.800491624E2,1.453343524E2,1.242949339E0,9.098425129E1,8.008201882E-3,4.693294941E0,3.434751756E0,-1.000000000E0
9.887026787E0,4.300340854E1,-7.879231363E1,1.800207814E2,1.453059735E2,1.253822436E0,8.922012427E1,9.594850572E-3,4.693964237E0,3.433837034E0,-1.000000000E0
1.088703096E1,4.300340226E1,-7.879229610E1,1.799499170E2,1.452351249E2,1.431074959E0,9.134427331E1,1.074356651E-2,4.697408656E0,3.429123642E0,-1.000000000E0
