"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.807499962E-3,-5.366738065E-2,3.727070075E-3,1.549453676E-2,5.598356425E-2
1.776550000E-2,-6.484452066E-2,1.717948504E-3,2.432207823E-2,6.927717298E-2
2.772350004E-2,-6.793063084E-2,2.183498332E-2,2.671592832E-2,7.619106200E-2
3.768149996E-2,-8.051932069E-2,-3.494853387E-3,3.045756161E-2,8.615821530E-2
4.763950000E-2,-8.623331118E-2,6.184216272E-3,1.714988351E-3,8.647178542E-2
5.759850005E-2,-7.447444174E-2,4.730762914E-3,-2.508104682E-2,7.872662510E-2
6.755649997E-2,-1.250013925E-1,1.421947829E-2,3.225265682E-2,1.298760007E-1
7.751450001E-2,-8.200687062E-2,-1.345511930E-2,3.839164853E-2,9.154280824E-2
8.747250005E-2,-8.800034889E-2,1.424529741E-2,-1.575824618E-3,8.915981789E-2
9.743049997E-2,-8.363446137E-2,9.455349706E-3,3.494705379E-2,9.113409535E-2
1.073895000E-1,-7.960659773E-2,9.058881076E-3,1.264226496E-2,8.111165509E-2
1.173474999E-1,-8.280658700E-2,-7.497510044E-3,1.728261530E-2,8.492250761E-2
1.273055000E-1,-8.423291476E-2,-8.921023831E-3,3.180242121E-2,9.047741480E-2
1.372635000E-1,-8.936244864E-2,-8.879654780E-3,3.614456356E-2,9.680353801E-2
1.472224999E-1,-6.885865705E-2,-1.532044505E-2,3.120483577E-2,7.713606461E-2
1.571805000E-1,-6.921349625E-2,-3.405720807E-2,7.852810621E-3,7.753752716E-2
1.671385000E-1,-6.895859419E-2,-3.467389746E-2,9.949037433E-3,7.782384097E-2
1.770964999E-1,-7.594468757E-2,-1.341597950E-3,-1.385146916E-2,7.720918762E-2
1.870545000E-1,-6.745866917E-2,-2.015547113E-2,-3.800690174E-4,7.040638831E-2
1.970135000E-1,-5.823489661E-2,-2.469274602E-2,5.606310368E-3,6.350169766E-2
2.069715000E-1,-7.724042142E-2,-1.850418088E-2,-5.621513128E-3,7.962467470E-2
2.169295000E-1,-8.388949133E-2,-5.271475045E-3,-2.298598945E-2,8.714121250E-2
2.268875000E-1,-6.367414107E-2,-2.110927077E-3,-6.072918177E-3,6.399791082E-2
2.368455000E-1,-7.520568173E-2,-6.138023268E-3,-6.374634504E-3,7.572453935E-2
2.468045000E-1,-8.141530599E-2,3.124660682E-3,1.712357104E-2,8.325522349E-2
2.567625000E-1,-6.230010021E-2,-5.614560423E-3,3.269002855E-2,7.057948527E-2
2.667205000E-1,-6.167194479E-2,1.269458841E-2,1.996707201E-2,6.605501733E-2
2.766785000E-1,-5.263317722E-2,1.556939939E-3,2.565407395E-2,5.857309038E-2
2.866375000E-1,-5.780032058E-2,1.875789522E-2,2.176041305E-2,6.454650470E-2
2.965955000E-1,-5.522970186E-2,2.292017173E-3,7.838777304E-3,5.583027619E-2
3.065535000E-1,-5.112323885E-2,1.137027629E-3,1.247971237E-2,5.263669445E-2
3.165115000E-1,-5.957584589E-2,1.659517461E-2,4.316648483E-2,7.541900719E-2
3.264695000E-1,-6.918387188E-2,-5.929761892E-3,1.502325118E-2,7.104412910E-2
3.364285000E-1,-4.636150396E-2,-1.916200178E-2,1.547114789E-2,5.249693114E-2
3.463864999E-1,-7.590964539E-2,-5.039651217E-3,2.535001874E-2,8.018912518E-2
3.563445000E-1,-7.376543943E-2,-8.167783683E-3,4.093635678E-3,7.432906967E-2
3.663025000E-1,-9.139779132E-2,-1.274917765E-2,-1.925780475E-2,9.427067854E-2
3.762604999E-1,-6.628622477E-2,-1.820312236E-2,2.864317060E-2,7.446911091E-2
3.862195000E-1,-8.137926338E-2,-1.837176885E-2,9.780637622E-3,8.399861470E-2
3.961775000E-1,-7.124460426E-2,-8.564197496E-3,-3.988970518E-3,7.186828926E-2
4.061354999E-1,-8.126588222E-2,-2.174762227E-2,2.445130169E-2,8.760689951E-2
4.160935000E-1,-9.499198342E-2,-1.867182238E-2,-1.506593585E-2,9.797497786E-2
4.260515000E-1,-8.829008756E-2,-5.448599998E-3,-3.539319634E-3,8.852882913E-2
4.360105000E-1,-7.599920828E-2,-1.268487655E-2,-2.075352252E-2,7.979658169E-2
4.459685000E-1,-7.016751059E-2,-1.974884296E-2,6.489239931E-3,7.318200992E-2
4.559265000E-1,-7.267836895E-2,-2.927860762E-2,1.008118451E-2,7.900007885E-2
4.658845000E-1,-7.053103382E-2,-1.731090121E-2,-5.637885332E-3,7.284284305E-2
