"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.251458359E-3,-1.620184885E-2,-3.305103930E-2,2.445890307E-2,4.419399331E-2
1.720845827E-2,-2.701596357E-3,-2.187938562E-2,2.895190358E-2,3.638981807E-2
2.716645831E-2,1.760521716E-2,-2.326743239E-2,2.655980766E-2,3.945555048E-2
3.712445835E-2,-5.039568990E-4,-1.932851952E-2,2.102366388E-2,2.856291445E-2
4.708245827E-2,3.799063917E-3,-3.181108240E-2,-1.420288682E-3,3.206859944E-2
5.704045831E-2,-1.937178891E-2,-3.350539536E-2,1.055071592E-2,4.011477696E-2
6.699845835E-2,-8.120339010E-3,-1.867934153E-2,2.536814511E-2,3.253306767E-2
7.695545827E-2,-1.407249391E-2,-1.096474447E-2,3.360570252E-2,3.804739082E-2
8.691345830E-2,-1.704828814E-4,-2.172366695E-2,2.537633121E-2,3.340516361E-2
9.687145834E-2,2.739292625E-3,-2.158922668E-2,1.115064025E-2,2.445271377E-2
1.068294583E-1,-2.779528778E-3,-1.212321494E-2,9.050320387E-3,1.538201611E-2
1.167874583E-1,-2.718096469E-3,-1.582497753E-2,6.490409374E-5,1.605684199E-2
1.267454583E-1,-2.060355971E-2,-9.844582407E-3,-8.361518383E-4,2.284998086E-2
1.367024583E-1,1.505347397E-2,-4.836369110E-3,9.939681888E-3,1.867604939E-2
1.466604583E-1,8.924020529E-3,5.757552255E-3,2.760353565E-2,2.957604995E-2
1.566184583E-1,8.731409591E-3,5.204862468E-3,2.131953299E-2,2.361886097E-2
1.665764583E-1,-1.559644276E-2,2.488483619E-3,6.801481247E-3,1.719597990E-2
1.765344583E-1,-2.219383791E-3,-1.211610692E-2,-4.274899364E-3,1.303842306E-2
1.864924583E-1,1.233864829E-2,5.833191471E-3,-2.074007392E-2,2.482778747E-2
1.964504583E-1,-8.513893168E-3,-1.428709586E-2,8.162713051E-4,1.665153999E-2
2.064074583E-1,-4.141164405E-2,-1.725764587E-2,-1.893913150E-2,4.869744661E-2
2.163654583E-1,-4.460738495E-2,-1.269074203E-2,-1.160672307E-2,4.780784189E-2
2.263234582E-1,-9.771446530E-3,-6.297423849E-3,4.706423879E-3,1.254149673E-2
2.362814583E-1,-1.169264060E-2,-1.166402578E-2,2.865194142E-2,3.307115191E-2
2.462394583E-1,-2.618112735E-2,-2.652769365E-2,1.189089775E-2,3.912241569E-2
2.561974584E-1,-2.781187925E-2,-2.825377344E-2,4.106499553E-3,3.985774304E-2
2.661544583E-1,1.689827051E-3,-2.104126948E-2,4.153043389E-2,4.658720292E-2
2.761124583E-1,-8.556449935E-3,-2.131102712E-2,3.135277033E-2,3.886346510E-2
2.860704584E-1,-2.022149898E-2,-2.914730108E-2,9.054413438E-3,3.661224637E-2
2.960284583E-1,6.061059292E-3,-2.022928309E-2,1.235107362E-2,2.446445081E-2
3.059872083E-1,2.034630049E-2,-1.046946703E-2,5.613327026E-3,2.356037190E-2
3.159452083E-1,1.614785347E-2,-1.278908489E-2,1.568807960E-3,2.065853389E-2
3.259032083E-1,4.529161882E-3,-1.460365864E-2,6.810252070E-3,1.673797139E-2
3.358602083E-1,1.179359643E-2,-2.081310930E-2,1.938761294E-2,3.079210890E-2
3.458182083E-1,1.445007786E-2,-3.248466337E-3,1.609153748E-2,2.186995341E-2
3.557762083E-1,-8.721743412E-3,-1.239710217E-3,5.910950303E-3,1.060872391E-2
3.657342083E-1,-1.316215552E-2,-1.133141971E-2,-1.724928617E-3,1.745333176E-2
3.756922083E-1,8.214753270E-3,-1.387613710E-2,3.075693905E-2,3.472777926E-2
3.856502083E-1,5.050331522E-3,-1.174340174E-3,1.742938042E-2,1.818428511E-2
3.956072083E-1,-1.996935608E-2,-9.541641818E-3,1.622953176E-2,2.744477750E-2
4.055652083E-1,-6.381651163E-3,-1.284085102E-2,2.371338308E-2,2.771168460E-2
4.155232083E-1,4.163765721E-4,-5.664197803E-3,-1.012094557E-2,1.160560406E-2
4.254812083E-1,1.371409614E-3,-3.803440193E-3,3.208893478E-2,3.234264456E-2
4.354392083E-1,-1.383372651E-2,7.502635494E-3,1.667333543E-2,2.292731216E-2
4.453972083E-1,-2.027845452E-2,3.473593276E-3,6.347152591E-3,2.153062734E-2
4.553552083E-1,1.062694900E-3,5.456639919E-3,1.255981922E-3,5.699274537E-3
4.653122083E-1,1.551266313E-3,-9.331973456E-3,1.038757861E-2,1.404969555E-2
4.752702083E-1,-1.751263015E-2,-6.668895632E-3,-1.580268502E-2,2.451308299E-2
4.852282084E-1,-2.905596575E-2,-1.359522407E-2,-1.879821360E-2,3.718134072E-2
4.951862083E-1,-3.588874787E-2,-1.296451050E-2,-1.939638376E-2,4.280537886E-2
5.051442083E-1,-1.719733732E-2,-3.270868482E-3,6.601506472E-4,1.751807039E-2
5.151022084E-1,1.874233615E-3,-2.442930155E-2,4.553811550E-3,2.492068870E-2
5.250592083E-1,-6.138004996E-3,-2.332595022E-2,-1.011275947E-2,2.615421502E-2
5.350172083E-1,-5.267701764E-3,-1.752066093E-2,-1.295742989E-2,2.241912645E-2
5.449752084E-1,-7.487195190E-3,-2.770404381E-2,-4.424588084E-3,2.903703006E-2
5.549332083E-1,-2.862577513E-3,-2.425755786E-2,6.056545973E-3,2.516555607E-2
5.648912083E-1,-6.972439215E-3,-2.811095520E-2,2.132888854E-2,3.596890597E-2
5.748492084E-1,1.670531239E-2,-1.704561121E-2,9.210534096E-3,2.558230369E-2
5.848072083E-1,1.653592587E-3,-2.026997605E-2,2.448112249E-2,3.182658725E-2
5.947642083E-1,-3.735128269E-3,-3.550168047E-2,3.031898260E-2,4.683546952E-2
6.047222083E-1,-1.193851601E-2,-1.247906369E-2,2.762517035E-2,3.257921472E-2
6.146802083E-1,1.588323042E-2,-8.436253108E-3,2.822334051E-2,3.346646567E-2
6.246382083E-1,-2.408650853E-3,-9.712170381E-3,3.720349431E-2,3.852567769E-2
6.345962083E-1,-2.942066755E-2,-1.608675007E-2,2.552894354E-2,4.214363730E-2
6.445542083E-1,-2.489618344E-2,-1.366128847E-2,-1.279487729E-2,3.114738573E-2
6.545122083E-1,-1.434575988E-2,-6.153966067E-3,-2.013313293E-2,2.547577608E-2
6.644692083E-1,-2.705161331E-2,-8.614209462E-3,-2.470448613E-3,2.849732450E-2
6.744272083E-1,-3.154510718E-2,-2.861430910E-2,2.465186119E-3,4.266086749E-2
6.843852083E-1,-3.178129815E-2,-6.335385069E-3,1.623947203E-2,3.624787535E-2
6.943432083E-1,-8.231966011E-4,1.023582509E-2,3.120483577E-2,3.285105087E-2
7.043012083E-1,8.539547827E-3,1.676387591E-2,2.566401422E-2,3.182126708E-2
7.142592083E-1,-2.685955055E-3,-5.873254035E-4,1.578572810E-2,1.602337409E-2
7.242172083E-1,-1.120289974E-2,-5.673379758E-3,7.401990294E-3,1.457675069E-2
7.341742082E-1,-3.933568150E-3,2.553606983E-3,2.132479548E-2,2.183439419E-2
7.441322083E-1,-6.140124612E-4,4.155661846E-3,2.327601135E-2,2.365204517E-2
7.540902083E-1,3.516095225E-3,1.966299852E-3,3.817062378E-3,5.549705031E-3
7.640482082E-1,-1.735837329E-3,-1.491516905E-2,1.459991276E-2,2.094356349E-2
7.740062083E-1,9.433696736E-3,-2.876408919E-2,1.728436947E-3,3.032086666E-2
7.839642083E-1,1.790232880E-2,-1.393872972E-2,7.862750888E-3,2.401258866E-2
7.939212084E-1,6.949726436E-3,-1.028552642E-2,3.166384220E-2,3.401014046E-2
8.038792083E-1,5.772992559E-3,-2.622366585E-2,2.642590642E-2,3.767408425E-2
8.138372083E-1,9.095819034E-3,-1.774068983E-2,3.451202095E-2,3.985656269E-2
8.237952084E-1,2.065781090E-2,-2.375166407E-2,2.134233713E-2,3.803132987E-2
8.337532083E-1,5.172794145E-3,-2.686741688E-2,1.206163645E-2,2.990148764E-2
8.437112083E-1,-1.543255627E-2,3.998618424E-3,5.173616409E-3,1.676063988E-2
8.536692084E-1,-6.166071631E-3,-1.489366226E-2,-5.192327499E-4,1.612796384E-2
8.636262083E-1,-1.756658899E-2,-1.290538967E-2,2.686795592E-2,3.459799397E-2
8.735842083E-1,-2.625763452E-2,-1.755635636E-2,6.508535743E-3,3.224980708E-2
8.835422084E-1,-1.357231943E-2,-1.045210811E-2,1.099744320E-2,2.035677223E-2
8.935002083E-1,-1.068395935E-4,-1.859627453E-2,4.112346768E-3,1.904584566E-2
9.034582083E-1,-2.248612560E-2,5.836827708E-3,-6.794464588E-4,2.324125749E-2
9.134162084E-1,-8.258442935E-3,7.153465357E-3,7.706630230E-3,1.337034389E-2
9.233742083E-1,1.241787806E-2,1.165715531E-3,4.867807031E-3,1.338873159E-2
9.333312083E-1,-1.238140605E-2,-3.358494490E-5,3.812384605E-4,1.238731959E-2
9.432892083E-1,-3.372409036E-2,-1.076103296E-2,6.075841784E-3,3.591698699E-2
9.532472083E-1,-1.134133257E-2,-6.499509104E-3,1.356729448E-2,1.883987586E-2
9.632052083E-1,1.295425046E-2,1.586461069E-2,1.057352006E-2,2.304989813E-2
9.731632083E-1,-1.256840732E-3,1.157220623E-2,2.075352252E-2,2.379504785E-2
9.831212083E-1,-3.751341501E-2,-9.023359241E-3,8.035243750E-3,3.941119714E-2
9.930792083E-1,-2.408047859E-2,1.600611331E-3,1.088342249E-2,2.647414382E-2
1.003036208E0,-8.616895527E-3,2.753321375E-2,8.338129520E-3,3.003086998E-2
1.012994208E0,-1.905260403E-3,3.139680717E-3,3.851560950E-3,5.321854372E-3
1.022952208E0,-1.229484899E-2,7.555598477E-3,1.029402316E-2,1.772617536E-2
1.032910208E0,-1.927951254E-2,-4.522784762E-3,1.718145847E-2,2.621750753E-2
1.042868208E0,-1.911929883E-2,-1.191937552E-2,1.703176975E-2,2.824358832E-2
1.052826208E0,8.533444796E-3,-9.761789488E-3,7.453445792E-3,1.495546951E-2
1.062784208E0,-5.194903929E-3,-2.802248865E-2,1.323224902E-3,2.853064705E-2
1.072741208E0,-3.495520335E-3,-2.849313470E-2,1.300186872E-2,3.151390134E-2
1.082699208E0,2.991070077E-3,-2.951370223E-2,1.764631212E-2,3.451662572E-2
1.092657208E0,1.192044446E-2,-3.445410610E-2,7.616583109E-3,3.724506359E-2
1.102615208E0,-1.355457678E-2,-3.823840580E-2,1.778723001E-3,4.060869470E-2
1.112573208E0,-2.232540026E-3,-2.006494892E-2,8.665573597E-3,2.196994711E-2
1.122531208E0,1.126453305E-2,-1.064869333E-2,1.914436877E-2,2.463313277E-2
1.132488208E0,1.257334091E-2,-2.186532489E-2,2.258311629E-2,3.385525773E-2
