"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.299751420E1,-7.879146490E1,1.801021043E2,1.454000092E2,NaN,NaN,1.235143772E-1,7.759999847E1,9.174211502E0,0.000000000E0
7.439486980E-1,4.299861912E1,-7.879130895E1,1.828881076E2,1.481832275E2,0.000000000E0,NaN,1.246174517E-1,3.790092468E0,3.746290922E0,2.600000000E1
1.556044167E0,4.299861103E1,-7.879130110E1,1.842828603E2,1.495780029E2,0.000000000E0,NaN,1.248890061E-1,3.790092468E0,2.500000000E0,2.600000000E1
2.556123801E0,4.299860859E1,-7.879130124E1,1.849710255E2,1.502661743E2,0.000000000E0,NaN,1.270663394E-1,3.790092468E0,2.500000000E0,3.300000000E1
3.556075154E0,4.299858901E1,-7.879130094E1,1.847488684E2,1.500440674E2,2.150000095E0,1.801000061E2,1.287135882E-1,3.790092468E0,2.500000000E0,3.300000000E1
4.556025989E0,4.299857495E1,-7.879129456E1,1.840225125E2,1.493177490E2,1.350000024E0,1.796000061E2,1.301673183E-1,3.790092468E0,2.500000000E0,3.300000000E1
5.556012393E0,4.299856204E1,-7.879129738E1,1.837707102E2,1.490659790E2,1.429999948E0,1.781000061E2,1.315970784E-1,3.790092468E0,2.500000000E0,2.800000000E1
6.555906456E0,4.299854924E1,-7.879129571E1,1.836926741E2,1.489879761E2,1.409999967E0,1.796999969E2,1.330096787E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.556383435E0,4.299853655E1,-7.879129490E1,1.836432641E2,1.489385986E2,1.419999957E0,1.756000061E2,1.343868253E-1,3.790092468E0,2.500000000E0,2.800000000E1
8.556357862E0,4.299852417E1,-7.879129442E1,1.835928783E2,1.488882446E2,1.370000005E0,1.773999939E2,1.358023404E-1,3.790092468E0,2.500000000E0,2.800000000E1
9.556774216E0,4.299851144E1,-7.879129446E1,1.835224722E2,1.488178711E2,1.409999967E0,1.810000000E2,1.371663238E-1,3.790092468E0,2.500000000E0,3.300000000E1
1.055576932E1,4.299849918E1,-7.879129501E1,1.834753219E2,1.487707520E2,1.350000024E0,1.806999969E2,1.385750745E-1,3.790092468E0,2.500000000E0,3.300000000E1
1.155663364E1,4.299848652E1,-7.879129567E1,1.835430387E2,1.488385010E2,1.399999976E0,1.796000061E2,1.400296351E-1,3.790092468E0,2.500000000E0,3.300000000E1
1.255677927E1,4.299847344E1,-7.879129591E1,1.835463012E2,1.488417969E2,1.470000029E0,1.808000031E2,1.414707271E-1,3.790092468E0,2.500000000E0,3.300000000E1
