"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.758544000E-3,-9.198188782E-3,3.114783764E-2,-4.308032990E-2,5.395098971E-2
1.475854400E-2,4.610466957E-2,8.706223965E-2,-1.469707489E-1,1.769346635E-1
1.975854400E-2,6.304526329E-2,1.179805994E-1,-1.407680511E-1,1.941900391E-1
2.475854400E-2,7.791852951E-2,4.917681217E-2,-8.836174011E-2,1.276614790E-1
2.975854400E-2,6.113338470E-2,-7.808130980E-2,3.886604309E-2,1.065108021E-1
3.475854400E-2,-2.026319504E-2,-1.175951958E-1,1.844186783E-1,2.196576337E-1
3.975854400E-2,-1.561760902E-1,-1.163066626E-1,2.827596664E-1,3.433238120E-1
4.475854400E-2,-3.209993839E-1,-7.341170311E-2,3.430366516E-1,4.755039716E-1
4.975854400E-2,-4.268394709E-1,4.783391953E-2,4.742746353E-1,6.398565835E-1
5.475854400E-2,-4.219099283E-1,1.857653260E-1,7.035598755E-1,8.411380638E-1
5.975854400E-2,-3.657644987E-1,2.177805901E-1,7.288694382E-1,8.440750629E-1
6.475854400E-2,-3.604438305E-1,2.688350677E-1,5.800771713E-1,7.339492989E-1
6.975854400E-2,-5.208262205E-1,2.312099934E-1,5.237855911E-1,7.739957096E-1
7.475854400E-2,-6.814683676E-1,3.232836723E-2,3.836240768E-1,7.826951461E-1
7.975854400E-2,-5.314080715E-1,-1.007393599E-1,1.614542007E-1,5.644558584E-1
8.475854400E-2,-1.780077219E-1,-1.209902167E-1,3.779411316E-2,2.185263750E-1
8.975854400E-2,7.952964306E-2,-8.305770159E-2,3.551387787E-2,1.203527376E-1
9.475854400E-2,2.293363810E-1,4.298520088E-2,-9.456729889E-2,2.517655202E-1
9.975854400E-2,2.879689932E-1,1.477004290E-1,-1.790494919E-1,3.698652164E-1
1.047585440E-1,2.911717892E-1,2.779393196E-1,-4.805183411E-2,4.053890168E-1
1.097585440E-1,1.275843382E-1,1.408352852E-1,7.308940887E-1,7.551943524E-1
1.147585440E-1,-8.036446571E-2,5.008327961E-2,1.076483727E0,1.080640549E0
1.197585440E-1,-1.001094580E-1,-4.634606838E-2,3.818168640E-1,3.974342452E-1
1.247585440E-1,-1.462880373E-1,-5.431270599E-2,2.935123444E-2,1.587814689E-1
1.297585440E-1,-2.756894827E-1,1.030579805E-1,1.392688751E-1,3.256093638E-1
1.347585440E-1,-4.155149460E-1,1.358647346E-1,-1.282768250E-1,4.555950398E-1
1.397585440E-1,-4.114927053E-1,5.215167999E-2,-7.398042679E-1,8.481488071E-1
1.447585440E-1,-3.465069532E-1,9.426617622E-2,-7.103099823E-1,7.959230186E-1
1.497585440E-1,-1.700836420E-1,7.118582726E-2,-8.793630600E-1,8.984849796E-1
1.547585440E-1,1.092791557E-3,4.345452785E-2,-8.738937378E-1,8.749741454E-1
1.597585440E-1,1.916952133E-1,1.400768757E-2,-9.823436737E-1,1.000970711E0
1.647585440E-1,4.205542803E-1,4.299116135E-2,-9.323883057E-1,1.023749039E0
1.697585440E-1,5.544441938E-1,7.531845570E-2,-6.386547089E-1,8.490942651E-1
1.747585440E-1,5.847860575E-1,4.813838005E-2,-2.916679382E-1,6.552573715E-1
1.797585440E-1,5.395879745E-1,-3.824782372E-2,-9.670543671E-2,5.495179886E-1
1.847585440E-1,4.050135612E-1,-6.221866608E-2,8.796405792E-2,4.191000151E-1
1.897585440E-1,2.387905121E-1,-2.361321449E-1,1.324892044E-1,3.610161877E-1
1.947585440E-1,1.177525520E-1,-3.856948614E-1,-9.916305542E-3,4.033912775E-1
1.997585440E-1,1.025481224E-1,-4.434627891E-1,-2.348070145E-1,5.121617877E-1
2.047585440E-1,1.341425180E-1,-4.478643537E-1,-5.611076355E-1,7.303550322E-1
2.097585440E-1,2.807545662E-2,-3.388650417E-1,-4.202995300E-1,5.406194990E-1
2.147585440E-1,9.428727627E-2,-7.947421074E-2,-1.140747070E-1,1.679859501E-1
2.197585440E-1,3.166097403E-1,-1.979537010E-1,-9.494428635E-1,1.020229948E0
2.247585440E-1,5.469989777E-1,-1.640346050E-1,-1.128464699E0,1.264732307E0
2.297585440E-1,6.885713339E-1,-7.106411457E-2,-9.809722900E-1,1.200619517E0
2.347585440E-1,7.620346546E-1,3.653013706E-2,-6.511220932E-1,1.002991150E0
2.397585440E-1,7.625027895E-1,2.267725468E-1,-1.064205170E-2,7.955812625E-1
2.447585440E-1,7.593221664E-1,2.564419508E-1,5.891990662E-2,8.036194261E-1
2.497585440E-1,7.447665930E-1,1.591612101E-1,-1.650600433E-1,7.792652865E-1
2.547585440E-1,5.778802633E-1,8.174586296E-2,-1.927642822E-1,6.146430292E-1
2.597585440E-1,2.702554464E-1,-6.148099899E-3,-4.161901474E-1,4.962761774E-1
2.647585440E-1,5.854368210E-4,3.497207165E-1,-9.264888763E-1,9.902961982E-1
2.697585440E-1,-2.801353931E-1,3.172000647E-1,-8.567800522E-1,9.555960325E-1
2.747585440E-1,-4.487414360E-1,3.328988552E-1,-5.642662048E-1,7.940950032E-1
2.797585440E-1,-5.130171776E-1,3.924129009E-1,-1.165475845E-1,6.563214523E-1
2.847585440E-1,-3.030879498E-1,1.426255703E-1,1.183776855E-1,3.552712133E-1
2.897585440E-1,-1.490910053E-1,-8.738613129E-2,1.944465637E-1,2.601421341E-1
2.947585440E-1,2.158713341E-2,-3.102539778E-1,2.898521423E-1,4.251326845E-1
2.997585440E-1,7.972621918E-2,-6.024123430E-1,2.965869904E-1,6.761809994E-1
3.047585440E-1,-9.017074108E-2,-7.191230059E-1,1.846923828E-1,7.479170652E-1
3.097585440E-1,-2.921842337E-1,-7.186455727E-1,5.483913422E-2,7.777084390E-1
3.147585440E-1,-4.843755960E-1,-6.366518736E-1,-3.295421600E-2,8.006443071E-1
3.197585440E-1,-6.365576982E-1,-5.141255856E-1,-2.026958466E-1,8.429806802E-1
3.247585440E-1,-7.300431132E-1,-2.754561901E-1,-2.465705872E-1,8.183129684E-1
3.297585440E-1,-7.559412718E-1,-1.294749975E-1,-3.782672882E-1,8.551591213E-1
3.347585440E-1,-8.300418258E-1,-1.193231344E-1,-3.457651138E-1,9.070617161E-1
3.397585440E-1,-8.973550797E-1,-6.715261936E-2,-8.029365540E-2,9.034393640E-1
3.447585440E-1,-8.614165783E-1,6.818771362E-4,7.422065735E-2,8.646084040E-1
3.497585440E-1,-8.791713715E-1,2.423998117E-1,-1.472797394E-1,9.237918005E-1
3.547585440E-1,-7.503548861E-1,4.892514944E-1,-3.372383118E-1,9.571463622E-1
3.597585440E-1,-5.402833223E-1,6.391285658E-1,-2.935657501E-1,8.868890808E-1
3.647585440E-1,-1.437633634E-1,5.866708755E-1,-2.148351669E-1,6.410965370E-1
3.697585440E-1,2.527425289E-1,6.674495935E-1,-2.989768982E-2,7.143259884E-1
3.747585440E-1,5.226607323E-1,8.097918034E-1,2.276439667E-1,9.903326620E-1
3.797585440E-1,7.670181394E-1,1.087424755E0,3.743352890E-1,1.382366208E0
3.847585440E-1,1.011203051E0,1.305087090E0,5.726118088E-1,1.747474808E0
3.897585440E-1,1.148188353E0,1.418714643E0,7.661466599E-1,1.979411133E0
3.947585440E-1,1.203875661E0,1.578395724E0,9.860591888E-1,2.216520335E0
3.997585440E-1,1.207682848E0,1.771775126E0,9.791345596E-1,2.357199492E0
4.047585440E-1,1.168080449E0,1.996022105E0,1.070544243E0,2.548446812E0
4.097585440E-1,1.219492197E0,1.759605050E0,8.334102631E-1,2.297377596E0
4.147585440E-1,1.236656189E0,1.442202926E0,6.986579895E-1,2.024201273E0
4.197585440E-1,1.186839700E0,1.021165013E0,4.970741272E-1,1.642695695E0
4.247585440E-1,1.231775641E0,4.100774527E-1,9.113159180E-1,1.586168796E0
4.297585440E-1,1.770274043E0,-6.820178032E-2,4.155063629E-1,1.819661289E0
4.347585440E-1,1.053369522E0,4.709877968E-1,-4.316386700E0,4.467953782E0
4.397585440E-1,-4.099605083E-1,-2.246836424E-1,-4.300261974E0,4.325598618E0
4.447585440E-1,-1.253272533E0,-1.413670421E0,-4.213794231E0,4.617923551E0
4.497585440E-1,-1.328722835E0,-2.755706549E0,-4.066017628E0,5.088410587E0
4.547585440E-1,-1.650975585E0,-3.257623434E0,-2.227440357E0,4.277770607E0
4.597585440E-1,-1.566468954E0,-3.637257099E0,-1.335433960E0,4.179335838E0
4.647585440E-1,-1.232802868E0,-3.756693840E0,-1.320322990E0,4.168429479E0
4.697585440E-1,-9.577875137E-1,-3.716383934E0,-9.979619980E-1,3.965450115E0
4.747585440E-1,-8.306945562E-1,-3.681026459E0,-3.798646927E-1,3.792664818E0
4.797585440E-1,-8.573223352E-1,-3.690223694E0,7.188510895E-2,3.789184604E0
4.847585440E-1,-1.079150438E0,-3.532965183E0,4.618644714E-1,3.722865488E0
4.897585440E-1,-1.388758898E0,-3.200589180E0,7.723178864E-1,3.573359385E0
4.947585440E-1,-1.260488749E0,-2.403596401E0,8.228712082E-1,2.836057928E0
4.997585440E-1,-6.228808165E-1,-1.218134046E0,7.706384659E-1,1.570259440E0
5.047585440E-1,-5.042976141E-2,-3.002202511E-2,7.514333725E-1,7.537218294E-1
5.097585440E-1,2.180973291E-1,8.961678743E-1,6.872501373E-1,1.150215656E0
5.147585440E-1,6.879401207E-2,1.488102436E0,6.696853638E-1,1.633297267E0
5.197585440E-1,-1.886039972E-1,1.833499551E0,8.231592178E-1,2.018633986E0
5.247585440E-1,-5.368714333E-1,2.011460781E0,9.213066101E-1,2.276622779E0
5.297585440E-1,-6.847054362E-1,2.189745903E0,7.209949493E-1,2.404920450E0
5.347585440E-1,-7.938512564E-1,2.341168880E0,7.256917953E-1,2.576412259E0
5.397585440E-1,-7.816153169E-1,2.427577496E0,6.477813721E-1,2.631287842E0
5.447585440E-1,-7.378824949E-1,2.223223209E0,3.399229050E-1,2.367010688E0
5.497585440E-1,-5.561149716E-1,1.922639251E0,4.621601105E-2,2.001984383E0
5.547585440E-1,-3.220839500E-1,1.593003035E0,-2.495899200E-1,1.644290688E0
5.597585440E-1,-1.628615260E-1,1.095295906E0,-4.874734879E-1,1.209887350E0
5.647585440E-1,-4.826581478E-2,6.113988161E-1,-5.991582870E-1,8.573964976E-1
5.697585440E-1,-1.268900037E-1,8.381617069E-2,-4.077281952E-1,4.351649166E-1
5.747585440E-1,-2.910014391E-1,-3.798749447E-1,-2.030649185E-1,5.198289837E-1
5.797585440E-1,-4.338006377E-1,-7.551758289E-1,5.560970306E-2,8.726774690E-1
5.847585440E-1,-5.701203346E-1,-1.071217775E0,1.891489029E-1,1.228137625E0
5.897585440E-1,-6.749313474E-1,-1.372913957E0,3.127832413E-1,1.561492367E0
5.947585440E-1,-8.876065016E-1,-1.670803905E0,2.438163757E-1,1.907584183E0
5.997585440E-1,-9.010698199E-1,-1.381160021E0,2.576160431E-1,1.669100311E0
6.047585440E-1,-7.244754434E-1,-7.005105615E-1,5.497598648E-1,1.147961508E0
6.097585440E-1,-4.963633418E-1,8.879876137E-2,8.369779587E-1,9.771355538E-1
6.147585440E-1,-2.951409817E-1,6.404262781E-1,9.548215866E-1,1.186987059E0
6.197585440E-1,-1.840056777E-1,8.021290302E-1,9.267024994E-1,1.239373468E0
6.247585440E-1,-9.111928940E-2,5.880666971E-1,2.984828949E-1,6.657455998E-1
6.297585440E-1,-2.412647009E-1,3.057092428E-1,6.544780731E-1,7.615827895E-1
6.347585440E-1,-2.475597262E-1,6.377863884E-2,1.686618805E0,1.705882917E0
6.397585440E-1,-3.210717440E-2,1.319909096E-2,1.458283424E0,1.458696553E0
6.447585440E-1,2.278368473E-1,8.864641190E-3,4.458618164E-1,5.007803612E-1
6.497585440E-1,3.020227849E-1,-3.049063683E-2,6.980991364E-2,3.114817260E-1
6.547585440E-1,2.236011028E-1,-3.144621849E-2,5.087881088E-1,5.566432049E-1
6.597585440E-1,9.433329105E-2,1.765203476E-2,8.259754181E-1,8.315321734E-1
6.647585440E-1,-3.142642975E-2,-8.220338821E-2,5.527257919E-1,5.596881440E-1
6.697585440E-1,-4.374448061E-1,-3.021396399E-1,5.656814575E-2,5.346459347E-1
6.747585440E-1,-5.969477892E-1,-3.979330063E-1,1.603013039E0,1.756231233E0
6.797585440E-1,-3.399548531E-1,-4.312131405E-1,2.097840309E0,2.168512863E0
6.847585440E-1,-8.765256405E-2,-2.314833403E-1,2.007751465E-1,3.187133010E-1
6.897585440E-1,1.244742870E-1,1.000344753E-1,-7.049779892E-1,7.228379553E-1
6.947585440E-1,4.037567377E-1,2.512279749E-1,-6.067705154E-1,7.709120942E-1
6.997585440E-1,6.658295989E-1,1.294387579E-1,-5.916671753E-1,9.000852699E-1
7.047585440E-1,5.749551058E-1,-1.362798214E-1,-8.560476303E-1,1.040174557E0
7.097585440E-1,3.825860023E-1,-2.157877684E-1,-1.024754524E0,1.114925220E0
7.147585440E-1,3.015836179E-1,-1.100690365E-1,-9.939575195E-1,1.044518751E0
7.197585440E-1,2.781202793E-1,-5.809783936E-3,-9.678850174E-1,1.007068046E0
7.247585440E-1,3.135616481E-1,1.231074333E-2,-9.500522614E-1,1.000535737E0
7.297585440E-1,2.662001252E-1,-8.667051792E-2,-9.545993805E-1,9.948036302E-1
7.347585440E-1,1.079852581E-1,-1.890008450E-1,-9.087438583E-1,9.344503922E-1
7.397585440E-1,-3.341931105E-2,-2.351530790E-1,-8.538131714E-1,8.862340281E-1
7.447585440E-1,-1.693050861E-1,-2.353825569E-1,-8.097209930E-1,8.600681641E-1
7.497585440E-1,-2.664742470E-1,-1.979742050E-1,-7.912292480E-1,8.580478035E-1
7.547585440E-1,-4.158315659E-1,-1.294887066E-2,-4.409151077E-1,6.062092845E-1
7.597585440E-1,-2.059091330E-1,-1.068418026E-1,-7.147836685E-1,7.514848199E-1
7.647585440E-1,8.149504662E-3,-1.883190870E-1,-8.788528442E-1,8.988397047E-1
7.697585440E-1,1.365644336E-1,-2.145097256E-1,-8.297863007E-1,8.678764726E-1
7.747585440E-1,2.678439021E-1,-2.741811275E-1,-8.610820770E-1,9.425380576E-1
7.797585440E-1,3.326515853E-1,-3.581722975E-1,-8.317708969E-1,9.647731842E-1
7.847585440E-1,2.742034793E-1,-4.698367119E-1,-6.162996292E-1,8.220458119E-1
7.897585440E-1,1.417835355E-1,-5.582300425E-1,-3.564853668E-1,6.773515837E-1
7.947585440E-1,1.090767980E-1,-5.420628786E-1,-2.094860077E-1,5.912819122E-1
7.997585440E-1,1.105250120E-1,-5.156688690E-1,-2.101278305E-1,5.677005072E-1
8.047585440E-1,1.881000996E-1,-4.342099428E-1,-9.309387207E-2,4.822721129E-1
8.097585440E-1,1.907708049E-1,-3.872169256E-1,-1.123533249E-1,4.460422817E-1
8.147585440E-1,1.504080892E-1,-2.580384016E-1,-7.127666473E-2,3.070615133E-1
8.197585440E-1,1.387217045E-1,-4.188427925E-1,-2.859363556E-1,5.257685761E-1
8.247585440E-1,1.990374923E-1,-5.947281122E-1,-3.388710022E-1,7.128471133E-1
8.297585440E-1,2.374418974E-1,-5.971446037E-1,-1.960258484E-1,6.718530090E-1
8.347585440E-1,1.950963140E-1,-5.189254284E-1,2.650356293E-2,5.550212706E-1
8.397585440E-1,1.914424896E-1,-3.679167032E-1,2.106323242E-1,4.651654580E-1
8.447585440E-1,2.254761457E-1,-2.942255735E-1,2.911968231E-1,4.713849491E-1
8.497585440E-1,2.426324487E-1,-2.582042217E-1,2.223348618E-1,4.182974014E-1
8.547585440E-1,2.528325915E-1,-2.334536314E-1,1.398601532E-1,3.714643722E-1
8.597585440E-1,2.666125298E-1,-2.246059179E-1,6.050586700E-2,3.538234296E-1
8.647585440E-1,3.247355223E-1,-1.891195774E-1,-5.223369598E-2,3.794044451E-1
8.697585440E-1,3.653429747E-1,-2.076195478E-1,-1.729269028E-1,4.544062934E-1
8.747585440E-1,4.335161448E-1,-1.619070768E-1,-2.417163849E-1,5.220890346E-1
8.797585440E-1,5.156088471E-1,-1.441575289E-1,-2.776670456E-1,6.031026982E-1
8.847585440E-1,5.499650836E-1,-1.402260065E-1,-2.844343185E-1,6.348447114E-1
8.897585440E-1,4.992735386E-1,-1.839618683E-1,-1.718921661E-1,5.591627242E-1
8.947585440E-1,2.175503969E-1,-3.496520519E-1,1.321344376E-1,4.324861179E-1
