"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.864350500E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.364350500E-2,2.520322800E-3,-1.608991623E-2,-1.752948761E-2,2.392739783E-2
2.864350500E-2,1.364064217E-2,-1.080322266E-2,-3.406524658E-2,3.825202953E-2
3.364350500E-2,2.619957924E-2,2.467536926E-2,-4.636764526E-3,3.628762028E-2
3.864350500E-2,5.540347099E-2,2.833724022E-2,-1.270008087E-2,6.351248567E-2
4.364350500E-2,7.507228851E-2,1.323103905E-2,-4.956626892E-2,9.092702520E-2
4.864350500E-2,9.527337551E-2,1.257658005E-2,-9.787082672E-2,1.371637167E-1
5.364350500E-2,1.323261261E-1,1.189184189E-2,-7.335948944E-2,1.517670394E-1
5.864350500E-2,9.008800983E-2,1.827406883E-2,-1.632118225E-2,9.336044182E-2
6.364350500E-2,2.101206779E-2,1.613998413E-2,2.557373047E-2,3.682420089E-2
6.864350500E-2,-4.499769211E-2,1.453995705E-2,5.230903625E-2,7.051551546E-2
7.364350500E-2,-4.388475418E-2,2.867698669E-2,5.630016327E-2,7.692821069E-2
7.864350500E-2,1.316666603E-3,9.631633759E-3,4.113769531E-2,4.227069854E-2
8.364350500E-2,1.746284962E-2,-4.656076431E-3,3.247642517E-2,3.716649508E-2
8.864350500E-2,-9.712266922E-2,-1.755497456E-1,-2.920207977E-1,3.542974349E-1
9.364350500E-2,-5.013537407E-2,-4.851293564E-2,-2.508735657E-1,2.603931770E-1
9.864350500E-2,2.423602343E-1,2.758104801E-1,2.869338989E-1,4.659838693E-1
1.036435050E-1,3.025413156E-1,3.336048126E-1,5.214710236E-1,6.890249974E-1
1.086435050E-1,2.145774364E-1,2.587332726E-1,3.446540833E-1,4.814278966E-1
1.136435050E-1,1.533428431E-1,9.470319748E-2,1.256618500E-1,2.197125933E-1
1.186435050E-1,1.630661488E-1,-2.307963371E-2,8.779907227E-2,1.866331039E-1
1.236435050E-1,1.743111610E-1,-6.211519241E-2,8.995246887E-2,2.057525811E-1
1.286435050E-1,1.890220642E-1,-4.155278206E-2,4.324722290E-2,1.983085897E-1
