"Time (s)","Pressure (hPa)"
5.887026000E-2,9.978191528E2
9.889098900E-2,9.978109131E2
1.388603640E-1,9.978296509E2
1.789000510E-1,9.978194580E2
2.188965100E-1,9.977797852E2
2.588969260E-1,9.977725830E2
2.988721350E-1,9.977949219E2
3.388903640E-1,9.977844849E2
3.788716140E-1,9.977746582E2
4.188885930E-1,9.977547607E2
4.588590100E-1,9.977401123E2
4.989010930E-1,9.977340088E2
5.388914580E-1,9.977107544E2
5.788933850E-1,9.977791748E2
6.188889050E-1,9.977830811E2
6.588864050E-1,9.977830811E2
6.988891140E-1,9.977905884E2
7.388914580E-1,9.977918091E2
7.788966140E-1,9.977669678E2
8.188682800E-1,9.977833862E2
8.588881240E-1,9.977877808E2
8.988922910E-1,9.977965088E2
9.388950510E-1,9.977871094E2
9.788583850E-1,9.977861938E2
1.018907760E0,9.977800903E2
1.058890051E0,9.977886963E2
1.098862968E0,9.977780762E2
1.138888697E0,9.977879028E2
1.178878801E0,9.977874756E2
1.218910051E0,9.977821045E2
1.258888958E0,9.977854004E2
1.298856926E0,9.977827759E2
1.338895885E0,9.977850952E2
1.378888593E0,9.977714844E2
1.418902864E0,9.977833862E2
1.458887447E0,9.977927856E2
1.498883280E0,9.977955933E2
1.538894374E0,9.977908936E2
1.578894322E0,9.977946167E2
1.618922551E0,9.978109131E2
1.658894635E0,9.977725830E2
1.698934374E0,9.977896118E2
1.738868280E0,9.977781982E2
1.778897447E0,9.977811890E2
1.818889843E0,9.977786865E2
1.858891093E0,9.977828979E2
1.898887655E0,9.977783813E2
1.938888801E0,9.977744751E2
1.978890624E0,9.977757568E2
2.018905572E0,9.977799683E2
2.058892864E0,9.977735596E2
2.098895989E0,9.977869873E2
2.138900155E0,9.977841797E2
2.178890676E0,9.977933960E2
2.218890260E0,9.977880859E2
2.258893072E0,9.978149414E2
2.298889843E0,9.978026123E2
2.338889843E0,9.978020020E2
2.378901301E0,9.977940063E2
2.418884843E0,9.977890015E2
2.458891718E0,9.977971191E2
2.498882239E0,9.977817993E2
2.538893697E0,9.978040161E2
2.578891874E0,9.978052368E2
2.618910624E0,9.977933960E2
2.658879791E0,9.977849731E2
2.698911197E0,9.977955933E2
2.738892135E0,9.977879028E2
2.778892447E0,9.977861938E2
2.818891458E0,9.977933960E2
2.858888072E0,9.978045044E2
2.898894010E0,9.978082275E2
2.938896197E0,9.977899170E2
2.978889114E0,9.978074341E2
3.018886093E0,9.977952881E2
3.058883385E0,9.977938232E2
3.098896197E0,9.978002319E2
3.138891926E0,9.977952881E2
3.178884114E0,9.977973022E2
3.218892760E0,9.978023071E2
3.258867239E0,9.977974243E2
3.298890364E0,9.978021240E2
3.338888697E0,9.978102417E2
3.378892708E0,9.978004150E2
3.418891614E0,9.977880859E2
3.458893176E0,9.978051147E2
3.498886718E0,9.978068237E2
3.538896718E0,9.978101196E2
3.578905468E0,9.977863770E2
3.618916041E0,9.977941895E2
3.658893072E0,9.977911987E2
3.698889530E0,9.977943115E2
3.738893801E0,9.978016357E2
3.778892968E0,9.977996216E2
3.818889530E0,9.978027344E2
3.858903280E0,9.977888794E2
3.898905364E0,9.978068237E2
3.938906197E0,9.978051147E2
3.978911874E0,9.977974243E2
4.018888593E0,9.978076172E2
4.058897551E0,9.978240356E2
4.098893905E0,9.978466797E2
4.138889635E0,9.978316650E2
4.178894010E0,9.978285522E2
4.218863958E0,9.977955933E2
4.258886405E0,9.977971191E2
4.298896458E0,9.977958984E2
4.338891614E0,9.977999268E2
4.378892968E0,9.977980957E2
4.418892291E0,9.978016357E2
4.458889218E0,9.977965088E2
4.498894010E0,9.977990112E2
4.538897239E0,9.978071289E2
4.578886301E0,9.978005981E2
4.618916718E0,9.977996216E2
4.658884374E0,9.978116455E2
4.698889843E0,9.978126221E2
4.738892030E0,9.978038330E2
4.778889374E0,9.978168335E2
4.818871458E0,9.978063354E2
4.858886718E0,9.978093262E2
4.898887760E0,9.978013306E2
4.938893593E0,9.978045044E2
4.978897447E0,9.978129272E2
5.018898072E0,9.978277588E2
5.058886614E0,9.978168335E2
5.098888489E0,9.978226318E2
5.138889218E0,9.978288574E2
5.178865989E0,9.978254395E2
5.218868385E0,9.978104248E2
5.258868072E0,9.978199463E2
5.298866510E0,9.978001099E2
5.338867239E0,9.978216553E2
5.378867291E0,9.978112183E2
5.418873176E0,9.978073120E2
5.458876874E0,9.978077393E2
5.498883593E0,9.978099365E2
5.538870676E0,9.978183594E2
5.578875676E0,9.978110352E2
5.618873958E0,9.978185425E2
5.658866093E0,9.978286743E2
5.698869843E0,9.978358765E2
5.738873176E0,9.978286743E2
5.778882135E0,9.978109131E2
5.818875260E0,9.978032227E2
5.858871301E0,9.978116455E2
5.898874114E0,9.978077393E2
5.938870260E0,9.977864990E2
5.978872864E0,9.978168335E2
6.018875989E0,9.978213501E2
6.058872343E0,9.978252563E2
6.098866197E0,9.978261719E2
6.138868385E0,9.978460693E2
6.178865364E0,9.978436890E2
6.218867551E0,9.978357544E2
6.258873905E0,9.978474731E2
6.298877135E0,9.978496094E2
6.338865780E0,9.978227539E2
6.378875676E0,9.978132324E2
6.418875885E0,9.978308716E2
6.458875468E0,9.978299561E2
6.498866197E0,9.978099365E2
6.538869530E0,9.978361816E2
6.578867760E0,9.978386841E2
6.618871718E0,9.978427734E2
6.658872864E0,9.978396606E2
6.698878697E0,9.978497925E2
6.738865364E0,9.978529053E2
6.778882030E0,9.978324585E2
6.818877135E0,9.978216553E2
6.858870051E0,9.978261719E2
6.898881510E0,9.978374634E2
6.938873489E0,9.978233643E2
6.978874010E0,9.978344727E2
7.018871614E0,9.978310547E2
7.058865885E0,9.978360596E2
7.098867760E0,9.978328857E2
7.138866093E0,9.978566895E2
7.178871926E0,9.978596191E2
7.218874947E0,9.978441772E2
7.258873801E0,9.978630981E2
7.298868905E0,9.978522949E2
7.338872551E0,9.978594971E2
7.378872968E0,9.978416748E2
7.418872760E0,9.978394775E2
