Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
2.44277332,42.99873610,-78.77717114,194.75604940,1.27999997,357.10000610,5.32281160,7.02853060
3.44337878,42.99879326,-78.77732519,226.80201130,1.00000000,0.10000000,31.66736603,43.56763458
4.06596150,42.99880145,-78.77741434,231.77098790,1.03999996,0.60000002,19.97582817,28.05262184
5.06567525,42.99880695,-78.77736036,223.36510460,1.13999999,358.60000610,15.02024841,20.37429047
6.06565097,42.99881548,-78.77731103,216.08355880,0.98000002,0.60000002,12.03092670,16.15128136
7.06663873,42.99883364,-78.77727281,210.71299030,1.13000000,358.29998780,10.15090942,13.40865707
8.06663388,42.99884013,-78.77725922,205.97667530,1.28999996,2.90000010,7.99023056,10.66942215
9.06618674,42.99884973,-78.77725617,204.65058840,1.27999997,358.60000610,6.61739969,8.77893353
10.06614856,42.99885772,-78.77725193,205.79947250,1.25000000,359.70001220,6.04928875,7.93641472
11.06661136,42.99886592,-78.77724449,204.39415720,1.33000004,359.10000610,5.43357706,6.99412251
12.06612219,42.99887459,-78.77723581,202.22224120,1.32000005,359.60000610,5.39235878,6.86363411
13.06613255,42.99888153,-78.77722623,201.23476880,1.33000004,1.20000005,4.76451635,6.16110945
14.06609156,42.99889190,-78.77722106,203.77806800,1.41999996,0.20000000,4.97201014,6.45304060
15.06575791,42.99890370,-78.77721911,205.94167200,1.39999998,0.60000002,5.25692701,6.85479784
16.06580410,42.99891567,-78.77722086,208.05925680,1.38000000,359.60000610,5.30199623,6.92031813
17.06604201,42.99892873,-78.77722576,211.55788770,1.42999995,358.50000000,5.37875509,6.90720415
18.06597633,42.99894302,-78.77723177,212.82367300,1.46000004,357.29998780,5.47527027,7.02167988
19.06638398,42.99895765,-78.77723802,213.33219600,1.47000003,358.20001220,5.59510326,7.15899897
20.06647591,42.99897251,-78.77724457,214.60262150,1.45000005,0.10000000,5.64016151,7.19457674
21.06570153,42.99898680,-78.77725078,216.29900980,1.42999995,359.89999390,5.69670487,7.19415617
22.06628324,42.99900104,-78.77725481,214.82297310,1.40999997,358.60000610,5.46802616,6.86781311
23.06629214,42.99901439,-78.77725687,213.52381350,1.49000001,357.60000610,4.92097521,6.12249231
24.06637412,42.99902855,-78.77725901,214.34990020,1.42999995,358.60000610,5.05142546,6.20964193
25.06642427,42.99904320,-78.77725959,213.85988660,1.45000005,359.50000000,4.88964462,5.89095783
26.06641593,42.99905867,-78.77726053,214.55938940,1.42999995,359.89999390,5.02373552,5.95681524
27.06609942,42.99907398,-78.77726225,215.17564000,1.48000002,359.50000000,5.12166357,5.98675299
28.06656280,42.99908867,-78.77726455,215.55873490,1.48000002,359.10000610,5.03042078,5.85611200
29.06576738,42.99910303,-78.77726672,215.58935090,1.50000000,359.70001220,4.91463995,5.72393322
30.06600451,42.99911661,-78.77726780,216.00918580,1.47000003,0.10000000,4.86129808,5.62174225
31.06606028,42.99913001,-78.77726943,216.12482120,1.49000001,359.89999390,4.80317736,5.52373695
32.06595283,42.99914346,-78.77727114,216.46561540,1.52999997,0.00000000,4.80205488,5.45609474
33.06600637,42.99915694,-78.77727299,216.56947120,1.50000000,359.70001220,4.75975227,5.37817144
