"Time (s)","Pressure (hPa)"
6.162656200E-2,1.000481201E3
1.016182280E-1,1.000447632E3
1.416189050E-1,1.000493225E3
1.816181240E-1,1.000515259E3
2.216195820E-1,1.000506226E3
2.616207280E-1,1.000476685E3
3.016195820E-1,1.000385132E3
3.416197910E-1,1.000433716E3
3.816205720E-1,1.000359924E3
4.216178120E-1,1.000402161E3
4.616177070E-1,1.000429932E3
5.016166660E-1,1.000468994E3
5.416218220E-1,1.000437439E3
5.816176550E-1,1.000420898E3
6.216183320E-1,1.000446167E3
6.616122910E-1,1.000424622E3
7.016177070E-1,1.000451355E3
7.416181240E-1,1.000469299E3
7.816174990E-1,1.000420105E3
8.216240620E-1,1.000424316E3
8.616227070E-1,1.000455566E3
9.016164570E-1,1.000433716E3
9.416188530E-1,1.000430542E3
9.816133320E-1,1.000438538E3
1.021621874E0,1.000445557E3
1.061624166E0,1.000445435E3
1.101618437E0,1.000420715E3
1.141619166E0,1.000438232E3
1.181619739E0,1.000439636E3
1.221619791E0,1.000468567E3
1.261616822E0,1.000440125E3
1.301615728E0,1.000451050E3
1.341616978E0,1.000472595E3
1.381618541E0,1.000461487E3
1.421622291E0,1.000410400E3
1.461618332E0,1.000462891E3
1.501613645E0,1.000428833E3
1.541617603E0,1.000476807E3
1.581617082E0,1.000373413E3
1.621618957E0,1.000453369E3
1.661624062E0,1.000429138E3
1.701623228E0,1.000460266E3
1.741624478E0,1.000479004E3
1.781618332E0,1.000478394E3
1.821618124E0,1.000427124E3
1.861624166E0,1.000456055E3
1.901620103E0,1.000464172E3
1.941621562E0,1.000452454E3
1.981618332E0,1.000477417E3
2.021619166E0,1.000534607E3
2.061618489E0,1.000491333E3
2.101617395E0,1.000521973E3
2.141620416E0,1.000517456E3
2.181616562E0,1.000484802E3
2.221621405E0,1.000562317E3
2.261618437E0,1.000554016E3
2.301621874E0,1.000565247E3
2.341623437E0,1.000527771E3
2.381620624E0,1.000498718E3
2.421616666E0,1.000456055E3
2.461616145E0,1.000474609E3
2.501620312E0,1.000459778E3
2.541618957E0,1.000461975E3
2.581623957E0,1.000468384E3
2.621635989E0,1.000467590E3
2.661642707E0,1.000491516E3
2.701636978E0,1.000464294E3
2.741646457E0,1.000476990E3
2.781635832E0,1.000521179E3
2.821640155E0,1.000540588E3
2.861640416E0,1.000528870E3
2.901651041E0,1.000496033E3
2.941634791E0,1.000518677E3
2.981636874E0,1.000526062E3
3.021638853E0,1.000508850E3
3.061645312E0,1.000501648E3
3.101640937E0,1.000510559E3
3.141636562E0,1.000488831E3
3.181613957E0,1.000500244E3
3.221650207E0,1.000501038E3
3.261641041E0,1.000525085E3
3.301639582E0,1.000511658E3
3.341637812E0,1.000526794E3
3.381633749E0,1.000541016E3
3.421642655E0,1.000544189E3
3.461642707E0,1.000565735E3
3.501613020E0,1.000562622E3
3.541638020E0,1.000540588E3
3.581641562E0,1.000523560E3
3.621638645E0,1.000454773E3
3.661645207E0,1.000465393E3
3.701631666E0,1.000464783E3
3.741645937E0,1.000482910E3
3.781629999E0,1.000498718E3
3.821638332E0,1.000470398E3
3.861636145E0,1.000480896E3
3.901638437E0,1.000488525E3
3.941638124E0,1.000504761E3
3.981624270E0,1.000498840E3
4.021611041E0,1.000532104E3
4.061622291E0,1.000506348E3
4.101615416E0,1.000514648E3
4.141616666E0,1.000513672E3
4.181640728E0,1.000493042E3
4.221639791E0,1.000473083E3
4.261653072E0,1.000489624E3
4.301628957E0,1.000492126E3
4.341634062E0,1.000485596E3
4.381639322E0,1.000543091E3
4.421643020E0,1.000542297E3
4.461622916E0,1.000511658E3
4.501619895E0,1.000510559E3
4.541653332E0,1.000515442E3
4.581630937E0,1.000532593E3
4.621640832E0,1.000557922E3
4.661650624E0,1.000538696E3
4.701644166E0,1.000543213E3
4.741637707E0,1.000531677E3
4.781642916E0,1.000534607E3
4.821640312E0,1.000540588E3
4.861624895E0,1.000518250E3
4.901636405E0,1.000516357E3
4.941633332E0,1.000532593E3
4.981640312E0,1.000519165E3
5.021665207E0,1.000539917E3
5.061647707E0,1.000517944E3
5.101634999E0,1.000535889E3
5.141634999E0,1.000527466E3
5.181637291E0,1.000511841E3
5.221636249E0,1.000535583E3
5.261619895E0,1.000531067E3
5.301647291E0,1.000556335E3
5.341637707E0,1.000550598E3
5.381634687E0,1.000533386E3
5.421634687E0,1.000512268E3
5.461633124E0,1.000509949E3
5.501616249E0,1.000503845E3
5.541644478E0,1.000470581E3
5.581641822E0,1.000496826E3
5.621641770E0,1.000463074E3
5.661618541E0,1.000477905E3
5.701643332E0,1.000510254E3
5.741639478E0,1.000486206E3
5.781635832E0,1.000488525E3
5.821634895E0,1.000510559E3
5.861642291E0,1.000501221E3
5.901640624E0,1.000525391E3
5.941638957E0,1.000541504E3
5.981644374E0,1.000538086E3
6.021654478E0,1.000520874E3
6.061622707E0,1.000471802E3
6.101662082E0,1.000448059E3
6.141644791E0,1.000413513E3
6.181635728E0,1.000450562E3
6.221643645E0,1.000450073E3
6.261629322E0,1.000473999E3
6.301637239E0,1.000468567E3
6.341614791E0,1.000514954E3
6.381623541E0,1.000488220E3
6.421636249E0,1.000499023E3
6.461620312E0,1.000508545E3
6.501617291E0,1.000506653E3
6.541645624E0,1.000533875E3
6.581653437E0,1.000553101E3
6.621639791E0,1.000514038E3
6.661651874E0,1.000507141E3
6.701653437E0,1.000476685E3
6.741636874E0,1.000452576E3
6.781642916E0,1.000479004E3
6.821642707E0,1.000491516E3
6.861613957E0,1.000494812E3
6.901649270E0,1.000512268E3
6.941642812E0,1.000523376E3
6.981648853E0,1.000513245E3
7.021676666E0,1.000508362E3
7.061640312E0,1.000511169E3
7.101664791E0,1.000531372E3
7.141640207E0,1.000536987E3
7.181615937E0,1.000512451E3
7.221646874E0,1.000537292E3
7.261641041E0,1.000529968E3
7.301632603E0,1.000496338E3
7.341641666E0,1.000500854E3
7.381645728E0,1.000518250E3
7.421645937E0,1.000516357E3
7.461649895E0,1.000504944E3
7.501623332E0,1.000532288E3
7.541651874E0,1.000532104E3
7.581655728E0,1.000518860E3
7.621646874E0,1.000540283E3
7.661635624E0,1.000544006E3
7.701614999E0,1.000533569E3
7.741647603E0,1.000529480E3
7.781640312E0,1.000535278E3
7.821635728E0,1.000527161E3
7.861643437E0,1.000506348E3
7.901643072E0,1.000513062E3
7.941646145E0,1.000523682E3
7.981658228E0,1.000538086E3
8.021615207E0,1.000523987E3
8.061639270E0,1.000528992E3
8.101652499E0,1.000538391E3
8.141636041E0,1.000542786E3
8.181628749E0,1.000562744E3
8.221638541E0,1.000578979E3
8.261639791E0,1.000566345E3
8.301646978E0,1.000555237E3
8.341651041E0,1.000553528E3
8.381660312E0,1.000522766E3
8.421646041E0,1.000511169E3
8.461647395E0,1.000529297E3
8.501650312E0,1.000530090E3
8.541649062E0,1.000514648E3
8.581660624E0,1.000502441E3
8.621637707E0,1.000524292E3
8.661632655E0,1.000530579E3
8.701640416E0,1.000538208E3
8.741638957E0,1.000531982E3
8.781648749E0,1.000528076E3
8.821641353E0,1.000520081E3
8.861615312E0,1.000529968E3
8.901651666E0,1.000532288E3
8.941641041E0,1.000530579E3
8.981645103E0,1.000505432E3
9.021647655E0,1.000503845E3
9.061656145E0,1.000511658E3
9.101640832E0,1.000521851E3
9.141636562E0,1.000524780E3
9.181651457E0,1.000533997E3
9.221638228E0,1.000536804E3
9.261647812E0,1.000545410E3
9.301654895E0,1.000553711E3
9.341658645E0,1.000546021E3
9.381635572E0,1.000548096E3
9.421646041E0,1.000547119E3
9.461641405E0,1.000544922E3
9.501657499E0,1.000517273E3
9.541651457E0,1.000499451E3
9.581646249E0,1.000526794E3
9.621644322E0,1.000516846E3
9.661623853E0,1.000510254E3
9.701643072E0,1.000525879E3
9.741639895E0,1.000540100E3
9.781645832E0,1.000542419E3
9.821654478E0,1.000523254E3
9.861641666E0,1.000537292E3
9.901657499E0,1.000536011E3
9.941651666E0,1.000545898E3
9.981641666E0,1.000538879E3
1.002161635E1,1.000508667E3
1.006164750E1,1.000534180E3
1.010164177E1,1.000510437E3
1.014164427E1,1.000504761E3
1.018163906E1,1.000516357E3
1.022165854E1,1.000525085E3
1.026164573E1,1.000532288E3
1.030164219E1,1.000532898E3
1.034164094E1,1.000561035E3
1.038164375E1,1.000558716E3
1.042164708E1,1.000551514E3
1.046165635E1,1.000560913E3
1.050163932E1,1.000565247E3
1.054161146E1,1.000544006E3
1.058164344E1,1.000543518E3
1.062163750E1,1.000527466E3
1.066165698E1,1.000511963E3
1.070165125E1,1.000534180E3
1.074164781E1,1.000534485E3
1.078165979E1,1.000564941E3
1.082165057E1,1.000554321E3
1.086164849E1,1.000564331E3
1.090164750E1,1.000575439E3
1.094164432E1,1.000570557E3
1.098163750E1,1.000568726E3
1.102161708E1,1.000545593E3
1.106161979E1,1.000553406E3
1.110161948E1,1.000540283E3
1.114162333E1,1.000536682E3
1.118161708E1,1.000528992E3
1.122162073E1,1.000530273E3
1.126164760E1,1.000523865E3
1.130164307E1,1.000529297E3
1.134164542E1,1.000536804E3
1.138165281E1,1.000559814E3
1.142164458E1,1.000550110E3
1.146164021E1,1.000586975E3
1.150163510E1,1.000562927E3
1.154163833E1,1.000566956E3
1.158163687E1,1.000562439E3
1.162164599E1,1.000525574E3
1.166165323E1,1.000541199E3
1.170164229E1,1.000518677E3
1.174165656E1,1.000487915E3
1.178164729E1,1.000485229E3
1.182165208E1,1.000487610E3
1.186164391E1,1.000504456E3
1.190162010E1,1.000495239E3
1.194163432E1,1.000511353E3
1.198164000E1,1.000514465E3
1.202164240E1,1.000552307E3
1.206164083E1,1.000534302E3
1.210165516E1,1.000530884E3
1.214165187E1,1.000524963E3
1.218164427E1,1.000525085E3
1.222165865E1,1.000532776E3
1.226165708E1,1.000537476E3
1.230164057E1,1.000516968E3
1.234180562E1,1.000513550E3
1.238165224E1,1.000515564E3
1.242163807E1,1.000536194E3
1.246164135E1,1.000529480E3
1.250163641E1,1.000538513E3
1.254165458E1,1.000548706E3
1.258164682E1,1.000539612E3
1.262168365E1,1.000545898E3
1.266164000E1,1.000513367E3
1.270163979E1,1.000532776E3
1.274164521E1,1.000550232E3
1.278165458E1,1.000501343E3
1.282164771E1,1.000473083E3
1.286163802E1,1.000490723E3
1.290164031E1,1.000463074E3
1.294164500E1,1.000452576E3
1.298164073E1,1.000494019E3
1.302164531E1,1.000491638E3
1.306162437E1,1.000532898E3
1.310164292E1,1.000538208E3
1.314164187E1,1.000523987E3
1.318164114E1,1.000511536E3
1.322164781E1,1.000507446E3
1.326164891E1,1.000532288E3
1.330165479E1,1.000504150E3
1.334164406E1,1.000453552E3
1.338164224E1,1.000449341E3
1.342163875E1,1.000474792E3
1.346164594E1,1.000491028E3
1.350166000E1,1.000518860E3
1.354165406E1,1.000520569E3
1.358165640E1,1.000520081E3
1.362164698E1,1.000509460E3
1.366165760E1,1.000527161E3
1.370161625E1,1.000546997E3
1.374164281E1,1.000522461E3
1.378164057E1,1.000535889E3
1.382164552E1,1.000510132E3
1.386164698E1,1.000488525E3
1.390163635E1,1.000482910E3
1.394164437E1,1.000485413E3
1.398163542E1,1.000481995E3
1.402165849E1,1.000498840E3
1.406164458E1,1.000512146E3
1.410165490E1,1.000506042E3
1.414164781E1,1.000524292E3
1.418163307E1,1.000528076E3
1.422161219E1,1.000553223E3
1.426165542E1,1.000556824E3
1.430164042E1,1.000553528E3
1.434163969E1,1.000521667E3
1.438163896E1,1.000516846E3
1.442164385E1,1.000498535E3
1.446165875E1,1.000521851E3
1.450165479E1,1.000511353E3
1.454166766E1,1.000512451E3
1.458166771E1,1.000529175E3
1.462164240E1,1.000526489E3
1.466164599E1,1.000544495E3
1.470164469E1,1.000524170E3
1.474165573E1,1.000546509E3
1.478163640E1,1.000555237E3
1.482162448E1,1.000542786E3
1.486164646E1,1.000494324E3
1.490163740E1,1.000475586E3
1.494162437E1,1.000496643E3
1.498161792E1,1.000519165E3
1.502164833E1,1.000510132E3
1.506164240E1,1.000507141E3
1.510165781E1,1.000515076E3
1.514164198E1,1.000540710E3
1.518164323E1,1.000531067E3
1.522164521E1,1.000539795E3
1.526163635E1,1.000543701E3
1.530164583E1,1.000524658E3
1.534163812E1,1.000518555E3
1.538164937E1,1.000534180E3
1.542164917E1,1.000526184E3
1.546165427E1,1.000489319E3
1.550163760E1,1.000471802E3
1.554161979E1,1.000507141E3
1.558161969E1,1.000538879E3
1.562164771E1,1.000535095E3
1.566166031E1,1.000537476E3
1.570163958E1,1.000554932E3
1.574163823E1,1.000559448E3
1.578163854E1,1.000551819E3
1.582163896E1,1.000532471E3
1.586165646E1,1.000544006E3
1.590163802E1,1.000537476E3
1.594164240E1,1.000500122E3
1.598164125E1,1.000484192E3
1.602164781E1,1.000471680E3
1.606164750E1,1.000472900E3
1.610164604E1,1.000491821E3
1.614163833E1,1.000484192E3
1.618162396E1,1.000504761E3
1.622163771E1,1.000523071E3
1.626164396E1,1.000508240E3
1.630163849E1,1.000525085E3
1.634164474E1,1.000503235E3
1.638164854E1,1.000507446E3
1.642163479E1,1.000515869E3
1.646165135E1,1.000485107E3
1.650164390E1,1.000446350E3
1.654165354E1,1.000469604E3
1.658165792E1,1.000469604E3
1.662161781E1,1.000492737E3
1.666162573E1,1.000523865E3
1.670170542E1,1.000511353E3
1.674169792E1,1.000517151E3
1.678163260E1,1.000513062E3
1.682161750E1,1.000501648E3
1.686163667E1,1.000475098E3
1.690164521E1,1.000497742E3
1.694165604E1,1.000538086E3
1.698164396E1,1.000526184E3
1.702165266E1,1.000487915E3
1.706170458E1,1.000488708E3
1.710164292E1,1.000494019E3
1.714161990E1,1.000494507E3
1.718163625E1,1.000533081E3
1.722162635E1,1.000564026E3
1.726163719E1,1.000571350E3
1.730164156E1,1.000546509E3
1.734164740E1,1.000529968E3
1.738161682E1,1.000560730E3
1.742165542E1,1.000557007E3
1.746170469E1,1.000573242E3
1.750168932E1,1.000541504E3
1.754169864E1,1.000506042E3
1.758171375E1,1.000512451E3
1.762168958E1,1.000526184E3
1.766168542E1,1.000539001E3
1.770169167E1,1.000544312E3
1.774164792E1,1.000546814E3
1.778170073E1,1.000562317E3
1.782170224E1,1.000581055E3
1.786171021E1,1.000589478E3
1.790165104E1,1.000562744E3
1.794164010E1,1.000549194E3
1.798164979E1,1.000554138E3
1.802164073E1,1.000512451E3
1.806169974E1,1.000550232E3
1.810162364E1,1.000548401E3
1.814163990E1,1.000560547E3
1.818164073E1,1.000557007E3
1.822164260E1,1.000560547E3
1.826164864E1,1.000575745E3
1.830164724E1,1.000583984E3
1.834165625E1,1.000604797E3
1.838163917E1,1.000582275E3
1.842161833E1,1.000543091E3
1.846162349E1,1.000514771E3
1.850164875E1,1.000510742E3
1.854169458E1,1.000506836E3
1.858164479E1,1.000456482E3
1.862169667E1,1.000460266E3
1.866169573E1,1.000469299E3
1.870164187E1,1.000531067E3
1.874162010E1,1.000543518E3
1.878161958E1,1.000537903E3
1.882165312E1,1.000542786E3
1.886170479E1,1.000557312E3
1.890164906E1,1.000554138E3
1.894165750E1,1.000543823E3
1.898164062E1,1.000540588E3
1.902164229E1,1.000533203E3
1.906164417E1,1.000489807E3
1.910170974E1,1.000532593E3
1.914163187E1,1.000562134E3
1.918165750E1,1.000571533E3
1.922164458E1,1.000576172E3
1.926165391E1,1.000586670E3
1.930164875E1,1.000613831E3
1.934165385E1,1.000606995E3
1.938162875E1,1.000577759E3
1.942162740E1,1.000582886E3
1.946164354E1,1.000544189E3
1.950165682E1,1.000557312E3
1.954164516E1,1.000550110E3
1.958163792E1,1.000556519E3
1.962164646E1,1.000541199E3
1.966165354E1,1.000529480E3
1.970162917E1,1.000560120E3
1.974162604E1,1.000574646E3
1.978164135E1,1.000592590E3
1.982164396E1,1.000598206E3
1.986165583E1,1.000586487E3
1.990161625E1,1.000584778E3
1.994164729E1,1.000570129E3
1.998163927E1,1.000583374E3
2.002164104E1,1.000583069E3
2.006164292E1,1.000556519E3
2.010164057E1,1.000523071E3
2.014162391E1,1.000525757E3
2.018161760E1,1.000546997E3
2.022161844E1,1.000560242E3
2.026162292E1,1.000579346E3
2.030162750E1,1.000581177E3
2.034162333E1,1.000590576E3
2.038162000E1,1.000587463E3
2.042161990E1,1.000593201E3
2.046162656E1,1.000594788E3
2.050161906E1,1.000572937E3
2.054161969E1,1.000571838E3
2.058162896E1,1.000581665E3
2.062162646E1,1.000508850E3
2.066161766E1,1.000505249E3
2.070163073E1,1.000529175E3
2.074161448E1,1.000543396E3
2.078162474E1,1.000561035E3
2.082162375E1,1.000536194E3
2.086162156E1,1.000547302E3
2.090162099E1,1.000562927E3
2.094162687E1,1.000566833E3
2.098161937E1,1.000570862E3
2.102162114E1,1.000563538E3
2.106161990E1,1.000577942E3
2.110162146E1,1.000541687E3
2.114162115E1,1.000526794E3
2.118161937E1,1.000536011E3
2.122161990E1,1.000541687E3
2.126161240E1,1.000527893E3
2.130162115E1,1.000540588E3
2.134162208E1,1.000575867E3
2.138162354E1,1.000562622E3
2.142162104E1,1.000563354E3
2.146162031E1,1.000565552E3
