"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.540346900E-2,1.331806183E-3,-3.775000572E-3,-2.481842041E-2,2.513917916E-2
2.358489200E-2,-3.073021770E-2,4.888582230E-2,-1.337270737E-1,1.456609080E-1
3.176600700E-2,-4.737375677E-2,9.744131565E-2,-3.417196274E-1,3.584848484E-1
3.994835300E-2,1.953094080E-2,2.088602781E-1,-3.509731293E-1,4.088841045E-1
4.813089200E-2,-5.576305091E-3,1.828908920E-1,-3.557767868E-1,4.000716131E-1
5.631343000E-2,-6.451289356E-2,1.535888910E-1,-3.872547150E-1,4.215657424E-1
6.449573800E-2,-3.265462816E-2,1.849327087E-1,-3.271074295E-1,3.771812587E-1
7.267808400E-2,-3.832337260E-2,1.837143898E-1,-3.004760742E-1,3.542675953E-1
8.086031400E-2,-1.318303645E-1,1.733884811E-1,-3.119335175E-1,3.804541098E-1
8.904219900E-2,-1.466428936E-1,1.858924627E-1,-2.966852188E-1,3.795816974E-1
9.722346800E-2,-8.056299388E-2,1.761537790E-1,-3.818511963E-1,4.281715614E-1
1.054058140E-1,-3.131540120E-2,1.441665888E-1,-4.840078354E-1,5.059923363E-1
1.135877760E-1,-3.009952605E-2,1.099486351E-1,-4.815092087E-1,4.948189587E-1
1.217698910E-1,-3.941203654E-2,6.292366982E-2,-5.278367996E-1,5.330331921E-1
1.299535840E-1,-4.257218540E-2,1.680827141E-2,-5.487051010E-1,5.506107489E-1
1.381371600E-1,-1.929605007E-2,-3.185510635E-2,-5.947599411E-1,5.959248886E-1
1.463199300E-1,2.520623803E-2,-4.978787899E-2,-6.293106079E-1,6.317800476E-1
1.545019680E-1,5.948598683E-2,-8.164310455E-2,-8.455286026E-1,8.515414241E-1
1.626837370E-1,1.445212364E-1,-8.442223072E-2,-1.108651161E0,1.121214029E0
1.708658140E-1,1.959665120E-1,-1.075562239E-1,-1.011345863E0,1.035756569E0
1.790472370E-1,2.512065470E-1,-1.316819191E-1,-9.175071716E-1,9.603459101E-1
1.872293910E-1,2.573370039E-1,-1.648148298E-1,-9.273920059E-1,9.764436463E-1
1.954106220E-1,2.476602793E-1,-2.200578451E-1,-8.409280777E-1,9.038368774E-1
2.035923520E-1,2.117379457E-1,-2.826941013E-1,-7.946329117E-1,8.695920750E-1
2.117741990E-1,1.294685155E-1,-3.323957920E-1,-7.188987732E-1,8.025362952E-1
2.199553140E-1,6.912513822E-2,-3.571330309E-1,-5.869579315E-1,6.905373993E-1
2.281369290E-1,4.820755124E-2,-3.200950623E-1,-4.998769760E-1,5.955348924E-1
2.363176220E-1,6.731955707E-2,-2.836494446E-1,-4.716100693E-1,5.544411489E-1
2.444993520E-1,6.730944663E-2,-2.747230530E-1,-5.504007339E-1,6.188249230E-1
2.526826220E-1,7.904983312E-2,-2.681670189E-1,-7.312831879E-1,7.829032680E-1
2.608638140E-1,8.673493564E-2,-2.277687788E-1,-8.556165695E-1,8.896523364E-1
2.690454680E-1,9.250162542E-2,-2.178815603E-1,-9.768571854E-1,1.005126303E0
2.772268520E-1,9.042653441E-2,-2.239472866E-1,-1.093016624E0,1.119381386E0
2.854073140E-1,9.710888565E-2,-2.271423340E-1,-1.101440430E0,1.128802372E0
2.935869290E-1,5.329553783E-2,-2.589656115E-1,-1.029603004E0,1.063007972E0
3.017676980E-1,2.793094516E-2,-2.676844597E-1,-8.557472229E-1,8.970721360E-1
3.099491980E-1,6.394948065E-2,-2.935601473E-1,-7.336282730E-1,7.927657530E-1
3.181302750E-1,1.516118497E-1,-2.706117630E-1,-6.211957932E-1,6.943350003E-1
3.263117370E-1,1.630559415E-1,-2.567235231E-1,-5.638551712E-1,6.406456598E-1
3.344929290E-1,1.454997957E-1,-2.762619257E-1,-5.543518066E-1,6.362364086E-1
3.426741600E-1,9.185932577E-2,-2.834835052E-1,-5.615968704E-1,6.357610230E-1
3.508578130E-1,2.121431381E-2,-2.781518698E-1,-5.520992279E-1,6.185726046E-1
3.590393900E-1,-1.372225583E-2,-2.880630493E-1,-5.092191696E-1,5.852117424E-1
3.672216600E-1,-3.942897916E-2,-2.586117983E-1,-4.041557312E-1,4.814317830E-1
3.754038130E-1,-8.711150289E-2,-2.616996169E-1,-2.512626648E-1,3.731059235E-1
3.835863900E-1,-6.207929924E-2,-2.831503749E-1,-1.319074631E-1,3.184769270E-1
3.917692360E-1,-1.930784807E-2,-2.805070877E-1,-4.601478577E-2,2.849111787E-1
3.999524290E-1,1.500418410E-2,-2.877160311E-1,2.561378479E-2,2.892433336E-1
4.081350820E-1,3.304071352E-2,-3.099641204E-1,1.668195724E-1,3.535508654E-1
4.163165060E-1,-3.849557042E-2,-2.440971136E-1,1.549034119E-1,2.916511218E-1
4.244982360E-1,-1.256005764E-1,-1.843964458E-1,6.178855896E-2,2.315067602E-1
4.326796590E-1,-2.062172592E-1,-1.825881004E-1,8.129024506E-2,2.871795194E-1
4.408611210E-1,-2.597416639E-1,-1.022396684E-1,4.341793060E-2,2.824956610E-1
4.490430440E-1,-3.220329881E-1,-5.325853825E-2,2.955341339E-2,3.277424622E-1
4.572256980E-1,-3.783946335E-1,-8.582204580E-2,-3.413200378E-3,3.880200667E-1
4.654091210E-1,-3.333544731E-1,-3.486692905E-2,-3.152179718E-2,3.366519437E-1
4.735911590E-1,-2.997005880E-1,-1.296162605E-2,-6.913375854E-2,3.078439909E-1
4.817741210E-1,-2.468973398E-1,-4.453349113E-2,-5.634880066E-2,2.571317086E-1
4.899565440E-1,-1.083992422E-1,-8.834135532E-2,-4.110908508E-2,1.457550947E-1
4.981389670E-1,1.224105060E-1,-1.085748672E-1,5.311965942E-4,1.636249246E-1
5.063212360E-1,2.417478114E-1,-8.204066753E-2,-5.586338043E-2,2.613300456E-1
5.145038510E-1,2.392289937E-1,-1.401302218E-1,2.190589905E-2,2.781130326E-1
5.226868900E-1,2.110534310E-1,-1.180045605E-1,-1.922998428E-1,3.089463652E-1
5.308690440E-1,2.173816115E-1,-5.621087551E-2,-2.052927017E-1,3.042359626E-1
5.390518130E-1,1.892251074E-1,2.591192722E-3,-3.115997314E-1,3.645644637E-1
5.472345050E-1,1.243934631E-1,4.397368431E-2,-4.753046036E-1,4.932766818E-1
5.554161970E-1,3.785526007E-2,4.500609636E-2,-5.169248581E-1,5.202594337E-1
