"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.776625101E-3,-7.383411680E-2,-6.117064655E-2,4.021656454E-2,1.039745010E-1
1.272162516E-2,-8.649026890E-2,-5.238637447E-2,3.854133725E-2,1.082142944E-1
2.266562521E-2,-9.339449669E-2,-4.786004484E-2,4.050366282E-3,1.050215281E-1
3.260962502E-2,-8.021088920E-2,-4.427979469E-2,-2.511613011E-2,9.500161554E-2
4.255362507E-2,-7.383812763E-2,-3.876703978E-2,-2.985909909E-2,8.858057498E-2
5.249862513E-2,-5.223077458E-2,-5.054859459E-2,-1.694084555E-2,7.463381591E-2
6.244262517E-2,-5.948283861E-2,-4.061651409E-2,-2.933986634E-2,7.777362704E-2
7.238662499E-2,-4.170943178E-2,-3.290637553E-2,-4.208416522E-2,6.777597813E-2
8.233062504E-2,-3.684463059E-2,-3.416645050E-2,-4.826584160E-2,6.967398803E-2
9.227562509E-2,-3.662159585E-2,-4.135209382E-2,-5.126838684E-2,7.536301769E-2
1.022196251E-1,-4.162424516E-2,-5.271849632E-2,-3.124108851E-2,7.407984376E-2
1.121636252E-1,-3.800684692E-2,-1.731945276E-2,-3.332328200E-2,5.343149802E-2
1.221086250E-1,-4.335852932E-2,-2.746671081E-2,-6.393170178E-2,8.198563752E-2
1.320526251E-1,-3.981392892E-2,-2.489218175E-2,-4.873654246E-2,6.767584665E-2
1.419966251E-1,-5.020115121E-2,-4.222508311E-2,-1.542963266E-2,6.738832830E-2
1.519406252E-1,-6.848182227E-2,-4.209702909E-2,-9.093589783E-3,8.089878377E-2
1.618856250E-1,-6.901369963E-2,-4.736069262E-2,-2.849815965E-2,8.841985662E-2
1.718296250E-1,-7.790470166E-2,-4.570885420E-2,-3.015643001E-2,9.522527062E-2
1.817736251E-1,-7.858217468E-2,-6.016141713E-2,-1.668502986E-2,1.003640599E-1
1.917176251E-1,-6.758694246E-2,-5.754127979E-2,3.682868779E-3,8.884006525E-2
2.016626252E-1,-7.178575493E-2,-5.479133427E-2,1.286709040E-2,9.121867648E-2
2.116066250E-1,-8.572328780E-2,-5.469660938E-2,-1.815326571E-2,1.032944442E-1
2.215506251E-1,-9.461766112E-2,-6.210737050E-2,8.353039920E-3,1.134883278E-1
2.314946251E-1,-8.824465287E-2,-6.428721249E-2,2.110318601E-2,1.111994106E-1
2.414396252E-1,-8.646200127E-2,-5.314417362E-2,2.247786641E-2,1.039482339E-1
2.513836252E-1,-8.393190192E-2,-3.824488342E-2,-1.838920087E-2,9.404997595E-2
2.613276250E-1,-7.955086646E-2,-5.244484663E-2,-1.140353233E-2,9.596271589E-2
2.712716251E-1,-6.461893234E-2,-6.619106591E-2,1.398595512E-2,9.355463946E-2
2.812166251E-1,-5.682153323E-2,-7.290191531E-2,-1.047148615E-2,9.302165295E-2
2.911606252E-1,-4.696118161E-2,-5.893642545E-2,-8.327312171E-3,7.581687774E-2
3.011046250E-1,-4.297692541E-2,-4.281272829E-2,-3.550604761E-2,7.028958129E-2
3.110496250E-1,-5.274089847E-2,-5.095965385E-2,-6.807913184E-3,7.365348854E-2
3.209936251E-1,-3.888008290E-2,-6.043389738E-2,9.902259707E-3,7.253944820E-2
3.309376251E-1,-3.781567952E-2,-4.620002031E-2,-5.672091544E-3,5.997199444E-2
3.408816252E-1,-4.331237286E-2,-1.075653791E-2,-4.766884089E-2,6.529918179E-2
3.508266250E-1,-5.114581458E-2,-3.439507663E-2,-1.296883196E-2,6.298496843E-2
3.607706251E-1,-6.330012026E-2,-4.756768405E-2,-5.189403892E-3,7.935061250E-2
3.707146251E-1,-6.725249087E-2,-5.880778670E-2,4.119655788E-3,8.943279526E-2
3.806586252E-1,-7.443690992E-2,-3.817354739E-2,-3.774699301E-2,9.177640633E-2
3.906040001E-1,-8.670224874E-2,-3.021080911E-2,-4.799336135E-2,1.036018130E-1
4.005480001E-1,-6.373922789E-2,-4.675375164E-2,-3.812384605E-2,8.776121069E-2
4.104920002E-1,-6.341556623E-2,-5.586839139E-2,-2.079971552E-2,8.703699996E-2
4.204360000E-1,-7.068996845E-2,-6.039062798E-2,-1.998490602E-2,9.509729784E-2
4.303810000E-1,-8.015688468E-2,-4.477914691E-2,-3.340485066E-2,9.770456595E-2
4.403250001E-1,-6.536685518E-2,-5.340437472E-2,-2.530207157E-2,8.811950874E-2
4.502690001E-1,-6.166507431E-2,-5.215833306E-2,-3.710058331E-3,8.085071200E-2
4.602130002E-1,-7.492165323E-2,-4.344598174E-2,-3.107795119E-4,8.660775968E-2
4.701580000E-1,-6.763108894E-2,-3.336362779E-2,-2.720124722E-2,8.016859548E-2
4.801020001E-1,-7.127957792E-2,-3.757186890E-2,-1.893620789E-2,8.277078911E-2
4.900460001E-1,-5.445623400E-2,-4.509782016E-2,-2.064476430E-2,7.365800091E-2
4.999910002E-1,-5.557602148E-2,-5.355289400E-2,-3.421790600E-3,7.725487214E-2
5.099350002E-1,-6.933117603E-2,-3.972189009E-2,-2.568389475E-2,8.393034595E-2
5.198790000E-1,-5.317996041E-2,-3.640125632E-2,-3.158315063E-2,7.176806431E-2
5.298230001E-1,-4.914889907E-2,-4.308988631E-2,-4.187074184E-2,7.762416895E-2
5.397680001E-1,-5.446245580E-2,-5.728575647E-2,4.776590466E-3,7.918732728E-2
5.497120002E-1,-5.426929669E-2,-5.765179217E-2,-4.059137106E-3,7.928027685E-2
5.596560000E-1,-5.194039637E-2,-4.983464956E-2,-4.437744319E-3,7.211789408E-2
5.696000000E-1,-5.161143567E-2,-5.549241543E-2,-1.065362692E-3,7.579105132E-2
5.795450001E-1,-5.561110477E-2,-5.459545255E-2,2.019189745E-2,8.050447898E-2
5.894890002E-1,-5.528548795E-2,-5.475508153E-2,1.272646487E-2,7.884520936E-2
5.994330002E-1,-5.891417862E-2,-5.060589731E-2,9.919801354E-4,7.767123862E-2
6.093780000E-1,-5.111222964E-2,-4.511419237E-2,-1.151024401E-3,6.818412739E-2
6.193220001E-1,-4.934300836E-2,-5.233491898E-2,-6.316162348E-3,7.220505609E-2
6.292660001E-1,-5.430882934E-2,-5.356926620E-2,-6.688045263E-3,7.657574796E-2
6.392100002E-1,-6.358234892E-2,-4.388920069E-2,-2.978337765E-2,8.280112689E-2
6.491550000E-1,-6.635565589E-2,-4.582521379E-2,-3.564638078E-2,8.816851905E-2
6.590990000E-1,-6.752495284E-2,-3.805192530E-2,-4.733028710E-2,9.081698273E-2
6.690430001E-1,-6.518162635E-2,-5.059010983E-2,6.396853924E-4,8.251310698E-2
6.789870001E-1,-6.797032795E-2,-2.839641809E-2,-1.800971657E-2,7.583318491E-2
6.889320002E-1,-6.046112347E-2,-3.685383081E-2,-3.928159475E-2,8.097404512E-2
6.988760000E-1,-4.544853433E-2,-4.636374235E-2,-2.671300471E-2,7.020506035E-2
7.088200001E-1,-5.647573438E-2,-4.755482018E-2,-6.969881058E-3,7.415894240E-2
7.187640001E-1,-5.618043171E-2,-5.378795207E-2,1.449290872E-2,7.911655388E-2
7.287090002E-1,-6.121130297E-2,-5.751262844E-2,-3.356301785E-4,8.399189656E-2
7.386530002E-1,-6.304638765E-2,-4.593280256E-2,-2.602595687E-2,8.223150112E-2
7.485970000E-1,-5.279355082E-2,-4.911836565E-2,-8.126460314E-3,7.256591630E-2
7.585420001E-1,-6.064055990E-2,-5.550527930E-2,9.212288260E-4,8.221290774E-2
7.684860001E-1,-5.956152021E-2,-5.229457319E-2,4.390966594E-3,7.938247705E-2
7.784300002E-1,-4.976441902E-2,-5.224721074E-2,-3.059175521E-2,7.837170355E-2
7.883740000E-1,-5.055004726E-2,-5.397389352E-2,-3.538676441E-2,8.197994606E-2
7.983190001E-1,-4.561343495E-2,-6.082098305E-2,-1.376493037E-2,7.726092632E-2
8.082630001E-1,-4.382189375E-2,-5.035037398E-2,-2.844553471E-2,7.255802490E-2
8.182070001E-1,-5.278812387E-2,-5.314475834E-2,-3.050492406E-2,8.087955090E-2
8.281510002E-1,-5.057625010E-2,-4.191576540E-2,-1.464201272E-2,6.729990342E-2
8.380960000E-1,-4.674469759E-2,-4.193564594E-2,3.363903165E-3,6.288863965E-2
8.480400001E-1,-5.541244562E-2,-4.595326781E-2,9.121656418E-4,7.199356914E-2
8.579840001E-1,-5.805719608E-2,-3.772331178E-2,-1.015895247E-2,6.997778636E-2
8.679290002E-1,-6.542914630E-2,-2.648613274E-2,-1.961594671E-2,7.326168015E-2
8.778730000E-1,-6.989993652E-2,-2.103769720E-2,-1.735541314E-2,7.503196782E-2
8.878170000E-1,-6.316690424E-2,-2.971321106E-2,-1.826991767E-2,7.215762326E-2
8.977610001E-1,-7.031211955E-2,-5.519186854E-2,-5.180340707E-3,8.953643079E-2
9.077060001E-1,-7.053588518E-2,-5.939484715E-2,-1.653212517E-2,9.368228290E-2
9.176500002E-1,-5.802585865E-2,-5.476385236E-2,-3.342911661E-2,8.650772009E-2
9.275940000E-1,-5.748796963E-2,-6.864806592E-2,-2.497930527E-2,9.295907325E-2
9.375380001E-1,-6.089373521E-2,-6.432171106E-2,-1.821466148E-2,9.042733765E-2
9.474830001E-1,-5.517435431E-2,-5.109998703E-2,-1.111321807E-2,7.601921904E-2
9.574270002E-1,-6.361043382E-2,-3.893134654E-2,-2.615868866E-2,7.903299328E-2
9.673710002E-1,-6.787535638E-2,-4.393656313E-2,-1.135003030E-2,8.164746641E-2
9.773150000E-1,-7.065604546E-2,-5.089065671E-2,4.963993728E-3,8.721683859E-2
9.872600001E-1,-6.621850214E-2,-3.825599313E-2,-8.536934853E-5,7.647495226E-2
9.972040001E-1,-5.228993196E-2,-3.685032248E-2,-1.548284233E-2,6.581718361E-2
1.007148000E0,-5.140912201E-2,-3.275551736E-2,-1.635115385E-2,6.311245500E-2
1.017093000E0,-5.602580027E-2,-4.418623924E-2,-1.398829401E-2,7.271166621E-2
1.027037000E0,-5.212769000E-2,-5.898144901E-2,-1.254256994E-2,7.970836501E-2
1.036981000E0,-5.457595574E-2,-5.482700229E-2,-3.102532625E-2,8.334930110E-2
1.046925000E0,-3.760425699E-2,-4.664031565E-2,-1.955542803E-2,6.302232900E-2
1.056870000E0,-3.657956899E-2,-5.743836880E-2,-1.667450488E-2,7.010898794E-2
1.066814000E0,-4.002832074E-2,-5.308687091E-2,-1.864969432E-2,6.905283066E-2
1.076758000E0,-2.664842952E-2,-6.570340812E-2,-2.334851682E-2,7.464737016E-2
1.086702000E0,-4.384705505E-2,-5.416158915E-2,-1.934112757E-2,7.231957682E-2
1.096647000E0,-5.190127485E-2,-4.759341180E-2,-5.982286334E-3,7.067292924E-2
1.106591000E0,-4.775759066E-2,-5.726587594E-2,2.421332002E-3,7.460583664E-2
1.116535000E0,-5.099137500E-2,-5.868557990E-2,1.350765288E-2,7.890864527E-2
1.126480000E0,-5.527372956E-2,-4.799453080E-2,-1.324920595E-2,7.439221481E-2
1.136424000E0,-5.307831936E-2,-4.354947746E-2,-4.308725506E-2,8.105785910E-2
1.146368000E0,-5.228913710E-2,-4.869912028E-2,-3.400243610E-2,7.913231853E-2
1.156312000E0,-5.859318475E-2,-5.181685567E-2,-1.295245975E-2,7.928375650E-2
1.166257000E0,-6.405592770E-2,-5.289098918E-2,7.910405695E-3,8.344574962E-2
1.176201000E0,-6.914245714E-2,-3.979088724E-2,-1.722765148E-2,8.161363895E-2
1.186145000E0,-5.834209252E-2,-3.013830364E-2,-3.894684166E-2,7.634771497E-2
1.196089000E0,-5.330961328E-2,-5.466678858E-2,-6.962279677E-3,7.667363289E-2
1.206034000E0,-5.122082340E-2,-7.238034368E-2,-1.019169688E-3,8.867652230E-2
1.215978000E0,-5.516438663E-2,-5.736118555E-2,-2.900803685E-3,7.963560650E-2
1.225922000E0,-5.890845018E-2,-4.814480424E-2,-2.042666316E-2,7.877421053E-2
1.235867000E0,-6.036087113E-2,-5.499891043E-2,-2.858177483E-2,8.651723970E-2
1.245811000E0,-6.609335345E-2,-6.250147283E-2,-1.154825091E-3,9.097306798E-2
1.255755000E0,-6.854922057E-2,-4.562173069E-2,-1.110970974E-2,8.308888976E-2
1.265699000E0,-6.451036599E-2,-3.860741079E-2,-1.421107292E-2,7.651192118E-2
1.275644000E0,-5.075998058E-2,-4.531007409E-2,-2.506233573E-2,7.250999320E-2
1.285588000E0,-4.537059277E-2,-3.868927181E-2,-1.855613887E-2,6.244742374E-2
1.295532000E0,-3.669919937E-2,-4.048261285E-2,-1.213004887E-2,5.597152189E-2
1.305476000E0,-4.387741489E-2,-5.111402035E-2,-2.140490234E-2,7.068267438E-2
1.315421000E0,-3.852224244E-2,-4.370559812E-2,-2.812744617E-2,6.469386136E-2
1.325365000E0,-3.151768008E-2,-4.868216336E-2,-1.308022141E-2,5.945089889E-2
1.335309000E0,-2.559770314E-2,-4.722035944E-2,-8.369119763E-3,5.436034325E-2
1.345254000E0,-3.842796522E-2,-5.658175170E-2,-1.910577714E-3,6.842407065E-2
1.355198000E0,-4.271471433E-2,-4.689291537E-2,-3.969616234E-2,7.482832109E-2
1.365142000E0,-4.955282290E-2,-4.727298439E-2,-3.311102808E-2,7.606942547E-2
1.375086000E0,-5.433094827E-2,-5.970007181E-2,-1.222068071E-3,8.073068787E-2
1.385031000E0,-6.455337044E-2,-6.737571180E-2,4.104160666E-3,9.339950915E-2
1.394974667E0,-6.968020912E-2,-4.052705169E-2,-1.217887312E-2,8.152360647E-2
1.404918667E0,-6.598261267E-2,-2.699367106E-2,-2.473664582E-2,7.546035448E-2
1.414862667E0,-6.110133877E-2,-5.421304464E-2,-1.286387444E-3,8.169505861E-2
1.424807667E0,-5.546056638E-2,-5.526261985E-2,-8.319418430E-3,7.873400980E-2
1.434751667E0,-6.059653220E-2,-3.574578345E-2,-1.308782279E-2,7.156110574E-2
1.444695667E0,-6.634873973E-2,-4.385353267E-2,-6.749441028E-3,7.981755788E-2
1.454640667E0,-6.717785664E-2,-5.400780737E-2,-3.659479916E-3,8.627339957E-2
1.464584667E0,-5.058486560E-2,-4.909673095E-2,4.405876994E-4,7.049476389E-2
1.474528667E0,-4.979936527E-2,-4.453648746E-2,-1.016538441E-2,6.757818092E-2
1.484472667E0,-4.438621402E-2,-5.000304937E-2,-1.538899451E-2,6.860948982E-2
1.494417667E0,-4.480784395E-2,-5.219107747E-2,-1.312232137E-2,7.002747150E-2
1.504361667E0,-3.742026156E-2,-5.845052183E-2,-1.752381295E-2,7.158088779E-2
1.514305667E0,-4.182765517E-2,-6.797154307E-2,6.294820011E-3,8.005815489E-2
1.524249667E0,-3.921632521E-2,-6.555138052E-2,-1.249549985E-3,7.639676057E-2
1.534194667E0,-5.081726502E-2,-6.027192950E-2,-1.136757195E-2,7.965124984E-2
1.544138667E0,-4.485574543E-2,-5.948723316E-2,-3.512422442E-3,7.458623143E-2
1.554082667E0,-3.874608116E-2,-5.112337589E-2,-1.225868762E-3,6.415887407E-2
1.564027667E0,-3.905119618E-2,-5.058250844E-2,2.941734195E-3,6.397061735E-2
1.573971667E0,-3.425448764E-2,-3.449330986E-2,-2.428699493E-2,5.434166423E-2
1.583915667E0,-3.938695427E-2,-3.401325345E-2,-3.258887172E-2,6.140250921E-2
1.593859667E0,-4.479648756E-2,-3.447693765E-2,-2.223169863E-2,6.074234891E-2
1.603804667E0,-5.183701943E-2,-3.352618039E-2,-1.291708410E-2,6.307085235E-2
1.613748667E0,-5.042128975E-2,-3.741808712E-2,-2.459455848E-2,6.743376017E-2
1.623692667E0,-5.115318756E-2,-3.569257379E-2,-4.811995357E-2,7.877904767E-2
1.633636667E0,-4.275496876E-2,-4.613102317E-2,-1.856783330E-2,6.558066091E-2
1.643581667E0,-6.194728469E-2,-4.725953579E-2,-1.647686899E-2,7.963929316E-2
1.653525667E0,-6.130891493E-2,-4.610646486E-2,-2.925537407E-2,8.210034144E-2
1.663469667E0,-6.695154198E-2,-3.687312663E-2,-3.005176485E-2,8.212944059E-2
1.673414667E0,-6.268862028E-2,-4.667832255E-2,-1.971037924E-2,8.060538418E-2
1.683358667E0,-6.236762641E-2,-5.410136282E-2,-1.218559742E-2,8.345757646E-2
1.693302667E0,-5.230967545E-2,-6.609166324E-2,-1.827254891E-3,8.430746679E-2
1.703246667E0,-5.365950518E-2,-4.653448105E-2,-8.304215670E-3,7.151056160E-2
1.713191667E0,-4.469601595E-2,-5.120816052E-2,-1.406840086E-2,6.941130634E-2
1.723135667E0,-5.231622616E-2,-5.254015625E-2,-1.125939846E-2,7.499486377E-2
1.733079667E0,-4.559448631E-2,-6.487134933E-2,5.327398181E-3,7.947031092E-2
1.743024667E0,-3.070286145E-2,-5.399669766E-2,-3.693101406E-3,6.222497937E-2
1.752968667E0,-3.759448118E-2,-4.741624117E-2,-1.969985425E-2,6.363748266E-2
1.762912667E0,-4.522879779E-2,-3.941549599E-2,-1.969926953E-2,6.314496571E-2
1.772856667E0,-3.794609983E-2,-3.579840839E-2,-9.426296353E-3,5.301214577E-2
1.782801667E0,-4.829234594E-2,-4.405350745E-2,9.930326343E-3,6.611712014E-2
1.792745667E0,-5.380126362E-2,-4.155616164E-2,1.077641845E-2,6.883038378E-2
1.802689667E0,-5.000346964E-2,-3.778880060E-2,-9.038625956E-3,6.332485441E-2
1.812633667E0,-4.289663583E-2,-5.030067265E-2,1.147223711E-3,6.611803957E-2
1.822578667E0,-3.544608624E-2,-6.386972129E-2,2.827421129E-2,7.832750061E-2
1.832522667E0,-2.999488240E-2,-6.072099566E-2,-4.518728256E-3,6.787599863E-2
1.842466667E0,-2.873414962E-2,-5.906038642E-2,-4.436925709E-2,7.926166522E-2
1.852411667E0,-2.751770949E-2,-6.253070891E-2,-4.550683290E-2,8.208645280E-2
1.862355667E0,-4.056826542E-2,-7.724405766E-2,-2.505648851E-2,9.077585703E-2
1.872299667E0,-4.966138012E-2,-5.719044685E-2,-2.699337870E-2,8.040921825E-2
1.882243667E0,-4.405705232E-2,-3.471784294E-2,-2.269596756E-2,6.050999439E-2
