"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.552999951E-3,-8.219339680E-3,-7.408539176E-2,-3.698363900E-3,7.463163346E-2
8.391000098E-3,-1.021493956E-2,-3.455704451E-2,1.857514232E-2,4.054096974E-2
1.833500015E-2,-1.878603495E-2,-1.109684587E-2,1.987351656E-2,2.951290832E-2
2.827899996E-2,-1.367414321E-2,-6.720438838E-2,1.911454797E-3,6.860805834E-2
3.822200000E-2,2.138243624E-2,-7.434617758E-2,-7.521419674E-2,1.078968864E-1
4.816600005E-2,1.944091396E-2,-4.115679681E-2,-5.437004238E-2,7.090791612E-2
5.811000010E-2,-1.154710888E-2,-5.169698775E-2,-6.979236603E-3,5.342868152E-2
6.805400015E-2,-1.813402472E-2,-2.673580885E-2,1.706100583E-2,3.653387808E-2
7.799799996E-2,-1.142310223E-2,2.014950514E-3,3.005848914E-2,3.221893946E-2
8.794100001E-2,3.508146666E-4,-3.717659712E-2,-6.506138384E-2,7.493467897E-2
9.788500005E-2,2.846348749E-2,-6.437901378E-2,-6.306280553E-2,9.450790960E-2
1.078290001E-1,2.633502790E-2,-5.674839735E-2,-3.296660185E-2,7.071570641E-2
1.177730002E-1,6.738075502E-3,-4.956743181E-2,-5.556082785E-2,7.476187229E-2
1.277170000E-1,-7.221649373E-3,-1.329715312E-2,2.081608772E-2,2.573472379E-2
1.376600000E-1,5.977526335E-3,-1.083839893E-2,1.931335330E-2,2.293920941E-2
1.476040001E-1,-2.546827868E-3,-5.336169004E-2,4.210229158E-2,6.801881544E-2
1.575480001E-1,-1.377444123E-2,-1.045482159E-2,2.067283094E-2,2.695189167E-2
1.674920002E-1,1.711589657E-3,-2.400457442E-2,-4.545069963E-2,5.142873933E-2
1.774360000E-1,1.044486305E-3,-4.406637132E-2,-3.175447404E-2,5.432570897E-2
1.873800000E-1,8.967892919E-3,-3.058970869E-2,-8.355846584E-2,8.943249183E-2
1.973230001E-1,-1.360131796E-2,-6.814462066E-2,-9.951961040E-3,7.019776851E-2
2.072670001E-1,6.238705013E-3,-6.563499570E-2,-2.303861439E-2,6.984018796E-2
2.172110002E-1,-8.748713695E-3,-1.389298439E-2,-4.618657172E-2,4.901789891E-2
2.271550000E-1,-1.155963471E-2,-3.312740028E-2,1.693909138E-2,3.896129645E-2
2.370990000E-1,-7.361726733E-3,-2.411157846E-2,1.775390089E-2,3.083446502E-2
2.470420001E-1,-1.545936210E-2,-3.639248550E-2,4.591058314E-2,6.059031706E-2
2.569860001E-1,-1.155335809E-2,-3.106040955E-2,2.927934766E-2,4.422114114E-2
2.669300002E-1,-2.533115233E-2,-3.683278084E-2,-2.978922486E-2,5.371888812E-2
2.768740000E-1,1.143148933E-2,-4.498379946E-2,-3.134136826E-2,5.600448666E-2
2.868180000E-1,3.794993707E-2,-5.656362534E-2,-2.178964913E-2,7.151524484E-2
2.967610001E-1,2.399309012E-2,-6.769847810E-2,-2.568828017E-2,7.628001081E-2
3.067050001E-1,1.194080008E-2,-4.242798150E-2,-6.484445214E-2,7.840611771E-2
3.166490002E-1,-3.814970171E-3,-3.540138245E-2,-9.453310490E-2,1.010164333E-1
3.265930000E-1,-1.265508316E-2,-5.336227477E-2,4.295832396E-2,6.966420239E-2
3.365370000E-1,5.724424124E-4,-4.213620543E-2,5.493137509E-2,6.923325406E-2
3.464800001E-1,6.892487677E-3,-1.626286089E-2,-1.476568133E-2,2.302199765E-2
3.564240001E-1,-3.973124564E-2,2.218433619E-3,2.562483788E-2,4.732996560E-2
3.663680002E-1,-3.304455254E-2,-1.038874805E-2,4.380149245E-3,3.491495734E-2
3.763120000E-1,1.442579364E-2,-6.418313205E-2,7.756740868E-2,1.017068378E-1
3.862560000E-1,2.079407844E-2,-5.884871721E-2,-3.091247499E-2,6.965017104E-2
3.962000001E-1,1.030895183E-2,-2.560378790E-2,-9.643637359E-2,1.003085370E-1
4.061430001E-1,8.401252041E-3,-6.246346593E-2,-7.051742077E-2,9.457786339E-2
4.160870002E-1,4.639729075E-3,-6.841885507E-2,-6.835278153E-2,9.682339365E-2
4.260310000E-1,3.999943184E-3,-4.115094960E-2,-7.128340602E-3,4.195489766E-2
4.359750000E-1,-8.416838525E-3,-1.898766339E-2,-3.139603972E-2,3.764420064E-2
4.459190001E-1,-2.869437941E-2,-2.366835952E-2,-1.848158687E-2,4.153465668E-2
4.558620001E-1,-1.340625850E-2,3.011900783E-3,1.413710564E-2,1.971438737E-2
4.658060002E-1,-8.131339084E-3,-2.418525338E-2,3.647288471E-2,4.451198126E-2
4.757500000E-1,-9.526073607E-3,-5.019483805E-2,5.912119746E-3,5.143171205E-2
4.856940000E-1,-6.058802633E-3,-3.546979487E-2,-8.247409970E-2,8.998217911E-2
4.956380001E-1,7.906385735E-3,-2.089502513E-2,-7.002830118E-2,7.350561868E-2
5.055810001E-1,3.094246024E-3,-6.421880007E-2,1.583045930E-2,6.621353398E-2
5.155250002E-1,-2.703423612E-5,-3.735201359E-2,-3.383111268E-2,5.039561325E-2
5.254690000E-1,7.502361406E-3,-3.464592218E-2,-4.238997459E-2,5.525880289E-2
5.354130000E-1,-5.749183428E-3,-4.592110813E-2,-3.650592148E-2,5.894475028E-2
5.453570001E-1,-1.146899373E-2,-6.301427364E-2,1.319775045E-2,6.539508481E-2
5.553000001E-1,-2.700176580E-2,-4.554630160E-2,6.240820974E-2,8.184342117E-2
5.652439999E-1,-2.186955499E-2,-1.716099322E-2,3.282802284E-2,4.301692931E-2
5.751880000E-1,-3.163072321E-2,-2.359000683E-2,2.299300611E-2,4.566912965E-2
5.851320000E-1,2.419370444E-2,-4.181460857E-2,-6.451817751E-2,8.060019884E-2
5.950760001E-1,1.171430270E-2,-4.502940774E-2,-2.294447422E-2,5.187794663E-2
