"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.762602568E-1,4.299936406E1,-7.879109360E1,1.838199820E2,1.491132520E2,1.497380326E-1,5.139081713E1,9.076610784E-4,4.745950094E0,3.361620850E0,-1.000000000E0
1.276250720E0,4.299936473E1,-7.879110473E1,1.836687375E2,1.489620030E2,1.095972158E-1,5.139080836E1,1.990723649E-3,4.742639269E0,3.366290212E0,-1.000000000E0
2.276241899E0,4.299936507E1,-7.879111804E1,1.834728192E2,1.487660806E2,1.249565361E-1,5.139079794E1,3.144661360E-3,4.742665335E0,3.366253489E0,-1.000000000E0
3.276232481E0,4.299936549E1,-7.879113221E1,1.835289153E2,1.488221720E2,1.071464231E-1,5.139078683E1,4.438075406E-3,4.745224382E0,3.362645178E0,-1.000000000E0
4.276223183E0,4.299936593E1,-7.879114811E1,1.833908122E2,1.486840638E2,1.106776410E-1,5.139077439E1,5.630594685E-3,4.746066173E0,3.361456963E0,-1.000000000E0
5.276214242E0,4.299936685E1,-7.879116272E1,1.834335558E2,1.487268013E2,1.007701229E-1,5.139076286E1,6.273284169E-3,4.745995344E0,3.361556965E0,-1.000000000E0
6.276204228E0,4.299936772E1,-7.879117053E1,1.831699040E2,1.484631453E2,9.408491920E-2,5.139075663E1,7.638754566E-3,4.743957001E0,3.364432939E0,-1.000000000E0
7.276195407E0,4.299936672E1,-7.879118726E1,1.832889902E2,1.485822298E2,1.101061357E-1,5.139074377E1,8.764981225E-3,4.741539802E0,3.367838675E0,-1.000000000E0
8.276185989E0,4.299936712E1,-7.879120110E1,1.833507224E2,1.486439575E2,1.034900963E-1,5.139073293E1,9.964043460E-3,4.740488504E0,3.369318296E0,-1.000000000E0
9.276176810E0,4.299936758E1,-7.879121583E1,1.833524947E2,1.486457249E2,1.197416548E-1,5.139072138E1,1.099208060E-2,4.741680428E0,3.367640681E0,-1.000000000E0
1.027616739E1,4.299936750E1,-7.879122847E1,1.833409025E2,1.486341298E2,9.848224611E-2,5.139071155E1,1.223881993E-2,4.743610130E0,3.364921985E0,-1.000000000E0
1.127615821E1,4.299936532E1,-7.879124351E1,1.833611198E2,1.486543488E2,1.144620420E-1,5.139070020E1,1.329567135E-2,4.744359646E0,3.363865126E0,-1.000000000E0
1.227614784E1,4.299936211E1,-7.879125574E1,1.835210616E2,1.488142957E2,9.399124392E-2,5.139069122E1,1.450992839E-2,4.745604249E0,3.362109062E0,-1.000000000E0
1.327613914E1,4.299935837E1,-7.879126977E1,1.834961579E2,1.487893980E2,9.203764846E-2,5.139068091E1,1.544359483E-2,4.748045453E0,3.358660657E0,-1.000000000E0
1.427612948E1,4.299935277E1,-7.879127833E1,1.835137197E2,1.488069720E2,7.219884508E-2,5.139067517E1,1.656855121E-2,4.745677788E0,3.362005260E0,-1.000000000E0
1.527611971E1,4.299934653E1,-7.879128922E1,1.833764841E2,1.486697496E2,1.090344902E-1,5.139066773E1,1.772679518E-2,4.745957654E0,3.361610177E0,-1.000000000E0
1.627610993E1,4.299933877E1,-7.879129871E1,1.834990563E2,1.487923393E2,5.333260210E-2,5.139066161E1,1.888210859E-2,4.745079681E0,3.362849365E0,-1.000000000E0
1.727610028E1,4.299933459E1,-7.879131172E1,1.834476953E2,1.487409857E2,1.038885743E-1,5.139065218E1,1.994436114E-2,4.745937757E0,3.361638267E0,-1.000000000E0
1.827609146E1,4.299932789E1,-7.879132103E1,1.834079898E2,1.487012950E2,6.929147334E-2,5.139064604E1,2.118298934E-2,4.744705990E0,3.363376592E0,-1.000000000E0
1.927608132E1,4.299932260E1,-7.879133443E1,1.833952217E2,1.486885370E2,1.002303633E-1,5.139063648E1,2.220622283E-2,4.743929662E0,3.364471488E0,-1.000000000E0
2.027607226E1,4.299931719E1,-7.879134461E1,1.832415691E2,1.485348956E2,8.989263680E-2,5.139062945E1,2.335130102E-2,4.744152803E0,3.364156835E0,-1.000000000E0
2.127606237E1,4.299931093E1,-7.879135579E1,1.832986600E2,1.485919998E2,9.285692593E-2,5.139062179E1,2.453497330E-2,4.743020329E0,3.365753287E0,-1.000000000E0
2.227605247E1,4.299930487E1,-7.879136775E1,1.834862790E2,1.487796312E2,8.489357795E-2,5.139061347E1,2.591642490E-2,4.742543266E0,3.366425464E0,-1.000000000E0
2.327604294E1,4.299930152E1,-7.879138411E1,1.834719624E2,1.487653191E2,1.019954506E-1,5.139060129E1,2.703170624E-2,4.743366700E0,3.365265129E0,-1.000000000E0
2.427603388E1,4.299929852E1,-7.879139720E1,1.834655048E2,1.487588658E2,9.371558967E-2,5.139059160E1,2.837594687E-2,4.742610037E0,3.366331397E0,-1.000000000E0
2.527602351E1,4.299929543E1,-7.879141318E1,1.833917416E2,1.486851064E2,1.092953592E-1,5.139057967E1,2.945803406E-2,4.743018866E0,3.365755348E0,-1.000000000E0
2.627601397E1,4.299929153E1,-7.879142537E1,1.833709127E2,1.486642845E2,7.298122609E-2,5.139057082E1,3.093981117E-2,4.740017417E0,3.369980996E0,-1.000000000E0
2.727600455E1,4.299928681E1,-7.879144241E1,1.833748642E2,1.486682437E2,1.163618298E-1,5.139055833E1,3.211831266E-2,4.739457938E0,3.370767789E0,-1.000000000E0
2.827599442E1,4.299928034E1,-7.879145388E1,1.833703558E2,1.486637490E2,6.928491631E-2,5.139055047E1,3.353098193E-2,4.738760924E0,3.371747609E0,-1.000000000E0
2.927598500E1,4.299927372E1,-7.879146871E1,1.834280277E2,1.487214341E2,7.233853569E-2,5.139054002E1,3.473416850E-2,4.738920503E0,3.371523320E0,-1.000000000E0
3.027597487E1,4.299926858E1,-7.879148173E1,1.833825366E2,1.486759528E2,6.949647724E-2,5.139053073E1,3.607314271E-2,4.738886628E0,3.371570934E0,-1.000000000E0
3.127596509E1,4.299926409E1,-7.879149701E1,1.833634752E2,1.486568990E2,9.389636310E-2,5.139051958E1,3.715851758E-2,4.739492466E0,3.370719241E0,-1.000000000E0
3.227595568E1,4.299926000E1,-7.879150913E1,1.833597687E2,1.486531999E2,9.512410466E-2,5.139051082E1,3.852996224E-2,4.739611330E0,3.370552103E0,-1.000000000E0
3.327594614E1,4.299925759E1,-7.879152567E1,1.832857184E2,1.485791516E2,1.055137593E-1,5.139049834E1,3.989066730E-2,4.740372890E0,3.369480954E0,-1.000000000E0
3.427593613E1,4.299925527E1,-7.879154210E1,1.833351840E2,1.486286190E2,9.030008036E-2,5.139048593E1,4.121297148E-2,4.739368604E0,3.370893394E0,-1.000000000E0
3.527592647E1,4.299925286E1,-7.879155802E1,1.833046399E2,1.485980770E2,1.064246915E-1,5.139047393E1,4.260199699E-2,4.740775506E0,3.368914459E0,-1.000000000E0
3.627591777E1,4.299924775E1,-7.879157360E1,1.832624004E2,1.485558466E2,9.992673244E-2,5.139046265E1,4.380463479E-2,4.741270619E0,3.368217622E0,-1.000000000E0
