"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.348993301E-3,4.299746590E1,-7.878405184E1,1.826163256E2,1.479162329E2,6.673414749E-2,NaN,2.200819227E-3,4.784628707E0,3.306337123E0,-1.000000000E0
6.323767900E-1,4.299744682E1,-7.878404461E1,1.793888817E2,1.446888396E2,0.000000000E0,2.731640625E2,2.223293025E-3,3.731956355E0,4.000000000E0,-1.000000000E0
1.539379001E0,4.299744674E1,-7.878404436E1,1.804859886E2,1.457859468E2,0.000000000E0,2.731640625E2,2.469448302E-3,3.582958013E0,3.000000000E0,-1.000000000E0
2.539383173E0,4.299744620E1,-7.878404729E1,1.803111839E2,1.456111427E2,0.000000000E0,2.576953125E2,3.401309972E-3,3.535533906E0,3.000000000E0,-1.000000000E0
3.539387107E0,4.299744402E1,-7.878405835E1,1.810824242E2,1.463823858E2,4.399999976E-1,2.576953125E2,4.213416999E-3,3.535533906E0,3.000000000E0,-1.000000000E0
4.539390802E0,4.299744301E1,-7.878406825E1,1.806842918E2,1.459842535E2,4.799999893E-1,2.780859375E2,5.113653586E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.539394736E0,4.299744326E1,-7.878407931E1,1.808667259E2,1.461666841E2,6.800000072E-1,2.780859375E2,5.903093344E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.539765477E0,4.299744410E1,-7.878408895E1,1.808137474E2,1.461137010E2,6.800000072E-1,2.780859375E2,6.764835280E-3,3.535533906E0,3.000000000E0,-1.000000000E0
7.539787412E0,4.299744473E1,-7.878409951E1,1.807694359E2,1.460693852E2,6.800000072E-1,2.780859375E2,7.781589645E-3,3.535533906E0,3.000000000E0,-1.000000000E0
8.539786935E0,4.299744515E1,-7.878411200E1,1.804553490E2,1.457552941E2,8.500000238E-1,2.777343750E2,8.768531513E-3,3.535533906E0,3.000000000E0,-1.000000000E0
9.539805293E0,4.299744423E1,-7.878412407E1,1.797851830E2,1.450851274E2,8.799999952E-1,2.654296875E2,9.732324728E-3,3.535533906E0,3.000000000E0,-1.000000000E0
1.053982377E1,4.299744234E1,-7.878413564E1,1.795110741E2,1.448110204E2,9.399999976E-1,2.654296875E2,1.074756476E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.153981864E1,4.299744087E1,-7.878414796E1,1.797093163E2,1.450092632E2,9.399999976E-1,2.654296875E2,1.176031196E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.253983009E1,4.299744008E1,-7.878416036E1,1.798407249E2,1.451406708E2,9.399999976E-1,2.657812500E2,1.269781422E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.353984511E1,4.299743945E1,-7.878417186E1,1.798407251E2,1.451406696E2,9.399999976E-1,2.657812422E2,1.362455718E-2,4.596097450E0,3.563765602E0,-1.000000000E0
1.453983772E1,4.299744015E1,-7.878418321E1,1.801011010E2,1.454010409E2,8.999999762E-1,2.714062425E2,1.459203493E-2,4.596097462E0,3.563765587E0,-1.000000000E0
1.553985000E1,4.299744015E1,-7.878419511E1,1.800857812E2,1.453857180E2,9.200000167E-1,2.714062423E2,1.560798442E-2,4.596097474E0,3.563765571E0,-1.000000000E0
1.653985953E1,4.299744015E1,-7.878420760E1,1.801021997E2,1.454021333E2,9.200000167E-1,2.696484298E2,1.685210898E-2,4.596097487E0,3.563765554E0,-1.000000000E0
1.753984439E1,4.299743964E1,-7.878422289E1,1.802102319E2,1.455101630E2,1.039999962E0,2.668359288E2,1.793067147E-2,4.596097503E0,3.563765534E0,-1.000000000E0
1.853985178E1,4.299743985E1,-7.878423614E1,1.804188501E2,1.457187773E2,1.039999962E0,2.685937413E2,1.893000549E-2,4.596097517E0,3.563765516E0,-1.000000000E0
1.953986037E1,4.299743978E1,-7.878424843E1,1.805454980E2,1.458454223E2,9.900000095E-1,2.675390542E2,2.011972665E-2,4.596097530E0,3.563765499E0,-1.000000000E0
2.053984833E1,4.299743947E1,-7.878426306E1,1.807405664E2,1.460404877E2,1.090000033E0,2.664843659E2,2.111250964E-2,4.596097545E0,3.563765479E0,-1.000000000E0
2.153983486E1,4.299743975E1,-7.878427526E1,1.806252099E2,1.459251275E2,9.900000095E-1,2.678906167E2,2.215993071E-2,4.596097558E0,3.563765462E0,-1.000000000E0
2.253982222E1,4.299743929E1,-7.878428812E1,1.803388330E2,1.456387484E2,1.019999981E0,2.692968665E2,2.312174675E-2,4.596097572E0,3.563765445E0,-1.000000000E0
2.353981161E1,4.299743922E1,-7.878429995E1,1.801158715E2,1.454157842E2,9.800000191E-1,2.717578043E2,2.438975383E-2,4.596097584E0,3.563765428E0,-1.000000000E0
2.453980172E1,4.299743888E1,-7.878431553E1,1.799145776E2,1.452144872E2,1.149999976E0,2.703515529E2,2.560319971E-2,4.596097600E0,3.563765408E0,-1.000000000E0
2.553979194E1,4.299743878E1,-7.878433045E1,1.800599634E2,1.453598694E2,1.149999976E0,2.699999904E2,2.668387823E-2,4.596097616E0,3.563765388E0,-1.000000000E0
2.653978324E1,4.299743880E1,-7.878434374E1,1.800519678E2,1.453518704E2,1.139999986E0,2.703515530E2,2.763057130E-2,4.596097630E0,3.563765370E0,-1.000000000E0
2.753977597E1,4.299743892E1,-7.878435538E1,1.800844995E2,1.453843988E2,1.029999971E0,2.714062414E2,2.878289263E-2,4.596097643E0,3.563765353E0,-1.000000000E0
2.853976882E1,4.299743881E1,-7.878436955E1,1.799934350E2,1.452933311E2,1.029999971E0,2.707031164E2,3.001682538E-2,4.596097658E0,3.563765334E0,-1.000000000E0
2.953976226E1,4.299743822E1,-7.878438470E1,1.800945093E2,1.453944030E2,1.090000033E0,2.689453034E2,3.105564597E-2,4.596097673E0,3.563765314E0,-1.000000000E0
3.053975666E1,4.299743753E1,-7.878439744E1,1.800312158E2,1.453311080E2,1.090000033E0,2.685937409E2,3.197997519E-2,4.596097687E0,3.563765296E0,-1.000000000E0
3.153975153E1,4.299743674E1,-7.878440875E1,1.798260766E2,1.451259680E2,1.029999971E0,2.664843664E2,3.300457277E-2,4.596097699E0,3.563765280E0,-1.000000000E0
